frequency,raw
20.00,3.33
20.20,3.38
20.40,3.43
20.61,3.48
20.81,3.53
21.02,3.58
21.23,3.62
21.44,3.68
21.66,3.73
21.87,3.78
22.09,3.83
22.31,3.88
22.54,3.93
22.76,3.98
22.99,4.03
23.22,4.07
23.45,4.12
23.69,4.17
23.92,4.21
24.16,4.25
24.40,4.30
24.65,4.34
24.89,4.38
25.14,4.42
25.39,4.46
25.65,4.50
25.91,4.54
26.16,4.58
26.43,4.61
26.69,4.65
26.96,4.68
27.23,4.72
27.50,4.75
27.77,4.78
28.05,4.82
28.33,4.85
28.62,4.88
28.90,4.91
29.19,4.94
29.48,4.97
29.78,5.00
30.08,5.02
30.38,5.05
30.68,5.07
30.99,5.10
31.30,5.12
31.61,5.14
31.93,5.17
32.24,5.19
32.57,5.21
32.89,5.23
33.22,5.25
33.55,5.27
33.89,5.29
34.23,5.31
34.57,5.33
34.92,5.35
35.27,5.36
35.62,5.38
35.97,5.39
36.33,5.41
36.70,5.42
37.06,5.44
37.43,5.45
37.81,5.46
38.19,5.47
38.57,5.49
38.95,5.50
39.34,5.51
39.74,5.51
40.14,5.52
40.54,5.53
40.94,5.53
41.35,5.54
41.76,5.54
42.18,5.55
42.60,5.55
43.03,5.55
43.46,5.56
43.90,5.56
44.33,5.56
44.78,5.56
45.23,5.56
45.68,5.55
46.13,5.55
46.60,5.54
47.06,5.54
47.53,5.54
48.01,5.54
48.49,5.54
48.97,5.54
49.46,5.54
49.96,5.54
50.46,5.53
50.96,5.53
51.47,5.53
51.99,5.52
52.51,5.51
53.03,5.50
53.56,5.49
54.10,5.49
54.64,5.48
55.18,5.47
55.74,5.46
56.29,5.44
56.86,5.43
57.42,5.42
58.00,5.40
58.58,5.39
59.16,5.37
59.76,5.36
60.35,5.35
60.96,5.34
61.57,5.32
62.18,5.31
62.80,5.29
63.43,5.27
64.07,5.25
64.71,5.24
65.35,5.22
66.01,5.20
66.67,5.18
67.33,5.16
68.01,5.14
68.69,5.12
69.37,5.10
70.07,5.07
70.77,5.05
71.48,5.03
72.19,5.01
72.91,4.98
73.64,4.96
74.38,4.93
75.12,4.91
75.87,4.88
76.63,4.86
77.40,4.83
78.17,4.80
78.95,4.77
79.74,4.75
80.54,4.72
81.35,4.69
82.16,4.66
82.98,4.63
83.81,4.60
84.65,4.57
85.50,4.54
86.35,4.51
87.22,4.48
88.09,4.45
88.97,4.42
89.86,4.39
90.76,4.35
91.66,4.32
92.58,4.29
93.51,4.25
94.44,4.22
95.39,4.18
96.34,4.15
97.30,4.11
98.28,4.07
99.26,4.04
100.25,4.00
101.25,3.96
102.27,3.92
103.29,3.89
104.32,3.85
105.37,3.81
106.42,3.77
107.48,3.74
108.56,3.71
109.64,3.67
110.74,3.65
111.85,3.62
112.97,3.59
114.10,3.56
115.24,3.54
116.39,3.51
117.55,3.48
118.73,3.45
119.92,3.42
121.12,3.39
122.33,3.36
123.55,3.32
124.79,3.29
126.03,3.25
127.29,3.21
128.57,3.17
129.85,3.13
131.15,3.09
132.46,3.05
133.79,3.01
135.12,2.97
136.48,2.93
137.84,2.88
139.22,2.84
140.61,2.80
142.02,2.75
143.44,2.70
144.87,2.65
146.32,2.60
147.78,2.55
149.26,2.50
150.75,2.45
152.26,2.41
153.78,2.38
155.32,2.34
156.88,2.34
158.44,2.34
160.03,2.33
161.63,2.31
163.24,2.28
164.88,2.26
166.53,2.22
168.19,2.18
169.87,2.13
171.57,2.09
173.29,2.05
175.02,2.00
176.77,1.96
178.54,1.92
180.32,1.88
182.13,1.84
183.95,1.79
185.79,1.75
187.65,1.71
189.52,1.67
191.42,1.63
193.33,1.59
195.27,1.55
197.22,1.51
199.19,1.47
201.18,1.43
203.19,1.39
205.23,1.36
207.28,1.32
209.35,1.28
211.44,1.24
213.56,1.20
215.69,1.17
217.85,1.13
220.03,1.09
222.23,1.06
224.45,1.02
226.70,0.98
228.96,0.95
231.25,0.91
233.57,0.87
235.90,0.84
238.26,0.80
240.64,0.77
243.05,0.74
245.48,0.70
247.93,0.67
250.41,0.63
252.92,0.60
255.45,0.56
258.00,0.53
260.58,0.50
263.19,0.46
265.82,0.43
268.48,0.40
271.16,0.37
273.87,0.33
276.61,0.30
279.38,0.27
282.17,0.24
284.99,0.21
287.84,0.18
290.72,0.15
293.63,0.12
296.57,0.09
299.53,0.06
302.53,0.03
305.55,-0.00
308.61,-0.03
311.69,-0.06
314.81,-0.09
317.96,-0.11
321.14,-0.14
324.35,-0.17
327.59,-0.20
330.87,-0.22
334.18,-0.25
337.52,-0.28
340.90,-0.30
344.30,-0.33
347.75,-0.36
351.23,-0.38
354.74,-0.41
358.28,-0.43
361.87,-0.45
365.49,-0.48
369.14,-0.50
372.83,-0.53
376.56,-0.55
380.33,-0.57
384.13,-0.59
387.97,-0.62
391.85,-0.64
395.77,-0.66
399.73,-0.68
403.72,-0.70
407.76,-0.72
411.84,-0.74
415.96,-0.76
420.12,-0.79
424.32,-0.81
428.56,-0.82
432.85,-0.84
437.18,-0.86
441.55,-0.88
445.96,-0.90
450.42,-0.91
454.93,-0.93
459.48,-0.94
464.07,-0.96
468.71,-0.97
473.40,-0.98
478.13,-1.00
482.91,-1.01
487.74,-1.02
492.62,-1.04
497.55,-1.05
502.52,-1.06
507.55,-1.08
512.62,-1.09
517.75,-1.10
522.93,-1.11
528.16,-1.12
533.44,-1.13
538.77,-1.14
544.16,-1.15
549.60,-1.16
555.10,-1.17
560.65,-1.18
566.25,-1.19
571.92,-1.20
577.64,-1.21
583.41,-1.21
589.25,-1.22
595.14,-1.22
601.09,-1.23
607.10,-1.23
613.17,-1.24
619.30,-1.24
625.50,-1.25
631.75,-1.25
638.07,-1.26
644.45,-1.26
650.89,-1.27
657.40,-1.28
663.98,-1.29
670.62,-1.30
677.32,-1.30
684.10,-1.30
690.94,-1.30
697.85,-1.28
704.83,-1.27
711.87,-1.26
718.99,-1.24
726.18,-1.23
733.44,-1.22
740.78,-1.20
748.19,-1.19
755.67,-1.17
763.23,-1.16
770.86,-1.14
778.57,-1.12
786.35,-1.10
794.22,-1.08
802.16,-1.05
810.18,-1.03
818.28,-1.00
826.46,-0.97
834.73,-0.94
843.08,-0.91
851.51,-0.87
860.02,-0.83
868.62,-0.79
877.31,-0.75
886.08,-0.71
894.94,-0.66
903.89,-0.62
912.93,-0.56
922.06,-0.51
931.28,-0.46
940.59,-0.40
950.00,-0.34
959.50,-0.28
969.09,-0.21
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.29
1049.39,0.36
1059.88,0.44
1070.48,0.52
1081.19,0.60
1092.00,0.68
1102.92,0.77
1113.95,0.85
1125.09,0.93
1136.34,1.01
1147.70,1.09
1159.18,1.16
1170.77,1.24
1182.48,1.32
1194.30,1.39
1206.25,1.46
1218.31,1.53
1230.49,1.60
1242.80,1.66
1255.22,1.73
1267.78,1.78
1280.45,1.84
1293.26,1.90
1306.19,1.95
1319.25,2.01
1332.45,2.08
1345.77,2.16
1359.23,2.23
1372.82,2.34
1386.55,2.45
1400.41,2.56
1414.42,2.67
1428.56,2.77
1442.85,2.88
1457.28,2.96
1471.85,3.02
1486.57,3.09
1501.43,3.15
1516.45,3.20
1531.61,3.24
1546.93,3.29
1562.40,3.33
1578.02,3.37
1593.80,3.41
1609.74,3.45
1625.84,3.49
1642.10,3.53
1658.52,3.58
1675.10,3.65
1691.85,3.71
1708.77,3.79
1725.86,3.89
1743.12,3.99
1760.55,4.08
1778.15,4.18
1795.94,4.27
1813.90,4.35
1832.03,4.42
1850.36,4.49
1868.86,4.55
1887.55,4.60
1906.42,4.66
1925.49,4.71
1944.74,4.75
1964.19,4.80
1983.83,4.85
2003.67,4.89
2023.71,4.95
2043.94,5.00
2064.38,5.06
2085.03,5.14
2105.88,5.22
2126.94,5.32
2148.20,5.44
2169.69,5.57
2191.38,5.70
2213.30,5.83
2235.43,5.96
2257.78,6.07
