frequency,raw
20.00,5.11
20.20,5.15
20.40,5.19
20.61,5.23
20.81,5.27
21.02,5.30
21.23,5.34
21.44,5.39
21.66,5.43
21.87,5.47
22.09,5.51
22.31,5.55
22.54,5.59
22.76,5.63
22.99,5.67
23.22,5.70
23.45,5.74
23.69,5.78
23.92,5.81
24.16,5.85
24.40,5.89
24.65,5.92
24.89,5.95
25.14,5.99
25.39,6.02
25.65,6.05
25.91,6.09
26.16,6.12
26.43,6.15
26.69,6.18
26.96,6.21
27.23,6.24
27.50,6.27
27.77,6.30
28.05,6.33
28.33,6.36
28.62,6.39
28.90,6.41
29.19,6.44
29.48,6.47
29.78,6.49
30.08,6.52
30.38,6.54
30.68,6.57
30.99,6.59
31.30,6.62
31.61,6.64
31.93,6.66
32.24,6.68
32.57,6.71
32.89,6.73
33.22,6.75
33.55,6.77
33.89,6.79
34.23,6.81
34.57,6.83
34.92,6.85
35.27,6.86
35.62,6.88
35.97,6.90
36.33,6.92
36.70,6.93
37.06,6.95
37.43,6.97
37.81,6.98
38.19,7.00
38.57,7.01
38.95,7.03
39.34,7.04
39.74,7.05
40.14,7.07
40.54,7.08
40.94,7.09
41.35,7.11
41.76,7.12
42.18,7.13
42.60,7.14
43.03,7.15
43.46,7.16
43.90,7.17
44.33,7.18
44.78,7.19
45.23,7.20
45.68,7.21
46.13,7.22
46.60,7.22
47.06,7.23
47.53,7.24
48.01,7.24
48.49,7.25
48.97,7.26
49.46,7.26
49.96,7.27
50.46,7.27
50.96,7.28
51.47,7.28
51.99,7.29
52.51,7.29
53.03,7.29
53.56,7.30
54.10,7.30
54.64,7.30
55.18,7.30
55.74,7.31
56.29,7.31
56.86,7.31
57.42,7.31
58.00,7.31
58.58,7.31
59.16,7.31
59.76,7.31
60.35,7.31
60.96,7.31
61.57,7.31
62.18,7.31
62.80,7.31
63.43,7.31
64.07,7.30
64.71,7.30
65.35,7.30
66.01,7.30
66.67,7.29
67.33,7.29
68.01,7.28
68.69,7.28
69.37,7.28
70.07,7.27
70.77,7.26
71.48,7.26
72.19,7.25
72.91,7.25
73.64,7.24
74.38,7.23
75.12,7.23
75.87,7.22
76.63,7.21
77.40,7.20
78.17,7.20
78.95,7.19
79.74,7.18
80.54,7.17
81.35,7.16
82.16,7.15
82.98,7.14
83.81,7.13
84.65,7.12
85.50,7.11
86.35,7.10
87.22,7.09
88.09,7.08
88.97,7.06
89.86,7.05
90.76,7.04
91.66,7.02
92.58,7.01
93.51,7.00
94.44,6.98
95.39,6.97
96.34,6.96
97.30,6.95
98.28,6.93
99.26,6.92
100.25,6.90
101.25,6.88
102.27,6.86
103.29,6.85
104.32,6.83
105.37,6.81
106.42,6.80
107.48,6.78
108.56,6.76
109.64,6.75
110.74,6.73
111.85,6.71
112.97,6.68
114.10,6.66
115.24,6.64
116.39,6.62
117.55,6.60
118.73,6.58
119.92,6.56
121.12,6.54
122.33,6.52
123.55,6.50
124.79,6.48
126.03,6.46
127.29,6.43
128.57,6.41
129.85,6.39
131.15,6.36
132.46,6.34
133.79,6.32
135.12,6.29
136.48,6.27
137.84,6.24
139.22,6.22
140.61,6.19
142.02,6.17
143.44,6.14
144.87,6.11
146.32,6.09
147.78,6.06
149.26,6.03
150.75,6.00
152.26,5.97
153.78,5.95
155.32,5.92
156.88,5.89
158.44,5.86
160.03,5.83
161.63,5.80
163.24,5.77
164.88,5.74
166.53,5.71
168.19,5.68
169.87,5.65
171.57,5.62
173.29,5.59
175.02,5.55
176.77,5.52
178.54,5.49
180.32,5.45
182.13,5.42
183.95,5.39
185.79,5.35
187.65,5.32
189.52,5.28
191.42,5.25
193.33,5.21
195.27,5.18
197.22,5.14
199.19,5.10
201.18,5.07
203.19,5.03
205.23,4.99
207.28,4.95
209.35,4.91
211.44,4.88
213.56,4.84
215.69,4.80
217.85,4.76
220.03,4.72
222.23,4.68
224.45,4.64
226.70,4.60
228.96,4.56
231.25,4.53
233.57,4.49
235.90,4.46
238.26,4.43
240.64,4.41
243.05,4.38
245.48,4.35
247.93,4.33
250.41,4.30
252.92,4.26
255.45,4.23
258.00,4.19
260.58,4.15
263.19,4.11
265.82,4.07
268.48,4.03
271.16,3.98
273.87,3.94
276.61,3.90
279.38,3.86
282.17,3.81
284.99,3.77
287.84,3.72
290.72,3.68
293.63,3.64
296.57,3.59
299.53,3.55
302.53,3.50
305.55,3.46
308.61,3.41
311.69,3.37
314.81,3.32
317.96,3.28
321.14,3.23
324.35,3.19
327.59,3.14
330.87,3.09
334.18,3.05
337.52,3.00
340.90,2.96
344.30,2.91
347.75,2.86
351.23,2.81
354.74,2.77
358.28,2.72
361.87,2.67
365.49,2.63
369.14,2.58
372.83,2.53
376.56,2.48
380.33,2.43
384.13,2.38
387.97,2.34
391.85,2.29
395.77,2.24
399.73,2.19
403.72,2.14
407.76,2.09
411.84,2.04
415.96,1.99
420.12,1.94
424.32,1.89
428.56,1.84
432.85,1.79
437.18,1.74
441.55,1.69
445.96,1.64
450.42,1.58
454.93,1.53
459.48,1.48
464.07,1.42
468.71,1.36
473.40,1.31
478.13,1.25
482.91,1.19
487.74,1.13
492.62,1.07
497.55,1.01
502.52,0.96
507.55,0.90
512.62,0.84
517.75,0.79
522.93,0.75
528.16,0.70
533.44,0.65
538.77,0.61
544.16,0.57
549.60,0.53
555.10,0.50
560.65,0.46
566.25,0.42
571.92,0.38
577.64,0.35
583.41,0.31
589.25,0.27
595.14,0.23
601.09,0.19
607.10,0.15
613.17,0.11
619.30,0.08
625.50,0.04
631.75,0.00
