frequency,raw
20.00,4.93
20.20,4.97
20.40,5.01
20.61,5.05
20.81,5.09
21.02,5.13
21.23,5.17
21.44,5.21
21.66,5.25
21.87,5.30
22.09,5.34
22.31,5.38
22.54,5.42
22.76,5.46
22.99,5.50
23.22,5.54
23.45,5.57
23.69,5.61
23.92,5.65
24.16,5.68
24.40,5.72
24.65,5.76
24.89,5.79
25.14,5.83
25.39,5.86
25.65,5.90
25.91,5.93
26.16,5.96
26.43,5.99
26.69,6.02
26.96,6.05
27.23,6.08
27.50,6.11
27.77,6.14
28.05,6.17
28.33,6.19
28.62,6.22
28.90,6.24
29.19,6.27
29.48,6.29
29.78,6.32
30.08,6.34
30.38,6.36
30.68,6.39
30.99,6.41
31.30,6.43
31.61,6.45
31.93,6.47
32.24,6.49
32.57,6.51
32.89,6.53
33.22,6.55
33.55,6.56
33.89,6.58
34.23,6.60
34.57,6.61
34.92,6.63
35.27,6.65
35.62,6.66
35.97,6.67
36.33,6.69
36.70,6.70
37.06,6.71
37.43,6.72
37.81,6.73
38.19,6.74
38.57,6.75
38.95,6.76
39.34,6.77
39.74,6.78
40.14,6.79
40.54,6.79
40.94,6.80
41.35,6.81
41.76,6.81
42.18,6.82
42.60,6.82
43.03,6.83
43.46,6.83
43.90,6.83
44.33,6.84
44.78,6.84
45.23,6.84
45.68,6.84
46.13,6.84
46.60,6.84
47.06,6.84
47.53,6.84
48.01,6.84
48.49,6.84
48.97,6.83
49.46,6.83
49.96,6.83
50.46,6.82
50.96,6.82
51.47,6.81
51.99,6.80
52.51,6.80
53.03,6.79
53.56,6.78
54.10,6.77
54.64,6.77
55.18,6.76
55.74,6.75
56.29,6.74
56.86,6.73
57.42,6.72
58.00,6.71
58.58,6.70
59.16,6.69
59.76,6.67
60.35,6.66
60.96,6.65
61.57,6.63
62.18,6.62
62.80,6.60
63.43,6.59
64.07,6.57
64.71,6.56
65.35,6.54
66.01,6.52
66.67,6.50
67.33,6.48
68.01,6.46
68.69,6.44
69.37,6.41
70.07,6.39
70.77,6.36
71.48,6.34
72.19,6.31
72.91,6.29
73.64,6.26
74.38,6.24
75.12,6.21
75.87,6.19
76.63,6.16
77.40,6.13
78.17,6.10
78.95,6.08
79.74,6.05
80.54,6.02
81.35,5.99
82.16,5.96
82.98,5.93
83.81,5.89
84.65,5.86
85.50,5.83
86.35,5.80
87.22,5.76
88.09,5.73
88.97,5.69
89.86,5.66
90.76,5.62
91.66,5.58
92.58,5.55
93.51,5.51
94.44,5.47
95.39,5.43
96.34,5.39
97.30,5.35
98.28,5.31
99.26,5.27
100.25,5.22
101.25,5.18
102.27,5.14
103.29,5.09
104.32,5.05
105.37,5.00
106.42,4.96
107.48,4.91
108.56,4.87
109.64,4.82
110.74,4.77
111.85,4.72
112.97,4.68
114.10,4.63
115.24,4.58
116.39,4.53
117.55,4.48
118.73,4.43
119.92,4.37
121.12,4.32
122.33,4.27
123.55,4.22
124.79,4.16
126.03,4.11
127.29,4.05
128.57,4.00
129.85,3.94
131.15,3.89
132.46,3.83
133.79,3.78
135.12,3.72
136.48,3.66
137.84,3.61
139.22,3.55
140.61,3.49
142.02,3.43
143.44,3.38
144.87,3.32
146.32,3.26
147.78,3.20
149.26,3.14
150.75,3.09
