frequency,raw
20.00,8.90
20.20,8.90
20.40,8.89
20.61,8.89
20.81,8.89
21.02,8.88
21.23,8.88
21.44,8.87
21.66,8.87
21.87,8.87
22.09,8.87
22.31,8.87
22.54,8.86
22.76,8.86
22.99,8.86
23.22,8.86
23.45,8.86
23.69,8.86
23.92,8.85
24.16,8.85
24.40,8.84
24.65,8.83
24.89,8.83
25.14,8.82
25.39,8.81
25.65,8.80
25.91,8.79
26.16,8.78
26.43,8.77
26.69,8.76
26.96,8.75
27.23,8.74
27.50,8.74
27.77,8.73
28.05,8.72
28.33,8.71
28.62,8.69
28.90,8.68
29.19,8.67
29.48,8.65
29.78,8.64
30.08,8.62
30.38,8.61
30.68,8.60
30.99,8.59
31.30,8.58
31.61,8.57
31.93,8.56
32.24,8.54
32.57,8.53
32.89,8.51
33.22,8.50
33.55,8.48
33.89,8.46
34.23,8.45
34.57,8.43
34.92,8.42
35.27,8.40
35.62,8.39
35.97,8.37
36.33,8.35
36.70,8.33
37.06,8.30
37.43,8.28
37.81,8.26
38.19,8.24
38.57,8.22
38.95,8.20
39.34,8.18
39.74,8.16
40.14,8.14
40.54,8.11
40.94,8.09
41.35,8.07
41.76,8.04
42.18,8.02
42.60,7.99
43.03,7.97
43.46,7.94
43.90,7.92
44.33,7.89
44.78,7.86
45.23,7.83
45.68,7.81
46.13,7.78
46.60,7.75
47.06,7.72
47.53,7.69
48.01,7.66
48.49,7.63
48.97,7.60
49.46,7.57
49.96,7.53
50.46,7.50
50.96,7.47
51.47,7.44
51.99,7.41
52.51,7.37
53.03,7.34
53.56,7.30
54.10,7.27
54.64,7.23
55.18,7.20
55.74,7.17
56.29,7.13
56.86,7.09
57.42,7.05
58.00,7.01
58.58,6.97
59.16,6.93
59.76,6.90
60.35,6.85
60.96,6.81
61.57,6.77
62.18,6.73
62.80,6.69
63.43,6.65
64.07,6.61
64.71,6.56
65.35,6.51
66.01,6.47
66.67,6.42
67.33,6.37
68.01,6.33
68.69,6.29
69.37,6.24
70.07,6.19
70.77,6.13
71.48,6.08
72.19,6.04
72.91,6.00
73.64,5.94
74.38,5.88
75.12,5.82
75.87,5.78
76.63,5.73
77.40,5.69
78.17,5.63
78.95,5.56
79.74,5.50
80.54,5.45
81.35,5.39
82.16,5.34
