frequency,raw
20.00,6.62
20.20,6.68
20.40,6.74
20.61,6.80
20.81,6.85
21.02,6.91
21.23,6.96
21.44,7.01
21.66,7.06
21.87,7.12
22.09,7.16
22.31,7.21
22.54,7.26
22.76,7.31
22.99,7.35
23.22,7.40
23.45,7.44
23.69,7.49
23.92,7.53
24.16,7.57
24.40,7.61
24.65,7.65
24.89,7.68
25.14,7.72
25.39,7.76
25.65,7.79
25.91,7.83
26.16,7.86
26.43,7.89
26.69,7.92
26.96,7.95
27.23,7.98
27.50,8.01
27.77,8.04
28.05,8.06
28.33,8.09
28.62,8.11
28.90,8.13
29.19,8.16
29.48,8.18
29.78,8.20
30.08,8.22
30.38,8.23
30.68,8.25
30.99,8.27
31.30,8.28
31.61,8.29
31.93,8.31
32.24,8.32
32.57,8.33
32.89,8.34
33.22,8.35
33.55,8.36
33.89,8.37
34.23,8.38
34.57,8.38
34.92,8.39
35.27,8.39
35.62,8.40
35.97,8.40
36.33,8.40
36.70,8.40
37.06,8.40
37.43,8.40
37.81,8.40
38.19,8.40
38.57,8.40
38.95,8.39
39.34,8.39
39.74,8.38
40.14,8.38
40.54,8.37
40.94,8.36
41.35,8.35
41.76,8.34
42.18,8.33
42.60,8.32
43.03,8.31
43.46,8.30
43.90,8.28
44.33,8.27
44.78,8.26
45.23,8.24
45.68,8.23
46.13,8.21
46.60,8.19
47.06,8.17
47.53,8.15
48.01,8.13
48.49,8.11
48.97,8.09
49.46,8.07
49.96,8.04
50.46,8.02
50.96,7.99
51.47,7.97
51.99,7.94
52.51,7.92
53.03,7.89
53.56,7.86
54.10,7.83
54.64,7.81
55.18,7.78
55.74,7.75
56.29,7.72
56.86,7.69
57.42,7.65
58.00,7.62
58.58,7.59
59.16,7.55
59.76,7.52
60.35,7.48
60.96,7.45
61.57,7.41
62.18,7.38
62.80,7.34
63.43,7.30
64.07,7.26
64.71,7.22
65.35,7.18
66.01,7.14
66.67,7.10
67.33,7.06
68.01,7.02
68.69,6.98
69.37,6.94
70.07,6.90
70.77,6.85
71.48,6.81
72.19,6.76
72.91,6.72
73.64,6.67
74.38,6.63
75.12,6.59
75.87,6.54
76.63,6.50
77.40,6.45
78.17,6.40
78.95,6.36
79.74,6.31
80.54,6.26
81.35,6.21
82.16,6.17
82.98,6.12
83.81,6.07
84.65,6.02
85.50,5.96
86.35,5.91
87.22,5.86
88.09,5.81
88.97,5.76
89.86,5.70
90.76,5.65
91.66,5.60
92.58,5.55
93.51,5.49
94.44,5.44
