frequency,raw
20.00,2.37
20.20,2.37
20.40,2.38
20.61,2.39
20.81,2.41
21.02,2.43
21.23,2.45
21.44,2.46
21.66,2.48
21.87,2.49
22.09,2.51
22.31,2.53
22.54,2.55
22.76,2.58
22.99,2.60
23.22,2.62
23.45,2.64
23.69,2.65
23.92,2.65
24.16,2.66
24.40,2.67
24.65,2.67
24.89,2.69
25.14,2.71
25.39,2.73
25.65,2.76
25.91,2.79
26.16,2.81
26.43,2.83
26.69,2.84
26.96,2.85
27.23,2.84
27.50,2.84
27.77,2.83
28.05,2.84
28.33,2.85
28.62,2.86
28.90,2.89
29.19,2.91
29.48,2.94
29.78,2.95
30.08,2.97
30.38,2.97
30.68,2.96
30.99,2.96
31.30,2.96
31.61,2.95
31.93,2.96
32.24,2.96
32.57,2.97
32.89,2.97
33.22,2.97
33.55,2.98
33.89,2.99
34.23,3.00
34.57,3.02
34.92,3.04
35.27,3.05
35.62,3.07
35.97,3.08
36.33,3.09
36.70,3.09
37.06,3.09
37.43,3.08
37.81,3.07
38.19,3.05
38.57,3.03
38.95,3.02
39.34,3.00
39.74,2.98
40.14,2.97
40.54,2.95
40.94,2.94
41.35,2.92
41.76,2.91
42.18,2.90
42.60,2.89
43.03,2.89
43.46,2.89
43.90,2.89
44.33,2.89
44.78,2.89
45.23,2.89
45.68,2.90
46.13,2.90
46.60,2.90
47.06,2.90
47.53,2.91
48.01,2.91
48.49,2.92
48.97,2.92
49.46,2.93
49.96,2.92
50.46,2.91
50.96,2.89
51.47,2.87
51.99,2.83
52.51,2.80
53.03,2.77
53.56,2.74
54.10,2.72
54.64,2.70
55.18,2.69
55.74,2.69
56.29,2.69
56.86,2.69
57.42,2.68
58.00,2.67
58.58,2.65
59.16,2.64
59.76,2.63
60.35,2.62
60.96,2.60
61.57,2.58
62.18,2.56
62.80,2.53
63.43,2.51
64.07,2.50
64.71,2.51
65.35,2.51
66.01,2.52
66.67,2.52
67.33,2.52
68.01,2.51
68.69,2.48
69.37,2.44
70.07,2.39
70.77,2.35
71.48,2.31
72.19,2.28
72.91,2.25
73.64,2.23
74.38,2.20
75.12,2.19
75.87,2.17
76.63,2.14
77.40,2.12
78.17,2.09
78.95,2.06
79.74,2.04
80.54,2.02
81.35,1.99
82.16,1.96
82.98,1.93
83.81,1.90
84.65,1.88
85.50,1.85
86.35,1.82
87.22,1.80
88.09,1.77
88.97,1.74
89.86,1.71
90.76,1.68
91.66,1.65
92.58,1.63
93.51,1.60
94.44,1.57
95.39,1.54
96.34,1.51
97.30,1.48
98.28,1.45
99.26,1.42
100.25,1.39
101.25,1.36
102.27,1.33
103.29,1.30
104.32,1.27
105.37,1.24
106.42,1.22
107.48,1.19
108.56,1.17
109.64,1.14
110.74,1.11
111.85,1.07
112.97,1.03
114.10,0.99
115.24,0.95
116.39,0.91
117.55,0.88
118.73,0.84
119.92,0.81
121.12,0.77
122.33,0.74
123.55,0.70
124.79,0.67
126.03,0.63
127.29,0.60
128.57,0.56
129.85,0.52
131.15,0.48
132.46,0.44
133.79,0.40
135.12,0.36
136.48,0.33
137.84,0.29
139.22,0.26
140.61,0.22
142.02,0.19
143.44,0.15
144.87,0.12
146.32,0.08
147.78,0.05
149.26,0.01
150.75,-0.03
152.26,-0.07
153.78,-0.11
155.32,-0.15
156.88,-0.18
158.44,-0.22
160.03,-0.26
161.63,-0.30
163.24,-0.34
164.88,-0.38
166.53,-0.42
168.19,-0.46
169.87,-0.50
171.57,-0.54
173.29,-0.58
175.02,-0.62
176.77,-0.67
178.54,-0.72
180.32,-0.77
182.13,-0.82
183.95,-0.86
185.79,-0.90
187.65,-0.95
189.52,-0.99
191.42,-1.02
193.33,-1.05
195.27,-1.08
197.22,-1.09
199.19,-1.11
201.18,-1.13
203.19,-1.15
205.23,-1.17
207.28,-1.19
209.35,-1.21
211.44,-1.24
213.56,-1.26
215.69,-1.30
217.85,-1.33
220.03,-1.36
222.23,-1.39
224.45,-1.42
226.70,-1.45
228.96,-1.48
231.25,-1.51
233.57,-1.54
235.90,-1.58
238.26,-1.61
240.64,-1.64
243.05,-1.67
245.48,-1.70
247.93,-1.73
250.41,-1.76
252.92,-1.80
255.45,-1.83
258.00,-1.86
260.58,-1.89
263.19,-1.92
265.82,-1.95
268.48,-1.98
271.16,-2.01
273.87,-2.04
276.61,-2.07
279.38,-2.10
282.17,-2.13
284.99,-2.16
287.84,-2.19
290.72,-2.22
293.63,-2.25
296.57,-2.27
299.53,-2.30
302.53,-2.32
305.55,-2.35
308.61,-2.37
311.69,-2.39
314.81,-2.42
317.96,-2.44
321.14,-2.46
324.35,-2.47
327.59,-2.49
330.87,-2.51
334.18,-2.52
337.52,-2.54
340.90,-2.55
344.30,-2.56
347.75,-2.58
351.23,-2.59
354.74,-2.60
358.28,-2.62
361.87,-2.63
365.49,-2.65
369.14,-2.66
372.83,-2.67
376.56,-2.69
380.33,-2.70
384.13,-2.71
387.97,-2.72
391.85,-2.73
395.77,-2.74
399.73,-2.75
403.72,-2.75
407.76,-2.76
411.84,-2.77
415.96,-2.78
420.12,-2.78
424.32,-2.79
428.56,-2.79
432.85,-2.79
437.18,-2.80
441.55,-2.80
445.96,-2.80
450.42,-2.80
454.93,-2.80
459.48,-2.79
464.07,-2.79
468.71,-2.79
473.40,-2.79
478.13,-2.78
482.91,-2.78
487.74,-2.78
492.62,-2.77
497.55,-2.77
502.52,-2.76
507.55,-2.76
