frequency,raw
20.00,8.31
20.20,8.35
20.40,8.38
20.61,8.42
20.81,8.46
21.02,8.50
21.23,8.54
21.44,8.57
21.66,8.61
21.87,8.64
22.09,8.68
22.31,8.71
22.54,8.74
22.76,8.77
22.99,8.80
23.22,8.83
23.45,8.86
23.69,8.90
23.92,8.93
24.16,8.96
24.40,8.99
24.65,9.02
24.89,9.05
25.14,9.08
25.39,9.10
25.65,9.13
25.91,9.16
26.16,9.19
26.43,9.21
26.69,9.24
26.96,9.26
27.23,9.29
27.50,9.31
27.77,9.34
28.05,9.36
28.33,9.38
28.62,9.40
28.90,9.43
29.19,9.45
29.48,9.47
29.78,9.49
30.08,9.51
30.38,9.53
30.68,9.55
30.99,9.57
31.30,9.59
31.61,9.61
31.93,9.62
32.24,9.64
32.57,9.65
32.89,9.67
33.22,9.68
33.55,9.69
33.89,9.71
34.23,9.72
34.57,9.74
34.92,9.75
35.27,9.77
35.62,9.78
35.97,9.79
36.33,9.80
36.70,9.81
37.06,9.82
37.43,9.83
37.81,9.84
38.19,9.85
38.57,9.86
38.95,9.87
39.34,9.88
39.74,9.89
40.14,9.90
40.54,9.91
40.94,9.92
41.35,9.93
41.76,9.93
42.18,9.94
42.60,9.95
43.03,9.95
43.46,9.96
43.90,9.96
44.33,9.97
44.78,9.97
45.23,9.98
45.68,9.98
46.13,9.98
46.60,9.98
47.06,9.98
47.53,9.98
48.01,9.98
48.49,9.97
48.97,9.97
49.46,9.97
49.96,9.97
50.46,9.97
50.96,9.97
51.47,9.97
51.99,9.97
52.51,9.96
53.03,9.96
53.56,9.96
54.10,9.96
54.64,9.96
55.18,9.96
55.74,9.96
56.29,9.96
56.86,9.96
57.42,9.96
58.00,9.96
58.58,9.96
59.16,9.96
59.76,9.96
60.35,9.96
60.96,9.95
61.57,9.95
62.18,9.95
62.80,9.94
63.43,9.94
64.07,9.93
64.71,9.93
65.35,9.92
66.01,9.91
66.67,9.91
67.33,9.90
68.01,9.89
68.69,9.88
69.37,9.87
70.07,9.86
70.77,9.85
71.48,9.84
72.19,9.83
72.91,9.82
73.64,9.81
74.38,9.80
75.12,9.79
75.87,9.78
76.63,9.77
77.40,9.75
78.17,9.74
78.95,9.73
79.74,9.71
80.54,9.70
81.35,9.69
82.16,9.67
82.98,9.66
83.81,9.64
84.65,9.63
85.50,9.61
86.35,9.59
87.22,9.58
88.09,9.56
88.97,9.54
89.86,9.52
90.76,9.50
91.66,9.48
92.58,9.47
93.51,9.45
94.44,9.43
95.39,9.41
96.34,9.39
97.30,9.37
98.28,9.35
99.26,9.33
100.25,9.30
101.25,9.28
102.27,9.26
103.29,9.24
104.32,9.21
105.37,9.19
106.42,9.16
107.48,9.13
108.56,9.11
109.64,9.08
110.74,9.05
111.85,9.01
112.97,8.98
114.10,8.94
115.24,8.91
116.39,8.87
117.55,8.83
118.73,8.79
119.92,8.76
121.12,8.72
122.33,8.69
123.55,8.66
124.79,8.63
126.03,8.61
127.29,8.59
128.57,8.59
129.85,8.60
131.15,8.61
132.46,8.63
133.79,8.66
135.12,8.69
136.48,8.72
137.84,8.74
139.22,8.75
140.61,8.75
142.02,8.74
143.44,8.73
144.87,8.71
146.32,8.68
147.78,8.65
149.26,8.62
150.75,8.58
152.26,8.55
153.78,8.52
155.32,8.48
156.88,8.45
158.44,8.41
160.03,8.38
161.63,8.35
163.24,8.31
164.88,8.28
166.53,8.25
168.19,8.21
169.87,8.18
171.57,8.14
173.29,8.10
175.02,8.06
176.77,8.03
178.54,7.99
180.32,7.95
182.13,7.91
183.95,7.87
185.79,7.83
187.65,7.80
189.52,7.76
191.42,7.72
193.33,7.68
195.27,7.64
197.22,7.60
199.19,7.56
201.18,7.52
203.19,7.48
205.23,7.44
207.28,7.40
209.35,7.36
211.44,7.33
213.56,7.29
215.69,7.25
217.85,7.22
220.03,7.18
222.23,7.14
224.45,7.11
226.70,7.07
228.96,7.03
231.25,6.99
233.57,6.94
235.90,6.90
238.26,6.85
240.64,6.81
243.05,6.76
245.48,6.71
247.93,6.66
250.41,6.61
252.92,6.57
255.45,6.52
258.00,6.47
260.58,6.43
263.19,6.38
265.82,6.34
268.48,6.29
271.16,6.25
273.87,6.21
276.61,6.16
279.38,6.12
282.17,6.07
284.99,6.02
287.84,5.97
290.72,5.92
293.63,5.87
296.57,5.81
299.53,5.76
302.53,5.71
305.55,5.65
308.61,5.60
311.69,5.54
314.81,5.49
317.96,5.43
321.14,5.38
324.35,5.32
327.59,5.27
330.87,5.21
334.18,5.15
337.52,5.10
340.90,5.04
344.30,4.98
347.75,4.93
351.23,4.87
354.74,4.81
358.28,4.76
361.87,4.70
365.49,4.64
369.14,4.58
372.83,4.52
376.56,4.47
380.33,4.41
384.13,4.35
387.97,4.29
391.85,4.23
395.77,4.17
399.73,4.11
403.72,4.06
407.76,4.00
411.84,3.94
415.96,3.88
420.12,3.82
424.32,3.76
428.56,3.70
432.85,3.64
437.18,3.58
441.55,3.52
445.96,3.47
450.42,3.41
454.93,3.35
459.48,3.29
464.07,3.23
468.71,3.17
473.40,3.11
478.13,3.05
482.91,2.99
487.74,2.93
492.62,2.87
497.55,2.81
502.52,2.75
507.55,2.69
512.62,2.63
517.75,2.57
522.93,2.51
528.16,2.45
533.44,2.39
538.77,2.33
544.16,2.27
549.60,2.22
555.10,2.16
560.65,2.10
566.25,2.04
571.92,1.98
577.64,1.92
583.41,1.87
589.25,1.81
595.14,1.75
601.09,1.70
607.10,1.64
613.17,1.58
619.30,1.52
625.50,1.47
631.75,1.41
638.07,1.36
644.45,1.30
650.89,1.25
657.40,1.20
663.98,1.15
670.62,1.09
677.32,1.04
684.10,0.99
690.94,0.94
697.85,0.89
704.83,0.84
711.87,0.79
718.99,0.74
726.18,0.70
733.44,0.65
740.78,0.61
748.19,0.56
755.67,0.52
763.23,0.48
770.86,0.44
778.57,0.40
786.35,0.36
794.22,0.32
802.16,0.29
810.18,0.25
818.28,0.22
826.46,0.19
834.73,0.16
843.08,0.14
851.51,0.11
860.02,0.09
868.62,0.07
877.31,0.05
886.08,0.03
894.94,0.02
903.89,0.00
912.93,-0.01
922.06,-0.02
931.28,-0.02
940.59,-0.03
950.00,-0.03
959.50,-0.03
969.09,-0.02
978.78,-0.02
988.57,-0.01
998.46,-0.00
1008.44,0.01
1018.53,0.02
1028.71,0.04
1039.00,0.05
1049.39,0.07
1059.88,0.09
1070.48,0.11
1081.19,0.13
1092.00,0.16
1102.92,0.19
1113.95,0.21
1125.09,0.25
1136.34,0.28
1147.70,0.31
1159.18,0.35
1170.77,0.39
1182.48,0.44
