frequency,raw
20.00,3.10
20.20,3.14
20.40,3.18
20.61,3.22
20.81,3.26
21.02,3.30
21.23,3.34
21.44,3.39
21.66,3.44
21.87,3.49
22.09,3.52
22.31,3.54
22.54,3.54
22.76,3.53
22.99,3.51
23.22,3.49
23.45,3.48
23.69,3.50
23.92,3.54
24.16,3.61
24.40,3.71
24.65,3.82
24.89,3.93
25.14,4.03
25.39,4.13
25.65,4.20
25.91,4.26
26.16,4.30
26.43,4.34
26.69,4.36
26.96,4.39
27.23,4.41
27.50,4.42
27.77,4.44
28.05,4.45
28.33,4.47
28.62,4.49
28.90,4.51
29.19,4.53
29.48,4.55
29.78,4.56
30.08,4.58
30.38,4.59
30.68,4.60
30.99,4.61
31.30,4.63
31.61,4.65
31.93,4.68
32.24,4.70
32.57,4.72
32.89,4.75
33.22,4.78
33.55,4.81
33.89,4.84
34.23,4.87
34.57,4.90
34.92,4.92
35.27,4.94
35.62,4.96
35.97,4.98
36.33,4.99
36.70,5.00
37.06,5.01
37.43,5.03
37.81,5.04
38.19,5.05
38.57,5.06
38.95,5.07
39.34,5.08
39.74,5.09
40.14,5.10
40.54,5.10
40.94,5.10
41.35,5.11
41.76,5.12
42.18,5.15
42.60,5.17
43.03,5.19
43.46,5.20
43.90,5.21
44.33,5.21
44.78,5.20
45.23,5.20
45.68,5.21
46.13,5.21
46.60,5.21
47.06,5.20
47.53,5.19
48.01,5.18
48.49,5.18
48.97,5.18
49.46,5.19
49.96,5.21
50.46,5.22
50.96,5.24
51.47,5.25
51.99,5.25
52.51,5.25
53.03,5.25
53.56,5.25
54.10,5.26
54.64,5.27
55.18,5.27
55.74,5.28
56.29,5.28
56.86,5.27
57.42,5.27
58.00,5.26
58.58,5.24
59.16,5.22
59.76,5.20
60.35,5.19
60.96,5.18
61.57,5.17
62.18,5.16
62.80,5.16
63.43,5.17
64.07,5.18
64.71,5.19
65.35,5.18
66.01,5.17
66.67,5.16
67.33,5.16
68.01,5.17
68.69,5.17
69.37,5.16
70.07,5.15
70.77,5.12
71.48,5.11
72.19,5.10
72.91,5.11
73.64,5.10
74.38,5.09
75.12,5.06
75.87,5.03
76.63,5.02
77.40,5.02
78.17,5.04
78.95,5.06
79.74,5.07
80.54,5.07
81.35,5.05
82.16,5.02
82.98,4.99
83.81,4.95
84.65,4.93
85.50,4.91
86.35,4.90
87.22,4.91
88.09,4.92
88.97,4.92
