frequency,raw
20.00,7.81
20.20,7.81
20.40,7.80
20.61,7.80
20.81,7.78
21.02,7.77
21.23,7.76
21.44,7.74
21.66,7.73
21.87,7.72
22.09,7.70
22.31,7.69
22.54,7.67
22.76,7.66
22.99,7.64
23.22,7.63
23.45,7.61
23.69,7.59
23.92,7.57
24.16,7.55
24.40,7.54
24.65,7.52
24.89,7.50
25.14,7.49
25.39,7.47
25.65,7.46
25.91,7.45
26.16,7.43
26.43,7.42
26.69,7.40
26.96,7.38
27.23,7.36
27.50,7.34
27.77,7.32
28.05,7.30
28.33,7.28
28.62,7.27
28.90,7.25
29.19,7.24
29.48,7.22
29.78,7.21
30.08,7.19
30.38,7.18
30.68,7.16
30.99,7.14
31.30,7.12
31.61,7.10
31.93,7.08
32.24,7.06
32.57,7.03
32.89,7.01
33.22,6.98
33.55,6.96
33.89,6.93
34.23,6.91
34.57,6.88
34.92,6.86
35.27,6.84
35.62,6.82
35.97,6.80
36.33,6.78
36.70,6.75
37.06,6.73
37.43,6.71
37.81,6.68
38.19,6.66
38.57,6.64
38.95,6.62
39.34,6.59
39.74,6.56
40.14,6.54
40.54,6.51
40.94,6.49
41.35,6.46
41.76,6.43
42.18,6.41
42.60,6.38
43.03,6.36
43.46,6.33
43.90,6.30
44.33,6.27
44.78,6.24
45.23,6.22
45.68,6.19
46.13,6.16
46.60,6.13
47.06,6.11
47.53,6.08
48.01,6.05
48.49,6.02
48.97,5.99
49.46,5.96
49.96,5.93
50.46,5.90
50.96,5.87
51.47,5.84
51.99,5.81
52.51,5.78
53.03,5.75
53.56,5.72
54.10,5.69
54.64,5.66
55.18,5.63
55.74,5.59
56.29,5.56
56.86,5.53
57.42,5.50
58.00,5.46
58.58,5.43
59.16,5.40
59.76,5.36
60.35,5.33
60.96,5.30
61.57,5.26
62.18,5.23
62.80,5.20
63.43,5.16
64.07,5.13
64.71,5.09
65.35,5.05
66.01,5.01
66.67,4.98
67.33,4.94
68.01,4.91
68.69,4.87
69.37,4.84
70.07,4.80
70.77,4.76
71.48,4.72
72.19,4.68
72.91,4.65
73.64,4.61
74.38,4.57
75.12,4.53
75.87,4.49
76.63,4.45
77.40,4.41
78.17,4.37
78.95,4.33
79.74,4.29
80.54,4.24
81.35,4.20
82.16,4.16
82.98,4.12
83.81,4.08
84.65,4.03
85.50,3.99
86.35,3.95
87.22,3.91
88.09,3.87
88.97,3.83
89.86,3.78
90.76,3.74
91.66,3.70
92.58,3.66
93.51,3.61
94.44,3.57
95.39,3.53
96.34,3.48
97.30,3.44
98.28,3.40
99.26,3.35
100.25,3.31
101.25,3.27
102.27,3.22
103.29,3.18
104.32,3.13
105.37,3.09
106.42,3.04
107.48,3.00
108.56,2.95
109.64,2.91
110.74,2.86
111.85,2.82
112.97,2.78
114.10,2.73
115.24,2.69
116.39,2.64
117.55,2.59
118.73,2.55
119.92,2.50
121.12,2.46
122.33,2.41
123.55,2.37
124.79,2.32
126.03,2.28
127.29,2.23
128.57,2.18
129.85,2.14
131.15,2.09
132.46,2.04
133.79,2.00
135.12,1.95
136.48,1.90
137.84,1.86
139.22,1.81
140.61,1.77
142.02,1.72
143.44,1.68
144.87,1.63
146.32,1.59
147.78,1.54
149.26,1.50
150.75,1.45
152.26,1.40
153.78,1.36
155.32,1.31
156.88,1.27
158.44,1.22
160.03,1.18
161.63,1.13
163.24,1.09
164.88,1.04
166.53,1.00
168.19,0.95
169.87,0.91
171.57,0.86
173.29,0.81
175.02,0.76
176.77,0.71
178.54,0.67
180.32,0.62
182.13,0.57
183.95,0.52
185.79,0.47
