frequency,raw
20.00,9.77
20.20,9.77
20.40,9.76
20.61,9.76
20.81,9.76
21.02,9.76
21.23,9.75
21.44,9.75
21.66,9.75
21.87,9.75
22.09,9.75
22.31,9.75
22.54,9.74
22.76,9.74
22.99,9.73
23.22,9.72
23.45,9.70
23.69,9.67
23.92,9.64
24.16,9.61
24.40,9.57
24.65,9.54
24.89,9.51
25.14,9.49
25.39,9.47
25.65,9.47
25.91,9.47
26.16,9.47
26.43,9.47
26.69,9.48
26.96,9.49
27.23,9.50
27.50,9.52
27.77,9.53
28.05,9.56
28.33,9.58
28.62,9.59
28.90,9.61
29.19,9.61
29.48,9.61
29.78,9.61
30.08,9.60
30.38,9.60
30.68,9.61
30.99,9.61
31.30,9.61
31.61,9.60
31.93,9.58
32.24,9.53
32.57,9.47
32.89,9.39
33.22,9.34
33.55,9.30
33.89,9.29
34.23,9.27
34.57,9.26
34.92,9.22
35.27,9.17
35.62,9.12
35.97,9.08
36.33,9.08
36.70,9.11
37.06,9.15
37.43,9.20
37.81,9.20
38.19,9.19
38.57,9.15
38.95,9.11
39.34,9.08
39.74,9.06
40.14,9.06
40.54,9.06
40.94,9.05
41.35,9.03
41.76,9.01
42.18,9.00
42.60,8.98
43.03,8.96
43.46,8.93
43.90,8.91
44.33,8.88
44.78,8.85
45.23,8.83
45.68,8.81
46.13,8.79
46.60,8.77
47.06,8.75
47.53,8.73
48.01,8.70
48.49,8.68
48.97,8.66
49.46,8.63
49.96,8.61
50.46,8.60
50.96,8.58
51.47,8.57
51.99,8.55
52.51,8.53
53.03,8.51
53.56,8.48
54.10,8.45
54.64,8.42
55.18,8.39
55.74,8.35
56.29,8.33
56.86,8.30
57.42,8.27
58.00,8.25
58.58,8.23
59.16,8.22
59.76,8.22
60.35,8.23
60.96,8.24
61.57,8.24
62.18,8.21
62.80,8.16
63.43,8.09
64.07,8.02
64.71,7.94
65.35,7.88
66.01,7.82
66.67,7.79
67.33,7.77
68.01,7.76
68.69,7.76
69.37,7.75
70.07,7.73
70.77,7.70
71.48,7.67
72.19,7.63
72.91,7.60
73.64,7.58
74.38,7.56
75.12,7.54
75.87,7.51
76.63,7.48
77.40,7.44
78.17,7.40
78.95,7.35
79.74,7.30
80.54,7.26
81.35,7.21
82.16,7.17
82.98,7.13
83.81,7.08
84.65,7.05
85.50,7.01
86.35,6.99
87.22,6.99
88.09,7.00
88.97,7.00
89.86,6.99
90.76,6.93
91.66,6.84
92.58,6.73
93.51,6.63
94.44,6.55
95.39,6.48
96.34,6.42
97.30,6.36
98.28,6.30
99.26,6.25
100.25,6.20
101.25,6.15
