frequency,raw
20.00,12.36
20.20,12.36
20.40,12.35
20.61,12.34
20.81,12.32
21.02,12.31
21.23,12.29
21.44,12.28
21.66,12.27
21.87,12.26
22.09,12.25
22.31,12.25
22.54,12.25
22.76,12.24
22.99,12.24
23.22,12.24
23.45,12.24
23.69,12.24
23.92,12.25
24.16,12.25
24.40,12.24
24.65,12.23
24.89,12.22
25.14,12.19
25.39,12.16
25.65,12.11
25.91,12.06
26.16,12.01
26.43,11.96
26.69,11.92
26.96,11.89
27.23,11.87
27.50,11.87
27.77,11.86
28.05,11.86
28.33,11.86
28.62,11.85
28.90,11.84
29.19,11.83
29.48,11.81
29.78,11.80
30.08,11.79
30.38,11.78
30.68,11.77
30.99,11.76
31.30,11.74
31.61,11.71
31.93,11.68
32.24,11.64
32.57,11.60
32.89,11.56
33.22,11.53
33.55,11.51
33.89,11.49
34.23,11.48
34.57,11.46
34.92,11.44
35.27,11.43
35.62,11.41
35.97,11.39
36.33,11.37
36.70,11.36
37.06,11.34
37.43,11.31
37.81,11.29
38.19,11.26
38.57,11.23
38.95,11.21
39.34,11.18
39.74,11.16
40.14,11.13
40.54,11.10
40.94,11.07
41.35,11.04
41.76,11.00
42.18,10.97
42.60,10.94
43.03,10.92
43.46,10.89
43.90,10.86
44.33,10.83
44.78,10.81
45.23,10.78
45.68,10.75
46.13,10.72
46.60,10.69
47.06,10.65
47.53,10.62
48.01,10.59
48.49,10.56
48.97,10.53
49.46,10.49
49.96,10.46
50.46,10.43
50.96,10.40
51.47,10.37
51.99,10.34
52.51,10.31
53.03,10.27
53.56,10.24
54.10,10.21
54.64,10.17
55.18,10.14
55.74,10.11
56.29,10.07
56.86,10.04
57.42,10.00
58.00,9.96
58.58,9.92
59.16,9.88
59.76,9.84
60.35,9.79
60.96,9.75
61.57,9.71
62.18,9.67
62.80,9.64
63.43,9.61
64.07,9.58
64.71,9.54
65.35,9.50
66.01,9.46
66.67,9.42
67.33,9.38
68.01,9.34
68.69,9.29
69.37,9.25
70.07,9.20
70.77,9.16
71.48,9.11
72.19,9.07
72.91,9.02
73.64,8.98
74.38,8.93
75.12,8.89
75.87,8.84
76.63,8.80
77.40,8.75
78.17,8.70
78.95,8.65
79.74,8.60
80.54,8.56
81.35,8.51
82.16,8.46
82.98,8.41
83.81,8.36
84.65,8.31
85.50,8.26
86.35,8.21
87.22,8.15
88.09,8.08
88.97,8.02
89.86,7.96
90.76,7.92
91.66,7.89
92.58,7.86
93.51,7.82
94.44,7.78
95.39,7.73
96.34,7.68
97.30,7.63
98.28,7.58
99.26,7.53
100.25,7.48
101.25,7.43
102.27,7.38
103.29,7.33
104.32,7.28
105.37,7.23
106.42,7.18
107.48,7.12
108.56,7.07
109.64,7.02
110.74,6.96
111.85,6.91
112.97,6.85
114.10,6.80
115.24,6.74
116.39,6.68
117.55,6.63
118.73,6.57
119.92,6.52
121.12,6.46
122.33,6.41
123.55,6.35
124.79,6.30
126.03,6.24
127.29,6.18
128.57,6.13
129.85,6.08
131.15,6.02
132.46,5.97
133.79,5.92
135.12,5.86
136.48,5.81
137.84,5.75
139.22,5.70
140.61,5.64
142.02,5.59
143.44,5.54
144.87,5.49
146.32,5.44
147.78,5.39
149.26,5.35
150.75,5.31
152.26,5.27
153.78,5.24
155.32,5.22
156.88,5.19
158.44,5.17
160.03,5.15
161.63,5.12
163.24,5.10
164.88,5.10
166.53,5.11
168.19,5.12
169.87,5.13
171.57,5.10
173.29,5.05
175.02,4.99
176.77,4.90
178.54,4.81
180.32,4.72
182.13,4.63
183.95,4.56
185.79,4.50
187.65,4.45
189.52,4.40
191.42,4.36
193.33,4.31
195.27,4.27
197.22,4.22
199.19,4.16
201.18,4.10
203.19,4.03
205.23,3.95
207.28,3.87
209.35,3.79
211.44,3.70
213.56,3.61
215.69,3.52
217.85,3.43
220.03,3.34
222.23,3.26
224.45,3.17
226.70,3.09
228.96,3.01
231.25,2.93
233.57,2.86
235.90,2.79
238.26,2.72
240.64,2.65
243.05,2.59
245.48,2.52
247.93,2.46
250.41,2.39
252.92,2.33
255.45,2.27
258.00,2.20
260.58,2.14
263.19,2.08
265.82,2.01
268.48,1.95
271.16,1.89
273.87,1.82
276.61,1.75
279.38,1.69
282.17,1.61
284.99,1.54
287.84,1.46
290.72,1.38
293.63,1.29
296.57,1.20
299.53,1.09
302.53,0.97
305.55,0.83
308.61,0.68
311.69,0.52
314.81,0.36
317.96,0.21
321.14,0.08
324.35,-0.02
327.59,-0.06
330.87,-0.08
334.18,-0.07
337.52,-0.04
340.90,-0.02
344.30,0.01
347.75,0.01
351.23,0.01
354.74,-0.00
358.28,-0.03
361.87,-0.07
365.49,-0.13
369.14,-0.19
372.83,-0.27
376.56,-0.37
380.33,-0.47
384.13,-0.59
387.97,-0.74
391.85,-0.92
395.77,-1.11
399.73,-1.36
403.72,-1.66
407.76,-1.99
411.84,-2.32
415.96,-2.52
420.12,-2.55
424.32,-2.43
428.56,-2.14
432.85,-1.73
437.18,-1.19
441.55,-0.50
445.96,0.12
450.42,0.63
454.93,0.92
459.48,0.99
464.07,1.01
468.71,0.95
473.40,0.88
478.13,0.80
482.91,0.73
487.74,0.63
492.62,0.52
497.55,0.41
502.52,0.28
507.55,0.16
