frequency,raw
20.00,7.97
20.20,7.98
20.40,7.99
20.61,8.00
20.81,8.00
21.02,8.00
21.23,8.00
21.44,7.99
21.66,7.99
21.87,7.98
22.09,7.99
22.31,7.99
22.54,8.00
22.76,8.01
22.99,8.03
23.22,8.04
23.45,8.05
23.69,8.06
23.92,8.07
24.16,8.08
24.40,8.08
24.65,8.08
24.89,8.09
25.14,8.09
25.39,8.09
25.65,8.10
25.91,8.10
26.16,8.10
26.43,8.10
26.69,8.11
26.96,8.11
27.23,8.10
27.50,8.10
27.77,8.10
28.05,8.10
28.33,8.09
28.62,8.09
28.90,8.08
29.19,8.08
29.48,8.07
29.78,8.07
30.08,8.06
30.38,8.05
30.68,8.05
30.99,8.04
31.30,8.02
31.61,8.01
31.93,8.00
32.24,8.00
32.57,7.99
32.89,7.98
33.22,7.97
33.55,7.97
33.89,7.96
34.23,7.95
34.57,7.93
34.92,7.92
35.27,7.91
35.62,7.90
35.97,7.88
36.33,7.87
36.70,7.85
37.06,7.84
37.43,7.82
37.81,7.80
38.19,7.79
38.57,7.77
38.95,7.75
39.34,7.74
39.74,7.72
40.14,7.70
40.54,7.68
40.94,7.66
41.35,7.63
41.76,7.61
42.18,7.59
42.60,7.57
43.03,7.54
43.46,7.52
43.90,7.50
44.33,7.48
44.78,7.45
45.23,7.43
45.68,7.40
46.13,7.38
46.60,7.35
47.06,7.32
47.53,7.30
48.01,7.27
48.49,7.25
48.97,7.22
49.46,7.19
49.96,7.16
50.46,7.14
50.96,7.11
51.47,7.08
51.99,7.04
52.51,7.00
53.03,6.97
53.56,6.94
54.10,6.91
54.64,6.88
55.18,6.84
55.74,6.80
56.29,6.77
56.86,6.74
57.42,6.70
58.00,6.66
58.58,6.62
59.16,6.58
59.76,6.55
60.35,6.51
60.96,6.48
61.57,6.44
62.18,6.40
62.80,6.36
63.43,6.31
64.07,6.27
64.71,6.23
65.35,6.18
66.01,6.14
66.67,6.10
67.33,6.06
68.01,6.01
68.69,5.95
69.37,5.91
70.07,5.87
70.77,5.85
71.48,5.81
72.19,5.77
72.91,5.72
73.64,5.66
74.38,5.60
75.12,5.54
75.87,5.51
76.63,5.48
77.40,5.46
78.17,5.44
78.95,5.41
79.74,5.36
80.54,5.29
81.35,5.22
82.16,5.15
82.98,5.08
83.81,5.03
84.65,4.98
85.50,4.94
86.35,4.90
87.22,4.85
88.09,4.81
88.97,4.76
89.86,4.71
90.76,4.65
91.66,4.60
92.58,4.54
93.51,4.48
94.44,4.43
95.39,4.37
96.34,4.31
97.30,4.25
98.28,4.19
99.26,4.13
100.25,4.07
101.25,4.02
102.27,3.97
103.29,3.92
104.32,3.87
105.37,3.82
106.42,3.76
107.48,3.70
108.56,3.63
109.64,3.56
110.74,3.50
111.85,3.43
112.97,3.37
114.10,3.31
115.24,3.26
116.39,3.20
117.55,3.14
118.73,3.08
119.92,3.01
121.12,2.95
122.33,2.88
123.55,2.82
124.79,2.76
126.03,2.69
127.29,2.63
128.57,2.57
129.85,2.50
131.15,2.44
132.46,2.37
133.79,2.31
135.12,2.25
136.48,2.18
137.84,2.12
139.22,2.05
140.61,1.99
142.02,1.92
143.44,1.86
144.87,1.79
146.32,1.73
147.78,1.66
149.26,1.60
150.75,1.53
152.26,1.46
153.78,1.40
155.32,1.33
156.88,1.26
158.44,1.20
160.03,1.13
161.63,1.06
163.24,0.99
164.88,0.93
166.53,0.86
168.19,0.79
169.87,0.73
171.57,0.66
173.29,0.59
175.02,0.52
176.77,0.45
178.54,0.38
180.32,0.31
182.13,0.24
183.95,0.18
185.79,0.11
187.65,0.04
189.52,-0.03
191.42,-0.10
193.33,-0.18
195.27,-0.25
197.22,-0.32
199.19,-0.40
201.18,-0.47
203.19,-0.55
205.23,-0.62
207.28,-0.70
209.35,-0.78
211.44,-0.86
213.56,-0.94
215.69,-1.02
217.85,-1.10
220.03,-1.17
222.23,-1.25
224.45,-1.32
226.70,-1.38
228.96,-1.44
231.25,-1.48
233.57,-1.51
235.90,-1.52
238.26,-1.51
240.64,-1.50
243.05,-1.48
245.48,-1.46
247.93,-1.46
250.41,-1.46
252.92,-1.49
255.45,-1.53
258.00,-1.58
260.58,-1.64
263.19,-1.71
265.82,-1.77
268.48,-1.83
271.16,-1.89
273.87,-1.94
276.61,-1.98
279.38,-2.01
282.17,-2.03
284.99,-2.05
287.84,-2.07
290.72,-2.09
293.63,-2.13
296.57,-2.17
299.53,-2.21
302.53,-2.26
305.55,-2.31
308.61,-2.36
311.69,-2.42
314.81,-2.48
317.96,-2.53
321.14,-2.59
324.35,-2.65
327.59,-2.71
330.87,-2.76
334.18,-2.82
337.52,-2.87
340.90,-2.92
344.30,-2.97
347.75,-3.02
351.23,-3.07
354.74,-3.12
358.28,-3.17
361.87,-3.21
365.49,-3.26
369.14,-3.30
372.83,-3.34
376.56,-3.39
380.33,-3.43
384.13,-3.47
387.97,-3.51
391.85,-3.55
395.77,-3.59
399.73,-3.63
403.72,-3.66
407.76,-3.70
411.84,-3.73
415.96,-3.77
420.12,-3.80
424.32,-3.83
428.56,-3.86
432.85,-3.89
437.18,-3.92
441.55,-3.95
445.96,-3.98
450.42,-4.00
454.93,-4.03
459.48,-4.05
464.07,-4.08
468.71,-4.10
473.40,-4.12
478.13,-4.14
482.91,-4.16
487.74,-4.18
492.62,-4.20
497.55,-4.21
502.52,-4.23
507.55,-4.24
512.62,-4.25
517.75,-4.26
522.93,-4.27
528.16,-4.28
533.44,-4.29
538.77,-4.30
544.16,-4.30
549.60,-4.30
555.10,-4.31
560.65,-4.31
566.25,-4.30
571.92,-4.30
577.64,-4.30
583.41,-4.29
589.25,-4.28
595.14,-4.27
601.09,-4.26
607.10,-4.25
613.17,-4.23
