frequency,raw
20.00,9.30
20.20,9.32
20.40,9.34
20.61,9.36
20.81,9.41
21.02,9.46
21.23,9.50
21.44,9.55
21.66,9.60
21.87,9.64
22.09,9.68
22.31,9.73
22.54,9.77
22.76,9.81
22.99,9.85
23.22,9.88
23.45,9.92
23.69,9.95
23.92,9.98
24.16,10.01
24.40,10.04
24.65,10.07
24.89,10.11
25.14,10.15
25.39,10.19
25.65,10.22
25.91,10.26
26.16,10.28
26.43,10.30
26.69,10.32
26.96,10.34
27.23,10.35
27.50,10.37
27.77,10.39
28.05,10.42
28.33,10.44
28.62,10.47
28.90,10.50
29.19,10.52
29.48,10.55
29.78,10.58
30.08,10.61
30.38,10.64
30.68,10.67
30.99,10.70
31.30,10.73
31.61,10.75
31.93,10.77
32.24,10.79
32.57,10.81
32.89,10.83
33.22,10.86
33.55,10.89
33.89,10.91
34.23,10.93
34.57,10.95
34.92,10.96
35.27,10.96
35.62,10.97
35.97,10.98
36.33,10.98
36.70,10.99
37.06,11.00
37.43,11.01
37.81,11.02
38.19,11.03
38.57,11.03
38.95,11.03
39.34,11.04
39.74,11.04
40.14,11.04
40.54,11.05
40.94,11.05
41.35,11.06
41.76,11.07
42.18,11.07
42.60,11.08
43.03,11.08
43.46,11.08
43.90,11.08
44.33,11.08
44.78,11.08
45.23,11.08
45.68,11.08
46.13,11.08
46.60,11.08
47.06,11.07
47.53,11.07
48.01,11.06
48.49,11.06
48.97,11.05
49.46,11.04
49.96,11.04
50.46,11.03
50.96,11.02
51.47,11.01
51.99,11.00
52.51,10.99
53.03,10.98
53.56,10.97
54.10,10.96
54.64,10.95
55.18,10.94
55.74,10.93
56.29,10.91
56.86,10.90
57.42,10.88
58.00,10.87
58.58,10.84
59.16,10.82
59.76,10.80
60.35,10.79
60.96,10.78
61.57,10.77
62.18,10.77
62.80,10.78
63.43,10.79
64.07,10.81
64.71,10.80
65.35,10.78
66.01,10.74
66.67,10.69
67.33,10.64
68.01,10.59
68.69,10.55
69.37,10.52
70.07,10.48
70.77,10.45
71.48,10.42
72.19,10.40
72.91,10.37
73.64,10.35
74.38,10.32
75.12,10.29
75.87,10.26
76.63,10.24
77.40,10.22
78.17,10.19
78.95,10.17
79.74,10.14
80.54,10.12
81.35,10.09
82.16,10.06
82.98,10.03
83.81,10.00
84.65,9.97
85.50,9.95
86.35,9.94
87.22,9.96
88.09,10.00
88.97,10.03
89.86,10.05
90.76,9.98
91.66,9.89
92.58,9.77
93.51,9.67
94.44,9.59
95.39,9.52
96.34,9.47
97.30,9.42
98.28,9.38
99.26,9.33
100.25,9.29
101.25,9.25
102.27,9.20
103.29,9.16
104.32,9.12
105.37,9.07
106.42,9.03
107.48,8.99
108.56,8.94
109.64,8.90
110.74,8.85
111.85,8.81
112.97,8.77
114.10,8.73
115.24,8.69
116.39,8.65
117.55,8.61
118.73,8.56
119.92,8.52
121.12,8.48
122.33,8.44
123.55,8.39
124.79,8.34
126.03,8.28
127.29,8.22
128.57,8.16
129.85,8.10
131.15,8.05
132.46,8.01
133.79,7.97
135.12,7.93
136.48,7.88
137.84,7.83
139.22,7.78
140.61,7.73
142.02,7.67
143.44,7.61
144.87,7.56
146.32,7.50
147.78,7.45
149.26,7.39
150.75,7.34
152.26,7.28
153.78,7.22
155.32,7.17
156.88,7.11
158.44,7.05
160.03,6.99
161.63,6.93
163.24,6.87
164.88,6.81
166.53,6.75
168.19,6.68
169.87,6.62
171.57,6.55
173.29,6.49
175.02,6.43
176.77,6.37
178.54,6.32
180.32,6.26
182.13,6.20
183.95,6.14
185.79,6.08
187.65,6.03
189.52,5.98
191.42,5.93
193.33,5.88
195.27,5.82
197.22,5.76
199.19,5.70
201.18,5.64
203.19,5.57
205.23,5.51
207.28,5.45
209.35,5.39
211.44,5.33
213.56,5.28
215.69,5.24
