frequency,raw
20.00,5.23
20.20,5.23
20.40,5.23
20.61,5.23
20.81,5.22
21.02,5.22
21.23,5.22
21.44,5.22
21.66,5.21
21.87,5.21
22.09,5.21
22.31,5.21
22.54,5.20
22.76,5.20
22.99,5.19
23.22,5.18
23.45,5.17
23.69,5.16
23.92,5.16
24.16,5.15
24.40,5.15
24.65,5.15
24.89,5.15
25.14,5.15
25.39,5.15
25.65,5.14
25.91,5.14
26.16,5.14
26.43,5.14
26.69,5.14
26.96,5.14
27.23,5.14
27.50,5.13
27.77,5.13
28.05,5.12
28.33,5.11
28.62,5.11
28.90,5.10
29.19,5.10
29.48,5.10
29.78,5.10
30.08,5.10
30.38,5.10
30.68,5.10
30.99,5.09
31.30,5.08
31.61,5.07
31.93,5.05
32.24,5.04
32.57,5.03
32.89,5.02
33.22,5.01
33.55,4.99
33.89,4.98
34.23,4.97
34.57,4.97
34.92,4.96
35.27,4.96
35.62,4.95
35.97,4.95
36.33,4.95
36.70,4.95
37.06,4.95
37.43,4.96
37.81,4.96
38.19,4.96
38.57,4.95
38.95,4.94
39.34,4.93
39.74,4.92
40.14,4.91
40.54,4.89
40.94,4.88
41.35,4.87
41.76,4.87
42.18,4.86
42.60,4.86
43.03,4.86
43.46,4.85
43.90,4.85
44.33,4.84
44.78,4.83
45.23,4.82
45.68,4.80
46.13,4.79
46.60,4.78
47.06,4.77
47.53,4.76
48.01,4.75
48.49,4.74
48.97,4.74
49.46,4.74
49.96,4.74
50.46,4.73
50.96,4.73
51.47,4.72
51.99,4.71
52.51,4.70
53.03,4.69
53.56,4.68
54.10,4.67
54.64,4.67
55.18,4.66
55.74,4.66
56.29,4.65
56.86,4.65
57.42,4.64
58.00,4.63
58.58,4.62
59.16,4.60
59.76,4.59
60.35,4.58
60.96,4.57
61.57,4.56
62.18,4.55
62.80,4.54
63.43,4.53
64.07,4.52
64.71,4.51
65.35,4.50
66.01,4.50
66.67,4.49
67.33,4.48
68.01,4.47
68.69,4.46
69.37,4.45
70.07,4.44
70.77,4.43
71.48,4.42
72.19,4.41
72.91,4.39
73.64,4.38
74.38,4.37
75.12,4.36
75.87,4.34
76.63,4.33
77.40,4.31
78.17,4.30
78.95,4.28
79.74,4.27
80.54,4.26
81.35,4.24
82.16,4.23
82.98,4.21
83.81,4.20
84.65,4.18
85.50,4.17
86.35,4.17
87.22,4.16
88.09,4.15
88.97,4.14
89.86,4.13
90.76,4.11
91.66,4.09
92.58,4.07
93.51,4.06
94.44,4.04
95.39,4.02
96.34,4.01
97.30,3.99
98.28,3.98
99.26,3.96
100.25,3.94
101.25,3.93
102.27,3.91
103.29,3.89
104.32,3.88
105.37,3.86
106.42,3.84
107.48,3.83
108.56,3.81
109.64,3.79
110.74,3.77
111.85,3.75
112.97,3.73
114.10,3.71
115.24,3.69
116.39,3.67
117.55,3.65
118.73,3.63
119.92,3.60
121.12,3.58
122.33,3.56
123.55,3.53
124.79,3.51
126.03,3.49
127.29,3.46
128.57,3.43
129.85,3.40
131.15,3.37
132.46,3.35
133.79,3.32
135.12,3.29
136.48,3.27
137.84,3.24
139.22,3.21
140.61,3.18
142.02,3.14
143.44,3.11
144.87,3.08
146.32,3.04
147.78,3.00
149.26,2.96
150.75,2.92
152.26,2.89
153.78,2.88
155.32,2.88
156.88,2.90
158.44,2.92
160.03,2.93
161.63,2.93
163.24,2.93
164.88,2.91
166.53,2.88
168.19,2.85
169.87,2.82
171.57,2.79
173.29,2.76
175.02,2.73
176.77,2.70
178.54,2.68
180.32,2.65
182.13,2.61
183.95,2.58
185.79,2.54
187.65,2.50
189.52,2.46
191.42,2.42
193.33,2.39
195.27,2.35
197.22,2.31
199.19,2.28
201.18,2.24
203.19,2.20
205.23,2.17
