frequency,raw
20.00,14.97
20.20,14.97
20.40,14.97
20.61,14.96
20.81,14.95
21.02,14.95
21.23,14.94
21.44,14.93
21.66,14.92
21.87,14.91
22.09,14.91
22.31,14.90
22.54,14.89
22.76,14.88
22.99,14.86
23.22,14.85
23.45,14.83
23.69,14.82
23.92,14.81
24.16,14.79
24.40,14.78
24.65,14.77
24.89,14.76
25.14,14.75
25.39,14.74
25.65,14.74
25.91,14.73
26.16,14.71
26.43,14.70
26.69,14.69
26.96,14.67
27.23,14.65
27.50,14.63
27.77,14.62
28.05,14.60
28.33,14.58
28.62,14.56
28.90,14.54
29.19,14.52
29.48,14.51
29.78,14.49
30.08,14.47
30.38,14.45
30.68,14.43
30.99,14.41
31.30,14.38
31.61,14.36
31.93,14.33
32.24,14.30
32.57,14.28
32.89,14.25
33.22,14.23
33.55,14.21
33.89,14.18
34.23,14.16
34.57,14.14
34.92,14.11
35.27,14.09
35.62,14.06
35.97,14.03
36.33,14.00
36.70,13.97
37.06,13.95
37.43,13.92
37.81,13.89
38.19,13.86
38.57,13.83
38.95,13.80
39.34,13.77
39.74,13.74
40.14,13.71
40.54,13.68
40.94,13.65
41.35,13.62
41.76,13.59
42.18,13.55
42.60,13.52
43.03,13.49
43.46,13.45
43.90,13.42
44.33,13.39
44.78,13.35
45.23,13.32
45.68,13.28
46.13,13.24
46.60,13.21
47.06,13.17
47.53,13.14
48.01,13.10
48.49,13.06
48.97,13.03
49.46,12.99
49.96,12.95
50.46,12.91
50.96,12.87
51.47,12.83
51.99,12.79
52.51,12.75
53.03,12.71
53.56,12.67
54.10,12.63
54.64,12.58
55.18,12.54
55.74,12.50
56.29,12.46
56.86,12.42
57.42,12.38
58.00,12.33
58.58,12.29
59.16,12.25
59.76,12.20
60.35,12.16
60.96,12.11
61.57,12.07
62.18,12.02
62.80,11.97
63.43,11.93
64.07,11.88
64.71,11.83
65.35,11.79
66.01,11.74
66.67,11.69
67.33,11.64
68.01,11.59
68.69,11.54
69.37,11.49
70.07,11.44
70.77,11.39
71.48,11.34
72.19,11.29
72.91,11.24
73.64,11.19
74.38,11.14
75.12,11.09
75.87,11.04
76.63,10.99
77.40,10.94
78.17,10.89
78.95,10.83
79.74,10.78
80.54,10.73
81.35,10.68
82.16,10.63
82.98,10.57
83.81,10.52
84.65,10.47
85.50,10.41
86.35,10.36
87.22,10.30
88.09,10.24
88.97,10.18
89.86,10.12
90.76,10.07
91.66,10.01
92.58,9.96
93.51,9.91
94.44,9.85
95.39,9.79
96.34,9.73
97.30,9.68
98.28,9.62
99.26,9.56
100.25,9.50
101.25,9.44
102.27,9.39
103.29,9.33
104.32,9.27
105.37,9.21
106.42,9.15
107.48,9.09
108.56,9.03
109.64,8.97
110.74,8.91
111.85,8.84
112.97,8.78
114.10,8.72
115.24,8.66
116.39,8.60
117.55,8.54
118.73,8.47
119.92,8.41
121.12,8.35
122.33,8.29
123.55,8.22
124.79,8.16
126.03,8.10
127.29,8.03
128.57,7.97
129.85,7.91
131.15,7.84
132.46,7.78
133.79,7.72
135.12,7.65
136.48,7.59
137.84,7.53
139.22,7.46
140.61,7.40
142.02,7.34
143.44,7.27
144.87,7.21
146.32,7.15
147.78,7.08
149.26,7.02
150.75,6.96
152.26,6.90
153.78,6.84
155.32,6.78
156.88,6.72
158.44,6.67
160.03,6.61
161.63,6.56
163.24,6.50
164.88,6.45
166.53,6.39
168.19,6.34
169.87,6.28
171.57,6.22
173.29,6.16
175.02,6.10
176.77,6.03
178.54,5.97
180.32,5.90
182.13,5.84
183.95,5.77
185.79,5.70
187.65,5.63
189.52,5.56
191.42,5.49
193.33,5.42
195.27,5.35
197.22,5.28
199.19,5.21
201.18,5.14
203.19,5.07
205.23,5.00
207.28,4.93
209.35,4.87
211.44,4.80
213.56,4.73
215.69,4.67
217.85,4.61
220.03,4.55
222.23,4.50
224.45,4.44
226.70,4.40
228.96,4.35
231.25,4.30
233.57,4.26
235.90,4.21
238.26,4.16
240.64,4.10
243.05,4.05
245.48,4.00
247.93,3.94
250.41,3.89
252.92,3.83
255.45,3.77
258.00,3.71
260.58,3.65
263.19,3.59
265.82,3.53
268.48,3.47
271.16,3.40
273.87,3.34
276.61,3.27
279.38,3.21
282.17,3.15
284.99,3.08
287.84,3.02
290.72,2.96
293.63,2.90
296.57,2.83
299.53,2.77
302.53,2.71
305.55,2.65
308.61,2.59
311.69,2.53
314.81,2.47
317.96,2.41
321.14,2.35
324.35,2.29
327.59,2.23
330.87,2.17
334.18,2.11
337.52,2.05
340.90,2.00
344.30,1.94
347.75,1.88
351.23,1.82
354.74,1.77
358.28,1.71
361.87,1.65
365.49,1.60
369.14,1.54
372.83,1.49
376.56,1.43
380.33,1.38
384.13,1.32
387.97,1.27
391.85,1.22
395.77,1.16
399.73,1.11
403.72,1.06
407.76,1.00
411.84,0.95
415.96,0.90
420.12,0.85
424.32,0.80
428.56,0.75
432.85,0.70
437.18,0.65
441.55,0.61
445.96,0.56
450.42,0.51
454.93,0.46
459.48,0.42
464.07,0.37
468.71,0.32
473.40,0.28
478.13,0.23
482.91,0.19
487.74,0.14
492.62,0.10
497.55,0.05
502.52,0.01
507.55,-0.03
512.62,-0.07
517.75,-0.11
