frequency,raw
20.00,9.58
20.20,9.58
20.40,9.58
20.61,9.58
20.81,9.58
21.02,9.58
21.23,9.57
21.44,9.57
21.66,9.57
21.87,9.56
22.09,9.56
22.31,9.56
22.54,9.55
22.76,9.55
22.99,9.54
23.22,9.54
23.45,9.53
23.69,9.52
23.92,9.51
24.16,9.50
24.40,9.50
24.65,9.49
24.89,9.49
25.14,9.48
25.39,9.47
25.65,9.46
25.91,9.45
26.16,9.43
26.43,9.42
26.69,9.40
26.96,9.39
27.23,9.37
27.50,9.35
27.77,9.33
28.05,9.31
28.33,9.29
28.62,9.27
28.90,9.25
29.19,9.23
29.48,9.21
29.78,9.18
30.08,9.16
30.38,9.14
30.68,9.11
30.99,9.09
31.30,9.06
31.61,9.04
31.93,9.01
32.24,8.99
32.57,8.96
32.89,8.93
33.22,8.91
33.55,8.88
33.89,8.85
34.23,8.82
34.57,8.79
34.92,8.76
35.27,8.73
35.62,8.70
35.97,8.67
36.33,8.63
36.70,8.60
37.06,8.56
37.43,8.53
37.81,8.49
38.19,8.46
38.57,8.42
38.95,8.38
39.34,8.35
39.74,8.31
40.14,8.27
40.54,8.23
40.94,8.19
41.35,8.15
41.76,8.11
42.18,8.07
42.60,8.03
43.03,7.99
43.46,7.95
43.90,7.91
44.33,7.86
44.78,7.82
45.23,7.78
45.68,7.73
46.13,7.69
46.60,7.64
47.06,7.59
47.53,7.55
48.01,7.50
48.49,7.45
48.97,7.40
49.46,7.35
49.96,7.30
50.46,7.26
50.96,7.21
51.47,7.16
51.99,7.11
52.51,7.06
53.03,7.02
53.56,6.96
54.10,6.91
54.64,6.86
55.18,6.81
55.74,6.75
56.29,6.70
56.86,6.65
57.42,6.59
58.00,6.54
58.58,6.49
59.16,6.43
59.76,6.38
60.35,6.33
60.96,6.27
61.57,6.22
62.18,6.16
62.80,6.11
63.43,6.05
64.07,6.00
64.71,5.94
65.35,5.88
66.01,5.83
66.67,5.77
67.33,5.72
68.01,5.66
68.69,5.60
69.37,5.54
70.07,5.49
70.77,5.43
71.48,5.37
72.19,5.31
72.91,5.26
73.64,5.20
74.38,5.14
75.12,5.09
75.87,5.03
76.63,4.97
77.40,4.91
78.17,4.85
78.95,4.80
79.74,4.74
80.54,4.68
81.35,4.62
82.16,4.57
82.98,4.51
83.81,4.45
84.65,4.39
85.50,4.33
86.35,4.28
87.22,4.22
88.09,4.16
88.97,4.11
89.86,4.05
90.76,3.99
91.66,3.93
92.58,3.88
93.51,3.82
94.44,3.77
95.39,3.72
96.34,3.66
97.30,3.61
98.28,3.56
99.26,3.51
100.25,3.45
101.25,3.40
102.27,3.35
103.29,3.29
104.32,3.23
105.37,3.18
106.42,3.12
107.48,3.07
108.56,3.02
109.64,2.97
110.74,2.91
111.85,2.86
