frequency,raw
20.00,7.45
20.20,7.44
20.40,7.44
20.61,7.43
20.81,7.41
21.02,7.40
21.23,7.39
21.44,7.38
21.66,7.37
21.87,7.37
22.09,7.37
22.31,7.37
22.54,7.37
22.76,7.37
22.99,7.37
23.22,7.35
23.45,7.34
23.69,7.32
23.92,7.30
24.16,7.29
24.40,7.28
24.65,7.27
24.89,7.26
25.14,7.26
25.39,7.25
25.65,7.24
25.91,7.24
26.16,7.23
26.43,7.22
26.69,7.22
26.96,7.22
27.23,7.22
27.50,7.23
27.77,7.23
28.05,7.22
28.33,7.19
28.62,7.16
28.90,7.11
29.19,7.05
29.48,6.98
29.78,6.94
30.08,6.91
30.38,6.90
30.68,6.92
30.99,6.96
31.30,7.00
31.61,7.04
31.93,7.07
32.24,7.08
32.57,7.08
32.89,7.07
33.22,7.05
33.55,7.03
33.89,6.99
34.23,6.95
34.57,6.90
34.92,6.86
35.27,6.82
35.62,6.78
35.97,6.76
36.33,6.73
36.70,6.71
37.06,6.69
37.43,6.67
37.81,6.66
38.19,6.64
38.57,6.63
38.95,6.62
39.34,6.60
39.74,6.59
40.14,6.57
40.54,6.55
40.94,6.53
41.35,6.50
41.76,6.48
42.18,6.46
42.60,6.44
43.03,6.42
43.46,6.40
43.90,6.37
44.33,6.35
44.78,6.33
45.23,6.30
45.68,6.27
46.13,6.25
46.60,6.22
47.06,6.20
47.53,6.18
48.01,6.15
48.49,6.13
48.97,6.11
49.46,6.09
49.96,6.06
50.46,6.04
50.96,6.02
51.47,6.00
51.99,5.98
52.51,5.96
53.03,5.93
53.56,5.89
54.10,5.86
54.64,5.81
55.18,5.77
55.74,5.73
56.29,5.70
56.86,5.67
57.42,5.64
58.00,5.61
58.58,5.59
59.16,5.57
59.76,5.54
60.35,5.52
60.96,5.49
61.57,5.46
62.18,5.43
62.80,5.40
63.43,5.36
64.07,5.33
64.71,5.29
65.35,5.26
66.01,5.23
66.67,5.20
67.33,5.17
68.01,5.14
68.69,5.11
69.37,5.08
70.07,5.04
70.77,5.01
71.48,4.97
72.19,4.94
72.91,4.91
73.64,4.87
74.38,4.83
75.12,4.80
75.87,4.76
76.63,4.73
77.40,4.70
78.17,4.68
78.95,4.65
79.74,4.62
80.54,4.58
81.35,4.54
82.16,4.49
82.98,4.44
83.81,4.39
84.65,4.35
85.50,4.31
86.35,4.27
87.22,4.24
88.09,4.20
88.97,4.17
89.86,4.13
90.76,4.09
91.66,4.04
92.58,3.99
93.51,3.95
94.44,3.90
95.39,3.86
96.34,3.82
97.30,3.78
98.28,3.73
99.26,3.69
100.25,3.64
101.25,3.60
102.27,3.55
103.29,3.51
104.32,3.46
105.37,3.42
106.42,3.38
107.48,3.34
108.56,3.30
109.64,3.25
110.74,3.21
111.85,3.17
112.97,3.12
114.10,3.08
115.24,3.04
116.39,2.99
117.55,2.95
118.73,2.90
119.92,2.85
121.12,2.81
122.33,2.76
123.55,2.71
124.79,2.67
126.03,2.62
127.29,2.58
128.57,2.54
129.85,2.49
131.15,2.44
132.46,2.39
133.79,2.33
135.12,2.28
