frequency,raw
20.00,9.75
20.20,9.75
20.40,9.75
20.61,9.75
20.81,9.76
21.02,9.76
21.23,9.77
21.44,9.78
21.66,9.79
21.87,9.80
22.09,9.81
22.31,9.82
22.54,9.83
22.76,9.83
22.99,9.83
23.22,9.83
23.45,9.82
23.69,9.81
23.92,9.79
24.16,9.78
24.40,9.78
24.65,9.77
24.89,9.76
25.14,9.76
25.39,9.76
25.65,9.76
25.91,9.76
26.16,9.76
26.43,9.75
26.69,9.75
26.96,9.74
27.23,9.73
27.50,9.71
27.77,9.69
28.05,9.67
28.33,9.65
28.62,9.62
28.90,9.60
29.19,9.59
29.48,9.57
29.78,9.56
30.08,9.55
30.38,9.54
30.68,9.53
30.99,9.52
31.30,9.51
31.61,9.50
31.93,9.49
32.24,9.47
32.57,9.45
32.89,9.43
33.22,9.41
33.55,9.39
33.89,9.37
34.23,9.34
34.57,9.32
34.92,9.30
35.27,9.28
35.62,9.26
35.97,9.23
36.33,9.21
36.70,9.19
37.06,9.16
37.43,9.14
37.81,9.11
38.19,9.08
38.57,9.06
38.95,9.03
39.34,9.00
39.74,8.97
40.14,8.93
40.54,8.90
40.94,8.87
41.35,8.84
41.76,8.81
42.18,8.78
42.60,8.74
43.03,8.71
43.46,8.68
43.90,8.65
44.33,8.61
44.78,8.58
45.23,8.55
45.68,8.51
46.13,8.47
46.60,8.44
47.06,8.40
47.53,8.36
48.01,8.32
48.49,8.28
48.97,8.24
49.46,8.20
49.96,8.16
50.46,8.13
50.96,8.09
51.47,8.05
51.99,8.01
52.51,7.97
53.03,7.93
53.56,7.88
54.10,7.84
54.64,7.80
55.18,7.76
55.74,7.71
56.29,7.67
56.86,7.62
57.42,7.58
58.00,7.53
58.58,7.49
59.16,7.44
59.76,7.39
60.35,7.35
60.96,7.30
61.57,7.25
62.18,7.21
62.80,7.16
63.43,7.11
64.07,7.07
64.71,7.02
65.35,6.97
66.01,6.92
66.67,6.88
67.33,6.83
68.01,6.78
68.69,6.73
69.37,6.68
70.07,6.64
70.77,6.58
71.48,6.53
72.19,6.48
72.91,6.43
73.64,6.38
74.38,6.33
75.12,6.27
75.87,6.22
76.63,6.17
77.40,6.12
78.17,6.08
78.95,6.03
79.74,5.98
80.54,5.93
81.35,5.87
82.16,5.81
82.98,5.75
83.81,5.69
84.65,5.64
85.50,5.60
86.35,5.56
87.22,5.52
88.09,5.47
88.97,5.41
89.86,5.36
90.76,5.30
91.66,5.24
92.58,5.18
93.51,5.13
94.44,5.08
95.39,5.02
96.34,4.97
97.30,4.92
98.28,4.86
99.26,4.81
100.25,4.75
101.25,4.70
102.27,4.65
103.29,4.59
104.32,4.54
105.37,4.49
106.42,4.44
107.48,4.39
108.56,4.33
109.64,4.29
110.74,4.24
111.85,4.19
112.97,4.13
114.10,4.07
115.24,4.02
116.39,3.96
117.55,3.90
118.73,3.85
119.92,3.79
121.12,3.74
122.33,3.69
123.55,3.64
124.79,3.59
126.03,3.55
127.29,3.50
128.57,3.45
129.85,3.39
131.15,3.34
132.46,3.28
133.79,3.22
135.12,3.16
136.48,3.10
137.84,3.04
139.22,2.98
140.61,2.92
142.02,2.86
143.44,2.80
144.87,2.74
146.32,2.68
147.78,2.62
149.26,2.56
150.75,2.51
152.26,2.46
153.78,2.40
155.32,2.36
156.88,2.32
158.44,2.30
160.03,2.30
161.63,2.32
163.24,2.34
164.88,2.37
166.53,2.38
168.19,2.38
169.87,2.37
171.57,2.35
173.29,2.31
175.02,2.28
176.77,2.23
178.54,2.18
180.32,2.12
182.13,2.07
183.95,2.02
185.79,1.97
187.65,1.93
189.52,1.88
191.42,1.83
193.33,1.78
195.27,1.74
197.22,1.69
199.19,1.64
201.18,1.60
203.19,1.55
205.23,1.51
207.28,1.46
209.35,1.42
211.44,1.38
213.56,1.34
215.69,1.31
217.85,1.27
220.03,1.23
222.23,1.19
224.45,1.14
226.70,1.10
228.96,1.06
231.25,1.02
233.57,0.99
235.90,0.96
238.26,0.92
240.64,0.89
243.05,0.85
245.48,0.82
247.93,0.78
250.41,0.75
252.92,0.72
255.45,0.68
258.00,0.65
260.58,0.61
263.19,0.58
265.82,0.54
268.48,0.51
271.16,0.47
273.87,0.44
276.61,0.40
279.38,0.37
282.17,0.33
284.99,0.30
287.84,0.27
290.72,0.25
293.63,0.22
296.57,0.20
299.53,0.19
302.53,0.17
305.55,0.15
308.61,0.13
311.69,0.11
314.81,0.08
317.96,0.06
321.14,0.03
324.35,0.01
327.59,-0.02
330.87,-0.04
334.18,-0.06
337.52,-0.08
340.90,-0.10
344.30,-0.12
347.75,-0.14
351.23,-0.16
354.74,-0.18
358.28,-0.20
361.87,-0.23
365.49,-0.25
369.14,-0.28
372.83,-0.30
376.56,-0.32
380.33,-0.35
384.13,-0.37
387.97,-0.39
391.85,-0.42
395.77,-0.44
399.73,-0.46
403.72,-0.48
407.76,-0.50
411.84,-0.52
415.96,-0.54
420.12,-0.56
424.32,-0.58
428.56,-0.60
432.85,-0.62
437.18,-0.64
441.55,-0.66
445.96,-0.68
450.42,-0.69
454.93,-0.71
459.48,-0.73
464.07,-0.74
468.71,-0.76
473.40,-0.78
478.13,-0.79
482.91,-0.81
487.74,-0.82
492.62,-0.84
497.55,-0.85
502.52,-0.87
507.55,-0.88
512.62,-0.89
517.75,-0.91
522.93,-0.92
528.16,-0.93
533.44,-0.94
538.77,-0.96
544.16,-0.97
549.60,-0.98
555.10,-0.99
560.65,-1.00
566.25,-1.01
571.92,-1.02
577.64,-1.03
583.41,-1.04
589.25,-1.05
595.14,-1.06
601.09,-1.06
607.10,-1.07
613.17,-1.08
619.30,-1.09
625.50,-1.09
631.75,-1.10
638.07,-1.10
644.45,-1.11
650.89,-1.11
657.40,-1.11
663.98,-1.12
670.62,-1.12
677.32,-1.12
684.10,-1.12
690.94,-1.12
697.85,-1.12
704.83,-1.12
711.87,-1.11
718.99,-1.11
726.18,-1.10
733.44,-1.10
740.78,-1.09
748.19,-1.08
755.67,-1.08
763.23,-1.07
770.86,-1.05
778.57,-1.04
786.35,-1.03
794.22,-1.01
802.16,-0.99
810.18,-0.97
818.28,-0.95
826.46,-0.92
834.73,-0.90
843.08,-0.87
851.51,-0.84
860.02,-0.81
868.62,-0.77
877.31,-0.74
886.08,-0.70
894.94,-0.65
903.89,-0.61
912.93,-0.56
922.06,-0.51
931.28,-0.46
940.59,-0.40
950.00,-0.34
959.50,-0.28
969.09,-0.22
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.30
1049.39,0.38
1059.88,0.46
1070.48,0.53
1081.19,0.61
1092.00,0.68
1102.92,0.75
1113.95,0.81
1125.09,0.86
1136.34,0.91
1147.70,0.96
1159.18,1.01
1170.77,1.07
1182.48,1.14
1194.30,1.21
1206.25,1.29
1218.31,1.36
1230.49,1.44
1242.80,1.51
1255.22,1.58
1267.78,1.65
1280.45,1.71
1293.26,1.78
1306.19,1.84
1319.25,1.90
1332.45,1.96
1345.77,2.02
1359.23,2.07
1372.82,2.13
1386.55,2.18
1400.41,2.23
1414.42,2.29
1428.56,2.34
1442.85,2.39
1457.28,2.44
1471.85,2.49
1486.57,2.54
1501.43,2.59
1516.45,2.65
1531.61,2.70
1546.93,2.75
1562.40,2.80
1578.02,2.85
1593.80,2.91
1609.74,2.96
1625.84,3.02
1642.10,3.07
1658.52,3.13
1675.10,3.19
1691.85,3.25
1708.77,3.31
1725.86,3.37
1743.12,3.43
1760.55,3.49
1778.15,3.55
1795.94,3.62
1813.90,3.69
1832.03,3.75
1850.36,3.82
1868.86,3.89
1887.55,3.96
1906.42,4.03
1925.49,4.10
1944.74,4.18
1964.19,4.25
1983.83,4.33
2003.67,4.40
2023.71,4.48
2043.94,4.56
2064.38,4.64
2085.03,4.72
2105.88,4.80
2126.94,4.88
2148.20,4.97
2169.69,5.05
2191.38,5.14
2213.30,5.22
2235.43,5.31
2257.78,5.40
2280.36,5.49
2303.17,5.58
2326.20,5.67
2349.46,5.76
2372.95,5.85
2396.68,5.94
2420.65,6.03
2444.86,6.12
2469.31,6.21
2494.00,6.30
2518.94,6.38
2544.13,6.47
2569.57,6.55
2595.27,6.64
2621.22,6.72
2647.43,6.80
2673.90,6.88
2700.64,6.95
2727.65,7.03
2754.93,7.09
2782.48,7.16
2810.30,7.22
2838.40,7.27
2866.79,7.32
2895.46,7.36
2924.41,7.40
2953.65,7.44
2983.19,7.47
3013.02,7.50
3043.15,7.54
3073.58,7.58
3104.32,7.63
3135.36,7.69
3166.72,7.75
3198.38,7.81
3230.37,7.86
3262.67,7.91
3295.30,7.95
3328.25,7.97
3361.53,7.99
3395.15,7.99
3429.10,7.98
3463.39,7.96
3498.03,7.93
3533.01,7.89
3568.34,7.84
3604.02,7.79
3640.06,7.73
3676.46,7.67
3713.22,7.61
3750.36,7.54
3787.86,7.46
3825.74,7.39
3864.00,7.31
3902.64,7.22
3941.66,7.14
3981.08,7.05
4020.89,6.96
4061.10,6.88
4101.71,6.78
4142.73,6.69
4184.15,6.60
4226.00,6.50
4268.26,6.40
4310.94,6.29
4354.05,6.18
4397.59,6.07
4441.56,5.95
4485.98,5.82
4530.84,5.70
4576.15,5.58
4621.91,5.46
4668.13,5.35
4714.81,5.26
4761.96,5.18
4809.58,5.11
4857.67,5.05
4906.25,5.00
4955.31,4.96
5004.87,4.94
5054.91,4.92
5105.46,4.92
5156.52,4.92
5208.08,4.94
5260.16,4.97
5312.77,5.02
5365.89,5.08
5419.55,5.16
5473.75,5.26
5528.49,5.37
5583.77,5.51
5639.61,5.66
5696.00,5.82
5752.96,5.98
5810.49,6.13
5868.60,6.26
5927.28,6.35
5986.56,6.40
6046.42,6.38
6106.89,6.28
6167.96,6.11
6229.64,5.87
6291.93,5.57
6354.85,5.23
6418.40,4.88
6482.58,4.52
6547.41,4.20
6612.88,3.89
6679.01,3.62
6745.80,3.40
6813.26,3.21
6881.39,3.06
6950.21,2.96
7019.71,2.89
7089.91,2.85
7160.81,2.86
7232.41,2.88
7304.74,2.92
7377.79,2.99
7451.56,3.07
7526.08,3.17
7601.34,3.27
7677.35,3.38
7754.13,3.49
7831.67,3.59
7909.98,3.69
7989.08,3.77
8068.98,3.83
8149.67,3.86
8231.16,3.87
8313.47,3.82
8396.61,3.74
8480.57,3.61
8565.38,3.41
8651.03,3.16
8737.54,2.86
8824.92,2.50
8913.17,2.09
9002.30,1.66
9092.32,1.19
9183.25,0.69
9275.08,0.18
9367.83,-0.34
9461.51,-0.87
9556.12,-1.39
9651.68,-1.91
9748.20,-2.42
9845.68,-2.90
9944.14,-3.38
10043.58,-3.84
10144.02,-4.29
10245.46,-4.71
10347.91,-5.12
10451.39,-5.51
10555.91,-5.88
10661.46,-6.23
10768.08,-6.56
10875.76,-6.85
10984.52,-7.09
11094.36,-7.29
11205.31,-7.42
11317.36,-7.40
11430.53,-7.30
11544.84,-7.04
11660.29,-6.67
11776.89,-6.25
11894.66,-5.77
12013.60,-5.28
12133.74,-4.82
12255.08,-4.41
12377.63,-4.02
12501.41,-3.65
12626.42,-3.29
12752.68,-2.89
12880.21,-2.41
13009.01,-1.89
13139.10,-1.37
13270.49,-0.69
13403.20,0.04
13537.23,0.87
13672.60,1.73
13809.33,2.59
