frequency,raw
20.00,4.70
20.20,4.72
20.40,4.73
20.61,4.75
20.81,4.78
21.02,4.82
21.23,4.86
21.44,4.89
21.66,4.93
21.87,4.96
22.09,4.99
22.31,5.02
22.54,5.04
22.76,5.07
22.99,5.09
23.22,5.12
23.45,5.13
23.69,5.15
23.92,5.16
24.16,5.17
24.40,5.18
24.65,5.19
24.89,5.19
25.14,5.21
25.39,5.22
25.65,5.23
25.91,5.25
26.16,5.26
26.43,5.28
26.69,5.29
26.96,5.30
27.23,5.31
27.50,5.32
27.77,5.33
28.05,5.34
28.33,5.36
28.62,5.38
28.90,5.40
29.19,5.41
29.48,5.42
29.78,5.42
30.08,5.42
30.38,5.42
30.68,5.41
30.99,5.42
31.30,5.43
31.61,5.44
31.93,5.45
32.24,5.47
32.57,5.48
32.89,5.49
33.22,5.51
33.55,5.52
33.89,5.54
34.23,5.55
34.57,5.56
34.92,5.57
35.27,5.57
35.62,5.57
35.97,5.56
36.33,5.55
36.70,5.54
37.06,5.54
37.43,5.54
37.81,5.54
38.19,5.55
38.57,5.55
38.95,5.55
39.34,5.56
39.74,5.55
40.14,5.55
40.54,5.54
40.94,5.54
41.35,5.53
41.76,5.52
42.18,5.52
42.60,5.52
43.03,5.52
43.46,5.53
43.90,5.53
44.33,5.53
44.78,5.52
45.23,5.52
45.68,5.52
46.13,5.51
46.60,5.51
47.06,5.51
47.53,5.51
48.01,5.51
48.49,5.50
48.97,5.50
49.46,5.49
49.96,5.49
50.46,5.48
50.96,5.48
51.47,5.47
51.99,5.47
52.51,5.46
53.03,5.45
53.56,5.43
54.10,5.41
54.64,5.40
55.18,5.39
55.74,5.39
56.29,5.39
56.86,5.39
57.42,5.39
58.00,5.38
58.58,5.37
59.16,5.37
59.76,5.36
60.35,5.36
60.96,5.36
61.57,5.35
62.18,5.35
62.80,5.34
63.43,5.33
64.07,5.31
64.71,5.29
65.35,5.26
66.01,5.25
66.67,5.23
67.33,5.23
68.01,5.22
68.69,5.21
69.37,5.21
70.07,5.20
70.77,5.18
71.48,5.17
72.19,5.15
72.91,5.14
73.64,5.13
74.38,5.11
75.12,5.10
75.87,5.09
76.63,5.08
77.40,5.06
78.17,5.05
78.95,5.04
79.74,5.03
80.54,5.02
81.35,5.01
82.16,5.00
82.98,4.99
83.81,4.98
84.65,4.95
85.50,4.92
86.35,4.89
87.22,4.84
88.09,4.78
88.97,4.72
89.86,4.68
90.76,4.68
91.66,4.70
92.58,4.73
93.51,4.75
94.44,4.76
95.39,4.76
96.34,4.75
97.30,4.73
98.28,4.72
99.26,4.70
100.25,4.68
101.25,4.66
102.27,4.64
103.29,4.63
104.32,4.61
105.37,4.60
106.42,4.58
107.48,4.57
108.56,4.55
109.64,4.53
110.74,4.51
111.85,4.49
112.97,4.48
114.10,4.46
115.24,4.44
116.39,4.42
117.55,4.40
118.73,4.38
119.92,4.36
121.12,4.34
122.33,4.32
123.55,4.29
124.79,4.27
126.03,4.24
127.29,4.22
128.57,4.20
129.85,4.18
131.15,4.16
132.46,4.14
133.79,4.12
135.12,4.10
136.48,4.07
137.84,4.04
139.22,4.01
140.61,3.98
142.02,3.95
143.44,3.92
144.87,3.89
146.32,3.86
147.78,3.82
149.26,3.79
150.75,3.77
152.26,3.75
153.78,3.74
155.32,3.74
156.88,3.73
158.44,3.73
160.03,3.72
161.63,3.70
163.24,3.68
164.88,3.66
166.53,3.64
168.19,3.61
169.87,3.58
171.57,3.55
173.29,3.52
175.02,3.49
176.77,3.45
178.54,3.42
180.32,3.39
182.13,3.36
183.95,3.33
185.79,3.31
187.65,3.28
189.52,3.25
191.42,3.22
193.33,3.18
195.27,3.15
197.22,3.11
199.19,3.07
201.18,3.03
203.19,2.99
205.23,2.95
207.28,2.91
209.35,2.87
211.44,2.83
213.56,2.80
215.69,2.76
217.85,2.72
220.03,2.69
222.23,2.66
224.45,2.63
226.70,2.60
228.96,2.58
231.25,2.56
233.57,2.54
235.90,2.52
238.26,2.49
240.64,2.47
243.05,2.45
245.48,2.42
247.93,2.40
250.41,2.37
252.92,2.34
255.45,2.31
258.00,2.28
260.58,2.25
263.19,2.22
265.82,2.19
268.48,2.16
271.16,2.13
273.87,2.09
276.61,2.06
279.38,2.03
282.17,1.99
284.99,1.95
287.84,1.91
290.72,1.87
293.63,1.84
296.57,1.80
299.53,1.76
302.53,1.72
305.55,1.69
308.61,1.65
311.69,1.61
314.81,1.58
317.96,1.54
321.14,1.50
324.35,1.47
327.59,1.43
330.87,1.39
334.18,1.36
337.52,1.32
340.90,1.28
344.30,1.25
347.75,1.21
351.23,1.18
354.74,1.14
358.28,1.11
361.87,1.07
365.49,1.03
369.14,1.00
372.83,0.96
376.56,0.92
380.33,0.88
384.13,0.84
387.97,0.81
391.85,0.77
395.77,0.73
399.73,0.70
403.72,0.66
407.76,0.63
411.84,0.59
415.96,0.55
420.12,0.52
424.32,0.48
428.56,0.44
432.85,0.40
437.18,0.36
441.55,0.32
445.96,0.29
450.42,0.25
454.93,0.21
459.48,0.18
464.07,0.14
468.71,0.10
473.40,0.07
478.13,0.04
