frequency,raw
20.00,11.10
20.20,11.10
20.40,11.09
20.61,11.08
20.81,11.07
21.02,11.05
21.23,11.03
21.44,11.02
21.66,11.00
21.87,10.98
22.09,10.96
22.31,10.94
22.54,10.92
22.76,10.90
22.99,10.88
23.22,10.86
23.45,10.84
23.69,10.81
23.92,10.79
24.16,10.77
24.40,10.75
24.65,10.73
24.89,10.71
25.14,10.69
25.39,10.67
25.65,10.65
25.91,10.63
26.16,10.61
26.43,10.59
26.69,10.58
26.96,10.56
27.23,10.55
27.50,10.53
27.77,10.51
28.05,10.49
28.33,10.47
28.62,10.45
28.90,10.42
29.19,10.39
29.48,10.37
29.78,10.35
30.08,10.32
30.38,10.30
30.68,10.28
30.99,10.25
31.30,10.23
31.61,10.20
31.93,10.18
32.24,10.15
32.57,10.12
32.89,10.09
33.22,10.06
33.55,10.03
33.89,10.01
34.23,9.98
34.57,9.95
34.92,9.92
35.27,9.88
35.62,9.85
35.97,9.81
36.33,9.77
36.70,9.74
37.06,9.70
37.43,9.68
37.81,9.65
38.19,9.63
38.57,9.60
38.95,9.57
39.34,9.54
39.74,9.51
40.14,9.49
40.54,9.47
40.94,9.44
41.35,9.42
41.76,9.40
42.18,9.36
42.60,9.33
43.03,9.29
43.46,9.25
43.90,9.20
44.33,9.16
44.78,9.12
45.23,9.08
45.68,9.04
46.13,9.01
46.60,8.97
47.06,8.93
47.53,8.89
48.01,8.85
48.49,8.80
48.97,8.76
49.46,8.71
49.96,8.67
50.46,8.63
50.96,8.59
51.47,8.55
51.99,8.51
52.51,8.47
53.03,8.43
53.56,8.38
54.10,8.34
54.64,8.30
55.18,8.26
55.74,8.22
56.29,8.18
56.86,8.13
57.42,8.09
58.00,8.05
58.58,8.00
59.16,7.95
59.76,7.90
60.35,7.84
60.96,7.78
61.57,7.73
62.18,7.69
62.80,7.65
63.43,7.61
64.07,7.56
64.71,7.51
65.35,7.46
66.01,7.41
66.67,7.36
67.33,7.30
68.01,7.25
68.69,7.21
69.37,7.17
70.07,7.12
70.77,7.08
71.48,7.02
72.19,6.97
