frequency,raw
20.00,9.79
20.20,9.81
20.40,9.83
20.61,9.85
20.81,9.90
21.02,9.95
21.23,10.00
21.44,10.04
21.66,10.06
21.87,10.08
22.09,10.07
22.31,10.04
22.54,10.01
22.76,9.97
22.99,9.94
23.22,9.92
23.45,9.92
23.69,9.93
23.92,9.95
24.16,9.97
24.40,9.99
24.65,10.00
24.89,9.98
25.14,9.93
25.39,9.88
25.65,9.80
25.91,9.73
26.16,9.66
26.43,9.61
26.69,9.58
26.96,9.56
27.23,9.55
27.50,9.56
27.77,9.56
28.05,9.55
28.33,9.52
28.62,9.49
28.90,9.43
29.19,9.37
29.48,9.30
29.78,9.24
30.08,9.19
30.38,9.16
30.68,9.15
30.99,9.16
31.30,9.16
31.61,9.16
31.93,9.16
32.24,9.13
32.57,9.11
32.89,9.07
33.22,9.05
33.55,9.02
33.89,9.01
34.23,8.99
34.57,8.98
34.92,8.97
35.27,8.96
35.62,8.93
35.97,8.91
36.33,8.87
36.70,8.84
37.06,8.80
37.43,8.76
37.81,8.73
38.19,8.69
38.57,8.66
38.95,8.63
39.34,8.60
39.74,8.57
40.14,8.55
40.54,8.52
40.94,8.50
41.35,8.47
41.76,8.44
42.18,8.40
42.60,8.37
43.03,8.33
43.46,8.30
43.90,8.26
44.33,8.23
44.78,8.20
45.23,8.16
45.68,8.13
46.13,8.10
46.60,8.07
47.06,8.03
47.53,7.99
48.01,7.95
48.49,7.90
48.97,7.86
49.46,7.82
49.96,7.78
50.46,7.75
50.96,7.71
51.47,7.68
51.99,7.64
52.51,7.60
53.03,7.56
53.56,7.52
54.10,7.48
54.64,7.44
55.18,7.39
55.74,7.36
56.29,7.32
56.86,7.28
57.42,7.24
58.00,7.20
58.58,7.16
59.16,7.11
59.76,7.06
60.35,7.01
60.96,6.96
61.57,6.90
62.18,6.85
62.80,6.80
63.43,6.76
64.07,6.71
64.71,6.67
65.35,6.63
66.01,6.59
66.67,6.55
67.33,6.50
68.01,6.46
68.69,6.42
69.37,6.37
70.07,6.33
70.77,6.28
71.48,6.23
72.19,6.18
72.91,6.13
73.64,6.08
74.38,6.03
75.12,5.98
75.87,5.94
76.63,5.90
77.40,5.85
78.17,5.80
78.95,5.75
79.74,5.70
80.54,5.65
81.35,5.59
82.16,5.54
82.98,5.49
83.81,5.43
84.65,5.37
85.50,5.30
86.35,5.22
87.22,5.12
88.09,4.99
88.97,4.87
89.86,4.77
90.76,4.74
91.66,4.75
92.58,4.77
93.51,4.77
94.44,4.73
95.39,4.68
96.34,4.61
97.30,4.56
98.28,4.52
99.26,4.50
100.25,4.48
101.25,4.44
102.27,4.38
103.29,4.32
104.32,4.26
105.37,4.20
106.42,4.14
107.48,4.09
108.56,4.04
109.64,3.99
110.74,3.95
111.85,3.89
112.97,3.83
114.10,3.78
115.24,3.72
116.39,3.67
117.55,3.62
118.73,3.57
119.92,3.52
121.12,3.47
122.33,3.42
123.55,3.36
124.79,3.29
126.03,3.23
127.29,3.17
128.57,3.11
129.85,3.06
131.15,3.00
132.46,2.95
133.79,2.90
135.12,2.86
136.48,2.81
137.84,2.77
139.22,2.71
140.61,2.64
142.02,2.58
143.44,2.51
144.87,2.44
146.32,2.38
147.78,2.32
149.26,2.26
150.75,2.20
152.26,2.14
153.78,2.08
155.32,2.03
156.88,1.98
158.44,1.92
160.03,1.86
161.63,1.79
163.24,1.72
164.88,1.65
166.53,1.58
168.19,1.52
169.87,1.47
171.57,1.42
173.29,1.37
175.02,1.32
176.77,1.26
178.54,1.19
180.32,1.13
182.13,1.09
183.95,1.07
185.79,1.06
187.65,1.06
189.52,1.04
191.42,1.00
193.33,0.96
195.27,0.91
197.22,0.87
199.19,0.82
201.18,0.77
203.19,0.73
205.23,0.68
207.28,0.64
209.35,0.59
211.44,0.54
213.56,0.49
215.69,0.44
217.85,0.39
220.03,0.33
222.23,0.28
224.45,0.23
226.70,0.18
228.96,0.13
231.25,0.09
233.57,0.06
235.90,0.03
238.26,-0.00
240.64,-0.03
243.05,-0.06
245.48,-0.09
247.93,-0.13
250.41,-0.16
252.92,-0.20
255.45,-0.24
258.00,-0.28
260.58,-0.33
263.19,-0.37
265.82,-0.41
268.48,-0.45
271.16,-0.49
273.87,-0.53
276.61,-0.57
279.38,-0.61
282.17,-0.65
284.99,-0.69
287.84,-0.73
290.72,-0.77
293.63,-0.80
296.57,-0.84
299.53,-0.88
302.53,-0.92
305.55,-0.96
308.61,-1.00
311.69,-1.03
314.81,-1.07
317.96,-1.10
321.14,-1.13
324.35,-1.17
327.59,-1.20
330.87,-1.23
334.18,-1.26
337.52,-1.30
340.90,-1.33
344.30,-1.36
347.75,-1.39
351.23,-1.42
354.74,-1.45
358.28,-1.48
361.87,-1.51
365.49,-1.53
369.14,-1.56
372.83,-1.58
376.56,-1.61
380.33,-1.64
384.13,-1.66
387.97,-1.69
391.85,-1.71
395.77,-1.74
399.73,-1.76
403.72,-1.78
407.76,-1.81
411.84,-1.83
415.96,-1.85
420.12,-1.87
424.32,-1.89
428.56,-1.91
432.85,-1.93
437.18,-1.95
441.55,-1.97
445.96,-1.98
450.42,-2.00
454.93,-2.02
459.48,-2.04
464.07,-2.05
468.71,-2.07
473.40,-2.08
478.13,-2.09
482.91,-2.11
487.74,-2.12
492.62,-2.13
497.55,-2.14
502.52,-2.15
507.55,-2.16
512.62,-2.17
517.75,-2.18
522.93,-2.19
528.16,-2.20
533.44,-2.21
538.77,-2.21
544.16,-2.22
549.60,-2.23
555.10,-2.23
560.65,-2.23
566.25,-2.24
571.92,-2.24
577.64,-2.24
583.41,-2.24
589.25,-2.24
595.14,-2.24
601.09,-2.24
607.10,-2.24
613.17,-2.23
619.30,-2.23
625.50,-2.22
631.75,-2.22
638.07,-2.21
644.45,-2.20
650.89,-2.19
657.40,-2.18
663.98,-2.17
670.62,-2.16
677.32,-2.14
684.10,-2.13
690.94,-2.11
697.85,-2.10
704.83,-2.08
711.87,-2.06
718.99,-2.03
726.18,-2.01
733.44,-1.99
740.78,-1.96
748.19,-1.93
755.67,-1.90
763.23,-1.87
770.86,-1.83
778.57,-1.80
786.35,-1.76
794.22,-1.72
802.16,-1.68
810.18,-1.63
818.28,-1.58
826.46,-1.53
834.73,-1.48
843.08,-1.43
851.51,-1.37
860.02,-1.31
868.62,-1.25
877.31,-1.18
886.08,-1.11
894.94,-1.04
903.89,-0.96
912.93,-0.88
922.06,-0.80
931.28,-0.71
940.59,-0.62
950.00,-0.53
959.50,-0.44
969.09,-0.34
978.78,-0.23
988.57,-0.13
998.46,-0.02
1008.44,0.10
1018.53,0.21
1028.71,0.33
1039.00,0.45
1049.39,0.57
1059.88,0.70
1070.48,0.82
1081.19,0.95
1092.00,1.08
1102.92,1.21
1113.95,1.34
1125.09,1.47
1136.34,1.60
1147.70,1.73
1159.18,1.86
1170.77,2.00
1182.48,2.13
1194.30,2.26
1206.25,2.39
1218.31,2.51
1230.49,2.64
1242.80,2.77
1255.22,2.89
1267.78,3.02
1280.45,3.14
1293.26,3.27
1306.19,3.39
1319.25,3.52
1332.45,3.64
1345.77,3.76
1359.23,3.89
1372.82,4.01
1386.55,4.13
1400.41,4.25
1414.42,4.38
1428.56,4.50
1442.85,4.62
1457.28,4.75
1471.85,4.87
1486.57,4.99
1501.43,5.11
1516.45,5.22
1531.61,5.33
1546.93,5.43
1562.40,5.52
1578.02,5.61
1593.80,5.69
1609.74,5.75
1625.84,5.82
1642.10,5.87
1658.52,5.92
1675.10,5.97
1691.85,6.02
1708.77,6.08
1725.86,6.13
1743.12,6.19
1760.55,6.25
1778.15,6.31
1795.94,6.37
1813.90,6.43
1832.03,6.48
1850.36,6.52
1868.86,6.56
1887.55,6.59
1906.42,6.61
1925.49,6.62
1944.74,6.63
1964.19,6.62
1983.83,6.61
2003.67,6.59
2023.71,6.55
2043.94,6.51
2064.38,6.45
2085.03,6.38
2105.88,6.30
2126.94,6.21
2148.20,6.10
2169.69,5.99
2191.38,5.87
2213.30,5.74
2235.43,5.61
2257.78,5.47
2280.36,5.33
2303.17,5.19
2326.20,5.03
2349.46,4.87
2372.95,4.70
2396.68,4.52
2420.65,4.35
2444.86,4.18
2469.31,4.03
2494.00,3.89
2518.94,3.77
2544.13,3.66
2569.57,3.57
2595.27,3.47
2621.22,3.38
2647.43,3.27
2673.90,3.12
2700.64,2.95
2727.65,2.74
2754.93,2.50
2782.48,2.25
2810.30,1.99
2838.40,1.76
2866.79,1.56
2895.46,1.38
2924.41,1.27
2953.65,1.17
2983.19,1.12
3013.02,1.08
3043.15,1.06
3073.58,1.06
3104.32,1.07
3135.36,1.08
3166.72,1.10
3198.38,1.13
3230.37,1.16
3262.67,1.20
3295.30,1.24
3328.25,1.28
3361.53,1.33
3395.15,1.37
3429.10,1.40
3463.39,1.42
3498.03,1.43
3533.01,1.42
3568.34,1.41
3604.02,1.39
3640.06,1.36
3676.46,1.31
3713.22,1.23
3750.36,1.12
3787.86,1.01
3825.74,0.89
3864.00,0.82
3902.64,0.83
3941.66,0.86
3981.08,0.94
4020.89,1.05
4061.10,1.17
4101.71,1.25
4142.73,1.29
4184.15,1.29
4226.00,1.20
4268.26,1.08
4310.94,0.91
4354.05,0.71
4397.59,0.53
4441.56,0.36
4485.98,0.24
4530.84,0.15
4576.15,0.10
4621.91,0.07
4668.13,0.07
4714.81,0.07
4761.96,0.07
4809.58,0.05
4857.67,0.01
4906.25,-0.04
4955.31,-0.08
5004.87,-0.10
5054.91,-0.06
5105.46,-0.01
5156.52,0.07
5208.08,0.15
5260.16,0.20
5312.77,0.22
5365.89,0.20
5419.55,0.13
5473.75,0.01
5528.49,-0.15
5583.77,-0.35
5639.61,-0.52
5696.00,-0.69
5752.96,-0.77
5810.49,-0.82
5868.60,-0.80
5927.28,-0.76
5986.56,-0.70
6046.42,-0.63
6106.89,-0.57
6167.96,-0.51
6229.64,-0.43
6291.93,-0.34
6354.85,-0.19
6418.40,-0.03
6482.58,0.19
6547.41,0.44
6612.88,0.71
6679.01,1.02
6745.80,1.35
6813.26,1.70
6881.39,2.08
6950.21,2.48
7019.71,2.90
7089.91,3.34
7160.81,3.81
7232.41,4.28
7304.74,4.77
7377.79,5.23
7451.56,5.65
7526.08,5.98
7601.34,6.19
7677.35,6.19
7754.13,6.11
7831.67,5.74
7909.98,5.28
7989.08,4.68
8068.98,3.96
8149.67,3.20
8231.16,2.39
8313.47,1.57
8396.61,0.74
8480.57,-0.06
8565.38,-0.84
8651.03,-1.58
8737.54,-2.29
8824.92,-2.96
8913.17,-3.62
9002.30,-4.27
9092.32,-4.94
9183.25,-5.60
9275.08,-6.25
9367.83,-6.86
9461.51,-7.40
9556.12,-7.86
9651.68,-8.27
9748.20,-8.62
9845.68,-8.92
9944.14,-9.18
10043.58,-9.39
10144.02,-9.57
10245.46,-9.64
10347.91,-9.65
10451.39,-9.59
10555.91,-9.47
10661.46,-9.35
10768.08,-9.21
10875.76,-9.04
10984.52,-8.80
11094.36,-8.50
11205.31,-8.11
11317.36,-7.66
11430.53,-7.20
11544.84,-6.75
11660.29,-6.32
11776.89,-5.94
11894.66,-5.72
12013.60,-5.52
12133.74,-5.43
12255.08,-5.46
12377.63,-5.57
12501.41,-5.74
12626.42,-5.96
12752.68,-6.17
12880.21,-6.29
13009.01,-6.37
13139.10,-6.44
13270.49,-6.28
13403.20,-6.03
13537.23,-5.56
13672.60,-4.98
13809.33,-4.31
13947.42,-3.52
14086.90,-2.76
14227.77,-2.01
14370.04,-1.40
14513.74,-0.98
14658.88,-0.93
14805.47,-1.06
14953.52,-1.47
15103.06,-2.05
15254.09,-2.72
15406.63,-3.40
15560.70,-4.02
15716.30,-4.56
15873.47,-4.97
16032.20,-5.31
16192.52,-5.53
16354.45,-5.67
16517.99,-5.76
16683.17,-5.78
16850.01,-5.77
17018.51,-5.74
17188.69,-5.69
17360.58,-5.61
17534.18,-5.51
17709.53,-5.37
17886.62,-5.21
18065.49,-5.05
18246.14,-4.88
18428.60,-4.78
18612.89,-4.79
18799.02,-4.92
18987.01,-5.24
19176.88,-5.85
19368.65,-6.64
19562.33,-7.57
19757.96,-8.56
19955.54,-9.55
