frequency,raw
20.00,3.23
20.20,3.24
20.40,3.25
20.61,3.26
20.81,3.30
21.02,3.33
21.23,3.36
21.44,3.39
21.66,3.42
21.87,3.45
22.09,3.48
22.31,3.52
22.54,3.55
22.76,3.59
22.99,3.62
23.22,3.66
23.45,3.70
23.69,3.74
23.92,3.77
24.16,3.80
24.40,3.82
24.65,3.84
24.89,3.85
25.14,3.87
25.39,3.88
25.65,3.91
25.91,3.93
26.16,3.97
26.43,4.01
26.69,4.05
26.96,4.09
27.23,4.12
27.50,4.14
27.77,4.16
28.05,4.18
28.33,4.19
28.62,4.20
28.90,4.22
29.19,4.24
29.48,4.26
29.78,4.29
30.08,4.31
30.38,4.34
30.68,4.36
30.99,4.38
31.30,4.41
31.61,4.43
31.93,4.45
32.24,4.47
32.57,4.49
32.89,4.51
33.22,4.53
33.55,4.55
33.89,4.56
34.23,4.58
34.57,4.60
34.92,4.61
35.27,4.63
35.62,4.64
35.97,4.66
36.33,4.67
36.70,4.69
37.06,4.71
37.43,4.72
37.81,4.74
38.19,4.75
38.57,4.77
38.95,4.78
39.34,4.79
39.74,4.81
40.14,4.82
40.54,4.83
40.94,4.84
41.35,4.85
41.76,4.86
42.18,4.87
42.60,4.88
43.03,4.89
43.46,4.89
43.90,4.90
44.33,4.91
44.78,4.92
45.23,4.93
45.68,4.93
46.13,4.94
46.60,4.95
47.06,4.95
47.53,4.96
48.01,4.97
48.49,4.98
48.97,4.99
49.46,5.00
49.96,5.01
50.46,5.02
50.96,5.02
51.47,5.03
51.99,5.03
52.51,5.03
53.03,5.03
53.56,5.03
54.10,5.03
54.64,5.03
55.18,5.04
55.74,5.04
56.29,5.04
56.86,5.05
57.42,5.04
58.00,5.04
58.58,5.04
59.16,5.04
59.76,5.04
60.35,5.04
60.96,5.04
61.57,5.03
62.18,5.04
62.80,5.05
63.43,5.07
64.07,5.10
64.71,5.12
65.35,5.12
66.01,5.12
66.67,5.11
67.33,5.10
68.01,5.10
68.69,5.10
69.37,5.11
70.07,5.11
70.77,5.11
71.48,5.11
72.19,5.11
72.91,5.11
73.64,5.11
74.38,5.11
75.12,5.10
75.87,5.10
76.63,5.10
77.40,5.10
78.17,5.11
78.95,5.11
79.74,5.10
80.54,5.09
81.35,5.08
82.16,5.08
82.98,5.07
83.81,5.06
84.65,5.05
85.50,5.05
86.35,5.04
87.22,5.04
88.09,5.03
88.97,5.03
89.86,5.02
90.76,5.01
91.66,4.99
92.58,4.98
93.51,4.97
94.44,4.96
95.39,4.95
96.34,4.94
97.30,4.93
98.28,4.93
99.26,4.93
100.25,4.92
101.25,4.92
102.27,4.92
103.29,4.91
104.32,4.90
105.37,4.89
106.42,4.89
107.48,4.89
108.56,4.88
109.64,4.88
110.74,4.87
111.85,4.86
112.97,4.85
114.10,4.84
115.24,4.83
116.39,4.82
117.55,4.81
118.73,4.80
119.92,4.78
121.12,4.77
122.33,4.75
123.55,4.73
124.79,4.72
126.03,4.70
127.29,4.68
128.57,4.65
129.85,4.63
131.15,4.61
132.46,4.58
133.79,4.56
135.12,4.53
136.48,4.50
137.84,4.47
139.22,4.43
140.61,4.40
142.02,4.37
143.44,4.34
144.87,4.31
146.32,4.30
147.78,4.29
149.26,4.30
150.75,4.30
152.26,4.31
153.78,4.33
155.32,4.35
156.88,4.36
158.44,4.37
160.03,4.37
161.63,4.37
163.24,4.36
164.88,4.35
166.53,4.33
168.19,4.32
169.87,4.30
171.57,4.28
173.29,4.26
175.02,4.24
176.77,4.22
178.54,4.20
180.32,4.17
182.13,4.14
183.95,4.12
185.79,4.09
187.65,4.06
189.52,4.04
191.42,4.01
193.33,3.99
195.27,3.96
197.22,3.94
199.19,3.91
201.18,3.89
203.19,3.87
205.23,3.84
207.28,3.82
209.35,3.79
211.44,3.76
213.56,3.73
215.69,3.70
217.85,3.68
220.03,3.65
222.23,3.62
224.45,3.60
226.70,3.57
228.96,3.54
231.25,3.51
233.57,3.48
235.90,3.45
238.26,3.42
240.64,3.39
243.05,3.36
245.48,3.33
247.93,3.30
250.41,3.27
252.92,3.24
255.45,3.21
258.00,3.17
260.58,3.14
263.19,3.11
265.82,3.08
268.48,3.04
271.16,3.01
273.87,2.98
276.61,2.94
279.38,2.91
282.17,2.87
284.99,2.84
287.84,2.80
290.72,2.76
293.63,2.73
296.57,2.69
299.53,2.66
302.53,2.62
305.55,2.58
308.61,2.55
311.69,2.51
314.81,2.47
317.96,2.43
321.14,2.40
324.35,2.36
327.59,2.32
330.87,2.28
334.18,2.25
337.52,2.21
340.90,2.17
344.30,2.13
347.75,2.09
351.23,2.05
354.74,2.01
358.28,1.97
361.87,1.94
365.49,1.90
369.14,1.86
372.83,1.82
376.56,1.78
380.33,1.74
384.13,1.70
387.97,1.66
391.85,1.62
395.77,1.58
399.73,1.54
403.72,1.50
407.76,1.46
411.84,1.42
415.96,1.38
420.12,1.35
424.32,1.31
428.56,1.27
432.85,1.23
437.18,1.19
441.55,1.16
445.96,1.12
450.42,1.08
454.93,1.05
459.48,1.01
464.07,0.98
468.71,0.94
473.40,0.90
478.13,0.87
482.91,0.83
487.74,0.79
492.62,0.75
497.55,0.72
502.52,0.68
507.55,0.64
512.62,0.60
517.75,0.57
522.93,0.53
528.16,0.50
533.44,0.46
538.77,0.42
544.16,0.39
549.60,0.35
555.10,0.32
560.65,0.28
566.25,0.25
571.92,0.21
577.64,0.18
583.41,0.14
589.25,0.11
595.14,0.08
601.09,0.04
607.10,0.01
613.17,-0.01
619.30,-0.04
625.50,-0.07
631.75,-0.10
638.07,-0.13
644.45,-0.15
650.89,-0.18
657.40,-0.20
663.98,-0.23
670.62,-0.25
677.32,-0.27
684.10,-0.29
690.94,-0.31
697.85,-0.33
704.83,-0.35
711.87,-0.37
718.99,-0.39
726.18,-0.41
733.44,-0.43
740.78,-0.45
748.19,-0.46
755.67,-0.48
763.23,-0.50
770.86,-0.51
778.57,-0.53
786.35,-0.53
794.22,-0.54
802.16,-0.54
810.18,-0.53
818.28,-0.53
826.46,-0.52
834.73,-0.51
843.08,-0.50
851.51,-0.49
860.02,-0.48
868.62,-0.46
877.31,-0.45
886.08,-0.43
894.94,-0.41
903.89,-0.39
912.93,-0.36
922.06,-0.33
931.28,-0.30
940.59,-0.26
950.00,-0.22
959.50,-0.19
969.09,-0.14
978.78,-0.10
988.57,-0.06
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.15
1039.00,0.21
1049.39,0.26
1059.88,0.32
1070.48,0.38
1081.19,0.44
1092.00,0.49
1102.92,0.54
1113.95,0.59
1125.09,0.62
1136.34,0.65
1147.70,0.67
1159.18,0.69
1170.77,0.70
1182.48,0.72
1194.30,0.74
1206.25,0.77
1218.31,0.82
1230.49,0.87
1242.80,0.93
1255.22,1.00
1267.78,1.06
1280.45,1.13
1293.26,1.21
1306.19,1.28
1319.25,1.35
1332.45,1.42
1345.77,1.49
1359.23,1.56
1372.82,1.62
1386.55,1.69
1400.41,1.76
1414.42,1.82
1428.56,1.89
1442.85,1.95
1457.28,2.02
1471.85,2.09
1486.57,2.15
1501.43,2.22
1516.45,2.30
1531.61,2.37
1546.93,2.45
1562.40,2.53
1578.02,2.62
1593.80,2.71
1609.74,2.80
1625.84,2.90
1642.10,3.00
1658.52,3.10
1675.10,3.21
1691.85,3.31
1708.77,3.41
1725.86,3.52
1743.12,3.63
1760.55,3.74
1778.15,3.85
1795.94,3.97
1813.90,4.09
1832.03,4.21
1850.36,4.33
1868.86,4.45
1887.55,4.57
1906.42,4.69
1925.49,4.80
1944.74,4.91
1964.19,5.03
1983.83,5.14
2003.67,5.25
2023.71,5.36
2043.94,5.47
2064.38,5.59
2085.03,5.70
2105.88,5.82
2126.94,5.94
2148.20,6.06
2169.69,6.17
2191.38,6.29
2213.30,6.41
2235.43,6.52
2257.78,6.64
2280.36,6.75
2303.17,6.86
2326.20,6.97
2349.46,7.07
2372.95,7.17
2396.68,7.27
2420.65,7.37
2444.86,7.46
2469.31,7.55
2494.00,7.63
2518.94,7.71
2544.13,7.79
2569.57,7.86
2595.27,7.92
2621.22,7.98
2647.43,8.03
2673.90,8.08
2700.64,8.11
2727.65,8.14
2754.93,8.16
2782.48,8.17
2810.30,8.18
2838.40,8.17
2866.79,8.15
2895.46,8.13
2924.41,8.10
2953.65,8.07
2983.19,8.04
3013.02,8.01
3043.15,7.98
3073.58,7.97
3104.32,7.97
3135.36,7.98
3166.72,7.99
3198.38,8.00
3230.37,8.00
3262.67,8.00
3295.30,7.99
3328.25,7.97
3361.53,7.94
3395.15,7.91
3429.10,7.87
3463.39,7.83
3498.03,7.79
3533.01,7.74
3568.34,7.69
3604.02,7.64
3640.06,7.59
3676.46,7.54
3713.22,7.48
3750.36,7.42
3787.86,7.37
3825.74,7.32
3864.00,7.27
3902.64,7.23
3941.66,7.20
3981.08,7.17
4020.89,7.14
4061.10,7.12
4101.71,7.10
4142.73,7.08
4184.15,7.06
4226.00,7.04
4268.26,7.03
4310.94,7.01
4354.05,7.00
4397.59,6.99
4441.56,6.98
4485.98,6.97
4530.84,6.97
4576.15,6.98
4621.91,6.99
4668.13,7.01
4714.81,7.04
4761.96,7.08
4809.58,7.12
4857.67,7.17
4906.25,7.24
4955.31,7.32
5004.87,7.40
5054.91,7.49
5105.46,7.58
5156.52,7.67
5208.08,7.77
5260.16,7.87
5312.77,7.97
5365.89,8.07
5419.55,8.17
5473.75,8.27
5528.49,8.37
5583.77,8.46
5639.61,8.54
5696.00,8.62
5752.96,8.69
5810.49,8.74
5868.60,8.79
5927.28,8.82
5986.56,8.84
6046.42,8.85
6106.89,8.84
6167.96,8.82
6229.64,8.80
6291.93,8.76
6354.85,8.72
6418.40,8.67
6482.58,8.62
6547.41,8.56
6612.88,8.51
6679.01,8.46
6745.80,8.42
6813.26,8.39
6881.39,8.37
6950.21,8.37
7019.71,8.38
7089.91,8.41
7160.81,8.46
7232.41,8.52
7304.74,8.60
7377.79,8.70
7451.56,8.80
7526.08,8.92
7601.34,9.03
7677.35,9.13
7754.13,9.23
7831.67,9.27
7909.98,9.29
7989.08,9.27
8068.98,9.17
8149.67,9.02
8231.16,8.81
8313.47,8.51
8396.61,8.17
8480.57,7.75
8565.38,7.27
8651.03,6.77
8737.54,6.23
8824.92,5.68
8913.17,5.13
9002.30,4.57
9092.32,4.02
9183.25,3.48
9275.08,2.94
9367.83,2.40
9461.51,1.87
9556.12,1.34
9651.68,0.81
9748.20,0.27
9845.68,-0.28
9944.14,-0.83
10043.58,-1.38
10144.02,-1.94
10245.46,-2.48
10347.91,-3.00
10451.39,-3.50
10555.91,-3.97
10661.46,-4.40
10768.08,-4.80
10875.76,-5.17
10984.52,-5.49
11094.36,-5.79
11205.31,-6.05
11317.36,-6.26
11430.53,-6.44
11544.84,-6.58
11660.29,-6.67
11776.89,-6.74
11894.66,-6.73
12013.60,-6.69
12133.74,-6.61
12255.08,-6.45
12377.63,-6.25
12501.41,-6.01
12626.42,-5.71
12752.68,-5.37
12880.21,-4.98
13009.01,-4.57
13139.10,-4.16
13270.49,-3.67
13403.20,-3.16
13537.23,-2.58
13672.60,-1.97
13809.33,-1.34
13947.42,-0.69
14086.90,-0.11
14227.77,0.44
14370.04,0.88
14513.74,1.18
14658.88,1.27
14805.47,1.25
14953.52,1.07
15103.06,0.77
15254.09,0.42
15406.63,0.02
15560.70,-0.36
15716.30,-0.72
15873.47,-1.04
16032.20,-1.33
16192.52,-1.62
16354.45,-1.93
16517.99,-2.28
16683.17,-2.75
16850.01,-3.32
17018.51,-3.98
17188.69,-4.83
17360.58,-5.78
17534.18,-6.81
17709.53,-7.92
17886.62,-9.04
18065.49,-10.14
18246.14,-11.20
18428.60,-12.15
18612.89,-13.01
18799.02,-13.79
18987.01,-14.47
19176.88,-15.04
19368.65,-15.55
19562.33,-15.98
19757.96,-16.32
19955.54,-16.67
