frequency,raw
20.00,12.56
20.20,12.55
20.40,12.53
20.61,12.52
20.81,12.48
21.02,12.44
21.23,12.39
21.44,12.34
21.66,12.28
21.87,12.23
22.09,12.16
22.31,12.10
22.54,12.04
22.76,11.97
22.99,11.91
23.22,11.85
23.45,11.79
23.69,11.72
23.92,11.66
24.16,11.60
24.40,11.53
24.65,11.46
24.89,11.39
25.14,11.32
25.39,11.25
25.65,11.18
25.91,11.11
26.16,11.04
26.43,10.98
26.69,10.92
26.96,10.86
27.23,10.80
27.50,10.74
27.77,10.68
28.05,10.63
28.33,10.57
28.62,10.51
28.90,10.46
29.19,10.41
29.48,10.35
29.78,10.30
30.08,10.25
30.38,10.21
30.68,10.17
30.99,10.13
31.30,10.09
31.61,10.06
31.93,10.03
32.24,10.00
32.57,9.97
32.89,9.94
33.22,9.92
33.55,9.89
33.89,9.86
34.23,9.84
34.57,9.82
34.92,9.80
35.27,9.78
35.62,9.76
35.97,9.74
36.33,9.72
36.70,9.71
37.06,9.69
37.43,9.68
37.81,9.67
38.19,9.65
38.57,9.65
38.95,9.64
39.34,9.63
39.74,9.63
40.14,9.62
40.54,9.61
40.94,9.61
41.35,9.61
41.76,9.61
42.18,9.61
42.60,9.61
43.03,9.61
43.46,9.62
43.90,9.62
44.33,9.63
44.78,9.63
45.23,9.64
45.68,9.65
46.13,9.66
46.60,9.68
47.06,9.69
47.53,9.70
48.01,9.72
48.49,9.74
48.97,9.76
49.46,9.78
49.96,9.80
50.46,9.82
50.96,9.84
51.47,9.87
51.99,9.90
52.51,9.92
53.03,9.95
53.56,9.99
54.10,10.02
54.64,10.05
55.18,10.09
55.74,10.12
56.29,10.15
56.86,10.18
57.42,10.21
58.00,10.24
58.58,10.27
59.16,10.30
59.76,10.32
60.35,10.33
60.96,10.35
61.57,10.35
62.18,10.36
62.80,10.35
63.43,10.34
64.07,10.33
64.71,10.31
65.35,10.28
66.01,10.25
66.67,10.21
67.33,10.16
68.01,10.10
68.69,10.04
69.37,9.97
70.07,9.90
70.77,9.83
71.48,9.75
72.19,9.66
72.91,9.58
73.64,9.49
74.38,9.39
75.12,9.30
75.87,9.20
76.63,9.11
77.40,9.01
78.17,8.91
78.95,8.81
79.74,8.71
80.54,8.61
81.35,8.51
82.16,8.41
82.98,8.31
83.81,8.21
84.65,8.11
85.50,8.01
86.35,7.91
87.22,7.81
88.09,7.71
88.97,7.61
89.86,7.50
90.76,7.40
91.66,7.30
92.58,7.19
93.51,7.09
94.44,6.98
95.39,6.88
96.34,6.77
97.30,6.66
98.28,6.55
99.26,6.43
100.25,6.32
101.25,6.20
102.27,6.08
103.29,5.95
104.32,5.83
105.37,5.70
106.42,5.57
107.48,5.44
108.56,5.30
