frequency,raw
20.00,8.74
20.20,8.73
20.40,8.73
20.61,8.73
20.81,8.72
21.02,8.70
21.23,8.69
21.44,8.67
21.66,8.65
21.87,8.63
22.09,8.62
22.31,8.60
22.54,8.58
22.76,8.56
22.99,8.55
23.22,8.53
23.45,8.51
23.69,8.49
23.92,8.47
24.16,8.45
24.40,8.43
24.65,8.41
24.89,8.38
25.14,8.35
25.39,8.32
25.65,8.29
25.91,8.25
26.16,8.21
26.43,8.17
26.69,8.14
26.96,8.11
27.23,8.09
27.50,8.07
27.77,8.07
28.05,8.06
28.33,8.05
28.62,8.05
28.90,8.03
29.19,8.01
29.48,7.99
29.78,7.95
30.08,7.92
30.38,7.87
30.68,7.82
30.99,7.77
31.30,7.73
31.61,7.69
31.93,7.67
32.24,7.66
32.57,7.65
32.89,7.64
33.22,7.61
33.55,7.58
33.89,7.53
34.23,7.48
34.57,7.42
34.92,7.37
35.27,7.32
35.62,7.28
35.97,7.25
36.33,7.22
36.70,7.20
37.06,7.17
37.43,7.13
37.81,7.09
38.19,7.05
38.57,7.00
38.95,6.96
39.34,6.92
39.74,6.87
40.14,6.83
40.54,6.79
40.94,6.74
41.35,6.70
41.76,6.66
42.18,6.62
42.60,6.57
43.03,6.53
43.46,6.48
43.90,6.44
44.33,6.39
44.78,6.34
45.23,6.30
45.68,6.25
46.13,6.19
46.60,6.14
47.06,6.08
47.53,6.03
48.01,5.99
48.49,5.94
48.97,5.90
49.46,5.86
49.96,5.81
50.46,5.77
50.96,5.72
51.47,5.67
51.99,5.62
52.51,5.57
53.03,5.51
53.56,5.45
54.10,5.40
54.64,5.34
55.18,5.29
55.74,5.23
56.29,5.18
56.86,5.13
57.42,5.08
58.00,5.02
58.58,4.97
59.16,4.91
59.76,4.86
60.35,4.80
60.96,4.74
61.57,4.69
62.18,4.63
62.80,4.57
63.43,4.51
64.07,4.45
64.71,4.40
65.35,4.34
66.01,4.29
66.67,4.23
67.33,4.18
68.01,4.13
68.69,4.07
69.37,4.02
70.07,3.96
70.77,3.91
71.48,3.85
72.19,3.79
72.91,3.73
73.64,3.66
74.38,3.60
75.12,3.53
75.87,3.47
76.63,3.41
77.40,3.35
78.17,3.30
78.95,3.24
79.74,3.18
80.54,3.13
81.35,3.07
82.16,3.01
82.98,2.95
83.81,2.89
84.65,2.84
85.50,2.78
86.35,2.72
87.22,2.66
88.09,2.60
88.97,2.55
89.86,2.49
90.76,2.43
91.66,2.37
92.58,2.31
93.51,2.25
94.44,2.19
95.39,2.13
96.34,2.07
97.30,2.01
98.28,1.96
99.26,1.90
100.25,1.85
101.25,1.79
102.27,1.74
103.29,1.68
104.32,1.62
105.37,1.56
106.42,1.50
107.48,1.43
108.56,1.37
109.64,1.32
110.74,1.26
111.85,1.20
112.97,1.15
114.10,1.09
115.24,1.04
116.39,0.99
117.55,0.93
118.73,0.87
119.92,0.81
121.12,0.76
122.33,0.70
123.55,0.65
124.79,0.60
126.03,0.55
127.29,0.49
128.57,0.43
129.85,0.38
131.15,0.32
132.46,0.26
133.79,0.21
135.12,0.15
136.48,0.10
137.84,0.05
139.22,-0.01
140.61,-0.06
142.02,-0.11
143.44,-0.17
144.87,-0.22
146.32,-0.27
147.78,-0.32
149.26,-0.37
150.75,-0.43
152.26,-0.48
153.78,-0.53
155.32,-0.59
156.88,-0.64
158.44,-0.69
160.03,-0.75
161.63,-0.80
163.24,-0.86
164.88,-0.92
166.53,-0.97
168.19,-1.02
169.87,-1.07
171.57,-1.11
173.29,-1.14
175.02,-1.17
176.77,-1.19
178.54,-1.21
180.32,-1.22
182.13,-1.22
183.95,-1.22
185.79,-1.23
187.65,-1.23
189.52,-1.23
