frequency,raw
20.00,-5.67
20.20,-5.70
20.40,-5.72
20.61,-5.73
20.81,-5.68
21.02,-5.61
21.23,-5.50
21.44,-5.37
21.66,-5.21
21.87,-5.05
22.09,-4.86
22.31,-4.65
22.54,-4.36
22.76,-3.99
22.99,-3.53
23.22,-3.04
23.45,-2.61
23.69,-2.29
23.92,-2.09
24.16,-2.03
24.40,-2.11
24.65,-2.28
24.89,-2.52
25.14,-2.76
25.39,-2.98
25.65,-2.99
25.91,-2.86
26.16,-2.56
26.43,-2.16
26.69,-1.78
26.96,-1.45
27.23,-1.23
27.50,-1.11
27.77,-1.04
28.05,-0.98
28.33,-0.91
28.62,-0.86
28.90,-0.81
29.19,-0.83
29.48,-0.88
29.78,-1.05
30.08,-1.23
30.38,-1.46
30.68,-1.67
30.99,-1.80
31.30,-1.85
31.61,-1.84
31.93,-1.79
32.24,-1.77
32.57,-1.77
32.89,-1.82
33.22,-1.89
33.55,-1.96
33.89,-2.01
34.23,-2.02
34.57,-2.02
34.92,-2.00
35.27,-1.97
35.62,-1.92
35.97,-1.87
36.33,-1.79
36.70,-1.70
37.06,-1.60
37.43,-1.52
37.81,-1.44
38.19,-1.37
38.57,-1.32
38.95,-1.29
39.34,-1.26
39.74,-1.24
40.14,-1.24
40.54,-1.26
40.94,-1.26
41.35,-1.26
41.76,-1.24
42.18,-1.19
42.60,-1.14
43.03,-1.08
43.46,-1.03
43.90,-0.98
44.33,-0.95
44.78,-0.92
45.23,-0.89
45.68,-0.87
46.13,-0.85
46.60,-0.84
47.06,-0.82
47.53,-0.81
48.01,-0.80
48.49,-0.78
48.97,-0.77
49.46,-0.77
49.96,-0.78
50.46,-0.81
50.96,-0.85
51.47,-0.89
51.99,-0.92
52.51,-0.95
53.03,-0.97
53.56,-1.00
54.10,-1.02
54.64,-1.05
55.18,-1.08
55.74,-1.11
56.29,-1.14
56.86,-1.17
57.42,-1.21
58.00,-1.24
58.58,-1.27
59.16,-1.30
59.76,-1.33
60.35,-1.36
60.96,-1.39
61.57,-1.41
62.18,-1.44
62.80,-1.45
63.43,-1.47
64.07,-1.48
64.71,-1.49
65.35,-1.49
66.01,-1.49
66.67,-1.49
67.33,-1.49
68.01,-1.49
68.69,-1.49
69.37,-1.49
70.07,-1.49
70.77,-1.50
71.48,-1.52
72.19,-1.53
72.91,-1.54
73.64,-1.56
74.38,-1.57
75.12,-1.58
75.87,-1.60
76.63,-1.61
77.40,-1.62
78.17,-1.62
78.95,-1.63
79.74,-1.64
80.54,-1.64
81.35,-1.64
82.16,-1.64
82.98,-1.64
83.81,-1.64
84.65,-1.63
85.50,-1.63
86.35,-1.62
87.22,-1.62
88.09,-1.62
88.97,-1.62
89.86,-1.62
90.76,-1.63
91.66,-1.63
92.58,-1.64
93.51,-1.64
94.44,-1.65
95.39,-1.65
96.34,-1.66
97.30,-1.66
98.28,-1.66
99.26,-1.67
100.25,-1.68
101.25,-1.68
102.27,-1.69
103.29,-1.70
104.32,-1.70
105.37,-1.70
106.42,-1.70
107.48,-1.71
108.56,-1.71
109.64,-1.71
110.74,-1.70
111.85,-1.70
112.97,-1.70
114.10,-1.70
115.24,-1.70
116.39,-1.71
117.55,-1.71
118.73,-1.71
119.92,-1.72
121.12,-1.72
122.33,-1.72
123.55,-1.72
124.79,-1.73
126.03,-1.73
127.29,-1.73
128.57,-1.73
129.85,-1.74
131.15,-1.74
132.46,-1.74
133.79,-1.74
135.12,-1.74
136.48,-1.74
137.84,-1.74
139.22,-1.74
140.61,-1.74
142.02,-1.74
143.44,-1.74
144.87,-1.74
146.32,-1.73
147.78,-1.73
149.26,-1.72
150.75,-1.72
152.26,-1.71
153.78,-1.71
155.32,-1.70
156.88,-1.70
158.44,-1.69
160.03,-1.68
161.63,-1.68
163.24,-1.67
164.88,-1.66
166.53,-1.66
168.19,-1.65
169.87,-1.64
171.57,-1.64
173.29,-1.64
175.02,-1.63
176.77,-1.63
178.54,-1.63
180.32,-1.62
182.13,-1.62
183.95,-1.62
185.79,-1.61
187.65,-1.61
189.52,-1.60
191.42,-1.60
193.33,-1.59
195.27,-1.59
197.22,-1.58
199.19,-1.58
201.18,-1.57
203.19,-1.57
205.23,-1.56
207.28,-1.55
209.35,-1.55
211.44,-1.54
213.56,-1.53
215.69,-1.51
217.85,-1.50
220.03,-1.49
222.23,-1.47
224.45,-1.46
226.70,-1.44
228.96,-1.43
231.25,-1.41
233.57,-1.40
235.90,-1.38
238.26,-1.37
240.64,-1.36
243.05,-1.35
245.48,-1.33
247.93,-1.32
250.41,-1.31
252.92,-1.29
255.45,-1.28
258.00,-1.27
260.58,-1.25
263.19,-1.24
265.82,-1.23
268.48,-1.22
271.16,-1.20
273.87,-1.19
276.61,-1.18
279.38,-1.18
282.17,-1.17
284.99,-1.16
287.84,-1.16
290.72,-1.15
293.63,-1.15
296.57,-1.15
299.53,-1.15
302.53,-1.15
305.55,-1.15
308.61,-1.14
311.69,-1.14
314.81,-1.14
317.96,-1.14
321.14,-1.14
324.35,-1.14
327.59,-1.14
330.87,-1.14
334.18,-1.14
337.52,-1.14
340.90,-1.13
344.30,-1.13
347.75,-1.12
351.23,-1.11
354.74,-1.11
358.28,-1.10
361.87,-1.09
365.49,-1.08
369.14,-1.07
372.83,-1.05
376.56,-1.04
380.33,-1.01
384.13,-0.99
387.97,-0.97
