frequency,raw
20.00,4.10
20.20,4.19
20.40,4.28
20.61,4.38
20.81,4.47
21.02,4.56
21.23,4.65
21.44,4.73
21.66,4.80
21.87,4.87
22.09,4.94
22.31,5.01
22.54,5.09
22.76,5.17
22.99,5.26
23.22,5.36
23.45,5.45
23.69,5.54
23.92,5.61
24.16,5.67
24.40,5.72
24.65,5.76
24.89,5.80
25.14,5.86
25.39,5.93
25.65,6.02
25.91,6.11
26.16,6.20
26.43,6.27
26.69,6.32
26.96,6.35
27.23,6.35
27.50,6.33
27.77,6.31
28.05,6.28
28.33,6.26
28.62,6.24
28.90,6.24
29.19,6.24
29.48,6.23
29.78,6.19
30.08,6.15
30.38,6.09
30.68,6.05
30.99,6.06
31.30,6.12
31.61,6.22
31.93,6.35
32.24,6.47
32.57,6.57
32.89,6.62
33.22,6.63
33.55,6.63
33.89,6.64
34.23,6.69
34.57,6.77
34.92,6.87
35.27,6.95
35.62,7.01
35.97,7.04
36.33,7.04
36.70,7.03
37.06,7.02
37.43,6.99
37.81,6.95
38.19,6.90
38.57,6.82
38.95,6.73
39.34,6.64
39.74,6.54
40.14,6.45
40.54,6.36
40.94,6.28
41.35,6.21
41.76,6.15
42.18,6.09
42.60,6.03
43.03,5.97
43.46,5.93
43.90,5.88
44.33,5.85
44.78,5.80
45.23,5.75
45.68,5.69
46.13,5.63
46.60,5.54
47.06,5.43
47.53,5.29
48.01,5.14
48.49,4.98
48.97,4.82
49.46,4.64
49.96,4.44
50.46,4.21
50.96,3.99
51.47,3.76
51.99,3.53
52.51,3.33
53.03,3.14
53.56,3.00
54.10,2.86
54.64,2.72
55.18,2.58
55.74,2.48
56.29,2.41
56.86,2.36
57.42,2.32
58.00,2.29
58.58,2.30
59.16,2.32
59.76,2.34
60.35,2.39
60.96,2.48
61.57,2.59
62.18,2.70
62.80,2.80
63.43,2.90
64.07,3.01
64.71,3.14
65.35,3.26
66.01,3.38
66.67,3.46
67.33,3.54
68.01,3.63
