frequency,raw
20.00,2.72
20.20,2.84
20.40,2.95
20.61,3.06
20.81,3.16
21.02,3.25
21.23,3.34
21.44,3.42
21.66,3.49
21.87,3.56
22.09,3.64
22.31,3.71
22.54,3.78
22.76,3.85
22.99,3.92
23.22,3.99
23.45,4.06
23.69,4.13
23.92,4.19
24.16,4.25
24.40,4.31
24.65,4.36
24.89,4.41
25.14,4.45
25.39,4.49
25.65,4.50
25.91,4.51
26.16,4.51
26.43,4.50
26.69,4.49
26.96,4.48
27.23,4.48
27.50,4.48
27.77,4.47
28.05,4.46
28.33,4.44
28.62,4.41
28.90,4.37
29.19,4.33
29.48,4.29
29.78,4.26
30.08,4.24
30.38,4.21
30.68,4.19
30.99,4.16
31.30,4.13
31.61,4.09
31.93,4.06
32.24,4.04
32.57,4.03
32.89,4.04
33.22,4.05
33.55,4.06
33.89,4.07
34.23,4.09
34.57,4.11
34.92,4.16
35.27,4.23
35.62,4.31
35.97,4.39
36.33,4.45
36.70,4.50
37.06,4.54
37.43,4.57
37.81,4.60
38.19,4.64
38.57,4.66
38.95,4.69
39.34,4.70
39.74,4.73
40.14,4.75
40.54,4.78
40.94,4.81
41.35,4.82
41.76,4.81
42.18,4.75
42.60,4.68
43.03,4.60
43.46,4.52
43.90,4.46
44.33,4.39
44.78,4.30
45.23,4.18
45.68,4.05
46.13,3.92
46.60,3.79
47.06,3.64
47.53,3.48
48.01,3.28
48.49,3.07
48.97,2.84
49.46,2.58
49.96,2.30
50.46,2.04
50.96,1.80
51.47,1.59
51.99,1.37
52.51,1.14
53.03,0.92
53.56,0.75
54.10,0.59
54.64,0.45
55.18,0.33
55.74,0.25
56.29,0.19
56.86,0.15
57.42,0.13
58.00,0.10
58.58,0.14
59.16,0.19
59.76,0.29
60.35,0.38
60.96,0.46
61.57,0.53
62.18,0.64
62.80,0.79
63.43,0.94
64.07,1.11
64.71,1.28
65.35,1.45
66.01,1.62
66.67,1.78
67.33,1.95
68.01,2.10
68.69,2.25
69.37,2.40
70.07,2.55
70.77,2.67
71.48,2.79
72.19,2.91
72.91,3.02
73.64,3.10
74.38,3.18
75.12,3.26
75.87,3.34
76.63,3.42
77.40,3.49
78.17,3.54
78.95,3.58
79.74,3.63
80.54,3.67
81.35,3.70
82.16,3.70
82.98,3.73
83.81,3.78
84.65,3.80
85.50,3.83
86.35,3.86
87.22,3.92
