frequency,raw
20.00,4.75
20.20,4.87
20.40,4.98
20.61,5.10
20.81,5.21
21.02,5.33
21.23,5.44
21.44,5.55
21.66,5.66
21.87,5.75
22.09,5.84
22.31,5.92
22.54,5.99
22.76,6.06
22.99,6.13
23.22,6.19
23.45,6.26
23.69,6.33
23.92,6.40
24.16,6.47
24.40,6.53
24.65,6.59
24.89,6.63
25.14,6.67
25.39,6.69
25.65,6.70
25.91,6.71
26.16,6.72
26.43,6.71
26.69,6.71
26.96,6.69
27.23,6.67
27.50,6.63
27.77,6.58
28.05,6.52
28.33,6.45
28.62,6.39
28.90,6.34
29.19,6.30
29.48,6.28
29.78,6.27
30.08,6.26
30.38,6.25
30.68,6.25
30.99,6.27
31.30,6.29
31.61,6.34
31.93,6.41
32.24,6.50
32.57,6.59
32.89,6.71
33.22,6.83
33.55,6.98
33.89,7.14
34.23,7.31
34.57,7.48
34.92,7.63
35.27,7.74
35.62,7.82
35.97,7.86
36.33,7.89
36.70,7.93
37.06,7.97
37.43,8.02
37.81,8.05
38.19,8.07
38.57,8.04
38.95,8.00
39.34,7.95
39.74,7.91
40.14,7.88
40.54,7.85
40.94,7.79
41.35,7.73
41.76,7.65
42.18,7.58
42.60,7.51
43.03,7.44
43.46,7.35
43.90,7.27
44.33,7.20
44.78,7.14
45.23,7.08
45.68,6.99
46.13,6.88
46.60,6.73
47.06,6.55
47.53,6.36
48.01,6.15
48.49,5.93
48.97,5.71
49.46,5.48
49.96,5.25
50.46,5.03
50.96,4.82
51.47,4.62
51.99,4.41
52.51,4.21
53.03,4.00
53.56,3.82
54.10,3.64
54.64,3.46
55.18,3.26
55.74,3.09
56.29,2.93
56.86,2.78
57.42,2.61
58.00,2.45
58.58,2.31
59.16,2.18
59.76,2.05
60.35,1.97
60.96,1.93
61.57,1.95
62.18,1.97
62.80,1.97
63.43,1.99
64.07,2.02
64.71,2.05
65.35,2.09
66.01,2.12
66.67,2.16
67.33,2.20
68.01,2.23
68.69,2.29
69.37,2.35
70.07,2.43
70.77,2.51
71.48,2.57
72.19,2.63
72.91,2.68
73.64,2.73
74.38,2.75
75.12,2.77
75.87,2.80
76.63,2.80
77.40,2.80
78.17,2.79
78.95,2.78
79.74,2.77
80.54,2.75
81.35,2.74
82.16,2.69
82.98,2.64
83.81,2.59
84.65,2.57
85.50,2.52
86.35,2.47
87.22,2.43
88.09,2.39
88.97,2.35
89.86,2.30
