frequency,raw
20.00,12.13
20.20,12.08
20.40,12.04
20.61,12.00
20.81,11.97
21.02,11.95
21.23,11.93
21.44,11.92
21.66,11.90
21.87,11.89
22.09,11.87
22.31,11.85
22.54,11.83
22.76,11.79
22.99,11.75
23.22,11.70
23.45,11.66
23.69,11.61
23.92,11.58
24.16,11.55
24.40,11.53
24.65,11.50
24.89,11.47
25.14,11.43
25.39,11.39
25.65,11.33
25.91,11.27
26.16,11.20
26.43,11.13
26.69,11.06
26.96,10.99
27.23,10.92
27.50,10.84
27.77,10.77
28.05,10.69
28.33,10.62
28.62,10.54
28.90,10.47
29.19,10.41
29.48,10.35
29.78,10.30
30.08,10.25
30.38,10.22
30.68,10.19
30.99,10.17
31.30,10.17
31.61,10.17
31.93,10.18
32.24,10.19
32.57,10.20
32.89,10.19
33.22,10.19
33.55,10.20
33.89,10.23
34.23,10.25
34.57,10.28
34.92,10.29
35.27,10.29
35.62,10.28
35.97,10.28
36.33,10.31
36.70,10.34
37.06,10.39
37.43,10.44
37.81,10.50
38.19,10.56
38.57,10.60
38.95,10.64
39.34,10.68
39.74,10.72
40.14,10.76
40.54,10.82
40.94,10.87
41.35,10.90
41.76,10.89
42.18,10.81
42.60,10.71
43.03,10.56
43.46,10.38
43.90,10.19
44.33,10.00
44.78,9.80
45.23,9.61
45.68,9.44
46.13,9.29
46.60,9.13
47.06,8.97
47.53,8.79
48.01,8.58
48.49,8.37
48.97,8.16
49.46,7.95
49.96,7.73
50.46,7.50
50.96,7.28
51.47,7.07
51.99,6.86
52.51,6.64
53.03,6.40
53.56,6.13
54.10,5.85
54.64,5.56
55.18,5.25
55.74,4.97
56.29,4.73
56.86,4.52
57.42,4.35
58.00,4.20
58.58,4.15
59.16,4.11
59.76,4.11
60.35,4.13
60.96,4.18
61.57,4.26
62.18,4.35
62.80,4.41
63.43,4.45
64.07,4.49
64.71,4.53
65.35,4.56
66.01,4.57
66.67,4.55
67.33,4.54
68.01,4.54
68.69,4.52
69.37,4.48
