frequency,raw
20.00,2.92
20.20,2.98
20.40,3.05
20.61,3.11
20.81,3.17
21.02,3.22
21.23,3.27
21.44,3.32
21.66,3.36
21.87,3.40
22.09,3.45
22.31,3.49
22.54,3.53
22.76,3.58
22.99,3.62
23.22,3.67
23.45,3.71
23.69,3.75
23.92,3.79
24.16,3.82
24.40,3.86
24.65,3.89
24.89,3.91
25.14,3.94
25.39,3.95
25.65,3.97
25.91,3.97
26.16,3.98
26.43,3.98
26.69,3.99
26.96,4.00
27.23,4.01
27.50,4.02
27.77,4.03
28.05,4.04
28.33,4.04
28.62,4.04
28.90,4.03
29.19,4.02
29.48,4.01
29.78,4.00
30.08,3.99
30.38,3.99
30.68,3.99
30.99,4.00
31.30,4.02
31.61,4.03
31.93,4.05
32.24,4.05
32.57,4.04
32.89,4.02
33.22,4.00
33.55,3.97
33.89,3.93
34.23,3.92
34.57,3.90
34.92,3.91
35.27,3.90
35.62,3.89
35.97,3.86
36.33,3.83
36.70,3.79
37.06,3.77
37.43,3.76
37.81,3.76
38.19,3.76
38.57,3.73
38.95,3.71
39.34,3.68
39.74,3.66
40.14,3.65
40.54,3.63
40.94,3.60
41.35,3.56
41.76,3.52
42.18,3.50
42.60,3.48
43.03,3.46
43.46,3.41
43.90,3.36
44.33,3.32
44.78,3.29
45.23,3.27
45.68,3.24
46.13,3.20
46.60,3.14
47.06,3.08
47.53,3.03
48.01,3.00
48.49,2.99
48.97,2.99
49.46,2.99
49.96,2.98
50.46,2.96
50.96,2.94
51.47,2.93
51.99,2.90
52.51,2.86
53.03,2.81
53.56,2.76
54.10,2.72
54.64,2.67
55.18,2.63
55.74,2.63
56.29,2.64
56.86,2.67
57.42,2.70
58.00,2.74
58.58,2.76
59.16,2.78
59.76,2.80
60.35,2.84
60.96,2.89
61.57,2.92
62.18,2.96
62.80,3.01
63.43,3.08
64.07,3.15
64.71,3.23
65.35,3.32
66.01,3.41
66.67,3.49
67.33,3.55
68.01,3.59
68.69,3.59
69.37,3.56
70.07,3.51
70.77,3.43
71.48,3.36
72.19,3.29
72.91,3.23
73.64,3.20
74.38,3.18
75.12,3.17
75.87,3.15
76.63,3.13
77.40,3.09
78.17,3.04
78.95,2.98
79.74,2.92
80.54,2.85
81.35,2.79
82.16,2.73
82.98,2.67
83.81,2.61
84.65,2.56
85.50,2.51
86.35,2.46
87.22,2.42
88.09,2.37
88.97,2.32
89.86,2.29
90.76,2.25
91.66,2.21
92.58,2.17
93.51,2.15
94.44,2.11
95.39,2.07
96.34,2.04
97.30,2.03
98.28,2.01
99.26,1.99
100.25,1.98
101.25,1.98
102.27,1.98
103.29,1.98
104.32,1.97
105.37,1.95
106.42,1.94
107.48,1.94
108.56,1.92
109.64,1.91
110.74,1.89
111.85,1.89
112.97,1.87
114.10,1.86
115.24,1.85
116.39,1.84
117.55,1.83
118.73,1.81
119.92,1.81
121.12,1.80
122.33,1.78
123.55,1.77
124.79,1.75
126.03,1.73
127.29,1.72
128.57,1.71
129.85,1.69
131.15,1.68
132.46,1.66
133.79,1.65
135.12,1.63
136.48,1.61
137.84,1.59
139.22,1.58
140.61,1.57
142.02,1.55
143.44,1.54
144.87,1.54
146.32,1.53
147.78,1.52
149.26,1.49
150.75,1.46
152.26,1.42
153.78,1.38
155.32,1.35
156.88,1.33
158.44,1.30
160.03,1.28
161.63,1.27
163.24,1.25
164.88,1.22
166.53,1.19
168.19,1.15
169.87,1.12
171.57,1.11
173.29,1.09
175.02,1.05
176.77,1.02
178.54,0.99
180.32,0.96
182.13,0.94
183.95,0.92
185.79,0.90
187.65,0.88
189.52,0.86
191.42,0.85
193.33,0.84
195.27,0.82
197.22,0.81
199.19,0.82
201.18,0.80
203.19,0.77
205.23,0.75
207.28,0.72
209.35,0.68
211.44,0.68
213.56,0.67
215.69,0.65
217.85,0.64
220.03,0.62
222.23,0.61
224.45,0.60
226.70,0.58
228.96,0.55
231.25,0.54
233.57,0.54
235.90,0.54
238.26,0.52
240.64,0.51
243.05,0.50
245.48,0.51
247.93,0.52
250.41,0.52
252.92,0.51
255.45,0.51
258.00,0.51
260.58,0.53
