frequency,raw
20.00,-3.05
20.20,-2.90
20.40,-2.76
20.61,-2.62
20.81,-2.48
21.02,-2.34
21.23,-2.21
21.44,-2.08
21.66,-1.94
21.87,-1.81
22.09,-1.68
22.31,-1.55
22.54,-1.41
22.76,-1.27
22.99,-1.13
23.22,-0.99
23.45,-0.85
23.69,-0.71
23.92,-0.58
24.16,-0.45
24.40,-0.33
24.65,-0.20
24.89,-0.09
25.14,0.03
25.39,0.14
25.65,0.25
25.91,0.35
26.16,0.45
26.43,0.55
26.69,0.64
26.96,0.73
27.23,0.82
27.50,0.90
27.77,0.98
28.05,1.06
28.33,1.13
28.62,1.20
28.90,1.25
29.19,1.31
29.48,1.37
29.78,1.42
30.08,1.47
30.38,1.52
30.68,1.57
30.99,1.61
31.30,1.65
31.61,1.68
31.93,1.71
32.24,1.73
32.57,1.75
32.89,1.78
33.22,1.80
33.55,1.82
33.89,1.83
34.23,1.84
34.57,1.84
34.92,1.84
35.27,1.84
35.62,1.84
35.97,1.84
36.33,1.83
36.70,1.82
37.06,1.82
37.43,1.80
37.81,1.79
38.19,1.78
38.57,1.77
38.95,1.75
39.34,1.73
39.74,1.70
40.14,1.68
40.54,1.66
40.94,1.64
41.35,1.62
41.76,1.60
42.18,1.58
42.60,1.55
43.03,1.53
43.46,1.50
43.90,1.46
44.33,1.43
44.78,1.40
45.23,1.38
45.68,1.35
46.13,1.31
46.60,1.26
47.06,1.23
47.53,1.22
48.01,1.23
48.49,1.21
48.97,1.15
49.46,1.07
49.96,1.00
50.46,0.97
50.96,0.95
51.47,0.92
51.99,0.87
52.51,0.83
53.03,0.80
53.56,0.77
54.10,0.74
54.64,0.70
55.18,0.66
55.74,0.63
56.29,0.60
56.86,0.58
57.42,0.55
58.00,0.52
58.58,0.50
59.16,0.47
59.76,0.45
60.35,0.43
60.96,0.40
61.57,0.38
62.18,0.36
62.80,0.33
63.43,0.31
64.07,0.28
64.71,0.27
65.35,0.25
66.01,0.24
66.67,0.22
67.33,0.20
68.01,0.19
68.69,0.19
69.37,0.17
70.07,0.15
70.77,0.15
71.48,0.13
72.19,0.12
72.91,0.11
73.64,0.11
74.38,0.09
75.12,0.07
75.87,0.07
76.63,0.06
77.40,0.04
78.17,0.04
78.95,0.04
79.74,0.02
80.54,0.04
81.35,0.05
82.16,-0.01
82.98,-0.04
83.81,-0.05
84.65,-0.04
85.50,-0.04
86.35,-0.07
87.22,-0.08
88.09,-0.10
88.97,-0.12
89.86,-0.15
90.76,-0.16
91.66,-0.18
92.58,-0.20
93.51,-0.22
94.44,-0.23
95.39,-0.25
96.34,-0.27
97.30,-0.30
98.28,-0.32
99.26,-0.34
100.25,-0.34
101.25,-0.36
102.27,-0.37
103.29,-0.39
104.32,-0.42
105.37,-0.43
106.42,-0.44
107.48,-0.47
108.56,-0.49
109.64,-0.50
110.74,-0.51
111.85,-0.55
112.97,-0.56
