frequency,raw
20.00,-1.62
20.20,-1.54
20.40,-1.48
20.61,-1.42
20.81,-1.38
21.02,-1.34
21.23,-1.30
21.44,-1.27
21.66,-1.22
21.87,-1.18
22.09,-1.13
22.31,-1.07
22.54,-1.03
22.76,-0.99
22.99,-0.96
23.22,-0.95
23.45,-0.94
23.69,-0.93
23.92,-0.93
24.16,-0.92
24.40,-0.90
24.65,-0.87
24.89,-0.84
25.14,-0.82
25.39,-0.80
25.65,-0.78
25.91,-0.77
26.16,-0.75
26.43,-0.73
26.69,-0.70
26.96,-0.67
27.23,-0.63
27.50,-0.59
27.77,-0.56
28.05,-0.52
28.33,-0.48
28.62,-0.45
28.90,-0.42
29.19,-0.40
29.48,-0.38
29.78,-0.35
30.08,-0.33
30.38,-0.29
30.68,-0.26
30.99,-0.22
31.30,-0.20
31.61,-0.19
31.93,-0.19
32.24,-0.21
32.57,-0.24
32.89,-0.27
33.22,-0.29
33.55,-0.30
33.89,-0.31
34.23,-0.32
34.57,-0.34
34.92,-0.36
35.27,-0.38
35.62,-0.39
35.97,-0.39
36.33,-0.37
36.70,-0.36
37.06,-0.36
37.43,-0.37
37.81,-0.38
38.19,-0.40
38.57,-0.41
38.95,-0.40
39.34,-0.39
39.74,-0.38
40.14,-0.38
40.54,-0.38
40.94,-0.40
41.35,-0.41
41.76,-0.42
42.18,-0.42
42.60,-0.43
43.03,-0.44
43.46,-0.45
43.90,-0.47
44.33,-0.48
44.78,-0.50
45.23,-0.51
45.68,-0.51
46.13,-0.50
46.60,-0.48
47.06,-0.49
47.53,-0.51
48.01,-0.54
48.49,-0.55
48.97,-0.54
49.46,-0.52
49.96,-0.51
50.46,-0.53
50.96,-0.55
51.47,-0.55
51.99,-0.53
52.51,-0.51
53.03,-0.51
53.56,-0.51
54.10,-0.52
54.64,-0.54
55.18,-0.55
55.74,-0.57
56.29,-0.59
56.86,-0.60
57.42,-0.62
58.00,-0.63
58.58,-0.65
59.16,-0.66
59.76,-0.68
60.35,-0.69
60.96,-0.70
61.57,-0.69
62.18,-0.69
62.80,-0.70
63.43,-0.72
64.07,-0.75
64.71,-0.78
65.35,-0.81
66.01,-0.83
66.67,-0.84
67.33,-0.85
68.01,-0.86
68.69,-0.86
69.37,-0.87
70.07,-0.87
70.77,-0.88
71.48,-0.90
72.19,-0.90
72.91,-0.91
73.64,-0.92
74.38,-0.93
75.12,-0.94
75.87,-0.95
76.63,-0.96
77.40,-0.98
78.17,-0.99
78.95,-1.00
79.74,-1.01
80.54,-1.03
81.35,-1.05
82.16,-1.06
82.98,-1.07
83.81,-1.08
84.65,-1.09
85.50,-1.10
86.35,-1.11
87.22,-1.12
88.09,-1.13
88.97,-1.14
89.86,-1.14
90.76,-1.14
91.66,-1.15
92.58,-1.15
93.51,-1.16
94.44,-1.18
95.39,-1.19
96.34,-1.21
97.30,-1.23
98.28,-1.24
99.26,-1.26
100.25,-1.28
101.25,-1.29
102.27,-1.29
103.29,-1.29
104.32,-1.28
105.37,-1.28
106.42,-1.28
107.48,-1.28
108.56,-1.29
109.64,-1.30
110.74,-1.31
111.85,-1.33
112.97,-1.34
114.10,-1.35
115.24,-1.36
116.39,-1.37
117.55,-1.39
118.73,-1.40
119.92,-1.41
121.12,-1.42
122.33,-1.42
123.55,-1.42
124.79,-1.43
126.03,-1.43
127.29,-1.44
128.57,-1.44
129.85,-1.46
131.15,-1.47
132.46,-1.47
133.79,-1.47
135.12,-1.46
136.48,-1.46
137.84,-1.45
139.22,-1.46
140.61,-1.47
142.02,-1.48
143.44,-1.49
144.87,-1.49
146.32,-1.50
147.78,-1.50
149.26,-1.49
150.75,-1.50
152.26,-1.51
153.78,-1.52
155.32,-1.53
156.88,-1.52
158.44,-1.51
160.03,-1.49
161.63,-1.49
163.24,-1.49
164.88,-1.49
166.53,-1.48
168.19,-1.47
169.87,-1.46
171.57,-1.45
173.29,-1.45
175.02,-1.46
176.77,-1.46
178.54,-1.46
180.32,-1.45
182.13,-1.45
183.95,-1.44
185.79,-1.43
187.65,-1.43
189.52,-1.43
191.42,-1.43
193.33,-1.43
195.27,-1.43
197.22,-1.44
199.19,-1.43
201.18,-1.43
203.19,-1.42
205.23,-1.42
207.28,-1.43
209.35,-1.43
211.44,-1.43
213.56,-1.43
215.69,-1.44
217.85,-1.45
220.03,-1.46
222.23,-1.46
224.45,-1.46
226.70,-1.46
228.96,-1.47
231.25,-1.48
233.57,-1.50
235.90,-1.51
238.26,-1.53
240.64,-1.54
243.05,-1.56
245.48,-1.58
247.93,-1.62
250.41,-1.66
252.92,-1.71
255.45,-1.77
258.00,-1.82
260.58,-1.90
263.19,-1.98
265.82,-2.07
268.48,-2.17
271.16,-2.26
273.87,-2.34
276.61,-2.42
279.38,-2.48
282.17,-2.53
284.99,-2.58
287.84,-2.61
290.72,-2.62
293.63,-2.62
296.57,-2.60
299.53,-2.56
302.53,-2.51
305.55,-2.46
308.61,-2.43
311.69,-2.40
314.81,-2.38
317.96,-2.35
321.14,-2.32
324.35,-2.26
327.59,-2.22
330.87,-2.19
334.18,-2.17
337.52,-2.16
340.90,-2.14
344.30,-2.11
347.75,-2.07
351.23,-2.03
354.74,-2.00
358.28,-1.96
361.87,-1.93
365.49,-1.89
369.14,-1.87
372.83,-1.86
376.56,-1.84
380.33,-1.81
384.13,-1.78
387.97,-1.75
391.85,-1.73
395.77,-1.70
399.73,-1.68
403.72,-1.66
407.76,-1.64
411.84,-1.61
415.96,-1.59
420.12,-1.57
424.32,-1.55
428.56,-1.53
432.85,-1.50
437.18,-1.47
441.55,-1.44
445.96,-1.41
450.42,-1.37
454.93,-1.35
459.48,-1.35
464.07,-1.34
468.71,-1.34
473.40,-1.32
478.13,-1.29
482.91,-1.27
487.74,-1.24
492.62,-1.21
497.55,-1.17
502.52,-1.13
507.55,-1.09
512.62,-1.04
517.75,-1.00
522.93,-0.98
528.16,-0.99
533.44,-1.00
538.77,-1.04
544.16,-1.10
549.60,-1.17
555.10,-1.25
560.65,-1.33
566.25,-1.41
571.92,-1.48
577.64,-1.54
583.41,-1.57
589.25,-1.58
595.14,-1.57
601.09,-1.54
607.10,-1.50
613.17,-1.45
619.30,-1.40
625.50,-1.34
631.75,-1.27
638.07,-1.19
644.45,-1.10
650.89,-1.01
657.40,-0.92
663.98,-0.83
670.62,-0.76
677.32,-0.72
684.10,-0.67
690.94,-0.63
697.85,-0.58
704.83,-0.52
711.87,-0.45
718.99,-0.38
726.18,-0.30
733.44,-0.23
740.78,-0.17
748.19,-0.15
755.67,-0.14
763.23,-0.13
770.86,-0.13
778.57,-0.13
786.35,-0.11
794.22,-0.07
802.16,-0.03
810.18,-0.01
818.28,-0.00
826.46,-0.00
834.73,-0.02
843.08,-0.04
851.51,-0.05
860.02,-0.06
868.62,-0.09
877.31,-0.12
886.08,-0.16
894.94,-0.19
