frequency,raw
20.00,-3.89
20.20,-3.84
20.40,-3.78
20.61,-3.71
20.81,-3.63
21.02,-3.54
21.23,-3.44
21.44,-3.36
21.66,-3.28
21.87,-3.21
22.09,-3.15
22.31,-3.10
22.54,-3.05
22.76,-3.00
22.99,-2.95
23.22,-2.88
23.45,-2.80
23.69,-2.72
23.92,-2.64
24.16,-2.57
24.40,-2.52
24.65,-2.48
24.89,-2.46
25.14,-2.45
25.39,-2.44
25.65,-2.43
25.91,-2.40
26.16,-2.36
26.43,-2.31
26.69,-2.27
26.96,-2.22
27.23,-2.19
27.50,-2.17
27.77,-2.15
28.05,-2.13
28.33,-2.10
28.62,-2.08
28.90,-2.05
29.19,-2.03
29.48,-2.01
29.78,-2.00
30.08,-1.98
30.38,-1.97
30.68,-1.94
30.99,-1.91
31.30,-1.88
31.61,-1.85
31.93,-1.84
32.24,-1.85
32.57,-1.85
32.89,-1.86
33.22,-1.85
33.55,-1.84
33.89,-1.82
34.23,-1.80
34.57,-1.78
34.92,-1.76
35.27,-1.75
35.62,-1.73
35.97,-1.72
36.33,-1.71
36.70,-1.71
37.06,-1.70
37.43,-1.70
37.81,-1.69
38.19,-1.68
38.57,-1.66
38.95,-1.65
39.34,-1.65
39.74,-1.66
40.14,-1.68
40.54,-1.70
40.94,-1.71
41.35,-1.72
41.76,-1.71
42.18,-1.69
42.60,-1.67
43.03,-1.66
43.46,-1.66
43.90,-1.67
44.33,-1.68
44.78,-1.68
45.23,-1.68
45.68,-1.68
46.13,-1.69
46.60,-1.70
47.06,-1.69
47.53,-1.68
48.01,-1.67
48.49,-1.68
48.97,-1.70
49.46,-1.72
49.96,-1.71
50.46,-1.68
50.96,-1.65
51.47,-1.63
51.99,-1.64
52.51,-1.66
53.03,-1.67
53.56,-1.68
54.10,-1.68
54.64,-1.68
55.18,-1.67
55.74,-1.67
56.29,-1.68
56.86,-1.69
57.42,-1.70
58.00,-1.72
58.58,-1.74
59.16,-1.75
59.76,-1.76
60.35,-1.77
60.96,-1.79
61.57,-1.81
62.18,-1.83
62.80,-1.85
63.43,-1.87
64.07,-1.89
64.71,-1.91
65.35,-1.92
66.01,-1.92
66.67,-1.93
67.33,-1.94
68.01,-1.95
68.69,-1.96
69.37,-1.97
70.07,-1.99
70.77,-2.01
71.48,-2.04
72.19,-2.06
72.91,-2.07
73.64,-2.08
74.38,-2.09
75.12,-2.10
75.87,-2.11
