frequency,raw
20.00,8.91
20.20,8.93
20.40,8.95
20.61,8.98
20.81,9.00
21.02,9.02
21.23,9.04
21.44,9.06
21.66,9.07
21.87,9.09
22.09,9.10
22.31,9.12
22.54,9.13
22.76,9.15
22.99,9.16
23.22,9.17
23.45,9.19
23.69,9.20
23.92,9.20
24.16,9.21
24.40,9.22
24.65,9.22
24.89,9.23
25.14,9.23
25.39,9.24
25.65,9.24
25.91,9.25
26.16,9.25
26.43,9.25
26.69,9.25
26.96,9.25
27.23,9.25
27.50,9.25
27.77,9.25
28.05,9.25
28.33,9.25
28.62,9.25
28.90,9.25
29.19,9.24
29.48,9.23
29.78,9.23
30.08,9.22
30.38,9.22
30.68,9.22
30.99,9.22
31.30,9.21
31.61,9.21
31.93,9.20
32.24,9.18
32.57,9.16
32.89,9.14
33.22,9.13
33.55,9.12
33.89,9.11
34.23,9.10
34.57,9.08
34.92,9.06
35.27,9.03
35.62,9.00
35.97,8.97
36.33,8.96
36.70,8.95
37.06,8.94
37.43,8.92
37.81,8.89
38.19,8.86
38.57,8.82
38.95,8.79
39.34,8.75
39.74,8.72
40.14,8.69
40.54,8.66
40.94,8.65
41.35,8.63
41.76,8.61
42.18,8.58
42.60,8.55
43.03,8.50
43.46,8.46
43.90,8.42
44.33,8.38
44.78,8.35
45.23,8.30
45.68,8.26
46.13,8.21
46.60,8.17
47.06,8.12
47.53,8.07
48.01,8.02
48.49,7.96
48.97,7.91
49.46,7.86
49.96,7.81
50.46,7.77
50.96,7.72
51.47,7.67
51.99,7.62
52.51,7.56
53.03,7.51
53.56,7.45
54.10,7.39
54.64,7.34
55.18,7.29
55.74,7.24
56.29,7.19
56.86,7.12
57.42,7.07
58.00,7.01
58.58,6.96
59.16,6.90
59.76,6.84
60.35,6.78
60.96,6.72
61.57,6.66
62.18,6.60
62.80,6.53
63.43,6.46
64.07,6.39
64.71,6.31
65.35,6.23
66.01,6.16
66.67,6.09
67.33,6.02
68.01,5.95
68.69,5.87
69.37,5.80
70.07,5.72
70.77,5.64
71.48,5.57
72.19,5.51
72.91,5.44
73.64,5.39
74.38,5.33
75.12,5.26
75.87,5.19
76.63,5.13
77.40,5.07
78.17,5.01
78.95,4.96
79.74,4.92
80.54,4.88
81.35,4.84
82.16,4.80
82.98,4.78
83.81,4.75
84.65,4.72
85.50,4.70
86.35,4.68
87.22,4.66
88.09,4.64
88.97,4.62
89.86,4.60
90.76,4.61
91.66,4.60
92.58,4.58
93.51,4.58
94.44,4.58
95.39,4.58
96.34,4.59
97.30,4.59
98.28,4.58
99.26,4.59
100.25,4.61
101.25,4.59
102.27,4.59
103.29,4.59
104.32,4.60
105.37,4.59
106.42,4.59
107.48,4.58
108.56,4.55
109.64,4.53
110.74,4.50
111.85,4.46
112.97,4.43
114.10,4.40
115.24,4.34
116.39,4.31
117.55,4.27
118.73,4.20
119.92,4.13
121.12,4.07
122.33,4.00
123.55,3.90
124.79,3.80
126.03,3.72
127.29,3.63
128.57,3.53
129.85,3.44
131.15,3.35
132.46,3.25
133.79,3.16
135.12,3.09
136.48,3.01
137.84,2.92
139.22,2.84
140.61,2.76
142.02,2.69
143.44,2.63
144.87,2.56
146.32,2.50
