frequency,raw
20.00,5.58
20.20,5.57
20.40,5.58
20.61,5.61
20.81,5.63
21.02,5.66
21.23,5.69
21.44,5.72
21.66,5.74
21.87,5.76
22.09,5.78
22.31,5.80
22.54,5.81
22.76,5.82
22.99,5.84
23.22,5.85
23.45,5.87
23.69,5.90
23.92,5.93
24.16,5.96
24.40,6.00
24.65,6.04
24.89,6.06
25.14,6.08
25.39,6.09
25.65,6.08
25.91,6.08
26.16,6.07
26.43,6.08
26.69,6.09
26.96,6.12
27.23,6.14
27.50,6.17
27.77,6.19
28.05,6.19
28.33,6.19
28.62,6.19
28.90,6.19
29.19,6.19
29.48,6.19
29.78,6.21
30.08,6.22
30.38,6.23
30.68,6.23
30.99,6.23
31.30,6.22
31.61,6.21
31.93,6.21
32.24,6.22
32.57,6.23
32.89,6.26
33.22,6.29
33.55,6.31
33.89,6.32
34.23,6.33
34.57,6.33
34.92,6.32
35.27,6.30
35.62,6.29
35.97,6.28
36.33,6.28
36.70,6.29
37.06,6.30
37.43,6.32
37.81,6.33
38.19,6.34
38.57,6.34
38.95,6.36
39.34,6.37
39.74,6.39
40.14,6.41
40.54,6.42
40.94,6.42
41.35,6.42
41.76,6.42
42.18,6.43
42.60,6.44
43.03,6.45
43.46,6.44
43.90,6.43
44.33,6.42
44.78,6.41
45.23,6.40
45.68,6.39
46.13,6.38
46.60,6.35
47.06,6.33
47.53,6.29
48.01,6.26
48.49,6.22
48.97,6.20
49.46,6.18
49.96,6.16
50.46,6.13
50.96,6.10
51.47,6.07
51.99,6.04
52.51,6.01
53.03,5.98
53.56,5.95
54.10,5.92
54.64,5.89
55.18,5.87
55.74,5.85
56.29,5.83
56.86,5.80
57.42,5.78
58.00,5.77
58.58,5.75
59.16,5.74
59.76,5.71
60.35,5.69
60.96,5.67
61.57,5.66
62.18,5.67
62.80,5.67
63.43,5.66
64.07,5.65
64.71,5.66
65.35,5.66
66.01,5.66
66.67,5.66
67.33,5.66
68.01,5.65
68.69,5.64
69.37,5.64
70.07,5.64
70.77,5.62
71.48,5.59
72.19,5.57
72.91,5.56
73.64,5.54
74.38,5.52
75.12,5.49
75.87,5.47
76.63,5.44
77.40,5.40
78.17,5.39
78.95,5.37
79.74,5.34
80.54,5.29
81.35,5.24
82.16,5.20
82.98,5.16
83.81,5.13
84.65,5.10
85.50,5.06
86.35,5.02
87.22,4.97
88.09,4.91
88.97,4.87
89.86,4.83
90.76,4.78
91.66,4.73
92.58,4.69
93.51,4.62
94.44,4.57
95.39,4.52
96.34,4.46
97.30,4.42
98.28,4.35
99.26,4.28
100.25,4.23
101.25,4.21
102.27,4.15
103.29,4.09
104.32,4.03
105.37,3.98
106.42,3.93
107.48,3.86
108.56,3.80
109.64,3.75
110.74,3.70
111.85,3.61
112.97,3.55
114.10,3.49
115.24,3.43
116.39,3.37
117.55,3.30
118.73,3.22
119.92,3.15
121.12,3.08
122.33,3.01
123.55,2.93
124.79,2.87
126.03,2.80
127.29,2.74
128.57,2.68
129.85,2.60
131.15,2.52
132.46,2.46
133.79,2.40
135.12,2.33
136.48,2.27
137.84,2.23
139.22,2.18
140.61,2.13
142.02,2.07
143.44,2.01
144.87,1.93
146.32,1.87
147.78,1.82
149.26,1.79
150.75,1.75
152.26,1.70
153.78,1.65
155.32,1.60
156.88,1.58
158.44,1.55
160.03,1.52
161.63,1.50
163.24,1.48
164.88,1.46
166.53,1.43
168.19,1.41
169.87,1.41
171.57,1.39
173.29,1.37
175.02,1.36
176.77,1.39
178.54,1.40
180.32,1.40
182.13,1.41
183.95,1.43
185.79,1.46
187.65,1.48
189.52,1.48
191.42,1.50
193.33,1.51
195.27,1.54
197.22,1.56
199.19,1.59
201.18,1.63
203.19,1.69
205.23,1.70
207.28,1.73
209.35,1.78
211.44,1.80
213.56,1.85
215.69,1.90
217.85,1.95
220.03,1.99
222.23,2.01
224.45,2.05
226.70,2.14
228.96,2.17
231.25,2.20
233.57,2.23
235.90,2.30
238.26,2.35
240.64,2.40
243.05,2.44
245.48,2.50
247.93,2.55
250.41,2.58
252.92,2.60
255.45,2.64
258.00,2.68
260.58,2.74
263.19,2.77
265.82,2.78
268.48,2.82
271.16,2.85
273.87,2.88
276.61,2.91
279.38,2.95
282.17,2.98
284.99,3.02
287.84,3.02
290.72,3.02
293.63,3.05
296.57,3.07
299.53,3.08
302.53,3.13
305.55,3.15
308.61,3.16
311.69,3.17
314.81,3.16
317.96,3.11
321.14,3.10
324.35,3.13
327.59,3.12
330.87,3.09
334.18,3.01
337.52,3.01
340.90,3.05
344.30,3.12
347.75,3.13
351.23,3.13
354.74,3.13
358.28,3.15
361.87,3.16
365.49,3.15
369.14,3.14
372.83,3.12
376.56,3.12
380.33,3.16
384.13,3.17
387.97,3.15
391.85,3.13
395.77,3.11
399.73,3.11
403.72,3.10
407.76,3.09
411.84,3.08
415.96,3.06
420.12,3.03
424.32,3.00
428.56,2.99
432.85,2.98
437.18,2.96
441.55,2.94
445.96,2.91
450.42,2.89
454.93,2.89
459.48,2.82
464.07,2.78
468.71,2.76
473.40,2.74
478.13,2.70
482.91,2.67
487.74,2.65
492.62,2.63
497.55,2.57
502.52,2.51
507.55,2.47
512.62,2.44
517.75,2.41
522.93,2.36
528.16,2.33
533.44,2.30
538.77,2.27
544.16,2.19
549.60,2.14
555.10,2.08
560.65,2.04
566.25,2.01
571.92,1.98
577.64,1.93
583.41,1.88
589.25,1.84
595.14,1.79
601.09,1.75
607.10,1.68
613.17,1.60
619.30,1.58
625.50,1.56
631.75,1.49
638.07,1.43
644.45,1.37
650.89,1.31
657.40,1.30
663.98,1.28
670.62,1.23
677.32,1.16
684.10,1.09
690.94,1.03
697.85,0.96
704.83,0.90
711.87,0.83
718.99,0.77
726.18,0.74
733.44,0.68
740.78,0.58
748.19,0.54
755.67,0.49
763.23,0.44
770.86,0.37
778.57,0.32
786.35,0.27
794.22,0.23
802.16,0.20
810.18,0.17
818.28,0.13
826.46,0.11
834.73,0.13
843.08,0.13
851.51,0.11
860.02,0.11
868.62,0.10
877.31,0.09
886.08,0.07
894.94,0.08
903.89,0.10
912.93,0.12
922.06,0.16
931.28,0.15
940.59,0.11
950.00,0.07
959.50,0.07
969.09,0.08
978.78,0.07
988.57,0.04
998.46,0.00
1008.44,-0.02
1018.53,-0.05
1028.71,-0.11
1039.00,-0.14
1049.39,-0.18
1059.88,-0.25
1070.48,-0.26
1081.19,-0.26
1092.00,-0.27
1102.92,-0.30
1113.95,-0.30
1125.09,-0.28
1136.34,-0.27
1147.70,-0.25
1159.18,-0.25
1170.77,-0.27
1182.48,-0.24
1194.30,-0.24
1206.25,-0.24
1218.31,-0.22
1230.49,-0.21
1242.80,-0.21
1255.22,-0.25
1267.78,-0.25
1280.45,-0.28
1293.26,-0.28
1306.19,-0.27
1319.25,-0.27
1332.45,-0.30
1345.77,-0.32
1359.23,-0.35
1372.82,-0.41
1386.55,-0.46
1400.41,-0.49
1414.42,-0.50
1428.56,-0.51
1442.85,-0.57
1457.28,-0.61
1471.85,-0.61
1486.57,-0.63
1501.43,-0.64
1516.45,-0.63
1531.61,-0.62
1546.93,-0.62
1562.40,-0.59
1578.02,-0.57
1593.80,-0.60
1609.74,-0.56
1625.84,-0.50
1642.10,-0.43
1658.52,-0.33
1675.10,-0.20
1691.85,-0.11
1708.77,-0.02
1725.86,0.06
1743.12,0.14
1760.55,0.24
1778.15,0.35
1795.94,0.46
