frequency,raw
20.00,-5.17
20.20,-5.05
20.40,-4.94
20.61,-4.83
20.81,-4.73
21.02,-4.63
21.23,-4.54
21.44,-4.46
21.66,-4.39
21.87,-4.33
22.09,-4.28
22.31,-4.24
22.54,-4.21
22.76,-4.19
22.99,-4.18
23.22,-4.16
23.45,-4.15
23.69,-4.14
23.92,-4.12
24.16,-4.10
24.40,-4.08
24.65,-4.07
24.89,-4.06
25.14,-4.06
25.39,-4.06
25.65,-4.05
25.91,-4.04
26.16,-4.03
26.43,-3.99
26.69,-3.94
26.96,-3.88
27.23,-3.80
27.50,-3.72
27.77,-3.63
28.05,-3.55
28.33,-3.47
28.62,-3.39
28.90,-3.31
29.19,-3.25
29.48,-3.19
29.78,-3.13
30.08,-3.08
30.38,-3.04
30.68,-3.00
30.99,-2.97
31.30,-2.94
31.61,-2.92
31.93,-2.90
32.24,-2.88
32.57,-2.86
32.89,-2.84
33.22,-2.82
33.55,-2.80
33.89,-2.78
34.23,-2.76
34.57,-2.73
34.92,-2.69
35.27,-2.64
35.62,-2.59
35.97,-2.54
36.33,-2.49
36.70,-2.44
37.06,-2.39
37.43,-2.34
37.81,-2.29
38.19,-2.24
38.57,-2.19
38.95,-2.16
39.34,-2.13
39.74,-2.10
40.14,-2.07
40.54,-2.04
40.94,-2.01
41.35,-1.98
41.76,-1.95
42.18,-1.92
42.60,-1.90
43.03,-1.87
43.46,-1.84
43.90,-1.81
44.33,-1.78
44.78,-1.75
45.23,-1.71
45.68,-1.68
46.13,-1.65
46.60,-1.62
47.06,-1.59
47.53,-1.57
48.01,-1.54
48.49,-1.52
48.97,-1.50
49.46,-1.47
49.96,-1.45
50.46,-1.43
50.96,-1.41
51.47,-1.39
51.99,-1.37
52.51,-1.35
53.03,-1.32
53.56,-1.30
54.10,-1.28
54.64,-1.26
55.18,-1.24
55.74,-1.23
56.29,-1.21
56.86,-1.20
57.42,-1.18
58.00,-1.17
58.58,-1.15
59.16,-1.13
59.76,-1.12
60.35,-1.10
60.96,-1.08
61.57,-1.07
62.18,-1.05
62.80,-1.04
63.43,-1.03
64.07,-1.02
64.71,-1.00
65.35,-0.99
66.01,-0.98
66.67,-0.97
67.33,-0.96
68.01,-0.94
68.69,-0.93
69.37,-0.92
70.07,-0.91
70.77,-0.90
71.48,-0.89
72.19,-0.88
72.91,-0.88
73.64,-0.87
74.38,-0.86
75.12,-0.85
75.87,-0.85
76.63,-0.84
77.40,-0.84
78.17,-0.83
78.95,-0.83
79.74,-0.82
80.54,-0.82
81.35,-0.82
82.16,-0.81
82.98,-0.81
83.81,-0.80
84.65,-0.80
85.50,-0.79
86.35,-0.79
87.22,-0.78
88.09,-0.78
88.97,-0.77
89.86,-0.76
90.76,-0.75
91.66,-0.74
92.58,-0.73
93.51,-0.72
94.44,-0.71
95.39,-0.71
96.34,-0.70
97.30,-0.69
98.28,-0.69
99.26,-0.68
100.25,-0.68
101.25,-0.68
102.27,-0.68
103.29,-0.68
104.32,-0.68
105.37,-0.68
106.42,-0.69
107.48,-0.69
108.56,-0.70
109.64,-0.70
110.74,-0.71
111.85,-0.72
112.97,-0.73
114.10,-0.74
115.24,-0.75
116.39,-0.76
117.55,-0.77
118.73,-0.78
119.92,-0.79
121.12,-0.80
122.33,-0.81
123.55,-0.82
124.79,-0.83
126.03,-0.84
127.29,-0.85
128.57,-0.87
129.85,-0.88
131.15,-0.89
132.46,-0.91
133.79,-0.92
135.12,-0.94
136.48,-0.95
137.84,-0.96
139.22,-0.98
140.61,-0.99
142.02,-1.00
