frequency,raw
20.00,7.65
20.20,7.68
20.40,7.71
20.61,7.74
20.81,7.78
21.02,7.82
21.23,7.86
21.44,7.91
21.66,7.96
21.87,8.01
22.09,8.05
22.31,8.10
22.54,8.14
22.76,8.18
22.99,8.22
23.22,8.26
23.45,8.30
23.69,8.35
23.92,8.41
24.16,8.46
24.40,8.52
24.65,8.57
24.89,8.61
25.14,8.65
25.39,8.68
25.65,8.70
25.91,8.71
26.16,8.73
26.43,8.74
26.69,8.75
26.96,8.77
27.23,8.79
27.50,8.81
27.77,8.83
28.05,8.84
28.33,8.86
28.62,8.88
28.90,8.90
29.19,8.91
29.48,8.93
29.78,8.95
30.08,8.96
30.38,8.98
30.68,9.00
30.99,9.03
31.30,9.06
31.61,9.09
31.93,9.13
32.24,9.16
32.57,9.19
32.89,9.22
33.22,9.25
33.55,9.27
33.89,9.30
34.23,9.33
34.57,9.35
34.92,9.37
35.27,9.38
35.62,9.39
35.97,9.39
36.33,9.39
36.70,9.39
37.06,9.40
37.43,9.41
37.81,9.42
38.19,9.43
38.57,9.44
38.95,9.45
39.34,9.46
39.74,9.46
40.14,9.46
40.54,9.46
40.94,9.47
41.35,9.50
41.76,9.54
42.18,9.58
42.60,9.61
43.03,9.64
43.46,9.66
43.90,9.69
44.33,9.71
44.78,9.72
45.23,9.72
45.68,9.71
46.13,9.69
46.60,9.69
47.06,9.69
47.53,9.68
48.01,9.67
48.49,9.66
48.97,9.66
49.46,9.67
49.96,9.68
50.46,9.68
50.96,9.68
51.47,9.68
51.99,9.68
52.51,9.68
53.03,9.68
53.56,9.68
54.10,9.68
54.64,9.68
55.18,9.67
55.74,9.66
56.29,9.65
56.86,9.64
57.42,9.64
58.00,9.64
58.58,9.63
59.16,9.63
59.76,9.62
60.35,9.62
60.96,9.61
61.57,9.61
62.18,9.60
62.80,9.59
63.43,9.58
64.07,9.57
64.71,9.56
65.35,9.55
66.01,9.54
66.67,9.53
67.33,9.52
68.01,9.51
68.69,9.49
69.37,9.48
70.07,9.46
70.77,9.43
71.48,9.40
72.19,9.38
72.91,9.36
73.64,9.35
74.38,9.33
75.12,9.31
75.87,9.29
76.63,9.28
77.40,9.26
78.17,9.25
78.95,9.23
79.74,9.22
80.54,9.20
81.35,9.18
82.16,9.17
82.98,9.16
83.81,9.15
84.65,9.14
85.50,9.13
86.35,9.12
87.22,9.11
88.09,9.08
88.97,9.05
89.86,9.01
90.76,8.96
91.66,8.91
92.58,8.86
93.51,8.81
94.44,8.75
95.39,8.70
96.34,8.64
97.30,8.58
98.28,8.53
99.26,8.47
100.25,8.41
101.25,8.35
102.27,8.30
103.29,8.24
104.32,8.18
105.37,8.11
106.42,8.05
107.48,7.98
108.56,7.91
109.64,7.84
110.74,7.78
111.85,7.72
112.97,7.65
114.10,7.59
115.24,7.51
116.39,7.42
117.55,7.33
118.73,7.23
119.92,7.14
121.12,7.06
122.33,7.01
123.55,6.97
124.79,6.93
126.03,6.89
127.29,6.84
128.57,6.79
129.85,6.73
131.15,6.67
132.46,6.61
133.79,6.55
135.12,6.48
136.48,6.41
137.84,6.33
139.22,6.26
140.61,6.17
142.02,6.09
143.44,6.00
144.87,5.90
146.32,5.80
147.78,5.70
149.26,5.59
150.75,5.49
152.26,5.38
153.78,5.28
155.32,5.18
156.88,5.09
158.44,5.01
160.03,4.95
161.63,4.91
163.24,4.87
164.88,4.81
166.53,4.75
168.19,4.69
169.87,4.64
171.57,4.66
173.29,4.71
175.02,4.78
176.77,4.82
178.54,4.86
180.32,4.90
182.13,4.95
183.95,4.98
185.79,5.01
187.65,5.03
189.52,5.02
191.42,4.97
193.33,4.90
195.27,4.80
197.22,4.72
199.19,4.69
201.18,4.70
203.19,4.72
205.23,4.72
207.28,4.66
209.35,4.58
211.44,4.48
213.56,4.39
215.69,4.29
217.85,4.20
220.03,4.11
222.23,4.04
224.45,3.96
226.70,3.88
228.96,3.79
231.25,3.69
233.57,3.59
235.90,3.49
238.26,3.40
240.64,3.31
243.05,3.23
245.48,3.14
247.93,3.05
250.41,2.95
252.92,2.83
255.45,2.71
258.00,2.59
260.58,2.50
263.19,2.43
265.82,2.35
268.48,2.25
271.16,2.16
273.87,2.05
276.61,1.94
279.38,1.83
282.17,1.74
284.99,1.66
287.84,1.58
290.72,1.50
293.63,1.41
296.57,1.34
299.53,1.29
302.53,1.23
305.55,1.17
308.61,1.12
311.69,1.08
314.81,1.06
317.96,1.04
321.14,1.02
324.35,1.01
327.59,0.99
330.87,0.98
334.18,0.96
337.52,0.93
340.90,0.90
344.30,0.87
347.75,0.85
351.23,0.85
354.74,0.88
358.28,0.90
361.87,0.93
365.49,0.95
369.14,0.99
372.83,1.05
376.56,1.12
380.33,1.19
384.13,1.27
387.97,1.35
391.85,1.41
395.77,1.47
399.73,1.53
403.72,1.58
407.76,1.63
411.84,1.67
415.96,1.71
420.12,1.74
424.32,1.78
428.56,1.81
432.85,1.85
437.18,1.89
441.55,1.91
445.96,1.94
450.42,1.97
454.93,2.01
459.48,2.04
464.07,2.07
468.71,2.09
473.40,2.11
478.13,2.13
482.91,2.15
487.74,2.16
492.62,2.18
497.55,2.19
502.52,2.21
507.55,2.22
512.62,2.23
517.75,2.24
522.93,2.25
528.16,2.26
533.44,2.27
538.77,2.27
544.16,2.28
549.60,2.29
555.10,2.29
560.65,2.30
566.25,2.30
571.92,2.30
577.64,2.29
583.41,2.28
589.25,2.28
595.14,2.27
601.09,2.27
607.10,2.27
613.17,2.27
619.30,2.26
625.50,2.25
631.75,2.25
638.07,2.24
644.45,2.22
650.89,2.21
657.40,2.20
663.98,2.18
670.62,2.17
677.32,2.15
684.10,2.14
690.94,2.12
697.85,2.10
704.83,2.08
711.87,2.06
718.99,2.04
726.18,2.02
733.44,2.00
740.78,1.98
748.19,1.95
755.67,1.92
763.23,1.89
770.86,1.86
778.57,1.83
786.35,1.81
794.22,1.78
802.16,1.76
810.18,1.72
818.28,1.68
826.46,1.63
834.73,1.58
843.08,1.53
851.51,1.47
860.02,1.41
868.62,1.34
877.31,1.27
886.08,1.19
894.94,1.10
903.89,1.00
912.93,0.88
922.06,0.76
931.28,0.64
940.59,0.53
950.00,0.45
959.50,0.39
969.09,0.33
978.78,0.25
988.57,0.16
998.46,0.02
1008.44,-0.12
1018.53,-0.26
1028.71,-0.36
1039.00,-0.43
1049.39,-0.46
1059.88,-0.46
1070.48,-0.39
1081.19,-0.30
1092.00,-0.22
1102.92,-0.18
1113.95,-0.19
1125.09,-0.23
1136.34,-0.29
1147.70,-0.37
1159.18,-0.46
1170.77,-0.55
1182.48,-0.63
1194.30,-0.71
1206.25,-0.79
1218.31,-0.86
1230.49,-0.92
1242.80,-0.98
1255.22,-1.02
1267.78,-1.06
1280.45,-1.09
1293.26,-1.12
1306.19,-1.15
1319.25,-1.17
1332.45,-1.16
1345.77,-1.15
1359.23,-1.14
1372.82,-1.13
1386.55,-1.11
1400.41,-1.08
1414.42,-0.99
1428.56,-0.90
1442.85,-0.79
1457.28,-0.67
1471.85,-0.55
1486.57,-0.40
1501.43,-0.25
1516.45,-0.08
1531.61,0.08
1546.93,0.23
1562.40,0.38
1578.02,0.55
1593.80,0.74
1609.74,0.94
1625.84,1.16
1642.10,1.38
1658.52,1.60
1675.10,1.83
1691.85,2.06
1708.77,2.29
1725.86,2.52
1743.12,2.75
1760.55,2.99
1778.15,3.22
1795.94,3.45
1813.90,3.67
1832.03,3.90
1850.36,4.11
1868.86,4.32
1887.55,4.50
1906.42,4.65
1925.49,4.77
1944.74,4.88
1964.19,5.04
1983.83,5.23
2003.67,5.44
2023.71,5.62
2043.94,5.76
2064.38,5.88
2085.03,5.99
2105.88,6.08
2126.94,6.16
2148.20,6.22
2169.69,6.27
2191.38,6.30
2213.30,6.33
2235.43,6.36
2257.78,6.38
2280.36,6.40
2303.17,6.41
2326.20,6.43
2349.46,6.44
2372.95,6.46
2396.68,6.48
2420.65,6.50
2444.86,6.52
2469.31,6.54
2494.00,6.57
2518.94,6.59
2544.13,6.62
2569.57,6.63
2595.27,6.67
2621.22,6.72
2647.43,6.83
2673.90,6.94
2700.64,7.04
2727.65,7.11
2754.93,7.17
2782.48,7.24
2810.30,7.33
2838.40,7.41
2866.79,7.47
2895.46,7.53
2924.41,7.55
2953.65,7.56
2983.19,7.54
3013.02,7.51
3043.15,7.46
3073.58,7.38
3104.32,7.27
3135.36,7.13
3166.72,6.93
3198.38,6.71
3230.37,6.39
3262.67,6.04
3295.30,5.66
3328.25,5.27
3361.53,4.87
3395.15,4.44
3429.10,4.00
3463.39,3.54
3498.03,3.07
3533.01,2.52
