frequency,raw
20.00,-0.17
20.20,-0.14
20.40,-0.12
20.61,-0.10
20.81,-0.08
21.02,-0.06
21.23,-0.04
21.44,-0.01
21.66,0.02
21.87,0.05
22.09,0.08
22.31,0.11
22.54,0.14
22.76,0.16
22.99,0.17
23.22,0.19
23.45,0.20
23.69,0.21
23.92,0.22
24.16,0.24
24.40,0.26
24.65,0.29
24.89,0.31
25.14,0.33
25.39,0.35
25.65,0.36
25.91,0.37
26.16,0.37
26.43,0.38
26.69,0.39
26.96,0.40
27.23,0.42
27.50,0.44
27.77,0.45
28.05,0.46
28.33,0.46
28.62,0.46
28.90,0.45
29.19,0.45
29.48,0.44
29.78,0.45
30.08,0.45
30.38,0.46
30.68,0.48
30.99,0.49
31.30,0.51
31.61,0.52
31.93,0.54
32.24,0.56
32.57,0.58
32.89,0.61
33.22,0.63
33.55,0.65
33.89,0.67
34.23,0.68
34.57,0.68
34.92,0.68
35.27,0.67
35.62,0.66
35.97,0.66
36.33,0.67
36.70,0.68
37.06,0.70
37.43,0.72
37.81,0.75
38.19,0.77
38.57,0.81
38.95,0.84
39.34,0.87
39.74,0.90
40.14,0.91
40.54,0.93
40.94,0.96
41.35,0.99
41.76,1.03
42.18,1.07
42.60,1.12
43.03,1.17
43.46,1.23
43.90,1.29
44.33,1.35
44.78,1.39
45.23,1.43
45.68,1.47
46.13,1.51
46.60,1.55
47.06,1.58
47.53,1.60
48.01,1.60
48.49,1.60
48.97,1.61
49.46,1.63
49.96,1.66
50.46,1.70
50.96,1.74
51.47,1.78
51.99,1.84
52.51,1.90
53.03,1.98
53.56,2.05
54.10,2.10
54.64,2.14
55.18,2.18
55.74,2.27
56.29,2.36
56.86,2.45
57.42,2.51
58.00,2.57
58.58,2.64
59.16,2.71
59.76,2.78
60.35,2.85
60.96,2.91
61.57,2.97
62.18,3.04
62.80,3.10
63.43,3.16
64.07,3.20
64.71,3.25
65.35,3.29
66.01,3.34
66.67,3.38
67.33,3.42
68.01,3.45
68.69,3.47
69.37,3.48
70.07,3.49
70.77,3.50
71.48,3.52
72.19,3.53
72.91,3.52
73.64,3.53
74.38,3.54
75.12,3.55
75.87,3.55
76.63,3.55
77.40,3.56
78.17,3.57
78.95,3.57
79.74,3.57
80.54,3.56
81.35,3.56
82.16,3.56
82.98,3.56
83.81,3.55
84.65,3.55
85.50,3.54
86.35,3.54
87.22,3.53
88.09,3.52
88.97,3.52
89.86,3.53
90.76,3.55
91.66,3.56
92.58,3.55
93.51,3.55
94.44,3.56
95.39,3.56
96.34,3.56
97.30,3.56
98.28,3.57
99.26,3.58
100.25,3.58
101.25,3.57
102.27,3.57
103.29,3.56
104.32,3.56
105.37,3.56
106.42,3.57
107.48,3.57
108.56,3.57
109.64,3.58
110.74,3.59
111.85,3.61
112.97,3.60
114.10,3.59
115.24,3.60
116.39,3.60
117.55,3.60
118.73,3.60
119.92,3.62
121.12,3.63
122.33,3.61
123.55,3.61
124.79,3.61
126.03,3.60
127.29,3.61
128.57,3.61
129.85,3.61
131.15,3.60
132.46,3.59
133.79,3.59
135.12,3.59
136.48,3.59
137.84,3.59
139.22,3.60
140.61,3.59
142.02,3.59
143.44,3.58
144.87,3.59
146.32,3.60
147.78,3.60
149.26,3.60
150.75,3.60
152.26,3.59
153.78,3.59
155.32,3.59
156.88,3.60
158.44,3.60
160.03,3.60
161.63,3.61
163.24,3.61
164.88,3.62
166.53,3.61
168.19,3.61
169.87,3.61
171.57,3.61
173.29,3.61
175.02,3.61
176.77,3.60
178.54,3.59
180.32,3.58
182.13,3.58
183.95,3.58
185.79,3.57
187.65,3.57
189.52,3.56
191.42,3.56
193.33,3.57
195.27,3.57
197.22,3.57
199.19,3.56
201.18,3.56
203.19,3.56
205.23,3.56
207.28,3.54
209.35,3.52
211.44,3.51
213.56,3.50
215.69,3.50
217.85,3.49
220.03,3.50
222.23,3.50
224.45,3.50
226.70,3.49
228.96,3.48
231.25,3.48
233.57,3.47
235.90,3.46
238.26,3.45
240.64,3.44
243.05,3.44
245.48,3.43
247.93,3.42
250.41,3.40
252.92,3.36
255.45,3.34
258.00,3.33
260.58,3.30
263.19,3.28
265.82,3.25
268.48,3.21
271.16,3.18
273.87,3.14
276.61,3.10
279.38,3.05
282.17,2.99
284.99,2.93
287.84,2.89
290.72,2.84
293.63,2.77
296.57,2.69
299.53,2.62
302.53,2.53
305.55,2.45
308.61,2.36
311.69,2.26
314.81,2.17
317.96,2.06
321.14,1.95
324.35,1.83
327.59,1.72
330.87,1.60
334.18,1.46
337.52,1.33
340.90,1.20
344.30,1.08
347.75,0.93
351.23,0.78
354.74,0.62
358.28,0.47
361.87,0.32
365.49,0.18
369.14,0.02
372.83,-0.09
376.56,-0.19
380.33,-0.29
384.13,-0.39
387.97,-0.48
391.85,-0.56
395.77,-0.63
399.73,-0.70
403.72,-0.75
407.76,-0.79
411.84,-0.83
415.96,-0.86
420.12,-0.88
424.32,-0.89
428.56,-0.90
432.85,-0.89
437.18,-0.86
441.55,-0.87
445.96,-0.86
450.42,-0.85
454.93,-0.84
459.48,-0.82
464.07,-0.80
468.71,-0.79
473.40,-0.76
478.13,-0.73
482.91,-0.70
