frequency,raw
20.00,10.18
20.20,10.17
20.40,10.17
20.61,10.16
20.81,10.15
21.02,10.14
21.23,10.12
21.44,10.11
21.66,10.09
21.87,10.07
22.09,10.06
22.31,10.05
22.54,10.04
22.76,10.03
22.99,10.02
23.22,10.02
23.45,10.02
23.69,10.01
23.92,10.01
24.16,10.01
24.40,10.02
24.65,10.04
24.89,10.06
25.14,10.08
25.39,10.11
25.65,10.14
25.91,10.17
26.16,10.19
26.43,10.21
26.69,10.24
26.96,10.26
27.23,10.29
27.50,10.32
27.77,10.35
28.05,10.38
28.33,10.41
28.62,10.44
28.90,10.47
29.19,10.49
29.48,10.51
29.78,10.51
30.08,10.52
30.38,10.52
30.68,10.53
30.99,10.55
31.30,10.56
31.61,10.58
31.93,10.59
32.24,10.59
32.57,10.60
32.89,10.60
33.22,10.60
33.55,10.61
33.89,10.62
34.23,10.63
34.57,10.64
34.92,10.66
35.27,10.67
35.62,10.68
35.97,10.68
36.33,10.67
36.70,10.65
37.06,10.63
37.43,10.61
37.81,10.59
38.19,10.58
38.57,10.56
38.95,10.53
39.34,10.50
39.74,10.46
40.14,10.41
40.54,10.37
40.94,10.33
41.35,10.29
41.76,10.24
42.18,10.19
42.60,10.13
43.03,10.07
43.46,10.00
43.90,9.94
44.33,9.88
44.78,9.81
45.23,9.74
45.68,9.66
46.13,9.58
46.60,9.49
47.06,9.41
47.53,9.32
48.01,9.21
48.49,9.11
48.97,9.00
49.46,8.91
49.96,8.81
50.46,8.69
50.96,8.56
51.47,8.43
51.99,8.31
52.51,8.19
53.03,8.06
53.56,7.92
54.10,7.79
54.64,7.65
55.18,7.51
55.74,7.37
56.29,7.24
56.86,7.11
57.42,6.98
58.00,6.85
58.58,6.72
59.16,6.59
59.76,6.47
60.35,6.34
60.96,6.22
61.57,6.11
62.18,6.01
62.80,5.93
63.43,5.84
64.07,5.76
64.71,5.69
65.35,5.62
66.01,5.57
66.67,5.54
67.33,5.50
68.01,5.47
68.69,5.41
69.37,5.36
70.07,5.33
70.77,5.32
71.48,5.28
72.19,5.22
72.91,5.18
73.64,5.15
74.38,5.12
75.12,5.09
75.87,5.05
76.63,5.00
77.40,4.95
78.17,4.88
78.95,4.80
79.74,4.72
80.54,4.69
81.35,4.64
82.16,4.48
82.98,4.38
83.81,4.34
84.65,4.26
85.50,4.13
86.35,4.00
87.22,3.94
88.09,3.85
88.97,3.73
89.86,3.61
90.76,3.52
91.66,3.41
92.58,3.29
93.51,3.17
94.44,3.06
95.39,2.94
96.34,2.79
97.30,2.68
98.28,2.60
99.26,2.51
100.25,2.39
101.25,2.28
102.27,2.17
103.29,2.08
104.32,2.01
105.37,1.94
106.42,1.85
107.48,1.71
108.56,1.62
109.64,1.52
110.74,1.42
111.85,1.37
112.97,1.29
114.10,1.22
115.24,1.18
116.39,1.13
117.55,1.07
118.73,0.99
119.92,0.92
121.12,0.86
122.33,0.83
123.55,0.82
124.79,0.82
126.03,0.80
127.29,0.75
128.57,0.70
129.85,0.68
131.15,0.65
132.46,0.62
133.79,0.57
135.12,0.60
136.48,0.64
137.84,0.64
139.22,0.68
140.61,0.70
142.02,0.69
143.44,0.68
144.87,0.69
146.32,0.74
147.78,0.80
149.26,0.83
150.75,0.82
152.26,0.78
153.78,0.80
155.32,0.83
156.88,0.86
158.44,0.90
160.03,0.95
161.63,0.98
163.24,1.01
164.88,1.06
166.53,1.09
168.19,1.11
169.87,1.14
171.57,1.18
173.29,1.21
175.02,1.22
176.77,1.28
178.54,1.33
180.32,1.37
182.13,1.40
183.95,1.39
185.79,1.40
187.65,1.44
189.52,1.46
191.42,1.49
193.33,1.56
195.27,1.65
197.22,1.61
199.19,1.59
201.18,1.61
203.19,1.65
205.23,1.71
207.28,1.75
209.35,1.78
211.44,1.77
213.56,1.75
215.69,1.78
217.85,1.82
220.03,1.87
222.23,1.89
224.45,1.92
226.70,1.94
228.96,1.98
231.25,2.02
233.57,2.05
235.90,2.07
238.26,2.10
240.64,2.14
243.05,2.18
245.48,2.23
247.93,2.27
250.41,2.31
252.92,2.33
255.45,2.38
258.00,2.44
260.58,2.46
263.19,2.46
265.82,2.45
268.48,2.48
271.16,2.52
273.87,2.53
276.61,2.54
279.38,2.59
282.17,2.58
284.99,2.55
287.84,2.61
290.72,2.65
293.63,2.69
296.57,2.69
299.53,2.66
302.53,2.69
305.55,2.69
308.61,2.68
311.69,2.66
314.81,2.58
317.96,2.58
321.14,2.55
324.35,2.48
327.59,2.41
330.87,2.34
334.18,2.28
337.52,2.18
340.90,2.08
344.30,1.98
347.75,1.90
351.23,1.80
354.74,1.66
358.28,1.56
361.87,1.45
365.49,1.31
369.14,1.20
372.83,1.06
376.56,0.95
380.33,0.87
384.13,0.75
387.97,0.62
391.85,0.54
395.77,0.45
399.73,0.32
403.72,0.22
407.76,0.13
411.84,0.06
415.96,-0.02
420.12,-0.11
424.32,-0.20
428.56,-0.31
432.85,-0.41
437.18,-0.50
441.55,-0.61
445.96,-0.69
450.42,-0.76
454.93,-0.86
459.48,-0.94
464.07,-1.03
468.71,-1.13
473.40,-1.23
478.13,-1.31
482.91,-1.38
487.74,-1.45
492.62,-1.53
497.55,-1.64
502.52,-1.73
507.55,-1.76
512.62,-1.83
517.75,-1.91
522.93,-1.98
528.16,-2.00
