frequency,raw
20.00,9.08
20.20,8.96
20.40,8.84
20.61,8.73
20.81,8.62
21.02,8.52
21.23,8.42
21.44,8.32
21.66,8.24
21.87,8.15
22.09,8.07
22.31,7.99
22.54,7.91
22.76,7.81
22.99,7.71
23.22,7.59
23.45,7.48
23.69,7.36
23.92,7.24
24.16,7.13
24.40,7.02
24.65,6.90
24.89,6.77
25.14,6.62
25.39,6.47
25.65,6.31
25.91,6.15
26.16,6.00
26.43,5.85
26.69,5.71
26.96,5.58
27.23,5.45
27.50,5.32
27.77,5.20
28.05,5.07
28.33,4.96
28.62,4.86
28.90,4.78
29.19,4.70
29.48,4.63
29.78,4.55
30.08,4.48
30.38,4.41
30.68,4.34
30.99,4.29
31.30,4.24
31.61,4.20
31.93,4.15
32.24,4.08
32.57,4.01
32.89,3.91
33.22,3.82
33.55,3.73
33.89,3.65
34.23,3.58
34.57,3.51
34.92,3.43
35.27,3.35
35.62,3.26
35.97,3.16
36.33,3.08
36.70,3.01
37.06,2.95
37.43,2.91
37.81,2.87
38.19,2.84
38.57,2.80
38.95,2.75
39.34,2.70
39.74,2.66
40.14,2.64
40.54,2.63
40.94,2.61
41.35,2.58
41.76,2.55
42.18,2.50
42.60,2.46
43.03,2.42
43.46,2.37
43.90,2.31
44.33,2.24
44.78,2.18
45.23,2.13
45.68,2.10
46.13,2.07
46.60,2.03
47.06,1.98
47.53,1.94
48.01,1.92
48.49,1.89
48.97,1.85
49.46,1.80
49.96,1.76
50.46,1.73
50.96,1.70
51.47,1.66
51.99,1.63
52.51,1.61
53.03,1.60
53.56,1.58
54.10,1.56
54.64,1.54
55.18,1.54
55.74,1.53
56.29,1.53
56.86,1.52
57.42,1.51
58.00,1.49
58.58,1.48
59.16,1.48
59.76,1.49
60.35,1.50
60.96,1.51
61.57,1.52
62.18,1.54
62.80,1.57
63.43,1.61
64.07,1.65
64.71,1.68
65.35,1.73
66.01,1.78
66.67,1.81
67.33,1.85
68.01,1.89
68.69,1.94
69.37,1.98
70.07,2.03
70.77,2.09
71.48,2.15
72.19,2.21
72.91,2.27
73.64,2.34
74.38,2.40
75.12,2.45
75.87,2.51
76.63,2.58
77.40,2.64
78.17,2.70
78.95,2.76
79.74,2.81
80.54,2.87
81.35,2.93
82.16,2.98
82.98,3.03
83.81,3.07
84.65,3.10
85.50,3.14
86.35,3.17
87.22,3.20
88.09,3.23
88.97,3.25
89.86,3.25
90.76,3.25
91.66,3.24
92.58,3.23
93.51,3.20
94.44,3.16
95.39,3.12
96.34,3.07
97.30,3.00
98.28,2.94
99.26,2.85
100.25,2.75
101.25,2.65
102.27,2.55
103.29,2.43
104.32,2.29
105.37,2.16
106.42,2.02
107.48,1.87
108.56,1.71
109.64,1.54
110.74,1.36
111.85,1.19
112.97,1.03
114.10,0.85
