frequency,raw
20.00,-7.40
20.20,-7.47
20.40,-7.54
20.61,-7.61
20.81,-7.68
21.02,-7.73
21.23,-7.78
21.44,-7.80
21.66,-7.80
21.87,-7.80
22.09,-7.81
22.31,-7.82
22.54,-7.87
22.76,-7.95
22.99,-8.07
23.22,-8.22
23.45,-8.35
23.69,-8.45
23.92,-8.50
24.16,-8.50
24.40,-8.48
24.65,-8.47
24.89,-8.55
25.14,-8.75
25.39,-9.02
25.65,-9.43
25.91,-9.79
26.16,-10.08
26.43,-10.12
26.69,-10.01
26.96,-9.87
27.23,-9.82
27.50,-10.00
27.77,-10.37
28.05,-10.83
28.33,-11.22
28.62,-11.35
28.90,-11.10
29.19,-10.85
29.48,-10.58
29.78,-10.80
30.08,-11.18
30.38,-11.93
30.68,-12.68
30.99,-12.80
31.30,-12.50
31.61,-12.10
31.93,-11.93
32.24,-12.38
32.57,-13.18
32.89,-14.55
33.22,-14.97
33.55,-14.75
33.89,-13.62
34.23,-12.97
34.57,-12.67
34.92,-12.87
35.27,-13.24
35.62,-13.42
35.97,-13.09
36.33,-12.20
36.70,-11.40
37.06,-10.77
37.43,-10.38
37.81,-10.02
38.19,-9.67
38.57,-9.26
38.95,-8.91
39.34,-8.60
39.74,-8.34
40.14,-8.10
40.54,-7.84
40.94,-7.56
41.35,-7.32
41.76,-7.15
42.18,-7.08
42.60,-7.01
43.03,-6.94
43.46,-6.88
43.90,-6.86
44.33,-6.89
44.78,-6.99
45.23,-7.09
45.68,-7.19
46.13,-7.26
46.60,-7.35
47.06,-7.43
47.53,-7.51
48.01,-7.58
48.49,-7.71
48.97,-7.93
49.46,-8.19
49.96,-8.35
50.46,-8.36
50.96,-8.37
51.47,-8.45
51.99,-8.69
52.51,-8.87
53.03,-8.97
53.56,-8.84
54.10,-8.77
54.64,-8.79
55.18,-8.88
55.74,-8.78
56.29,-8.62
56.86,-8.42
57.42,-8.29
58.00,-8.19
58.58,-8.00
59.16,-7.83
59.76,-7.68
60.35,-7.54
60.96,-7.38
61.57,-7.17
62.18,-6.95
62.80,-6.75
63.43,-6.57
64.07,-6.40
64.71,-6.22
65.35,-6.04
66.01,-5.86
66.67,-5.72
67.33,-5.61
68.01,-5.52
68.69,-5.43
69.37,-5.39
70.07,-5.37
70.77,-5.37
71.48,-5.33
72.19,-5.29
72.91,-5.29
73.64,-5.29
74.38,-5.27
75.12,-5.26
75.87,-5.24
76.63,-5.25
77.40,-5.27
78.17,-5.27
78.95,-5.27
79.74,-5.29
80.54,-5.32
81.35,-5.35
82.16,-5.35
82.98,-5.37
83.81,-5.38
84.65,-5.36
85.50,-5.37
86.35,-5.38
87.22,-5.35
88.09,-5.36
88.97,-5.36
89.86,-5.32
90.76,-5.31
91.66,-5.33
92.58,-5.35
93.51,-5.39
94.44,-5.42
95.39,-5.45
96.34,-5.48
97.30,-5.52
98.28,-5.57
99.26,-5.63
100.25,-5.71
101.25,-5.77
102.27,-5.82
103.29,-5.88
104.32,-5.95
105.37,-6.03
106.42,-6.11
107.48,-6.22
108.56,-6.27
109.64,-6.29
110.74,-6.27
111.85,-6.18
112.97,-6.05
114.10,-5.93
115.24,-5.87
116.39,-5.80
117.55,-5.77
118.73,-5.83
119.92,-5.88
121.12,-5.92
122.33,-5.94
123.55,-5.99
124.79,-6.04
126.03,-6.07
127.29,-6.11
128.57,-6.15
129.85,-6.18
131.15,-6.22
132.46,-6.24
133.79,-6.25
135.12,-6.28
136.48,-6.29
137.84,-6.29
139.22,-6.31
140.61,-6.33
142.02,-6.35
143.44,-6.38
144.87,-6.42
146.32,-6.46
147.78,-6.49
149.26,-6.52
150.75,-6.53
152.26,-6.54
153.78,-6.57
155.32,-6.59
156.88,-6.57
158.44,-6.58
160.03,-6.60
161.63,-6.58
163.24,-6.58
164.88,-6.58
166.53,-6.60
168.19,-6.62
169.87,-6.64
171.57,-6.66
173.29,-6.68
175.02,-6.70
176.77,-6.72
178.54,-6.74
180.32,-6.75
182.13,-6.78
183.95,-6.79
185.79,-6.80
187.65,-6.84
189.52,-6.87
191.42,-6.87
193.33,-6.88
195.27,-6.90
197.22,-6.91
199.19,-6.95
201.18,-6.96
203.19,-6.96
205.23,-7.00
207.28,-7.01
209.35,-7.00
211.44,-6.99
213.56,-7.03
215.69,-7.03
217.85,-7.03
220.03,-7.04
222.23,-7.05
224.45,-7.06
226.70,-7.07
228.96,-7.09
231.25,-7.11
233.57,-7.13
235.90,-7.12
238.26,-7.11
240.64,-7.10
243.05,-7.11
245.48,-7.10
247.93,-7.09
250.41,-7.09
252.92,-7.08
255.45,-7.08
258.00,-7.10
260.58,-7.09
263.19,-7.10
265.82,-7.12
268.48,-7.12
271.16,-7.14
273.87,-7.16
276.61,-7.19
279.38,-7.19
282.17,-7.19
284.99,-7.19
287.84,-7.21
290.72,-7.23
293.63,-7.23
296.57,-7.24
299.53,-7.27
302.53,-7.23
305.55,-7.24
308.61,-7.26
311.69,-7.24
314.81,-7.22
317.96,-7.21
321.14,-7.19
324.35,-7.17
327.59,-7.18
330.87,-7.19
334.18,-7.20
337.52,-7.20
340.90,-7.21
344.30,-7.23
347.75,-7.22
351.23,-7.22
354.74,-7.24
358.28,-7.26
361.87,-7.26
365.49,-7.24
369.14,-7.23
372.83,-7.19
376.56,-7.15
380.33,-7.14
384.13,-7.15
387.97,-7.17
391.85,-7.16
395.77,-7.15
399.73,-7.11
403.72,-7.06
407.76,-7.02
411.84,-7.00
415.96,-6.99
420.12,-7.00
424.32,-7.03
428.56,-7.02
432.85,-7.00
437.18,-6.99
441.55,-6.91
445.96,-6.80
450.42,-6.67
454.93,-6.52
459.48,-6.28
464.07,-6.06
468.71,-5.85
473.40,-5.61
478.13,-5.39
482.91,-5.17
487.74,-4.97
492.62,-4.79
497.55,-4.59
502.52,-4.41
507.55,-4.25
512.62,-4.13
517.75,-4.03
522.93,-3.94
528.16,-3.88
533.44,-3.82
538.77,-3.77
544.16,-3.73
549.60,-3.70
555.10,-3.69
560.65,-3.69
566.25,-3.70
571.92,-3.70
577.64,-3.71
583.41,-3.72
589.25,-3.73
595.14,-3.71
601.09,-3.67
607.10,-3.60
613.17,-3.48
619.30,-3.37
625.50,-3.27
631.75,-3.16
638.07,-3.04
644.45,-2.93
650.89,-2.82
657.40,-2.71
663.98,-2.61
670.62,-2.50
677.32,-2.40
684.10,-2.30
690.94,-2.19
697.85,-2.10
704.83,-2.06
711.87,-2.06
718.99,-2.09
726.18,-2.03
733.44,-1.94
740.78,-1.84
748.19,-1.73
755.67,-1.63
763.23,-1.53
770.86,-1.43
778.57,-1.33
786.35,-1.21
794.22,-1.02
802.16,-0.82
810.18,-0.66
818.28,-0.47
826.46,-0.29
834.73,-0.17
843.08,-0.08
851.51,-0.01
860.02,0.04
868.62,0.09
877.31,0.12
886.08,0.11
894.94,-0.02
903.89,-0.24
912.93,-0.56
922.06,-0.78
931.28,-0.81
940.59,-0.72
950.00,-0.59
959.50,-0.41
969.09,-0.27
978.78,-0.16
988.57,-0.07
998.46,-0.02
1008.44,0.10
1018.53,0.19
1028.71,0.22
1039.00,-0.03
1049.39,-0.14
1059.88,-0.08
1070.48,-0.02
1081.19,-0.04
1092.00,-0.12
