frequency,raw
20.00,-2.35
20.20,-2.38
20.40,-2.41
20.61,-2.45
20.81,-2.50
21.02,-2.55
21.23,-2.61
21.44,-2.66
21.66,-2.71
21.87,-2.75
22.09,-2.78
22.31,-2.79
22.54,-2.81
22.76,-2.82
22.99,-2.84
23.22,-2.88
23.45,-2.95
23.69,-3.03
23.92,-3.14
24.16,-3.24
24.40,-3.35
24.65,-3.44
24.89,-3.51
25.14,-3.56
25.39,-3.61
25.65,-3.66
25.91,-3.72
26.16,-3.79
26.43,-3.87
26.69,-3.95
26.96,-4.02
27.23,-4.06
27.50,-4.08
27.77,-4.10
28.05,-4.12
28.33,-4.18
28.62,-4.26
28.90,-4.36
29.19,-4.46
29.48,-4.55
29.78,-4.61
30.08,-4.66
30.38,-4.70
30.68,-4.77
30.99,-4.90
31.30,-5.07
31.61,-5.24
31.93,-5.41
32.24,-5.51
32.57,-5.59
32.89,-5.62
33.22,-5.69
33.55,-5.79
33.89,-5.99
34.23,-6.23
34.57,-6.47
34.92,-6.62
35.27,-6.57
35.62,-6.41
35.97,-6.14
36.33,-5.87
36.70,-5.61
37.06,-5.36
37.43,-5.06
37.81,-4.63
38.19,-4.17
38.57,-3.65
38.95,-3.21
39.34,-2.80
39.74,-2.49
40.14,-2.25
40.54,-2.05
40.94,-1.89
41.35,-1.78
41.76,-1.72
42.18,-1.76
42.60,-1.82
43.03,-1.89
43.46,-1.92
43.90,-1.97
44.33,-2.05
44.78,-2.23
45.23,-2.43
45.68,-2.61
46.13,-2.74
46.60,-2.84
47.06,-2.94
47.53,-3.04
48.01,-3.14
48.49,-3.28
48.97,-3.47
49.46,-3.67
49.96,-3.81
50.46,-3.83
50.96,-3.86
51.47,-3.94
51.99,-4.05
52.51,-4.10
53.03,-4.10
53.56,-4.08
54.10,-4.05
54.64,-4.00
55.18,-3.89
55.74,-3.79
56.29,-3.70
56.86,-3.61
57.42,-3.49
58.00,-3.35
58.58,-3.23
59.16,-3.10
59.76,-2.94
60.35,-2.75
60.96,-2.53
61.57,-2.30
62.18,-2.08
62.80,-1.86
63.43,-1.64
64.07,-1.42
64.71,-1.25
65.35,-1.09
66.01,-0.94
66.67,-0.83
67.33,-0.73
68.01,-0.65
68.69,-0.61
69.37,-0.58
70.07,-0.56
70.77,-0.57
71.48,-0.59
72.19,-0.62
72.91,-0.65
73.64,-0.68
74.38,-0.71
75.12,-0.74
75.87,-0.79
76.63,-0.83
77.40,-0.87
78.17,-0.93
78.95,-0.98
79.74,-1.02
80.54,-1.06
81.35,-1.11
82.16,-1.15
82.98,-1.20
83.81,-1.26
84.65,-1.29
85.50,-1.32
86.35,-1.36
87.22,-1.39
88.09,-1.44
88.97,-1.49
89.86,-1.54
90.76,-1.61
91.66,-1.67
92.58,-1.74
93.51,-1.80
94.44,-1.86
95.39,-1.93
96.34,-2.00
97.30,-2.04
98.28,-2.12
99.26,-2.20
100.25,-2.27
101.25,-2.34
102.27,-2.42
103.29,-2.50
104.32,-2.58
105.37,-2.64
106.42,-2.70
107.48,-2.76
108.56,-2.76
109.64,-2.75
110.74,-2.74
111.85,-2.69
112.97,-2.65
114.10,-2.61
115.24,-2.58
116.39,-2.60
117.55,-2.62
118.73,-2.67
119.92,-2.72
121.12,-2.77
122.33,-2.83
123.55,-2.89
124.79,-2.95
126.03,-3.01
127.29,-3.05
128.57,-3.10
129.85,-3.15
131.15,-3.20
132.46,-3.25
133.79,-3.28
135.12,-3.31
136.48,-3.35
137.84,-3.37
139.22,-3.41
140.61,-3.45
142.02,-3.48
143.44,-3.52
144.87,-3.55
146.32,-3.59
147.78,-3.63
149.26,-3.66
150.75,-3.70
152.26,-3.73
153.78,-3.74
155.32,-3.74
156.88,-3.75
158.44,-3.75
160.03,-3.75
161.63,-3.76
163.24,-3.76
164.88,-3.76
166.53,-3.76
168.19,-3.77
169.87,-3.76
171.57,-3.79
173.29,-3.80
175.02,-3.80
176.77,-3.79
178.54,-3.80
180.32,-3.81
182.13,-3.83
183.95,-3.82
185.79,-3.82
187.65,-3.83
189.52,-3.85
191.42,-3.86
193.33,-3.87
195.27,-3.88
197.22,-3.88
199.19,-3.91
201.18,-3.93
203.19,-3.94
205.23,-3.97
207.28,-3.98
209.35,-3.98
211.44,-4.00
213.56,-4.00
215.69,-4.01
217.85,-4.02
220.03,-4.03
222.23,-4.04
224.45,-4.05
226.70,-4.07
228.96,-4.09
231.25,-4.11
233.57,-4.13
235.90,-4.13
238.26,-4.15
240.64,-4.16
243.05,-4.17
245.48,-4.15
247.93,-4.14
250.41,-4.14
252.92,-4.15
255.45,-4.15
258.00,-4.14
260.58,-4.15
263.19,-4.15
265.82,-4.15
268.48,-4.15
271.16,-4.16
273.87,-4.17
276.61,-4.16
279.38,-4.14
282.17,-4.14
284.99,-4.15
287.84,-4.15
290.72,-4.15
293.63,-4.16
296.57,-4.16
299.53,-4.15
302.53,-4.16
305.55,-4.16
308.61,-4.16
311.69,-4.16
314.81,-4.16
317.96,-4.16
321.14,-4.16
324.35,-4.17
327.59,-4.18
330.87,-4.19
334.18,-4.21
337.52,-4.23
340.90,-4.25
344.30,-4.26
347.75,-4.27
351.23,-4.27
354.74,-4.26
358.28,-4.25
361.87,-4.22
365.49,-4.16
369.14,-4.08
372.83,-3.98
376.56,-3.89
380.33,-3.81
384.13,-3.73
387.97,-3.66
391.85,-3.60
395.77,-3.55
399.73,-3.52
403.72,-3.54
407.76,-3.58
411.84,-3.62
415.96,-3.66
420.12,-3.68
424.32,-3.70
428.56,-3.69
432.85,-3.65
437.18,-3.59
441.55,-3.50
445.96,-3.41
450.42,-3.33
454.93,-3.24
459.48,-3.20
464.07,-3.18
468.71,-3.18
473.40,-3.18
478.13,-3.19
482.91,-3.19
487.74,-3.20
492.62,-3.17
497.55,-3.13
502.52,-3.06
507.55,-2.95
512.62,-2.83
517.75,-2.71
522.93,-2.58
528.16,-2.47
533.44,-2.40
538.77,-2.35
544.16,-2.34
549.60,-2.39
555.10,-2.49
560.65,-2.61
566.25,-2.75
571.92,-2.91
577.64,-3.10
583.41,-3.29
589.25,-3.48
595.14,-3.65
601.09,-3.80
607.10,-3.90
613.17,-3.97
619.30,-3.98
625.50,-3.94
631.75,-3.86
638.07,-3.77
644.45,-3.67
650.89,-3.56
657.40,-3.46
663.98,-3.36
670.62,-3.26
677.32,-3.15
684.10,-3.04
690.94,-2.93
697.85,-2.83
704.83,-2.74
711.87,-2.65
718.99,-2.55
726.18,-2.51
733.44,-2.47
740.78,-2.42
748.19,-2.34
755.67,-2.25
763.23,-2.16
770.86,-2.08
778.57,-2.02
786.35,-1.98
794.22,-1.90
802.16,-1.76
810.18,-1.49
818.28,-1.20
826.46,-0.91
834.73,-0.75
843.08,-0.64
851.51,-0.57
860.02,-0.50
868.62,-0.44
877.31,-0.38
886.08,-0.33
894.94,-0.33
903.89,-0.38
912.93,-0.53
922.06,-0.77
931.28,-0.93
940.59,-1.01
950.00,-1.00
959.50,-0.79
969.09,-0.56
978.78,-0.35
988.57,-0.16
998.46,-0.03
1008.44,0.14
1018.53,0.30
1028.71,0.44
1039.00,0.56
1049.39,0.62
1059.88,0.62
1070.48,0.59
1081.19,0.69
1092.00,0.89
1102.92,1.02
1113.95,1.08
1125.09,1.19
1136.34,1.36
1147.70,1.10
1159.18,0.86
1170.77,0.66
1182.48,0.83
1194.30,0.92
1206.25,0.99
1218.31,0.75
1230.49,0.47
1242.80,0.17
1255.22,-0.05
1267.78,0.04
1280.45,0.52
1293.26,0.78
1306.19,1.05
1319.25,1.30
1332.45,1.47
1345.77,1.66
1359.23,1.90
1372.82,2.15
1386.55,2.34
1400.41,2.46
1414.42,2.63
1428.56,2.80
1442.85,2.89
1457.28,3.07
1471.85,3.33
1486.57,3.45
1501.43,3.52
1516.45,3.42
1531.61,3.49
1546.93,3.75
1562.40,3.53
1578.02,3.28
1593.80,3.42
1609.74,3.69
1625.84,4.04
1642.10,4.38
1658.52,4.64
1675.10,4.85
1691.85,5.45
1708.77,5.84
1725.86,5.98
1743.12,5.25
1760.55,4.81
1778.15,4.70
1795.94,5.27
1813.90,5.80
1832.03,6.03
1850.36,5.79
1868.86,5.18
1887.55,4.67
1906.42,4.62
1925.49,5.33
1944.74,5.59
1964.19,5.66
1983.83,5.92
2003.67,6.40
2023.71,6.54
2043.94,6.66
2064.38,6.76
2085.03,6.83
2105.88,6.71
2126.94,6.70
2148.20,6.97
2169.69,7.06
2191.38,7.00
2213.30,7.17
2235.43,7.57
2257.78,7.72
2280.36,7.87
2303.17,8.09
2326.20,8.29
2349.46,8.15
2372.95,8.07
2396.68,8.08
2420.65,8.36
2444.86,8.67
2469.31,8.96
2494.00,9.18
2518.94,9.23
2544.13,9.21
2569.57,9.05
2595.27,9.33
2621.22,9.90
2647.43,9.82
2673.90,10.23
2700.64,10.65
2727.65,10.90
2754.93,10.96
2782.48,11.19
2810.30,11.45
2838.40,11.69
2866.79,11.79
2895.46,11.78
2924.41,11.75
2953.65,11.75
2983.19,11.93
3013.02,11.98
3043.15,11.87
3073.58,11.86
3104.32,11.67
3135.36,11.77
3166.72,11.84
3198.38,11.82
3230.37,11.51
3262.67,11.37
3295.30,11.52
3328.25,11.45
3361.53,11.35
3395.15,11.28
3429.10,11.05
3463.39,10.86
3498.03,10.76
3533.01,10.58
3568.34,10.35
3604.02,10.10
3640.06,9.89
3676.46,9.64
3713.22,9.43
3750.36,9.36
3787.86,9.28
3825.74,9.18
3864.00,9.01
3902.64,8.75
3941.66,8.48
3981.08,8.44
4020.89,8.42
4061.10,8.36
4101.71,8.25
4142.73,8.09
4184.15,7.89
4226.00,7.82
4268.26,7.72
4310.94,7.58
4354.05,7.41
4397.59,7.37
4441.56,7.42
4485.98,7.41
4530.84,7.32
4576.15,7.23
4621.91,7.17
4668.13,7.27
4714.81,7.45
4761.96,7.63
4809.58,7.72
4857.67,7.78
4906.25,8.15
4955.31,8.68
5004.87,9.27
5054.91,9.07
5105.46,9.38
5156.52,10.06
5208.08,9.81
5260.16,10.36
5312.77,10.98
5365.89,11.05
5419.55,11.35
5473.75,11.48
5528.49,11.26
5583.77,10.81
5639.61,10.80
5696.00,10.96
5752.96,10.80
5810.49,10.56
5868.60,10.04
5927.28,9.48
5986.56,8.86
6046.42,7.50
6106.89,6.44
6167.96,6.11
6229.64,5.94
6291.93,5.20
6354.85,4.61
6418.40,4.01
6482.58,3.35
6547.41,2.70
6612.88,2.11
6679.01,1.79
6745.80,1.54
6813.26,1.34
6881.39,1.26
6950.21,1.19
7019.71,1.17
7089.91,1.29
7160.81,1.43
7232.41,1.60
7304.74,1.81
7377.79,2.03
7451.56,2.43
7526.08,2.93
7601.34,3.45
7677.35,4.03
7754.13,4.62
7831.67,4.99
7909.98,5.28
7989.08,5.46
8068.98,5.04
8149.67,4.29
8231.16,3.12
8313.47,1.74
8396.61,0.35
8480.57,-0.84
8565.38,-2.03
8651.03,-3.16
8737.54,-4.17
8824.92,-5.67
8913.17,-6.74
9002.30,-7.58
9092.32,-7.64
9183.25,-7.64
9275.08,-7.77
9367.83,-8.32
9461.51,-8.75
9556.12,-8.97
9651.68,-9.00
9748.20,-8.95
9845.68,-8.77
9944.14,-8.69
10043.58,-8.96
10144.02,-9.60
10245.46,-9.87
10347.91,-9.66
10451.39,-8.87
10555.91,-7.55
10661.46,-6.05
10768.08,-4.29
10875.76,-1.98
10984.52,-0.40
11094.36,0.41
11205.31,-0.05
11317.36,-1.26
11430.53,-2.44
11544.84,-3.43
11660.29,-4.18
11776.89,-4.57
11894.66,-4.44
12013.60,-4.29
12133.74,-3.76
12255.08,-2.67
12377.63,-1.21
12501.41,-0.15
12626.42,0.26
12752.68,0.40
12880.21,0.27
13009.01,0.01
13139.10,-0.24
13270.49,-1.59
13403.20,-2.90
13537.23,-2.98
13672.60,-2.59
13809.33,-1.82
13947.42,-1.27
14086.90,-1.65
14227.77,-2.59
14370.04,-3.03
14513.74,-3.00
14658.88,-3.53
14805.47,-4.33
14953.52,-5.58
15103.06,-6.39
15254.09,-7.02
15406.63,-8.62
15560.70,-9.96
15716.30,-10.87
15873.47,-10.51
16032.20,-9.72
16192.52,-8.61
16354.45,-8.44
16517.99,-8.74
16683.17,-8.73
16850.01,-8.55
17018.51,-8.30
17188.69,-8.25
17360.58,-7.85
17534.18,-7.42
17709.53,-7.61
17886.62,-8.99
18065.49,-10.54
18246.14,-11.75
18428.60,-11.84
18612.89,-11.53
18799.02,-10.81
18987.01,-9.57
19176.88,-9.13
19368.65,-9.32
19562.33,-9.98
19757.96,-10.89
19955.54,-11.80
