frequency,raw
20.00,-19.73
20.20,-19.98
20.40,-20.19
20.61,-20.33
20.81,-20.29
21.02,-20.15
21.23,-19.92
21.44,-19.64
21.66,-19.37
21.87,-19.12
22.09,-18.96
22.31,-18.85
22.54,-18.80
22.76,-18.81
22.99,-18.86
23.22,-18.92
23.45,-18.98
23.69,-19.03
23.92,-19.05
24.16,-19.06
24.40,-19.05
24.65,-19.04
24.89,-19.03
25.14,-19.02
25.39,-19.03
25.65,-19.08
25.91,-19.13
26.16,-19.19
26.43,-19.26
26.69,-19.32
26.96,-19.36
27.23,-19.38
27.50,-19.37
27.77,-19.36
28.05,-19.36
28.33,-19.37
28.62,-19.40
28.90,-19.44
29.19,-19.49
29.48,-19.55
29.78,-19.55
30.08,-19.51
30.38,-19.40
30.68,-19.24
30.99,-19.12
31.30,-19.09
31.61,-19.17
31.93,-19.38
32.24,-19.70
32.57,-20.02
32.89,-20.21
33.22,-20.20
33.55,-20.07
33.89,-19.85
34.23,-19.66
34.57,-19.50
34.92,-19.37
35.27,-19.24
35.62,-19.10
35.97,-18.95
36.33,-18.84
36.70,-18.79
37.06,-18.77
37.43,-18.77
37.81,-18.67
38.19,-18.56
38.57,-18.41
38.95,-18.34
39.34,-18.31
39.74,-18.32
40.14,-18.34
40.54,-18.34
40.94,-18.30
41.35,-18.28
41.76,-18.27
42.18,-18.26
42.60,-18.24
43.03,-18.18
43.46,-18.13
43.90,-18.12
44.33,-18.17
44.78,-18.25
45.23,-18.31
45.68,-18.30
46.13,-18.22
46.60,-18.10
47.06,-18.04
47.53,-18.02
48.01,-18.12
48.49,-18.23
48.97,-18.30
49.46,-18.30
49.96,-18.21
50.46,-18.12
50.96,-18.06
51.47,-18.09
51.99,-18.18
52.51,-18.23
53.03,-18.26
53.56,-18.20
54.10,-18.14
54.64,-18.09
55.18,-18.09
55.74,-18.13
56.29,-18.15
56.86,-18.13
57.42,-18.05
58.00,-17.96
58.58,-17.97
59.16,-17.96
59.76,-17.88
60.35,-17.80
60.96,-17.72
61.57,-17.67
62.18,-17.55
62.80,-17.47
63.43,-17.47
64.07,-17.50
64.71,-17.42
65.35,-17.36
66.01,-17.30
66.67,-17.23
67.33,-17.19
68.01,-17.15
68.69,-17.16
69.37,-17.13
70.07,-17.08
70.77,-17.06
71.48,-17.05
72.19,-17.03
72.91,-16.95
73.64,-16.95
74.38,-16.87
75.12,-16.72
75.87,-16.64
76.63,-16.53
77.40,-16.40
78.17,-16.52
78.95,-16.64
79.74,-16.57
80.54,-16.49
81.35,-16.41
82.16,-16.42
82.98,-16.38
83.81,-16.30
84.65,-16.31
85.50,-16.25
86.35,-16.16
87.22,-16.18
88.09,-16.14
88.97,-16.11
89.86,-16.10
90.76,-16.03
91.66,-15.92
92.58,-15.82
93.51,-15.92
94.44,-15.92
95.39,-15.82
96.34,-15.69
97.30,-15.78
98.28,-15.69
99.26,-15.59
100.25,-15.53
101.25,-15.54
102.27,-15.45
103.29,-15.38
104.32,-15.45
105.37,-15.44
106.42,-15.42
107.48,-15.37
108.56,-15.32
109.64,-15.32
110.74,-15.31
111.85,-15.09
112.97,-15.07
114.10,-15.07
115.24,-14.98
116.39,-14.80
117.55,-14.58
118.73,-14.57
119.92,-14.76
121.12,-14.83
122.33,-14.74
123.55,-14.66
124.79,-14.57
126.03,-14.47
127.29,-14.44
128.57,-14.42
129.85,-14.35
131.15,-14.29
132.46,-14.24
133.79,-14.20
135.12,-14.18
136.48,-14.14
137.84,-14.09
139.22,-14.12
140.61,-14.11
142.02,-14.03
143.44,-13.94
144.87,-13.85
146.32,-13.80
147.78,-13.75
149.26,-13.69
150.75,-13.65
152.26,-13.63
153.78,-13.58
155.32,-13.54
156.88,-13.56
158.44,-13.50
160.03,-13.39
161.63,-13.30
163.24,-13.20
164.88,-13.10
166.53,-13.06
168.19,-12.98
169.87,-12.86
171.57,-12.78
173.29,-12.70
175.02,-12.62
176.77,-12.49
178.54,-12.42
180.32,-12.38
182.13,-12.24
183.95,-12.17
185.79,-12.11
187.65,-12.04
189.52,-12.01
191.42,-11.92
193.33,-11.82
195.27,-11.75
197.22,-11.65
199.19,-11.52
201.18,-11.40
203.19,-11.29
205.23,-11.22
207.28,-11.19
209.35,-11.17
211.44,-11.02
213.56,-10.92
215.69,-10.85
217.85,-10.79
220.03,-10.76
222.23,-10.65
224.45,-10.55
226.70,-10.45
228.96,-10.40
231.25,-10.34
233.57,-10.26
235.90,-10.17
238.26,-10.06
240.64,-9.97
243.05,-9.90
245.48,-9.75
247.93,-9.63
250.41,-9.53
252.92,-9.44
255.45,-9.36
258.00,-9.28
260.58,-9.18
263.19,-9.08
265.82,-8.99
268.48,-8.89
271.16,-8.80
273.87,-8.71
276.61,-8.62
279.38,-8.53
282.17,-8.42
284.99,-8.31
287.84,-8.20
290.72,-8.10
293.63,-8.03
296.57,-7.94
299.53,-7.85
302.53,-7.75
305.55,-7.64
308.61,-7.53
311.69,-7.44
314.81,-7.31
317.96,-7.19
321.14,-7.08
324.35,-7.00
327.59,-6.89
330.87,-6.78
334.18,-6.71
337.52,-6.62
340.90,-6.53
344.30,-6.44
347.75,-6.36
351.23,-6.26
354.74,-6.12
358.28,-6.07
361.87,-5.99
365.49,-5.89
369.14,-5.79
372.83,-5.68
376.56,-5.58
380.33,-5.49
384.13,-5.43
387.97,-5.37
391.85,-5.31
395.77,-5.25
399.73,-5.22
403.72,-5.18
407.76,-5.16
411.84,-5.14
415.96,-5.13
420.12,-5.12
424.32,-5.10
428.56,-5.08
432.85,-5.06
437.18,-5.01
441.55,-4.95
445.96,-4.87
450.42,-4.79
454.93,-4.69
459.48,-4.60
464.07,-4.51
468.71,-4.42
473.40,-4.37
478.13,-4.31
482.91,-4.25
487.74,-4.17
492.62,-4.09
497.55,-3.99
502.52,-3.91
507.55,-3.86
512.62,-3.84
517.75,-3.80
522.93,-3.77
528.16,-3.77
533.44,-3.78
538.77,-3.80
544.16,-3.86
549.60,-3.91
555.10,-3.97
560.65,-4.04
566.25,-4.14
571.92,-4.24
577.64,-4.32
583.41,-4.38
589.25,-4.42
595.14,-4.41
601.09,-4.39
607.10,-4.32
613.17,-4.22
619.30,-4.12
625.50,-4.01
631.75,-3.89
638.07,-3.79
644.45,-3.67
650.89,-3.55
657.40,-3.43
663.98,-3.32
670.62,-3.21
677.32,-3.11
684.10,-2.99
690.94,-2.87
697.85,-2.80
704.83,-2.83
711.87,-2.87
718.99,-2.84
726.18,-2.76
733.44,-2.67
740.78,-2.57
748.19,-2.51
755.67,-2.44
763.23,-2.37
770.86,-2.28
778.57,-2.13
786.35,-1.90
794.22,-1.68
802.16,-1.49
810.18,-1.35
818.28,-1.13
826.46,-0.91
834.73,-0.74
843.08,-0.63
851.51,-0.55
860.02,-0.49
868.62,-0.44
877.31,-0.39
886.08,-0.37
894.94,-0.45
903.89,-0.60
912.93,-0.84
922.06,-0.98
931.28,-0.94
940.59,-0.82
950.00,-0.71
959.50,-0.54
969.09,-0.39
978.78,-0.25
988.57,-0.12
998.46,-0.02
1008.44,0.13
1018.53,0.22
1028.71,0.14
1039.00,0.08
1049.39,0.14
1059.88,0.32
1070.48,0.41
1081.19,0.47
1092.00,0.56
1102.92,0.79
1113.95,0.89
1125.09,0.81
1136.34,0.57
1147.70,0.13
1159.18,0.04
1170.77,0.05
1182.48,0.14
1194.30,-0.05
1206.25,-0.24
1218.31,-0.42
1230.49,-0.54
1242.80,-0.65
1255.22,-0.59
1267.78,-0.24
1280.45,0.14
1293.26,0.32
1306.19,0.51
1319.25,0.69
1332.45,0.80
1345.77,0.88
1359.23,0.92
1372.82,1.00
1386.55,1.09
1400.41,1.21
1414.42,1.39
1428.56,1.56
1442.85,1.69
1457.28,1.79
1471.85,1.86
1486.57,1.82
1501.43,1.76
1516.45,1.67
1531.61,1.62
1546.93,1.60
1562.40,1.69
1578.02,1.80
1593.80,1.93
1609.74,2.11
1625.84,2.31
1642.10,2.59
1658.52,2.76
1675.10,2.83
1691.85,3.10
1708.77,3.01
1725.86,2.58
1743.12,2.16
1760.55,2.31
1778.15,2.77
1795.94,2.90
1813.90,2.60
1832.03,2.19
1850.36,1.79
1868.86,2.22
1887.55,2.56
1906.42,2.81
1925.49,3.00
1944.74,3.57
1964.19,3.55
1983.83,3.51
2003.67,3.67
2023.71,3.67
2043.94,3.83
2064.38,3.98
2085.03,3.87
2105.88,4.05
2126.94,4.17
2148.20,4.15
2169.69,4.39
2191.38,4.66
2213.30,4.94
2235.43,5.20
2257.78,5.31
2280.36,5.48
2303.17,5.66
2326.20,5.31
2349.46,5.49
2372.95,5.69
2396.68,5.80
2420.65,5.88
2444.86,6.15
2469.31,6.54
2494.00,6.03
2518.94,6.30
2544.13,6.80
2569.57,7.11
2595.27,7.27
2621.22,7.35
2647.43,7.86
2673.90,8.11
2700.64,8.30
2727.65,8.40
2754.93,8.46
2782.48,8.81
2810.30,9.10
2838.40,9.15
2866.79,9.30
2895.46,9.52
2924.41,9.65
2953.65,9.75
2983.19,9.68
3013.02,9.73
3043.15,9.93
3073.58,10.08
3104.32,9.96
3135.36,10.00
3166.72,10.03
3198.38,10.00
3230.37,10.13
3262.67,10.16
3295.30,10.01
3328.25,10.02
3361.53,10.05
3395.15,10.09
3429.10,9.98
3463.39,9.86
3498.03,9.79
3533.01,9.67
3568.34,9.64
3604.02,9.66
3640.06,9.45
3676.46,9.39
3713.22,9.38
3750.36,9.36
3787.86,9.34
3825.74,9.29
3864.00,9.11
3902.64,9.09
3941.66,9.09
3981.08,9.06
4020.89,9.03
4061.10,9.02
4101.71,9.00
4142.73,8.96
4184.15,8.92
4226.00,8.90
4268.26,8.88
4310.94,8.86
4354.05,8.92
4397.59,8.96
4441.56,9.00
4485.98,9.13
4530.84,9.13
4576.15,9.20
4621.91,9.36
4668.13,9.39
4714.81,9.57
4761.96,9.72
4809.58,9.60
4857.67,9.67
4906.25,9.83
4955.31,10.05
5004.87,10.33
5054.91,10.31
5105.46,10.34
5156.52,10.43
5208.08,10.50
5260.16,10.42
5312.77,10.29
5365.89,10.12
5419.55,10.25
5473.75,9.88
5528.49,8.91
5583.77,9.01
5639.61,8.92
5696.00,8.76
5752.96,7.84
5810.49,6.96
5868.60,6.56
5927.28,5.66
5986.56,4.19
6046.42,4.15
6106.89,4.39
6167.96,4.34
6229.64,3.99
6291.93,3.99
6354.85,3.73
6418.40,3.45
6482.58,3.24
6547.41,3.06
6612.88,2.92
6679.01,2.85
6745.80,2.78
6813.26,2.69
6881.39,2.46
6950.21,2.32
7019.71,2.22
7089.91,2.10
7160.81,1.91
7232.41,1.71
7304.74,1.53
7377.79,1.53
7451.56,1.55
7526.08,1.62
7601.34,1.80
7677.35,1.99
7754.13,2.17
7831.67,2.28
7909.98,2.39
7989.08,2.49
8068.98,2.41
8149.67,2.27
8231.16,2.06
8313.47,1.70
8396.61,1.28
8480.57,0.77
8565.38,0.13
8651.03,-0.57
8737.54,-1.32
8824.92,-2.37
8913.17,-4.05
9002.30,-5.99
9092.32,-9.00
9183.25,-11.94
9275.08,-13.97
9367.83,-13.68
9461.51,-11.92
9556.12,-10.50
9651.68,-9.73
9748.20,-9.50
9845.68,-9.58
9944.14,-9.75
10043.58,-9.93
10144.02,-10.09
10245.46,-9.93
10347.91,-9.61
10451.39,-9.04
10555.91,-7.74
10661.46,-6.07
10768.08,-4.10
10875.76,-1.87
10984.52,-0.30
11094.36,0.62
11205.31,0.51
11317.36,-0.31
11430.53,-1.12
11544.84,-1.79
11660.29,-2.30
11776.89,-2.58
11894.66,-2.00
12013.60,-1.26
12133.74,-0.16
12255.08,1.04
12377.63,2.09
12501.41,2.70
12626.42,2.49
12752.68,2.75
12880.21,2.70
13009.01,2.40
13139.10,2.10
13270.49,-0.01
13403.20,-2.39
13537.23,-4.63
13672.60,-7.56
13809.33,-10.83
13947.42,-10.41
14086.90,-9.75
14227.77,-8.93
14370.04,-8.44
14513.74,-8.22
14658.88,-7.22
14805.47,-6.35
14953.52,-5.73
15103.06,-6.12
15254.09,-6.97
15406.63,-8.10
15560.70,-9.05
15716.30,-9.72
15873.47,-10.13
16032.20,-10.38
16192.52,-10.34
16354.45,-9.85
16517.99,-9.08
16683.17,-7.90
16850.01,-7.21
17018.51,-6.95
17188.69,-7.53
17360.58,-8.86
17534.18,-10.82
17709.53,-13.62
17886.62,-16.26
18065.49,-17.73
18246.14,-17.23
18428.60,-15.28
18612.89,-13.34
18799.02,-11.64
18987.01,-10.54
19176.88,-9.67
19368.65,-8.84
19562.33,-8.05
19757.96,-7.37
19955.54,-6.68
