frequency,raw
20.00,-7.56
20.20,-7.50
20.40,-7.45
20.61,-7.39
20.81,-7.33
21.02,-7.28
21.23,-7.22
21.44,-7.17
21.66,-7.12
21.87,-7.08
22.09,-7.03
22.31,-6.99
22.54,-6.95
22.76,-6.90
22.99,-6.86
23.22,-6.81
23.45,-6.76
23.69,-6.71
23.92,-6.65
24.16,-6.60
24.40,-6.54
24.65,-6.49
24.89,-6.45
25.14,-6.41
25.39,-6.37
25.65,-6.34
25.91,-6.30
26.16,-6.27
26.43,-6.24
26.69,-6.21
26.96,-6.19
27.23,-6.18
27.50,-6.17
27.77,-6.17
28.05,-6.15
28.33,-6.13
28.62,-6.11
28.90,-6.07
29.19,-6.05
29.48,-6.03
29.78,-6.02
30.08,-6.02
30.38,-6.02
30.68,-6.02
30.99,-6.01
31.30,-5.99
31.61,-5.96
31.93,-5.94
32.24,-5.92
32.57,-5.89
32.89,-5.86
33.22,-5.84
33.55,-5.82
33.89,-5.81
34.23,-5.82
34.57,-5.84
34.92,-5.88
35.27,-5.90
35.62,-5.91
35.97,-5.90
36.33,-5.86
36.70,-5.78
37.06,-5.68
37.43,-5.55
37.81,-5.39
38.19,-5.22
38.57,-5.03
38.95,-4.85
39.34,-4.68
39.74,-4.51
40.14,-4.36
40.54,-4.21
40.94,-4.07
41.35,-3.95
41.76,-3.83
42.18,-3.76
42.60,-3.70
43.03,-3.64
43.46,-3.59
43.90,-3.54
44.33,-3.51
44.78,-3.50
45.23,-3.49
45.68,-3.46
46.13,-3.41
46.60,-3.36
47.06,-3.33
47.53,-3.32
48.01,-3.33
48.49,-3.34
48.97,-3.33
49.46,-3.31
49.96,-3.28
50.46,-3.25
50.96,-3.24
51.47,-3.24
51.99,-3.25
52.51,-3.25
53.03,-3.25
53.56,-3.24
54.10,-3.22
54.64,-3.19
55.18,-3.16
55.74,-3.15
56.29,-3.13
56.86,-3.11
57.42,-3.08
58.00,-3.04
58.58,-3.01
59.16,-2.97
59.76,-2.92
60.35,-2.87
60.96,-2.82
61.57,-2.77
62.18,-2.72
62.80,-2.68
63.43,-2.65
64.07,-2.62
64.71,-2.57
65.35,-2.54
66.01,-2.50
66.67,-2.46
67.33,-2.42
68.01,-2.38
68.69,-2.36
69.37,-2.34
70.07,-2.30
70.77,-2.28
71.48,-2.25
72.19,-2.23
72.91,-2.19
73.64,-2.17
74.38,-2.16
75.12,-2.14
75.87,-2.13
76.63,-2.12
77.40,-2.11
78.17,-2.08
78.95,-2.05
79.74,-2.03
80.54,-2.02
81.35,-2.02
82.16,-2.01
82.98,-2.00
83.81,-1.98
84.65,-1.98
85.50,-1.97
86.35,-1.97
87.22,-1.96
88.09,-1.95
88.97,-1.92
89.86,-1.90
90.76,-1.89
91.66,-1.90
92.58,-1.90
93.51,-1.87
94.44,-1.86
95.39,-1.85
96.34,-1.84
97.30,-1.85
98.28,-1.84
99.26,-1.83
100.25,-1.81
101.25,-1.80
102.27,-1.80
103.29,-1.80
104.32,-1.80
105.37,-1.79
106.42,-1.78
107.48,-1.78
108.56,-1.80
109.64,-1.80
110.74,-1.79
111.85,-1.82
112.97,-1.82
114.10,-1.83
115.24,-1.85
116.39,-1.82
117.55,-1.81
118.73,-1.81
119.92,-1.80
121.12,-1.77
122.33,-1.75
123.55,-1.76
124.79,-1.76
126.03,-1.76
127.29,-1.75
128.57,-1.75
129.85,-1.76
131.15,-1.77
132.46,-1.78
133.79,-1.77
135.12,-1.78
136.48,-1.78
137.84,-1.77
139.22,-1.77
140.61,-1.76
142.02,-1.76
143.44,-1.75
144.87,-1.75
146.32,-1.74
147.78,-1.74
149.26,-1.74
150.75,-1.74
152.26,-1.74
153.78,-1.74
155.32,-1.73
156.88,-1.72
158.44,-1.71
160.03,-1.71
161.63,-1.70
163.24,-1.69
164.88,-1.69
166.53,-1.67
168.19,-1.65
169.87,-1.63
171.57,-1.62
173.29,-1.62
175.02,-1.62
176.77,-1.61
178.54,-1.62
180.32,-1.62
182.13,-1.62
183.95,-1.62
185.79,-1.62
187.65,-1.61
189.52,-1.59
191.42,-1.60
193.33,-1.61
195.27,-1.60
197.22,-1.59
199.19,-1.60
201.18,-1.62
203.19,-1.62
205.23,-1.62
207.28,-1.61
209.35,-1.60
211.44,-1.61
213.56,-1.60
215.69,-1.60
217.85,-1.60
220.03,-1.59
222.23,-1.59
224.45,-1.59
226.70,-1.58
228.96,-1.58
231.25,-1.57
233.57,-1.55
235.90,-1.54
238.26,-1.55
240.64,-1.55
243.05,-1.54
245.48,-1.52
247.93,-1.51
250.41,-1.50
252.92,-1.49
255.45,-1.49
258.00,-1.50
260.58,-1.49
263.19,-1.48
265.82,-1.47
268.48,-1.46
271.16,-1.45
273.87,-1.45
276.61,-1.45
279.38,-1.44
282.17,-1.44
284.99,-1.44
287.84,-1.42
290.72,-1.40
293.63,-1.39
296.57,-1.40
299.53,-1.41
302.53,-1.39
305.55,-1.38
308.61,-1.38
311.69,-1.37
314.81,-1.36
317.96,-1.36
321.14,-1.36
324.35,-1.34
327.59,-1.33
330.87,-1.32
334.18,-1.31
337.52,-1.31
340.90,-1.31
344.30,-1.30
347.75,-1.31
351.23,-1.31
354.74,-1.30
358.28,-1.29
361.87,-1.29
365.49,-1.30
369.14,-1.32
372.83,-1.32
376.56,-1.33
380.33,-1.36
384.13,-1.39
387.97,-1.44
391.85,-1.50
395.77,-1.57
399.73,-1.64
403.72,-1.70
407.76,-1.76
411.84,-1.82
415.96,-1.83
420.12,-1.83
424.32,-1.82
428.56,-1.80
432.85,-1.77
437.18,-1.73
441.55,-1.71
445.96,-1.68
450.42,-1.66
454.93,-1.67
459.48,-1.65
464.07,-1.65
468.71,-1.67
473.40,-1.67
478.13,-1.69
482.91,-1.72
487.74,-1.71
492.62,-1.71
497.55,-1.71
502.52,-1.73
507.55,-1.77
512.62,-1.81
517.75,-1.86
522.93,-1.92
528.16,-1.98
533.44,-2.02
538.77,-2.05
544.16,-2.11
549.60,-2.18
555.10,-2.23
560.65,-2.26
566.25,-2.29
571.92,-2.31
577.64,-2.30
583.41,-2.27
589.25,-2.23
595.14,-2.11
601.09,-1.97
607.10,-1.80
613.17,-1.66
619.30,-1.46
625.50,-1.26
631.75,-1.08
638.07,-0.93
644.45,-0.86
650.89,-0.83
657.40,-0.85
663.98,-0.85
670.62,-0.85
677.32,-0.79
684.10,-0.74
690.94,-0.69
697.85,-0.71
704.83,-0.82
711.87,-0.94
718.99,-1.01
726.18,-1.06
733.44,-1.11
740.78,-1.18
748.19,-1.28
755.67,-1.37
763.23,-1.44
770.86,-1.42
778.57,-1.39
786.35,-1.37
794.22,-1.18
802.16,-0.90
810.18,-0.51
818.28,-0.26
826.46,-0.09
834.73,-0.06
843.08,-0.06
851.51,-0.07
860.02,-0.07
868.62,-0.10
877.31,-0.12
886.08,-0.07
894.94,-0.09
903.89,-0.14
912.93,-0.23
922.06,-0.35
931.28,-0.47
940.59,-0.53
950.00,-0.47
959.50,-0.36
969.09,-0.26
978.78,-0.18
988.57,-0.12
998.46,-0.02
1008.44,0.11
1018.53,0.24
1028.71,0.38
1039.00,0.38
1049.39,0.30
1059.88,0.17
1070.48,-0.01
1081.19,-0.02
1092.00,0.08
1102.92,0.09
1113.95,0.06
1125.09,0.06
1136.34,0.12
1147.70,0.31
1159.18,0.23
1170.77,0.07
1182.48,-0.15
1194.30,-0.47
1206.25,-0.80
1218.31,-1.12
1230.49,-1.29
1242.80,-1.39
1255.22,-1.29
1267.78,-1.20
1280.45,-1.08
1293.26,-0.93
1306.19,-0.77
1319.25,-0.62
1332.45,-0.45
1345.77,-0.33
1359.23,-0.27
1372.82,-0.18
1386.55,-0.29
1400.41,-0.61
1414.42,-0.51
1428.56,-0.41
1442.85,-0.25
1457.28,-0.21
1471.85,-0.32
1486.57,-0.22
1501.43,-0.07
1516.45,-0.02
1531.61,-0.01
1546.93,-0.05
1562.40,-0.50
1578.02,-0.89
1593.80,-0.61
1609.74,-0.49
1625.84,-0.49
1642.10,-0.40
1658.52,-0.25
1675.10,-0.04
1691.85,0.29
1708.77,0.39
1725.86,0.29
1743.12,0.18
1760.55,-0.09
1778.15,-0.42
1795.94,-0.58
1813.90,-0.47
1832.03,-0.55
1850.36,-1.04
1868.86,-0.64
1887.55,-0.74
1906.42,-0.85
1925.49,-0.50
1944.74,0.07
1964.19,0.22
1983.83,0.45
2003.67,0.89
2023.71,1.07
2043.94,1.05
2064.38,0.97
2085.03,0.97
2105.88,0.99
2126.94,1.04
2148.20,1.18
2169.69,1.43
2191.38,1.60
2213.30,1.66
2235.43,1.70
2257.78,1.93
2280.36,2.30
2303.17,2.77
2326.20,3.00
2349.46,3.38
2372.95,3.40
2396.68,3.07
2420.65,3.43
2444.86,3.88
2469.31,4.33
2494.00,4.55
2518.94,4.34
2544.13,4.14
2569.57,4.69
2595.27,5.06
2621.22,5.30
2647.43,5.84
2673.90,5.94
2700.64,6.16
2727.65,6.55
