frequency,raw
20.00,-4.41
20.20,-4.36
20.40,-4.31
20.61,-4.27
20.81,-4.23
21.02,-4.19
21.23,-4.14
21.44,-4.08
21.66,-4.02
21.87,-3.95
22.09,-3.87
22.31,-3.80
22.54,-3.73
22.76,-3.67
22.99,-3.61
23.22,-3.56
23.45,-3.51
23.69,-3.46
23.92,-3.42
24.16,-3.36
24.40,-3.30
24.65,-3.23
24.89,-3.17
25.14,-3.11
25.39,-3.04
25.65,-2.98
25.91,-2.93
26.16,-2.88
26.43,-2.83
26.69,-2.78
26.96,-2.73
27.23,-2.67
27.50,-2.61
27.77,-2.55
28.05,-2.49
28.33,-2.44
28.62,-2.39
28.90,-2.36
29.19,-2.33
29.48,-2.30
29.78,-2.25
30.08,-2.19
30.38,-2.10
30.68,-2.02
30.99,-1.97
31.30,-1.97
31.61,-2.00
31.93,-2.05
32.24,-2.04
32.57,-1.98
32.89,-1.81
33.22,-1.62
33.55,-1.43
33.89,-1.33
34.23,-1.32
34.57,-1.37
34.92,-1.46
35.27,-1.51
35.62,-1.51
35.97,-1.47
36.33,-1.42
36.70,-1.38
37.06,-1.35
37.43,-1.34
37.81,-1.30
38.19,-1.26
38.57,-1.21
38.95,-1.18
39.34,-1.15
39.74,-1.12
40.14,-1.09
40.54,-1.05
40.94,-1.02
41.35,-0.99
41.76,-0.96
42.18,-0.92
42.60,-0.90
43.03,-0.88
43.46,-0.86
43.90,-0.85
44.33,-0.83
44.78,-0.80
45.23,-0.77
45.68,-0.74
46.13,-0.73
46.60,-0.71
47.06,-0.68
47.53,-0.65
48.01,-0.61
48.49,-0.58
48.97,-0.56
49.46,-0.55
49.96,-0.54
50.46,-0.55
50.96,-0.55
51.47,-0.54
51.99,-0.53
52.51,-0.52
53.03,-0.51
53.56,-0.51
54.10,-0.51
54.64,-0.50
55.18,-0.50
55.74,-0.50
56.29,-0.49
56.86,-0.49
57.42,-0.48
58.00,-0.48
58.58,-0.49
59.16,-0.50
59.76,-0.48
60.35,-0.48
60.96,-0.48
61.57,-0.49
62.18,-0.49
62.80,-0.49
63.43,-0.49
64.07,-0.50
64.71,-0.51
65.35,-0.51
66.01,-0.50
66.67,-0.51
67.33,-0.53
68.01,-0.56
68.69,-0.57
69.37,-0.59
70.07,-0.63
70.77,-0.69
71.48,-0.75
72.19,-0.81
72.91,-0.90
73.64,-0.98
74.38,-1.05
75.12,-1.13
75.87,-1.20
76.63,-1.26
77.40,-1.31
78.17,-1.36
78.95,-1.41
79.74,-1.47
80.54,-1.51
81.35,-1.56
82.16,-1.65
82.98,-1.69
83.81,-1.70
84.65,-1.72
85.50,-1.71
86.35,-1.68
87.22,-1.64
88.09,-1.60
88.97,-1.57
89.86,-1.54
90.76,-1.54
91.66,-1.57
92.58,-1.62
93.51,-1.70
94.44,-1.78
95.39,-1.83
96.34,-1.85
97.30,-1.83
98.28,-1.79
99.26,-1.73
100.25,-1.67
101.25,-1.59
102.27,-1.53
103.29,-1.47
104.32,-1.43
105.37,-1.39
106.42,-1.37
107.48,-1.35
108.56,-1.34
109.64,-1.33
110.74,-1.33
111.85,-1.32
112.97,-1.33
114.10,-1.34
115.24,-1.34
116.39,-1.37
117.55,-1.39
118.73,-1.41
119.92,-1.44
121.12,-1.47
122.33,-1.50
123.55,-1.52
124.79,-1.55
126.03,-1.54
127.29,-1.55
128.57,-1.57
129.85,-1.59
131.15,-1.60
132.46,-1.63
133.79,-1.64
