frequency,raw
20.00,6.91
20.20,6.89
20.40,6.88
20.61,6.86
20.81,6.84
21.02,6.82
21.23,6.79
21.44,6.76
21.66,6.72
21.87,6.69
22.09,6.67
22.31,6.65
22.54,6.65
22.76,6.65
22.99,6.67
23.22,6.69
23.45,6.71
23.69,6.72
23.92,6.71
24.16,6.69
24.40,6.66
24.65,6.63
24.89,6.60
25.14,6.57
25.39,6.56
25.65,6.56
25.91,6.57
26.16,6.59
26.43,6.61
26.69,6.62
26.96,6.64
27.23,6.64
27.50,6.63
27.77,6.63
28.05,6.62
28.33,6.63
28.62,6.64
28.90,6.66
29.19,6.68
29.48,6.70
29.78,6.71
30.08,6.71
30.38,6.70
30.68,6.69
30.99,6.70
31.30,6.72
31.61,6.74
31.93,6.76
32.24,6.76
32.57,6.74
32.89,6.71
33.22,6.68
33.55,6.66
33.89,6.67
34.23,6.69
34.57,6.70
34.92,6.66
35.27,6.60
35.62,6.53
35.97,6.47
36.33,6.46
36.70,6.49
37.06,6.52
37.43,6.53
37.81,6.52
38.19,6.49
38.57,6.47
38.95,6.45
39.34,6.43
39.74,6.40
40.14,6.37
40.54,6.34
40.94,6.32
41.35,6.30
41.76,6.27
42.18,6.22
42.60,6.18
43.03,6.16
43.46,6.17
43.90,6.16
44.33,6.14
44.78,6.09
45.23,6.04
45.68,6.00
46.13,5.97
46.60,5.93
47.06,5.89
47.53,5.84
48.01,5.81
48.49,5.77
48.97,5.72
49.46,5.66
49.96,5.61
50.46,5.56
50.96,5.52
51.47,5.48
51.99,5.43
52.51,5.38
53.03,5.33
53.56,5.30
54.10,5.28
54.64,5.26
55.18,5.24
55.74,5.21
56.29,5.19
56.86,5.17
57.42,5.16
58.00,5.15
58.58,5.16
59.16,5.17
59.76,5.17
60.35,5.17
60.96,5.17
61.57,5.17
62.18,5.15
62.80,5.17
63.43,5.21
64.07,5.27
64.71,5.29
65.35,5.33
66.01,5.38
66.67,5.44
67.33,5.51
68.01,5.60
68.69,5.68
69.37,5.76
70.07,5.84
70.77,5.95
71.48,6.05
72.19,6.15
72.91,6.26
73.64,6.37
74.38,6.48
75.12,6.58
75.87,6.69
76.63,6.79
77.40,6.88
78.17,6.98
78.95,7.06
79.74,7.12
80.54,7.20
81.35,7.28
82.16,7.32
82.98,7.37
83.81,7.41
84.65,7.42
85.50,7.44
86.35,7.47
87.22,7.49
88.09,7.51
88.97,7.53
89.86,7.56
90.76,7.57
91.66,7.59
92.58,7.63
93.51,7.66
94.44,7.69
95.39,7.71
96.34,7.72
97.30,7.75
98.28,7.76
99.26,7.76
100.25,7.76
101.25,7.75
102.27,7.75
103.29,7.74
104.32,7.72
105.37,7.69
106.42,7.65
107.48,7.61
108.56,7.57
109.64,7.51
110.74,7.45
111.85,7.41
112.97,7.32
114.10,7.22
115.24,7.14
116.39,7.09
117.55,7.00
118.73,6.87
119.92,6.75
121.12,6.63
122.33,6.52
123.55,6.42
124.79,6.31
126.03,6.19
127.29,6.05
128.57,5.92
129.85,5.79
131.15,5.66
132.46,5.52
