frequency,raw
20.00,11.15
20.20,11.13
20.40,11.11
20.61,11.11
20.81,11.10
21.02,11.10
21.23,11.09
21.44,11.08
21.66,11.08
21.87,11.07
22.09,11.07
22.31,11.06
22.54,11.05
22.76,11.03
22.99,11.02
23.22,11.00
23.45,10.98
23.69,10.96
23.92,10.94
24.16,10.93
24.40,10.92
24.65,10.91
24.89,10.90
25.14,10.88
25.39,10.86
25.65,10.83
25.91,10.80
26.16,10.77
26.43,10.74
26.69,10.72
26.96,10.69
27.23,10.67
27.50,10.64
27.77,10.62
28.05,10.59
28.33,10.56
28.62,10.53
28.90,10.51
29.19,10.49
29.48,10.47
29.78,10.45
30.08,10.43
30.38,10.40
30.68,10.38
30.99,10.34
31.30,10.31
31.61,10.28
31.93,10.25
32.24,10.22
32.57,10.19
32.89,10.17
33.22,10.15
33.55,10.13
33.89,10.11
34.23,10.08
34.57,10.05
34.92,10.01
35.27,9.97
35.62,9.93
35.97,9.89
36.33,9.86
36.70,9.84
37.06,9.82
37.43,9.79
37.81,9.77
38.19,9.75
38.57,9.72
38.95,9.69
39.34,9.67
39.74,9.64
40.14,9.62
40.54,9.60
40.94,9.57
41.35,9.54
41.76,9.51
42.18,9.49
42.60,9.46
43.03,9.44
43.46,9.41
43.90,9.39
44.33,9.36
44.78,9.33
45.23,9.31
45.68,9.29
46.13,9.26
46.60,9.23
47.06,9.20
47.53,9.17
48.01,9.14
48.49,9.11
48.97,9.09
49.46,9.07
49.96,9.05
50.46,9.03
50.96,9.01
51.47,8.98
51.99,8.96
52.51,8.94
53.03,8.92
53.56,8.90
54.10,8.88
54.64,8.86
55.18,8.85
55.74,8.83
56.29,8.82
56.86,8.79
57.42,8.78
58.00,8.76
58.58,8.75
59.16,8.74
59.76,8.71
60.35,8.69
60.96,8.67
61.57,8.66
62.18,8.66
62.80,8.64
63.43,8.63
64.07,8.61
64.71,8.60
65.35,8.59
66.01,8.58
66.67,8.57
67.33,8.56
68.01,8.54
68.69,8.52
69.37,8.50
70.07,8.49
70.77,8.46
71.48,8.42
72.19,8.39
72.91,8.38
73.64,8.36
74.38,8.33
75.12,8.29
75.87,8.26
76.63,8.23
77.40,8.19
78.17,8.17
78.95,8.14
79.74,8.10
80.54,8.06
81.35,8.01
82.16,7.96
82.98,7.91
83.81,7.87
84.65,7.83
85.50,7.79
86.35,7.74
87.22,7.68
88.09,7.62
88.97,7.57
89.86,7.52
90.76,7.47
91.66,7.41
92.58,7.36
93.51,7.29
94.44,7.23
95.39,7.17
96.34,7.11
97.30,7.07
98.28,6.99
99.26,6.93
100.25,6.87
101.25,6.84
102.27,6.78
103.29,6.72
104.32,6.67
105.37,6.63
106.42,6.58
107.48,6.52
108.56,6.46
109.64,6.41
110.74,6.36
111.85,6.28
112.97,6.24
114.10,6.19
115.24,6.14
116.39,6.10
117.55,6.05
118.73,5.99
119.92,5.92
121.12,5.87
122.33,5.82
123.55,5.76
124.79,5.71
126.03,5.65
127.29,5.60
128.57,5.54
129.85,5.48
131.15,5.41
132.46,5.35
133.79,5.31
135.12,5.25
136.48,5.18
137.84,5.14
139.22,5.08
140.61,5.02
142.02,4.96
143.44,4.89
144.87,4.80
146.32,4.74
147.78,4.68
149.26,4.63
150.75,4.57
152.26,4.50
153.78,4.43
155.32,4.36
156.88,4.32
158.44,4.26
160.03,4.18
161.63,4.14
163.24,4.09
164.88,4.03
166.53,3.96
168.19,3.90
169.87,3.86
171.57,3.80
173.29,3.74
175.02,3.68
176.77,3.66
178.54,3.60
180.32,3.53
182.13,3.49
183.95,3.45
185.79,3.42
187.65,3.37
189.52,3.32
191.42,3.27
193.33,3.22
195.27,3.18
197.22,3.15
