frequency,raw
20.00,9.72
20.20,9.72
20.40,9.71
20.61,9.71
20.81,9.70
21.02,9.70
21.23,9.70
21.44,9.71
21.66,9.72
21.87,9.73
22.09,9.73
22.31,9.74
22.54,9.75
22.76,9.75
22.99,9.75
23.22,9.75
23.45,9.75
23.69,9.75
23.92,9.75
24.16,9.75
24.40,9.75
24.65,9.75
24.89,9.74
25.14,9.73
25.39,9.72
25.65,9.70
25.91,9.67
26.16,9.65
26.43,9.63
26.69,9.60
26.96,9.58
27.23,9.55
27.50,9.53
27.77,9.50
28.05,9.48
28.33,9.45
28.62,9.43
28.90,9.41
29.19,9.39
29.48,9.38
29.78,9.38
30.08,9.37
30.38,9.36
30.68,9.34
30.99,9.31
31.30,9.28
31.61,9.25
31.93,9.22
32.24,9.20
32.57,9.18
32.89,9.16
33.22,9.11
33.55,9.06
33.89,9.00
34.23,8.94
34.57,8.89
34.92,8.85
35.27,8.81
35.62,8.77
35.97,8.72
36.33,8.65
36.70,8.59
37.06,8.54
37.43,8.51
37.81,8.49
38.19,8.48
38.57,8.45
38.95,8.41
39.34,8.36
39.74,8.32
40.14,8.29
40.54,8.26
40.94,8.23
41.35,8.19
41.76,8.16
42.18,8.12
42.60,8.09
43.03,8.06
43.46,8.02
43.90,7.99
44.33,7.97
44.78,7.96
45.23,7.93
45.68,7.89
46.13,7.83
46.60,7.80
47.06,7.78
47.53,7.77
48.01,7.73
48.49,7.68
48.97,7.63
49.46,7.58
49.96,7.53
50.46,7.47
50.96,7.40
51.47,7.32
51.99,7.26
52.51,7.20
53.03,7.13
53.56,7.06
54.10,6.98
54.64,6.91
55.18,6.84
55.74,6.76
56.29,6.67
56.86,6.59
57.42,6.50
58.00,6.42
58.58,6.33
59.16,6.25
59.76,6.17
60.35,6.09
60.96,6.00
61.57,5.91
62.18,5.81
62.80,5.74
63.43,5.67
64.07,5.60
64.71,5.52
65.35,5.47
66.01,5.43
66.67,5.38
67.33,5.32
68.01,5.27
68.69,5.24
69.37,5.21
70.07,5.17
70.77,5.17
71.48,5.17
72.19,5.18
72.91,5.18
73.64,5.20
74.38,5.21
75.12,5.23
75.87,5.26
76.63,5.29
77.40,5.33
78.17,5.37
78.95,5.41
79.74,5.49
80.54,5.55
81.35,5.61
82.16,5.66
82.98,5.72
83.81,5.77
84.65,5.82
85.50,5.87
86.35,5.91
87.22,5.95
88.09,5.99
88.97,6.02
89.86,6.05
90.76,6.08
91.66,6.10
92.58,6.11
93.51,6.11
94.44,6.12
95.39,6.12
96.34,6.11
97.30,6.09
98.28,6.06
99.26,6.03
100.25,6.00
101.25,5.95
102.27,5.88
103.29,5.81
104.32,5.74
105.37,5.66
106.42,5.57
107.48,5.47
108.56,5.38
109.64,5.26
110.74,5.13
111.85,5.01
112.97,4.89
114.10,4.76
115.24,4.63
116.39,4.51
117.55,4.38
118.73,4.22
119.92,4.04
121.12,3.88
122.33,3.75
123.55,3.58
124.79,3.43
126.03,3.28
127.29,3.14
128.57,3.00
129.85,2.84
131.15,2.69
132.46,2.54
133.79,2.40
135.12,2.27
136.48,2.14
137.84,2.02
139.22,1.90
140.61,1.78
142.02,1.66
143.44,1.54
144.87,1.42
146.32,1.31
147.78,1.21
149.26,1.12
150.75,1.03
152.26,0.93
153.78,0.85
155.32,0.78
156.88,0.70
158.44,0.63
160.03,0.57
161.63,0.52
163.24,0.48
164.88,0.43
166.53,0.38
168.19,0.33
169.87,0.30
171.57,0.26
173.29,0.23
175.02,0.23
176.77,0.20
178.54,0.18
180.32,0.17
182.13,0.16
183.95,0.15
185.79,0.14
187.65,0.14
189.52,0.13
191.42,0.12
193.33,0.12
195.27,0.11
197.22,0.12
199.19,0.13
201.18,0.14
203.19,0.14
205.23,0.14
207.28,0.15
209.35,0.15
211.44,0.17
213.56,0.17
215.69,0.18
217.85,0.20
220.03,0.20
222.23,0.23
224.45,0.25
226.70,0.24
228.96,0.25
231.25,0.25
233.57,0.26
235.90,0.27
238.26,0.28
240.64,0.29
243.05,0.28
245.48,0.29
247.93,0.30
250.41,0.31
252.92,0.32
255.45,0.32
258.00,0.31
260.58,0.33
263.19,0.34
265.82,0.32
268.48,0.32
271.16,0.32
273.87,0.33
276.61,0.33
279.38,0.35
282.17,0.35
284.99,0.35
287.84,0.35
290.72,0.34
293.63,0.34
296.57,0.34
299.53,0.33
302.53,0.31
305.55,0.29
308.61,0.28
311.69,0.27
314.81,0.26
317.96,0.24
321.14,0.22
324.35,0.20
327.59,0.19
330.87,0.18
334.18,0.16
337.52,0.13
340.90,0.11
344.30,0.12
347.75,0.09
351.23,0.07
354.74,0.05
358.28,0.04
361.87,0.02
365.49,-0.00
369.14,0.01
372.83,0.01
376.56,0.03
380.33,0.07
384.13,0.09
387.97,0.10
391.85,0.10
395.77,0.10
399.73,0.09
403.72,0.08
407.76,0.07
411.84,0.06
415.96,0.04
420.12,0.02
424.32,0.01
428.56,-0.00
432.85,-0.02
437.18,-0.04
441.55,-0.06
445.96,-0.06
450.42,-0.06
454.93,-0.09
459.48,-0.12
464.07,-0.13
468.71,-0.14
473.40,-0.17
478.13,-0.18
482.91,-0.19
487.74,-0.20
492.62,-0.22
497.55,-0.23
502.52,-0.24
507.55,-0.25
512.62,-0.26
517.75,-0.27
522.93,-0.28
528.16,-0.31
533.44,-0.32
538.77,-0.32
544.16,-0.34
549.60,-0.35
555.10,-0.37
560.65,-0.39
566.25,-0.40
571.92,-0.41
577.64,-0.42
