frequency,raw
20.00,-0.70
20.20,-0.63
20.40,-0.57
20.61,-0.51
20.81,-0.44
21.02,-0.34
21.23,-0.24
21.44,-0.10
21.66,0.05
21.87,0.21
22.09,0.36
22.31,0.51
22.54,0.65
22.76,0.77
22.99,0.87
23.22,0.97
23.45,1.06
23.69,1.15
23.92,1.25
24.16,1.35
24.40,1.45
24.65,1.55
24.89,1.65
25.14,1.74
25.39,1.84
25.65,1.95
25.91,2.06
26.16,2.17
26.43,2.28
26.69,2.39
26.96,2.50
27.23,2.60
27.50,2.70
27.77,2.80
28.05,2.90
28.33,3.00
28.62,3.10
28.90,3.20
29.19,3.31
29.48,3.43
29.78,3.58
30.08,3.74
30.38,3.92
30.68,4.08
30.99,4.22
31.30,4.33
31.61,4.43
31.93,4.52
32.24,4.63
32.57,4.75
32.89,4.88
33.22,4.99
33.55,5.10
33.89,5.18
34.23,5.26
34.57,5.34
34.92,5.45
35.27,5.58
35.62,5.70
35.97,5.82
36.33,5.92
36.70,6.01
37.06,6.10
37.43,6.19
37.81,6.30
38.19,6.41
38.57,6.54
38.95,6.67
39.34,6.79
39.74,6.91
40.14,7.02
40.54,7.11
40.94,7.21
41.35,7.30
41.76,7.39
42.18,7.48
42.60,7.57
43.03,7.68
43.46,7.81
43.90,7.92
44.33,8.02
44.78,8.11
45.23,8.20
45.68,8.29
46.13,8.38
46.60,8.47
47.06,8.57
47.53,8.68
48.01,8.80
48.49,8.89
48.97,8.94
49.46,8.98
49.96,9.05
50.46,9.16
50.96,9.25
51.47,9.32
51.99,9.35
52.51,9.39
53.03,9.45
53.56,9.52
54.10,9.58
54.64,9.64
55.18,9.71
55.74,9.75
56.29,9.80
56.86,9.84
57.42,9.90
58.00,9.96
58.58,10.02
59.16,10.06
59.76,10.09
60.35,10.13
60.96,10.18
61.57,10.21
62.18,10.18
62.80,10.14
63.43,10.16
64.07,10.20
64.71,10.19
65.35,10.15
66.01,10.09
66.67,10.10
67.33,10.08
68.01,10.03
68.69,9.98
69.37,9.94
70.07,9.91
70.77,9.86
71.48,9.83
72.19,9.79
72.91,9.74
73.64,9.69
74.38,9.62
75.12,9.54
75.87,9.48
76.63,9.41
77.40,9.33
78.17,9.25
78.95,9.16
79.74,9.07
80.54,9.00
81.35,8.93
82.16,8.84
82.98,8.75
83.81,8.64
84.65,8.56
85.50,8.47
86.35,8.36
87.22,8.26
88.09,8.16
88.97,8.06
89.86,7.96
90.76,7.84
91.66,7.75
92.58,7.67
93.51,7.58
94.44,7.50
95.39,7.42
96.34,7.32
97.30,7.25
98.28,7.17
99.26,7.11
100.25,7.05
101.25,6.97
102.27,6.92
103.29,6.87
104.32,6.80
105.37,6.75
106.42,6.71
107.48,6.66
108.56,6.60
109.64,6.56
110.74,6.54
111.85,6.55
112.97,6.54
114.10,6.52
115.24,6.52
116.39,6.53
117.55,6.53
118.73,6.54
119.92,6.55
121.12,6.55
122.33,6.57
123.55,6.62
124.79,6.64
126.03,6.67
127.29,6.70
128.57,6.71
129.85,6.75
131.15,6.78
132.46,6.83
133.79,6.86
135.12,6.90
136.48,6.94
137.84,6.96
139.22,6.98
140.61,7.00
142.02,7.04
143.44,7.06
144.87,7.07
146.32,7.07
147.78,7.08
149.26,7.09
150.75,7.08
152.26,7.07
153.78,7.06
155.32,7.05
156.88,7.03
158.44,6.99
160.03,6.94
161.63,6.92
163.24,6.89
164.88,6.84
166.53,6.80
168.19,6.75
169.87,6.70
171.57,6.67
173.29,6.65
175.02,6.63
176.77,6.61
178.54,6.61
180.32,6.60
182.13,6.58
183.95,6.57
185.79,6.55
187.65,6.52
189.52,6.48
191.42,6.46
193.33,6.44
195.27,6.42
197.22,6.35
199.19,6.30
201.18,6.25
203.19,6.19
205.23,6.15
207.28,6.09
209.35,6.02
211.44,5.97
213.56,5.92
215.69,5.86
217.85,5.81
220.03,5.75
222.23,5.68
224.45,5.62
226.70,5.56
228.96,5.52
231.25,5.47
233.57,5.41
235.90,5.34
238.26,5.27
240.64,5.21
243.05,5.18
245.48,5.10
247.93,5.02
250.41,4.95
252.92,4.88
255.45,4.82
258.00,4.76
260.58,4.66
263.19,4.58
265.82,4.51
268.48,4.42
271.16,4.32
273.87,4.21
276.61,4.12
279.38,4.04
282.17,3.95
284.99,3.87
287.84,3.79
290.72,3.72
293.63,3.65
296.57,3.57
299.53,3.49
302.53,3.40
305.55,3.30
308.61,3.20
311.69,3.11
314.81,2.98
317.96,2.90
321.14,2.80
324.35,2.65
327.59,2.56
330.87,2.48
334.18,2.37
337.52,2.26
340.90,2.16
344.30,2.05
347.75,1.98
351.23,1.89
354.74,1.75
358.28,1.67
361.87,1.60
365.49,1.52
369.14,1.42
372.83,1.36
376.56,1.33
380.33,1.32
384.13,1.33
387.97,1.34
391.85,1.29
395.77,1.24
399.73,1.17
403.72,1.12
407.76,1.07
411.84,1.03
415.96,1.05
420.12,1.06
424.32,1.06
428.56,1.06
432.85,1.06
437.18,1.08
441.55,1.06
445.96,1.05
450.42,1.06
454.93,1.07
459.48,1.07
464.07,1.08
468.71,1.10
473.40,1.11
478.13,1.13
482.91,1.16
487.74,1.19
492.62,1.19
497.55,1.21
502.52,1.22
507.55,1.24
512.62,1.27
517.75,1.30
522.93,1.33
528.16,1.37
533.44,1.41
538.77,1.45
544.16,1.52
549.60,1.55
555.10,1.59
560.65,1.62
566.25,1.64
571.92,1.66
577.64,1.67
583.41,1.67
589.25,1.64
595.14,1.62
601.09,1.62
607.10,1.70
613.17,1.74
619.30,1.66
625.50,1.57
631.75,1.48
638.07,1.38
644.45,1.23
650.89,1.09
657.40,1.02
663.98,0.93
670.62,0.82
677.32,0.70
684.10,0.59
690.94,0.49
697.85,0.35
704.83,0.24
711.87,0.15
718.99,0.03
726.18,-0.12
733.44,-0.19
740.78,-0.17
748.19,-0.16
755.67,-0.13
763.23,-0.11
770.86,-0.11
778.57,-0.12
786.35,-0.16
794.22,-0.17
802.16,-0.18
810.18,-0.20
818.28,-0.19
826.46,-0.16
834.73,-0.11
843.08,-0.10
851.51,-0.12
860.02,-0.10
868.62,-0.10
877.31,-0.10
886.08,-0.08
894.94,-0.10
903.89,-0.13
912.93,-0.16
922.06,-0.12
931.28,-0.16
940.59,-0.24
950.00,-0.31
959.50,-0.33
969.09,-0.34
978.78,-0.28
988.57,-0.14
998.46,-0.05
1008.44,0.28
1018.53,0.67
1028.71,1.08
1039.00,1.36
1049.39,1.54
1059.88,1.64
1070.48,1.71
1081.19,1.73
1092.00,1.72
1102.92,1.72
1113.95,1.69
1125.09,1.65
1136.34,1.64
1147.70,1.60
1159.18,1.58
1170.77,1.56
1182.48,1.52
1194.30,1.52
1206.25,1.51
1218.31,1.50
