frequency,raw
20.00,5.27
20.20,5.20
20.40,5.13
20.61,5.06
20.81,4.98
21.02,4.90
21.23,4.83
21.44,4.76
21.66,4.70
21.87,4.64
22.09,4.59
22.31,4.55
22.54,4.50
22.76,4.44
22.99,4.37
23.22,4.29
23.45,4.21
23.69,4.12
23.92,4.03
24.16,3.95
24.40,3.88
24.65,3.81
24.89,3.75
25.14,3.69
25.39,3.63
25.65,3.58
25.91,3.54
26.16,3.50
26.43,3.47
26.69,3.44
26.96,3.41
27.23,3.39
27.50,3.37
27.77,3.37
28.05,3.36
28.33,3.37
28.62,3.38
28.90,3.39
29.19,3.40
29.48,3.42
29.78,3.45
30.08,3.48
30.38,3.52
30.68,3.56
30.99,3.58
31.30,3.61
31.61,3.62
31.93,3.64
32.24,3.66
32.57,3.68
32.89,3.71
33.22,3.74
33.55,3.77
33.89,3.80
34.23,3.82
34.57,3.85
34.92,3.88
35.27,3.91
35.62,3.94
35.97,3.97
36.33,4.00
36.70,4.03
37.06,4.07
37.43,4.12
37.81,4.18
38.19,4.24
38.57,4.30
38.95,4.37
39.34,4.44
39.74,4.52
40.14,4.59
40.54,4.66
40.94,4.72
41.35,4.77
41.76,4.82
42.18,4.88
42.60,4.94
43.03,5.01
43.46,5.08
43.90,5.15
44.33,5.22
44.78,5.27
45.23,5.33
45.68,5.40
46.13,5.47
46.60,5.55
47.06,5.63
47.53,5.70
48.01,5.77
48.49,5.84
48.97,5.92
49.46,6.00
49.96,6.06
50.46,6.12
50.96,6.19
51.47,6.27
51.99,6.34
52.51,6.41
53.03,6.47
53.56,6.54
54.10,6.62
54.64,6.68
55.18,6.74
55.74,6.79
56.29,6.85
56.86,6.91
57.42,6.96
58.00,7.02
58.58,7.07
59.16,7.12
59.76,7.18
60.35,7.23
60.96,7.28
61.57,7.32
62.18,7.36
62.80,7.39
63.43,7.42
64.07,7.45
64.71,7.49
65.35,7.52
66.01,7.54
66.67,7.57
67.33,7.59
68.01,7.60
68.69,7.60
69.37,7.61
70.07,7.63
70.77,7.63
71.48,7.62
72.19,7.62
72.91,7.62
73.64,7.62
74.38,7.61
75.12,7.60
75.87,7.59
76.63,7.58
77.40,7.57
78.17,7.55
78.95,7.53
79.74,7.51
80.54,7.48
81.35,7.46
82.16,7.44
82.98,7.42
83.81,7.39
84.65,7.37
85.50,7.34
86.35,7.32
87.22,7.29
88.09,7.27
88.97,7.25
89.86,7.22
90.76,7.19
91.66,7.17
92.58,7.14
93.51,7.12
94.44,7.10
95.39,7.09
96.34,7.07
97.30,7.05
98.28,7.04
99.26,7.03
100.25,7.01
101.25,7.00
102.27,6.99
103.29,6.98
104.32,6.99
105.37,6.98
106.42,6.97
107.48,6.96
108.56,6.96
109.64,6.95
110.74,6.94
111.85,6.94
112.97,6.93
114.10,6.93
115.24,6.94
116.39,6.93
117.55,6.93
118.73,6.94
119.92,6.94
121.12,6.93
122.33,6.91
123.55,6.91
124.79,6.91
126.03,6.91
127.29,6.90
128.57,6.89
129.85,6.89
131.15,6.88
132.46,6.87
133.79,6.86
135.12,6.84
136.48,6.83
137.84,6.82
139.22,6.79
140.61,6.77
142.02,6.75
143.44,6.72
144.87,6.70
146.32,6.67
147.78,6.64
149.26,6.61
150.75,6.57
152.26,6.54
153.78,6.51
155.32,6.48
156.88,6.44
158.44,6.41
160.03,6.37
161.63,6.33
163.24,6.29
164.88,6.25
166.53,6.21
168.19,6.17
169.87,6.11
171.57,6.08
173.29,6.04
175.02,6.00
176.77,5.96
178.54,5.93
180.32,5.89
182.13,5.84
183.95,5.80
185.79,5.77
187.65,5.73
189.52,5.69
191.42,5.66
193.33,5.62
195.27,5.58
197.22,5.55
199.19,5.51
201.18,5.48
203.19,5.44
205.23,5.41
207.28,5.38
209.35,5.35
211.44,5.31
213.56,5.27
215.69,5.23
217.85,5.19
220.03,5.17
222.23,5.14
224.45,5.11
226.70,5.08
228.96,5.06
231.25,5.04
233.57,5.00
235.90,4.97
238.26,4.94
240.64,4.91
243.05,4.88
245.48,4.86
247.93,4.83
250.41,4.80
252.92,4.77
255.45,4.74
258.00,4.71
260.58,4.67
263.19,4.63
265.82,4.60
268.48,4.54
271.16,4.51
273.87,4.47
276.61,4.43
279.38,4.37
282.17,4.32
284.99,4.28
287.84,4.23
290.72,4.18
293.63,4.12
296.57,4.07
299.53,4.01
302.53,3.95
305.55,3.88
308.61,3.80
311.69,3.72
314.81,3.64
317.96,3.56
321.14,3.49
324.35,3.41
327.59,3.34
330.87,3.28
334.18,3.27
337.52,3.26
340.90,3.26
344.30,3.29
347.75,3.33
351.23,3.37
354.74,3.40
358.28,3.43
361.87,3.44
365.49,3.44
369.14,3.45
372.83,3.45
376.56,3.47
380.33,3.51
384.13,3.55
387.97,3.60
391.85,3.65
395.77,3.71
399.73,3.76
403.72,3.77
407.76,3.78
411.84,3.77
415.96,3.77
420.12,3.75
424.32,3.72
428.56,3.70
432.85,3.67
437.18,3.62
441.55,3.56
445.96,3.50
450.42,3.46
454.93,3.37
459.48,3.28
464.07,3.20
468.71,3.11
473.40,2.99
478.13,2.88
482.91,2.78
487.74,2.68
492.62,2.57
497.55,2.44
502.52,2.31
507.55,2.18
512.62,2.01
517.75,1.86
522.93,1.74
528.16,1.61
533.44,1.48
538.77,1.35
544.16,1.25
549.60,1.16
555.10,1.06
560.65,0.94
566.25,0.90
571.92,0.85
577.64,0.80
583.41,0.75
589.25,0.71
595.14,0.68
601.09,0.67
607.10,0.75
613.17,0.83
619.30,0.96
625.50,1.09
631.75,1.17
638.07,1.21
644.45,1.21
650.89,1.20
657.40,1.19
663.98,1.16
670.62,1.13
677.32,1.11
684.10,1.05
690.94,0.96
697.85,0.86
704.83,0.73
711.87,0.60
718.99,0.44
726.18,0.30
733.44,0.19
740.78,0.11
748.19,0.09
755.67,0.11
763.23,0.13
770.86,0.14
778.57,0.14
786.35,0.13
794.22,0.12
802.16,0.11
810.18,0.10
818.28,0.11
826.46,0.13
834.73,0.17
843.08,0.21
851.51,0.24
860.02,0.22
868.62,0.21
877.31,0.21
886.08,0.21
894.94,0.20
903.89,0.18
912.93,0.15
922.06,0.15
931.28,0.11
940.59,0.06
950.00,0.00
959.50,-0.07
969.09,-0.13
978.78,-0.15
988.57,-0.12
998.46,-0.04
1008.44,0.20
1018.53,0.51
1028.71,0.90
1039.00,1.26
1049.39,1.54
1059.88,1.74
1070.48,1.85
1081.19,1.93
1092.00,1.99
1102.92,2.03
1113.95,2.03
1125.09,2.03
1136.34,2.05
1147.70,2.07
1159.18,2.07
1170.77,2.07
1182.48,2.06
1194.30,2.05
1206.25,2.05
1218.31,2.07
1230.49,2.07
1242.80,2.07
1255.22,2.10
1267.78,2.11
1280.45,2.12
1293.26,2.13
1306.19,2.13
1319.25,2.14
1332.45,2.16
1345.77,2.15
1359.23,2.12
1372.82,2.10
1386.55,2.07
1400.41,2.04
1414.42,1.99
1428.56,1.94
1442.85,1.87
1457.28,1.80
1471.85,1.73
1486.57,1.65
1501.43,1.58
1516.45,1.61
1531.61,1.65
1546.93,1.72
1562.40,1.88
1578.02,2.04
1593.80,2.17
1609.74,2.30
1625.84,2.43
1642.10,2.51
1658.52,2.61
1675.10,2.73
1691.85,2.88
1708.77,3.08
1725.86,3.34
1743.12,3.73
1760.55,4.07
1778.15,4.38
1795.94,4.65
1813.90,4.91
1832.03,5.16
1850.36,5.44
1868.86,5.69
1887.55,5.98
1906.42,6.29
1925.49,6.60
1944.74,6.97
1964.19,7.36
1983.83,7.74
2003.67,8.10
2023.71,8.40
2043.94,8.65
2064.38,8.87
2085.03,9.05
2105.88,9.18
2126.94,9.30
2148.20,9.42
2169.69,9.54
2191.38,9.67
2213.30,9.79
2235.43,9.92
2257.78,10.00
2280.36,10.05
2303.17,10.09
2326.20,10.10
2349.46,10.11
2372.95,10.12
2396.68,10.14
2420.65,10.21
2444.86,10.29
2469.31,10.38
2494.00,10.51
2518.94,10.62
2544.13,10.72
2569.57,10.84
2595.27,10.97
2621.22,11.10
2647.43,11.24
2673.90,11.37
2700.64,11.50
2727.65,11.60
2754.93,11.68
2782.48,11.72
2810.30,11.77
2838.40,11.84
2866.79,11.89
2895.46,11.95
2924.41,11.99
2953.65,12.02
2983.19,12.00
3013.02,11.96
3043.15,11.90
3073.58,11.82
3104.32,11.74
3135.36,11.66
3166.72,11.57
3198.38,11.48
3230.37,11.40
3262.67,11.33
3295.30,11.26
3328.25,11.24
3361.53,11.26
3395.15,11.33
3429.10,11.26
3463.39,11.15
3498.03,11.00
3533.01,10.87
3568.34,10.74
3604.02,10.63
3640.06,10.50
3676.46,10.40
3713.22,10.30
3750.36,10.19
3787.86,10.07
3825.74,9.95
3864.00,9.81
3902.64,9.67
3941.66,9.54
3981.08,9.41
4020.89,9.32
4061.10,9.25
4101.71,9.22
4142.73,9.18
4184.15,9.12
4226.00,8.95
4268.26,8.73
4310.94,8.43
4354.05,8.04
4397.59,7.59
4441.56,7.09
4485.98,6.50
4530.84,5.88
4576.15,5.21
4621.91,4.52
4668.13,3.85
4714.81,3.15
4761.96,2.46
4809.58,1.80
4857.67,1.18
4906.25,0.65
4955.31,0.19
5004.87,-0.16
5054.91,-0.32
5105.46,-0.41
5156.52,-0.39
5208.08,-0.13
5260.16,0.30
5312.77,0.85
5365.89,1.60
5419.55,2.46
5473.75,3.32
5528.49,4.12
5583.77,4.71
5639.61,5.10
5696.00,5.41
5752.96,5.52
5810.49,5.59
5868.60,5.60
5927.28,5.61
5986.56,5.64
6046.42,5.67
6106.89,5.67
6167.96,5.59
6229.64,5.41
6291.93,5.00
6354.85,4.32
6418.40,3.51
6482.58,2.50
6547.41,1.39
6612.88,0.23
6679.01,-1.00
6745.80,-2.18
6813.26,-3.35
6881.39,-4.50
6950.21,-5.50
7019.71,-6.44
7089.91,-7.39
7160.81,-8.22
7232.41,-8.93
7304.74,-9.51
7377.79,-10.15
7451.56,-10.48
7526.08,-10.61
7601.34,-10.62
7677.35,-10.64
7754.13,-10.67
7831.67,-10.77
7909.98,-10.84
7989.08,-10.86
8068.98,-11.10
8149.67,-11.43
8231.16,-11.86
8313.47,-12.04
8396.61,-12.09
8480.57,-11.93
8565.38,-11.62
8651.03,-11.20
8737.54,-10.67
8824.92,-10.31
8913.17,-9.88
9002.30,-9.40
9092.32,-8.81
9183.25,-8.57
9275.08,-8.66
9367.83,-9.24
9461.51,-10.48
9556.12,-11.77
9651.68,-13.21
9748.20,-15.01
9845.68,-16.98
9944.14,-18.85
10043.58,-20.17
10144.02,-20.84
10245.46,-20.06
10347.91,-18.53
10451.39,-16.30
10555.91,-14.39
10661.46,-12.59
10768.08,-10.86
10875.76,-9.09
10984.52,-8.00
11094.36,-7.30
11205.31,-7.09
11317.36,-8.16
11430.53,-9.24
11544.84,-10.13
11660.29,-10.70
11776.89,-11.52
11894.66,-11.28
12013.60,-10.72
12133.74,-9.48
12255.08,-7.59
12377.63,-5.44
12501.41,-3.26
12626.42,-1.74
12752.68,-0.91
12880.21,-1.02
13009.01,-1.61
13139.10,-2.19
13270.49,-3.44
13403.20,-4.46
13537.23,-5.57
13672.60,-6.53
13809.33,-7.34
13947.42,-7.85
14086.90,-8.13
14227.77,-8.26
14370.04,-8.59
14513.74,-9.16
14658.88,-9.99
14805.47,-10.80
14953.52,-11.59
15103.06,-12.68
15254.09,-13.88
15406.63,-14.62
15560.70,-15.43
15716.30,-16.35
15873.47,-16.62
16032.20,-16.40
16192.52,-14.91
16354.45,-13.20
16517.99,-11.43
16683.17,-10.24
16850.01,-9.72
17018.51,-9.74
17188.69,-10.31
17360.58,-11.13
17534.18,-12.15
17709.53,-13.48
17886.62,-14.65
18065.49,-15.76
18246.14,-16.84
18428.60,-17.84
18612.89,-18.71
18799.02,-19.18
18987.01,-18.75
19176.88,-16.96
19368.65,-15.24
19562.33,-14.02
19757.96,-13.64
19955.54,-13.26
