frequency,raw
20.00,-29.05
20.20,-29.07
20.40,-29.09
20.61,-29.11
20.81,-29.12
21.02,-29.09
21.23,-29.02
21.44,-28.84
21.66,-28.57
21.87,-28.27
22.09,-27.90
22.31,-27.51
22.54,-27.14
22.76,-26.81
22.99,-26.52
23.22,-26.31
23.45,-26.14
23.69,-26.01
23.92,-25.90
24.16,-25.78
24.40,-25.64
24.65,-25.47
24.89,-25.28
25.14,-25.08
25.39,-24.88
25.65,-24.69
25.91,-24.51
26.16,-24.35
26.43,-24.18
26.69,-23.99
26.96,-23.78
27.23,-23.54
27.50,-23.27
27.77,-23.01
28.05,-22.76
28.33,-22.55
28.62,-22.36
28.90,-22.20
29.19,-22.06
29.48,-21.93
29.78,-21.79
30.08,-21.64
30.38,-21.47
30.68,-21.29
30.99,-21.09
31.30,-20.88
31.61,-20.66
31.93,-20.44
32.24,-20.21
32.57,-19.99
32.89,-19.79
33.22,-19.60
33.55,-19.42
33.89,-19.25
34.23,-19.07
34.57,-18.89
34.92,-18.70
35.27,-18.51
35.62,-18.33
35.97,-18.15
36.33,-17.99
36.70,-17.82
37.06,-17.65
37.43,-17.48
37.81,-17.31
38.19,-17.15
38.57,-16.99
38.95,-16.83
39.34,-16.66
39.74,-16.50
40.14,-16.35
40.54,-16.19
40.94,-16.03
41.35,-15.88
41.76,-15.71
42.18,-15.56
42.60,-15.40
43.03,-15.26
43.46,-15.13
43.90,-15.00
44.33,-14.87
44.78,-14.73
45.23,-14.58
45.68,-14.43
46.13,-14.27
46.60,-14.11
47.06,-13.93
47.53,-13.75
48.01,-13.55
48.49,-13.35
48.97,-13.18
49.46,-13.03
49.96,-12.92
50.46,-12.84
50.96,-12.75
51.47,-12.66
51.99,-12.55
52.51,-12.44
53.03,-12.31
53.56,-12.19
54.10,-12.06
54.64,-11.95
55.18,-11.83
55.74,-11.71
56.29,-11.57
56.86,-11.42
57.42,-11.26
58.00,-11.10
58.58,-10.93
59.16,-10.77
59.76,-10.61
60.35,-10.45
60.96,-10.30
61.57,-10.15
62.18,-10.02
62.80,-9.89
63.43,-9.76
64.07,-9.62
64.71,-9.48
65.35,-9.33
66.01,-9.18
66.67,-9.02
67.33,-8.86
68.01,-8.69
68.69,-8.51
69.37,-8.33
70.07,-8.16
70.77,-7.99
71.48,-7.82
72.19,-7.66
72.91,-7.49
73.64,-7.32
74.38,-7.15
75.12,-6.98
75.87,-6.81
76.63,-6.65
77.40,-6.49
78.17,-6.33
78.95,-6.17
79.74,-6.02
80.54,-5.88
81.35,-5.73
82.16,-5.59
82.98,-5.45
83.81,-5.31
84.65,-5.17
85.50,-5.04
86.35,-4.92
87.22,-4.80
88.09,-4.69
88.97,-4.60
89.86,-4.50
90.76,-4.42
91.66,-4.34
92.58,-4.26
93.51,-4.17
94.44,-4.07
95.39,-3.97
96.34,-3.88
97.30,-3.79
98.28,-3.70
99.26,-3.61
100.25,-3.53
101.25,-3.45
102.27,-3.38
103.29,-3.32
104.32,-3.26
105.37,-3.23
106.42,-3.21
107.48,-3.22
108.56,-3.25
109.64,-3.29
110.74,-3.34
111.85,-3.39
112.97,-3.42
114.10,-3.43
115.24,-3.43
116.39,-3.41
117.55,-3.39
118.73,-3.38
119.92,-3.37
121.12,-3.37
122.33,-3.38
123.55,-3.39
124.79,-3.41
126.03,-3.42
127.29,-3.43
128.57,-3.44
129.85,-3.46
131.15,-3.47
132.46,-3.48
133.79,-3.50
135.12,-3.51
136.48,-3.53
137.84,-3.54
139.22,-3.55
140.61,-3.57
142.02,-3.58
143.44,-3.59
144.87,-3.61
146.32,-3.62
147.78,-3.64
149.26,-3.66
150.75,-3.68
152.26,-3.71
153.78,-3.73
155.32,-3.76
156.88,-3.80
158.44,-3.85
160.03,-3.90
161.63,-3.97
163.24,-4.04
164.88,-4.12
166.53,-4.19
168.19,-4.25
169.87,-4.31
171.57,-4.35
173.29,-4.37
175.02,-4.40
176.77,-4.41
178.54,-4.43
180.32,-4.44
182.13,-4.44
183.95,-4.43
185.79,-4.42
187.65,-4.41
189.52,-4.39
191.42,-4.37
193.33,-4.36
195.27,-4.34
197.22,-4.32
199.19,-4.30
201.18,-4.29
203.19,-4.27
205.23,-4.25
207.28,-4.22
209.35,-4.19
211.44,-4.15
213.56,-4.12
215.69,-4.08
217.85,-4.04
220.03,-4.00
222.23,-3.95
224.45,-3.91
226.70,-3.86
228.96,-3.81
231.25,-3.76
233.57,-3.71
235.90,-3.67
238.26,-3.63
240.64,-3.60
243.05,-3.57
245.48,-3.55
247.93,-3.52
250.41,-3.49
252.92,-3.47
255.45,-3.44
258.00,-3.40
260.58,-3.37
263.19,-3.34
265.82,-3.30
268.48,-3.27
271.16,-3.24
273.87,-3.21
276.61,-3.19
279.38,-3.17
282.17,-3.15
284.99,-3.14
287.84,-3.12
290.72,-3.11
293.63,-3.10
296.57,-3.09
299.53,-3.09
302.53,-3.08
305.55,-3.07
308.61,-3.07
311.69,-3.06
314.81,-3.05
317.96,-3.04
321.14,-3.03
324.35,-3.03
327.59,-3.02
330.87,-3.01
334.18,-3.01
337.52,-3.00
340.90,-3.00
344.30,-3.00
347.75,-2.99
351.23,-2.99
354.74,-2.99
358.28,-2.98
361.87,-2.98
365.49,-2.98
369.14,-2.97
372.83,-2.96
376.56,-2.95
380.33,-2.94
384.13,-2.92
387.97,-2.91
391.85,-2.90
395.77,-2.89
399.73,-2.89
403.72,-2.88
407.76,-2.87
411.84,-2.86
415.96,-2.85
420.12,-2.84
424.32,-2.83
428.56,-2.82
432.85,-2.81
437.18,-2.80
441.55,-2.79
445.96,-2.78
450.42,-2.76
454.93,-2.74
459.48,-2.72
464.07,-2.71
468.71,-2.69
473.40,-2.67
478.13,-2.65
482.91,-2.62
487.74,-2.59
492.62,-2.56
497.55,-2.52
502.52,-2.48
507.55,-2.44
512.62,-2.40
517.75,-2.36
522.93,-2.33
528.16,-2.30
533.44,-2.28
538.77,-2.26
544.16,-2.23
549.60,-2.21
555.10,-2.18
560.65,-2.16
566.25,-2.13
571.92,-2.10
577.64,-2.07
583.41,-2.04
589.25,-2.00
595.14,-1.96
601.09,-1.92
607.10,-1.88
613.17,-1.84
619.30,-1.80
625.50,-1.75
631.75,-1.71
638.07,-1.67
644.45,-1.63
650.89,-1.60
657.40,-1.57
663.98,-1.53
670.62,-1.50
677.32,-1.46
684.10,-1.42
690.94,-1.37
697.85,-1.33
704.83,-1.29
711.87,-1.25
718.99,-1.21
726.18,-1.17
733.44,-1.12
740.78,-1.08
748.19,-1.04
755.67,-1.00
763.23,-0.95
770.86,-0.92
778.57,-0.88
786.35,-0.84
794.22,-0.80
802.16,-0.76
810.18,-0.72
818.28,-0.68
826.46,-0.64
834.73,-0.60
843.08,-0.57
851.51,-0.53
860.02,-0.49
868.62,-0.46
877.31,-0.42
886.08,-0.39
894.94,-0.36
903.89,-0.33
912.93,-0.30
922.06,-0.27
931.28,-0.23
940.59,-0.20
950.00,-0.17
959.50,-0.14
969.09,-0.10
978.78,-0.07
988.57,-0.04
998.46,-0.01
1008.44,0.03
1018.53,0.06
1028.71,0.09
1039.00,0.13
1049.39,0.16
