frequency,raw
20.00,-46.91
20.20,-45.76
20.40,-44.60
20.61,-43.45
20.81,-42.27
21.02,-41.04
21.23,-39.74
21.44,-38.41
21.66,-37.26
21.87,-36.27
22.09,-35.78
22.31,-35.60
22.54,-35.77
22.76,-36.28
22.99,-37.08
23.22,-37.98
23.45,-38.70
23.69,-39.13
23.92,-39.23
24.16,-39.09
24.40,-38.86
24.65,-38.64
24.89,-38.42
25.14,-38.21
25.39,-38.02
25.65,-38.12
25.91,-38.38
26.16,-38.88
26.43,-39.65
26.69,-40.53
26.96,-41.39
27.23,-42.04
27.50,-42.42
27.77,-42.61
28.05,-42.64
28.33,-42.48
28.62,-42.21
28.90,-41.78
29.19,-41.14
29.48,-40.39
29.78,-39.59
30.08,-38.77
30.38,-37.91
30.68,-37.11
30.99,-36.58
31.30,-36.19
31.61,-35.83
31.93,-35.37
32.24,-34.93
32.57,-34.52
32.89,-34.25
33.22,-34.06
33.55,-33.96
33.89,-34.10
34.23,-34.49
34.57,-35.02
34.92,-35.63
35.27,-35.88
35.62,-35.82
35.97,-35.36
36.33,-34.50
36.70,-33.38
37.06,-32.05
37.43,-30.72
37.81,-29.61
38.19,-28.55
38.57,-27.65
38.95,-26.89
39.34,-26.20
39.74,-25.67
40.14,-25.27
40.54,-24.95
40.94,-24.79
41.35,-24.80
41.76,-25.07
42.18,-25.65
42.60,-26.19
43.03,-26.49
43.46,-26.15
43.90,-25.51
44.33,-24.66
44.78,-24.00
45.23,-23.52
45.68,-23.21
46.13,-22.95
46.60,-22.42
47.06,-21.64
47.53,-20.69
48.01,-19.63
48.49,-18.66
48.97,-18.01
49.46,-17.64
49.96,-17.89
50.46,-18.74
50.96,-19.72
51.47,-20.87
51.99,-21.66
52.51,-22.02
53.03,-22.05
53.56,-21.62
54.10,-21.07
54.64,-20.41
55.18,-19.72
55.74,-19.17
56.29,-18.79
56.86,-18.58
57.42,-18.49
58.00,-18.44
58.58,-18.18
59.16,-17.88
59.76,-17.48
60.35,-17.11
60.96,-16.78
61.57,-16.49
62.18,-16.21
62.80,-15.94
63.43,-15.73
64.07,-15.54
64.71,-15.40
65.35,-15.25
66.01,-15.09
66.67,-14.88
67.33,-14.66
68.01,-14.43
68.69,-14.20
69.37,-13.99
70.07,-13.79
70.77,-13.61
71.48,-13.43
72.19,-13.27
72.91,-13.12
73.64,-12.97
74.38,-12.80
75.12,-12.63
75.87,-12.49
76.63,-12.40
77.40,-12.33
78.17,-12.25
78.95,-12.17
79.74,-12.09
80.54,-12.00
81.35,-11.90
82.16,-11.75
82.98,-11.56
83.81,-11.35
84.65,-11.15
85.50,-10.96
86.35,-10.80
87.22,-10.65
88.09,-10.51
88.97,-10.35
89.86,-10.19
90.76,-10.00
91.66,-9.78
92.58,-9.55
93.51,-9.35
94.44,-9.21
95.39,-9.11
96.34,-9.05
97.30,-9.00
98.28,-8.93
99.26,-8.85
100.25,-8.75
101.25,-8.64
102.27,-8.53
103.29,-8.43
104.32,-8.33
105.37,-8.25
106.42,-8.16
107.48,-8.06
108.56,-7.93
109.64,-7.80
110.74,-7.68
111.85,-7.59
112.97,-7.51
114.10,-7.43
115.24,-7.35
116.39,-7.27
117.55,-7.18
118.73,-7.05
119.92,-6.89
121.12,-6.71
122.33,-6.52
123.55,-6.34
124.79,-6.18
126.03,-6.03
127.29,-5.89
128.57,-5.76
129.85,-5.66
131.15,-5.56
132.46,-5.44
133.79,-5.30
135.12,-5.12
136.48,-4.93
137.84,-4.73
139.22,-4.51
140.61,-4.28
142.02,-4.04
143.44,-3.81
144.87,-3.58
146.32,-3.37
147.78,-3.17
149.26,-2.96
150.75,-2.76
152.26,-2.55
153.78,-2.34
155.32,-2.12
156.88,-1.89
158.44,-1.66
160.03,-1.43
161.63,-1.20
163.24,-0.98
164.88,-0.77
166.53,-0.57
168.19,-0.38
169.87,-0.20
171.57,-0.02
173.29,0.15
175.02,0.31
176.77,0.47
178.54,0.60
180.32,0.73
182.13,0.84
183.95,0.92
185.79,0.99
187.65,1.05
189.52,1.08
191.42,1.11
193.33,1.13
195.27,1.15
197.22,1.16
199.19,1.16
201.18,1.15
203.19,1.14
205.23,1.12
207.28,1.11
209.35,1.10
211.44,1.11
213.56,1.13
215.69,1.14
217.85,1.16
220.03,1.17
222.23,1.16
224.45,1.15
226.70,1.14
228.96,1.13
231.25,1.12
233.57,1.11
235.90,1.10
238.26,1.08
240.64,1.07
243.05,1.04
245.48,0.98
247.93,0.90
250.41,0.78
252.92,0.65
255.45,0.49
258.00,0.32
260.58,0.10
263.19,-0.14
265.82,-0.42
268.48,-0.73
271.16,-1.06
273.87,-1.41
276.61,-1.75
279.38,-2.07
282.17,-2.34
284.99,-2.59
287.84,-2.74
290.72,-2.87
293.63,-2.91
296.57,-2.89
299.53,-2.83
302.53,-2.72
305.55,-2.60
308.61,-2.47
311.69,-2.34
314.81,-2.24
317.96,-2.18
321.14,-2.15
324.35,-2.17
327.59,-2.24
330.87,-2.35
334.18,-2.48
337.52,-2.64
340.90,-2.79
344.30,-2.94
347.75,-3.04
351.23,-3.10
354.74,-3.11
358.28,-3.00
361.87,-2.82
365.49,-2.58
369.14,-2.27
372.83,-1.96
376.56,-1.67
380.33,-1.41
384.13,-1.19
387.97,-1.04
391.85,-0.98
395.77,-0.95
399.73,-1.02
403.72,-1.18
407.76,-1.37
411.84,-1.60
415.96,-1.84
420.12,-2.05
424.32,-2.23
428.56,-2.31
432.85,-2.32
437.18,-2.27
441.55,-2.12
445.96,-1.95
450.42,-1.77
454.93,-1.62
459.48,-1.57
464.07,-1.59
468.71,-1.71
473.40,-1.96
478.13,-2.28
482.91,-2.65
487.74,-2.99
492.62,-3.24
497.55,-3.30
502.52,-3.14
507.55,-2.84
512.62,-2.40
517.75,-1.97
522.93,-1.59
528.16,-1.32
533.44,-1.18
538.77,-1.11
544.16,-1.15
549.60,-1.24
555.10,-1.29
560.65,-1.28
566.25,-1.11
571.92,-0.87
577.64,-0.52
583.41,-0.16
589.25,0.21
595.14,0.43
601.09,0.58
607.10,0.56
613.17,0.39
619.30,0.08
625.50,-0.28
631.75,-0.62
638.07,-0.83
644.45,-0.86
650.89,-0.77
657.40,-0.58
663.98,-0.45
670.62,-0.40
677.32,-0.56
684.10,-0.84
690.94,-1.18
697.85,-1.50
704.83,-1.64
711.87,-1.61
718.99,-1.34
726.18,-0.94
733.44,-0.58
740.78,-0.29
748.19,-0.20
755.67,-0.23
763.23,-0.28
770.86,-0.26
778.57,-0.14
786.35,0.09
794.22,0.36
802.16,0.58
810.18,0.65
818.28,0.52
826.46,0.29
834.73,-0.08
843.08,-0.40
851.51,-0.66
860.02,-0.73
868.62,-0.73
877.31,-0.76
886.08,-0.89
894.94,-1.14
903.89,-1.33
912.93,-1.42
922.06,-1.20
931.28,-0.85
940.59,-0.47
