frequency,raw
20.00,3.91
20.20,3.92
20.40,3.93
20.61,3.95
20.81,3.96
21.02,3.98
21.23,4.00
21.44,4.01
21.66,4.03
21.87,4.04
22.09,4.06
22.31,4.08
22.54,4.09
22.76,4.11
22.99,4.13
23.22,4.14
23.45,4.16
23.69,4.18
23.92,4.19
24.16,4.20
24.40,4.22
24.65,4.23
24.89,4.24
25.14,4.25
25.39,4.26
25.65,4.27
25.91,4.28
26.16,4.30
26.43,4.31
26.69,4.32
26.96,4.33
27.23,4.33
27.50,4.34
27.77,4.35
28.05,4.36
28.33,4.37
28.62,4.38
28.90,4.38
29.19,4.39
29.48,4.40
29.78,4.40
30.08,4.41
30.38,4.42
30.68,4.42
30.99,4.43
31.30,4.43
31.61,4.44
31.93,4.44
32.24,4.45
32.57,4.45
32.89,4.46
33.22,4.46
33.55,4.47
33.89,4.47
34.23,4.48
34.57,4.48
34.92,4.49
35.27,4.49
35.62,4.49
35.97,4.49
36.33,4.50
36.70,4.50
37.06,4.50
37.43,4.51
37.81,4.51
38.19,4.51
38.57,4.51
38.95,4.51
39.34,4.50
39.74,4.50
40.14,4.50
40.54,4.50
40.94,4.50
41.35,4.50
41.76,4.51
42.18,4.51
42.60,4.51
43.03,4.51
43.46,4.51
43.90,4.51
44.33,4.51
44.78,4.51
45.23,4.51
45.68,4.50
46.13,4.50
46.60,4.50
47.06,4.49
47.53,4.49
48.01,4.49
48.49,4.50
48.97,4.50
49.46,4.50
49.96,4.51
50.46,4.50
50.96,4.50
51.47,4.49
51.99,4.48
52.51,4.47
53.03,4.46
53.56,4.45
54.10,4.45
54.64,4.44
55.18,4.44
55.74,4.43
56.29,4.43
56.86,4.42
57.42,4.41
58.00,4.41
58.58,4.40
59.16,4.39
59.76,4.39
60.35,4.38
60.96,4.38
61.57,4.37
62.18,4.36
62.80,4.36
63.43,4.35
64.07,4.34
64.71,4.34
65.35,4.33
66.01,4.33
66.67,4.32
67.33,4.31
68.01,4.30
68.69,4.30
69.37,4.29
70.07,4.27
70.77,4.26
71.48,4.25
72.19,4.25
72.91,4.24
73.64,4.23
74.38,4.22
75.12,4.21
75.87,4.20
76.63,4.19
77.40,4.18
78.17,4.17
78.95,4.15
79.74,4.14
80.54,4.13
81.35,4.12
82.16,4.11
82.98,4.10
83.81,4.09
84.65,4.09
85.50,4.08
86.35,4.07
87.22,4.06
88.09,4.05
88.97,4.04
89.86,4.03
90.76,4.02
91.66,4.01
92.58,4.00
93.51,3.99
94.44,3.97
95.39,3.96
96.34,3.95
97.30,3.93
98.28,3.91
99.26,3.90
100.25,3.88
101.25,3.87
102.27,3.86
103.29,3.84
104.32,3.83
105.37,3.82
106.42,3.80
107.48,3.79
108.56,3.77
109.64,3.75
110.74,3.74
111.85,3.72
112.97,3.70
114.10,3.68
115.24,3.67
116.39,3.65
117.55,3.63
118.73,3.61
119.92,3.60
121.12,3.58
122.33,3.57
123.55,3.55
124.79,3.53
126.03,3.51
127.29,3.50
128.57,3.48
129.85,3.46
131.15,3.44
132.46,3.42
133.79,3.40
135.12,3.38
136.48,3.35
137.84,3.33
139.22,3.31
140.61,3.28
142.02,3.26
143.44,3.24
144.87,3.21
146.32,3.19
147.78,3.17
149.26,3.14
150.75,3.12
152.26,3.10
153.78,3.07
155.32,3.05
156.88,3.02
158.44,3.00
160.03,2.97
161.63,2.94
163.24,2.92
164.88,2.89
166.53,2.87
168.19,2.84
169.87,2.82
171.57,2.79
173.29,2.76
175.02,2.74
176.77,2.70
178.54,2.67
180.32,2.63
182.13,2.58
183.95,2.53
185.79,2.47
187.65,2.40
189.52,2.33
191.42,2.26
193.33,2.19
195.27,2.12
197.22,2.06
199.19,2.00
201.18,1.95
203.19,1.91
205.23,1.87
207.28,1.83
209.35,1.80
211.44,1.78
213.56,1.76
215.69,1.76
217.85,1.76
220.03,1.78
222.23,1.82
224.45,1.87
226.70,1.92
228.96,1.97
231.25,2.01
233.57,2.04
235.90,2.06
238.26,2.07
240.64,2.07
243.05,2.06
245.48,2.04
247.93,2.01
250.41,1.98
252.92,1.95
255.45,1.92
258.00,1.89
260.58,1.86
263.19,1.82
265.82,1.79
268.48,1.75
271.16,1.72
273.87,1.68
276.61,1.65
279.38,1.61
282.17,1.58
284.99,1.54
287.84,1.51
290.72,1.47
293.63,1.44
296.57,1.40
299.53,1.37
302.53,1.33
305.55,1.29
308.61,1.25
311.69,1.22
314.81,1.18
317.96,1.14
321.14,1.10
324.35,1.07
327.59,1.03
330.87,1.00
334.18,0.96
337.52,0.93
340.90,0.90
344.30,0.87
347.75,0.83
351.23,0.80
354.74,0.76
358.28,0.72
361.87,0.68
365.49,0.64
369.14,0.60
372.83,0.57
376.56,0.53
380.33,0.49
384.13,0.46
387.97,0.42
391.85,0.39
395.77,0.35
399.73,0.32
403.72,0.28
407.76,0.25
411.84,0.21
415.96,0.18
420.12,0.14
424.32,0.11
428.56,0.08
432.85,0.05
437.18,0.02
441.55,-0.01
445.96,-0.03
450.42,-0.05
454.93,-0.07
459.48,-0.09
464.07,-0.11
468.71,-0.12
473.40,-0.14
478.13,-0.16
482.91,-0.18
487.74,-0.20
492.62,-0.22
497.55,-0.24
502.52,-0.26
507.55,-0.28
512.62,-0.31
517.75,-0.33
522.93,-0.35
528.16,-0.38
533.44,-0.41
538.77,-0.43
544.16,-0.46
549.60,-0.49
555.10,-0.52
560.65,-0.54
566.25,-0.57
571.92,-0.59
577.64,-0.62
583.41,-0.66
589.25,-0.69
595.14,-0.73
601.09,-0.77
607.10,-0.80
613.17,-0.83
619.30,-0.86
625.50,-0.87
631.75,-0.89
638.07,-0.90
644.45,-0.91
650.89,-0.92
657.40,-0.93
663.98,-0.94
670.62,-0.94
677.32,-0.95
684.10,-0.95
690.94,-0.96
697.85,-0.97
704.83,-0.97
711.87,-0.98
718.99,-0.98
726.18,-0.98
733.44,-0.98
740.78,-0.98
748.19,-0.97
755.67,-0.97
763.23,-0.96
770.86,-0.96
778.57,-0.95
786.35,-0.94
794.22,-0.93
802.16,-0.92
810.18,-0.90
818.28,-0.88
826.46,-0.86
834.73,-0.84
843.08,-0.81
851.51,-0.78
860.02,-0.75
868.62,-0.72
877.31,-0.68
886.08,-0.64
894.94,-0.60
903.89,-0.55
912.93,-0.51
922.06,-0.46
931.28,-0.42
940.59,-0.37
950.00,-0.31
959.50,-0.26
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.20
1039.00,0.28
1049.39,0.35
1059.88,0.43
1070.48,0.51
1081.19,0.59
1092.00,0.67
1102.92,0.75
1113.95,0.83
1125.09,0.91
1136.34,0.99
1147.70,1.08
1159.18,1.16
1170.77,1.25
1182.48,1.33
1194.30,1.43
1206.25,1.52
1218.31,1.61
1230.49,1.72
1242.80,1.83
1255.22,1.94
1267.78,2.06
1280.45,2.18
1293.26,2.30
1306.19,2.41
1319.25,2.52
1332.45,2.60
1345.77,2.67
1359.23,2.72
1372.82,2.74
1386.55,2.76
1400.41,2.78
1414.42,2.80
1428.56,2.83
1442.85,2.87
1457.28,2.93
1471.85,2.99
1486.57,3.07
1501.43,3.15
1516.45,3.24
1531.61,3.34
1546.93,3.43
1562.40,3.52
1578.02,3.62
1593.80,3.71
1609.74,3.81
1625.84,3.90
1642.10,3.99
1658.52,4.08
1675.10,4.18
1691.85,4.27
1708.77,4.36
1725.86,4.45
1743.12,4.55
1760.55,4.64
1778.15,4.74
1795.94,4.83
1813.90,4.93
1832.03,5.02
1850.36,5.12
1868.86,5.22
1887.55,5.32
1906.42,5.41
1925.49,5.51
1944.74,5.61
1964.19,5.71
1983.83,5.81
2003.67,5.91
2023.71,6.01
2043.94,6.11
2064.38,6.21
2085.03,6.31
2105.88,6.41
2126.94,6.50
2148.20,6.60
2169.69,6.70
2191.38,6.79
2213.30,6.88
2235.43,6.97
2257.78,7.06
2280.36,7.14
2303.17,7.23
2326.20,7.31
2349.46,7.39
2372.95,7.46
2396.68,7.54
2420.65,7.61
2444.86,7.67
2469.31,7.74
2494.00,7.80
2518.94,7.85
2544.13,7.90
2569.57,7.94
2595.27,7.98
2621.22,8.01
