frequency,raw
20.00,5.53
20.20,5.58
20.40,5.63
20.61,5.68
20.81,5.74
21.02,5.80
21.23,5.85
21.44,5.91
21.66,5.96
21.87,6.01
22.09,6.06
22.31,6.10
22.54,6.14
22.76,6.19
22.99,6.23
23.22,6.26
23.45,6.30
23.69,6.34
23.92,6.39
24.16,6.43
24.40,6.48
24.65,6.53
24.89,6.58
25.14,6.64
25.39,6.69
25.65,6.75
25.91,6.80
26.16,6.85
26.43,6.90
26.69,6.95
26.96,7.00
27.23,7.04
27.50,7.08
27.77,7.11
28.05,7.15
28.33,7.18
28.62,7.22
28.90,7.25
29.19,7.29
29.48,7.32
29.78,7.36
30.08,7.39
30.38,7.43
30.68,7.46
30.99,7.48
31.30,7.51
31.61,7.54
31.93,7.56
32.24,7.59
32.57,7.61
32.89,7.64
33.22,7.66
33.55,7.68
33.89,7.70
34.23,7.72
34.57,7.73
34.92,7.75
35.27,7.76
35.62,7.78
35.97,7.79
36.33,7.81
36.70,7.83
37.06,7.85
37.43,7.87
37.81,7.88
38.19,7.89
38.57,7.90
38.95,7.91
39.34,7.93
39.74,7.94
40.14,7.94
40.54,7.94
40.94,7.94
41.35,7.94
41.76,7.93
42.18,7.93
42.60,7.92
43.03,7.92
43.46,7.91
43.90,7.90
44.33,7.88
44.78,7.87
45.23,7.86
45.68,7.85
46.13,7.84
46.60,7.83
47.06,7.81
47.53,7.79
48.01,7.77
48.49,7.74
48.97,7.71
49.46,7.69
49.96,7.67
50.46,7.65
50.96,7.63
51.47,7.60
51.99,7.57
52.51,7.53
53.03,7.49
53.56,7.45
54.10,7.42
54.64,7.38
55.18,7.35
55.74,7.31
56.29,7.27
56.86,7.23
57.42,7.19
58.00,7.15
58.58,7.11
59.16,7.07
59.76,7.03
60.35,6.99
60.96,6.94
61.57,6.90
62.18,6.85
62.80,6.80
63.43,6.75
64.07,6.70
64.71,6.66
65.35,6.62
66.01,6.58
66.67,6.54
67.33,6.49
68.01,6.44
68.69,6.38
69.37,6.32
70.07,6.25
70.77,6.19
71.48,6.13
72.19,6.07
72.91,6.01
73.64,5.95
74.38,5.88
75.12,5.82
75.87,5.76
76.63,5.70
77.40,5.64
78.17,5.58
78.95,5.52
79.74,5.45
80.54,5.38
81.35,5.31
82.16,5.24
82.98,5.17
83.81,5.10
84.65,5.04
85.50,4.97
86.35,4.91
87.22,4.84
88.09,4.77
88.97,4.71
89.86,4.64
90.76,4.57
91.66,4.50
92.58,4.43
93.51,4.35
94.44,4.27
95.39,4.19
96.34,4.11
97.30,4.02
98.28,3.93
99.26,3.84
100.25,3.75
101.25,3.67
102.27,3.60
103.29,3.53
104.32,3.45
105.37,3.38
106.42,3.32
107.48,3.25
108.56,3.18
109.64,3.12
110.74,3.06
111.85,3.00
112.97,2.94
114.10,2.89
115.24,2.84
116.39,2.80
117.55,2.76
118.73,2.72
119.92,2.67
121.12,2.62
122.33,2.56
123.55,2.50
124.79,2.43
126.03,2.37
127.29,2.31
128.57,2.24
129.85,2.18
131.15,2.12
132.46,2.07
133.79,2.01
135.12,1.96
136.48,1.91
137.84,1.85
139.22,1.80
140.61,1.74
142.02,1.68
143.44,1.62
144.87,1.56
146.32,1.50
147.78,1.44
149.26,1.39
150.75,1.33
152.26,1.28
153.78,1.22
155.32,1.16
156.88,1.11
158.44,1.05
160.03,1.00
161.63,0.95
163.24,0.90
164.88,0.85
166.53,0.80
168.19,0.75
169.87,0.71
171.57,0.66
173.29,0.60
175.02,0.54
176.77,0.49
178.54,0.44
180.32,0.39
182.13,0.35
183.95,0.31
185.79,0.27
187.65,0.23
189.52,0.20
191.42,0.16
193.33,0.14
195.27,0.11
197.22,0.09
199.19,0.06
201.18,0.03
203.19,0.00
205.23,-0.02
207.28,-0.05
209.35,-0.06
211.44,-0.07
213.56,-0.08
215.69,-0.09
217.85,-0.10
220.03,-0.12
222.23,-0.13
224.45,-0.14
226.70,-0.15
228.96,-0.15
231.25,-0.16
233.57,-0.16
235.90,-0.17
238.26,-0.18
240.64,-0.19
243.05,-0.21
245.48,-0.23
247.93,-0.25
250.41,-0.26
252.92,-0.28
255.45,-0.29
258.00,-0.30
260.58,-0.31
263.19,-0.33
265.82,-0.34
268.48,-0.36
271.16,-0.38
273.87,-0.40
276.61,-0.42
279.38,-0.45
282.17,-0.47
284.99,-0.49
287.84,-0.51
290.72,-0.52
293.63,-0.52
296.57,-0.52
299.53,-0.50
302.53,-0.48
305.55,-0.46
308.61,-0.44
311.69,-0.42
314.81,-0.40
317.96,-0.39
321.14,-0.39
324.35,-0.39
327.59,-0.39
330.87,-0.39
334.18,-0.39
337.52,-0.40
340.90,-0.40
344.30,-0.41
347.75,-0.41
351.23,-0.42
354.74,-0.42
358.28,-0.42
361.87,-0.43
365.49,-0.43
369.14,-0.43
372.83,-0.44
376.56,-0.44
380.33,-0.45
384.13,-0.46
387.97,-0.47
391.85,-0.48
395.77,-0.49
399.73,-0.50
403.72,-0.50
407.76,-0.50
411.84,-0.50
415.96,-0.51
420.12,-0.51
424.32,-0.52
428.56,-0.53
432.85,-0.53
437.18,-0.53
441.55,-0.53
445.96,-0.54
450.42,-0.55
454.93,-0.55
459.48,-0.56
464.07,-0.57
468.71,-0.58
473.40,-0.59
478.13,-0.60
482.91,-0.61
487.74,-0.63
492.62,-0.64
497.55,-0.65
502.52,-0.66
507.55,-0.66
512.62,-0.67
517.75,-0.68
522.93,-0.69
528.16,-0.70
533.44,-0.70
538.77,-0.71
544.16,-0.72
549.60,-0.72
555.10,-0.73
560.65,-0.74
566.25,-0.75
571.92,-0.76
577.64,-0.77
583.41,-0.78
589.25,-0.79
595.14,-0.81
601.09,-0.82
607.10,-0.83
613.17,-0.85
619.30,-0.86
625.50,-0.87
631.75,-0.88
638.07,-0.89
644.45,-0.90
650.89,-0.91
657.40,-0.92
663.98,-0.92
670.62,-0.93
677.32,-0.94
684.10,-0.94
690.94,-0.93
697.85,-0.93
704.83,-0.92
711.87,-0.92
718.99,-0.93
726.18,-0.93
733.44,-0.93
740.78,-0.93
748.19,-0.92
755.67,-0.91
763.23,-0.89
770.86,-0.88
778.57,-0.86
786.35,-0.85
794.22,-0.84
802.16,-0.83
810.18,-0.82
818.28,-0.81
826.46,-0.79
834.73,-0.77
843.08,-0.75
851.51,-0.73
860.02,-0.71
868.62,-0.68
877.31,-0.65
886.08,-0.61
894.94,-0.58
903.89,-0.54
912.93,-0.50
922.06,-0.46
931.28,-0.41
940.59,-0.37
950.00,-0.31
959.50,-0.25
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.25
1049.39,0.32
1059.88,0.39
1070.48,0.45
1081.19,0.53
1092.00,0.60
1102.92,0.69
1113.95,0.78
1125.09,0.87
1136.34,0.95
1147.70,1.03
1159.18,1.11
1170.77,1.19
1182.48,1.27
1194.30,1.36
1206.25,1.44
1218.31,1.53
1230.49,1.61
1242.80,1.70
1255.22,1.77
1267.78,1.85
1280.45,1.92
1293.26,2.00
1306.19,2.08
1319.25,2.16
1332.45,2.24
1345.77,2.32
1359.23,2.40
1372.82,2.48
1386.55,2.56
1400.41,2.64
1414.42,2.72
1428.56,2.80
1442.85,2.88
1457.28,2.97
1471.85,3.05
1486.57,3.14
1501.43,3.24
1516.45,3.34
1531.61,3.45
1546.93,3.56
1562.40,3.68
