frequency,raw
20.00,16.51
20.20,16.54
20.40,16.56
20.61,16.59
20.81,16.62
21.02,16.64
21.23,16.67
21.44,16.70
21.66,16.72
21.87,16.74
22.09,16.76
22.31,16.78
22.54,16.80
22.76,16.81
22.99,16.83
23.22,16.85
23.45,16.86
23.69,16.88
23.92,16.90
24.16,16.92
24.40,16.94
24.65,16.95
24.89,16.96
25.14,16.96
25.39,16.97
25.65,16.97
25.91,16.97
26.16,16.97
26.43,16.97
26.69,16.97
26.96,16.97
27.23,16.97
27.50,16.96
27.77,16.96
28.05,16.95
28.33,16.95
28.62,16.94
28.90,16.93
29.19,16.92
29.48,16.91
29.78,16.90
30.08,16.88
30.38,16.87
30.68,16.85
30.99,16.84
31.30,16.82
31.61,16.80
31.93,16.78
32.24,16.76
32.57,16.74
32.89,16.72
33.22,16.70
33.55,16.67
33.89,16.65
34.23,16.62
34.57,16.60
34.92,16.57
35.27,16.54
35.62,16.51
35.97,16.47
36.33,16.44
36.70,16.41
37.06,16.38
37.43,16.34
37.81,16.31
38.19,16.28
38.57,16.24
38.95,16.20
39.34,16.16
39.74,16.11
40.14,16.07
40.54,16.02
40.94,15.98
41.35,15.93
41.76,15.89
42.18,15.84
42.60,15.79
43.03,15.74
43.46,15.69
43.90,15.64
44.33,15.59
44.78,15.54
45.23,15.49
45.68,15.43
46.13,15.38
46.60,15.32
47.06,15.26
47.53,15.19
48.01,15.13
48.49,15.08
48.97,15.02
49.46,14.97
49.96,14.91
50.46,14.84
50.96,14.78
51.47,14.70
51.99,14.63
52.51,14.55
53.03,14.48
53.56,14.41
54.10,14.33
54.64,14.26
55.18,14.19
55.74,14.11
56.29,14.04
56.86,13.96
57.42,13.89
58.00,13.81
58.58,13.74
59.16,13.66
59.76,13.58
60.35,13.50
60.96,13.43
61.57,13.35
62.18,13.28
62.80,13.20
63.43,13.12
64.07,13.04
64.71,12.95
65.35,12.87
66.01,12.78
66.67,12.70
67.33,12.62
68.01,12.53
68.69,12.45
69.37,12.36
70.07,12.28
70.77,12.19
71.48,12.11
72.19,12.03
72.91,11.95
73.64,11.87
74.38,11.78
75.12,11.70
75.87,11.62
76.63,11.54
77.40,11.46
78.17,11.38
78.95,11.30
79.74,11.22
80.54,11.14
81.35,11.06
82.16,10.98
82.98,10.91
83.81,10.83
84.65,10.76
85.50,10.69
86.35,10.62
87.22,10.55
88.09,10.48
88.97,10.41
89.86,10.35
90.76,10.28
91.66,10.21
92.58,10.15
93.51,10.09
94.44,10.02
95.39,9.96
96.34,9.91
97.30,9.85
98.28,9.79
99.26,9.74
100.25,9.68
101.25,9.63
102.27,9.58
103.29,9.53
104.32,9.49
105.37,9.45
106.42,9.41
107.48,9.37
108.56,9.34
109.64,9.30
110.74,9.27
111.85,9.24
112.97,9.20
114.10,9.17
115.24,9.14
116.39,9.11
117.55,9.08
118.73,9.05
119.92,9.02
121.12,9.00
122.33,8.97
123.55,8.95
124.79,8.93
126.03,8.91
127.29,8.89
128.57,8.87
129.85,8.85
131.15,8.83
132.46,8.81
133.79,8.80
135.12,8.78
136.48,8.76
