frequency,raw
20.00,8.31
20.20,8.32
20.40,8.32
20.61,8.33
20.81,8.33
21.02,8.34
21.23,8.34
21.44,8.34
21.66,8.35
21.87,8.35
22.09,8.36
22.31,8.36
22.54,8.36
22.76,8.37
22.99,8.37
23.22,8.38
23.45,8.38
23.69,8.38
23.92,8.39
24.16,8.39
24.40,8.39
24.65,8.39
24.89,8.39
25.14,8.39
25.39,8.38
25.65,8.38
25.91,8.38
26.16,8.37
26.43,8.37
26.69,8.37
26.96,8.36
27.23,8.35
27.50,8.35
27.77,8.34
28.05,8.33
28.33,8.32
28.62,8.31
28.90,8.31
29.19,8.30
29.48,8.29
29.78,8.28
30.08,8.27
30.38,8.26
30.68,8.24
30.99,8.23
31.30,8.22
31.61,8.21
31.93,8.19
32.24,8.18
32.57,8.17
32.89,8.16
33.22,8.14
33.55,8.13
33.89,8.11
34.23,8.10
34.57,8.08
34.92,8.06
35.27,8.05
35.62,8.03
35.97,8.01
36.33,7.99
36.70,7.97
37.06,7.96
37.43,7.94
37.81,7.92
38.19,7.90
38.57,7.87
38.95,7.85
39.34,7.83
39.74,7.80
40.14,7.78
40.54,7.75
40.94,7.73
41.35,7.71
41.76,7.69
42.18,7.66
42.60,7.64
43.03,7.62
43.46,7.59
43.90,7.56
44.33,7.54
44.78,7.51
45.23,7.48
45.68,7.46
46.13,7.43
46.60,7.40
47.06,7.37
47.53,7.34
48.01,7.32
48.49,7.29
48.97,7.27
49.46,7.24
49.96,7.22
50.46,7.19
50.96,7.15
51.47,7.11
51.99,7.07
52.51,7.04
53.03,7.00
53.56,6.96
54.10,6.93
54.64,6.89
55.18,6.86
55.74,6.82
56.29,6.78
56.86,6.75
57.42,6.71
58.00,6.67
58.58,6.64
59.16,6.60
59.76,6.56
60.35,6.52
60.96,6.48
61.57,6.45
62.18,6.41
62.80,6.37
63.43,6.33
64.07,6.29
64.71,6.25
65.35,6.21
66.01,6.18
66.67,6.14
67.33,6.09
68.01,6.05
68.69,6.01
69.37,5.97
70.07,5.92
70.77,5.88
71.48,5.84
72.19,5.79
72.91,5.75
73.64,5.71
74.38,5.67
75.12,5.62
75.87,5.58
76.63,5.53
77.40,5.49
78.17,5.44
78.95,5.40
79.74,5.35
80.54,5.31
81.35,5.26
82.16,5.21
82.98,5.17
83.81,5.12
84.65,5.08
