frequency,raw
20.00,-0.69
20.20,-0.66
20.40,-0.64
20.61,-0.62
20.81,-0.59
21.02,-0.55
21.23,-0.52
21.44,-0.48
21.66,-0.44
21.87,-0.40
22.09,-0.37
22.31,-0.34
22.54,-0.31
22.76,-0.29
22.99,-0.27
23.22,-0.26
23.45,-0.25
23.69,-0.23
23.92,-0.21
24.16,-0.19
24.40,-0.17
24.65,-0.14
24.89,-0.11
25.14,-0.07
25.39,-0.04
25.65,-0.01
25.91,0.03
26.16,0.06
26.43,0.09
26.69,0.12
26.96,0.15
27.23,0.18
27.50,0.21
27.77,0.24
28.05,0.27
28.33,0.30
28.62,0.34
28.90,0.37
29.19,0.41
29.48,0.44
29.78,0.48
30.08,0.51
30.38,0.54
30.68,0.57
30.99,0.60
31.30,0.63
31.61,0.66
31.93,0.69
32.24,0.72
32.57,0.75
32.89,0.77
33.22,0.80
33.55,0.82
33.89,0.85
34.23,0.88
34.57,0.91
34.92,0.93
35.27,0.96
35.62,0.98
35.97,1.00
36.33,1.02
36.70,1.05
37.06,1.06
37.43,1.08
37.81,1.10
38.19,1.12
38.57,1.14
38.95,1.16
39.34,1.18
39.74,1.19
40.14,1.21
40.54,1.22
40.94,1.24
41.35,1.25
41.76,1.26
42.18,1.27
42.60,1.29
43.03,1.31
43.46,1.33
43.90,1.35
44.33,1.37
44.78,1.37
45.23,1.37
45.68,1.37
46.13,1.37
46.60,1.38
47.06,1.38
47.53,1.38
48.01,1.38
48.49,1.37
48.97,1.36
49.46,1.35
49.96,1.35
50.46,1.34
50.96,1.34
51.47,1.34
51.99,1.33
52.51,1.33
53.03,1.32
53.56,1.31
54.10,1.31
54.64,1.30
55.18,1.29
55.74,1.28
56.29,1.27
56.86,1.26
57.42,1.25
58.00,1.23
58.58,1.22
59.16,1.20
59.76,1.19
60.35,1.19
60.96,1.18
61.57,1.17
62.18,1.15
62.80,1.13
63.43,1.12
64.07,1.10
64.71,1.08
65.35,1.07
66.01,1.05
66.67,1.04
67.33,1.02
68.01,1.00
68.69,0.99
69.37,0.97
70.07,0.95
70.77,0.93
71.48,0.91
72.19,0.89
72.91,0.87
73.64,0.85
74.38,0.83
75.12,0.82
75.87,0.80
76.63,0.78
77.40,0.76
78.17,0.75
78.95,0.73
79.74,0.71
80.54,0.70
81.35,0.68
82.16,0.66
82.98,0.64
83.81,0.61
84.65,0.59
85.50,0.57
86.35,0.55
87.22,0.53
88.09,0.51
88.97,0.49
89.86,0.46
90.76,0.44
91.66,0.41
92.58,0.39
93.51,0.36
94.44,0.34
95.39,0.31
