frequency,raw
20.00,5.54
20.20,5.54
20.40,5.54
20.61,5.55
20.81,5.55
21.02,5.56
21.23,5.56
21.44,5.57
21.66,5.57
21.87,5.58
22.09,5.58
22.31,5.59
22.54,5.60
22.76,5.61
22.99,5.62
23.22,5.64
23.45,5.66
23.69,5.67
23.92,5.69
24.16,5.71
24.40,5.73
24.65,5.75
24.89,5.77
25.14,5.79
25.39,5.82
25.65,5.84
25.91,5.87
26.16,5.89
26.43,5.92
26.69,5.95
26.96,5.98
27.23,6.02
27.50,6.05
27.77,6.09
28.05,6.13
28.33,6.17
28.62,6.22
28.90,6.26
29.19,6.31
29.48,6.36
29.78,6.41
30.08,6.47
30.38,6.52
30.68,6.57
30.99,6.63
31.30,6.68
31.61,6.74
31.93,6.80
32.24,6.86
32.57,6.93
32.89,6.99
33.22,7.05
33.55,7.11
33.89,7.17
34.23,7.22
34.57,7.28
34.92,7.34
35.27,7.40
35.62,7.46
35.97,7.51
36.33,7.57
36.70,7.62
37.06,7.67
37.43,7.73
37.81,7.78
38.19,7.83
38.57,7.88
38.95,7.92
39.34,7.97
39.74,8.01
40.14,8.04
40.54,8.07
40.94,8.11
41.35,8.14
41.76,8.17
42.18,8.19
42.60,8.22
43.03,8.24
43.46,8.26
43.90,8.28
44.33,8.29
44.78,8.30
45.23,8.31
45.68,8.31
46.13,8.31
46.60,8.31
47.06,8.31
47.53,8.31
48.01,8.31
48.49,8.31
48.97,8.30
49.46,8.30
49.96,8.28
50.46,8.27
50.96,8.24
51.47,8.21
51.99,8.18
52.51,8.15
53.03,8.12
53.56,8.08
54.10,8.05
54.64,8.01
55.18,7.97
55.74,7.94
56.29,7.90
56.86,7.86
57.42,7.82
58.00,7.78
58.58,7.74
59.16,7.70
59.76,7.65
60.35,7.61
60.96,7.56
61.57,7.52
62.18,7.47
62.80,7.43
63.43,7.38
64.07,7.33
64.71,7.28
65.35,7.23
66.01,7.17
66.67,7.11
67.33,7.06
68.01,7.00
68.69,6.94
69.37,6.89
70.07,6.84
70.77,6.79
71.48,6.74
72.19,6.70
72.91,6.65
73.64,6.60
74.38,6.55
75.12,6.50
75.87,6.45
76.63,6.39
77.40,6.34
78.17,6.28
78.95,6.23
79.74,6.18
80.54,6.12
81.35,6.07
82.16,6.01
82.98,5.96
83.81,5.90
84.65,5.84
85.50,5.78
86.35,5.73
87.22,5.67
88.09,5.61
88.97,5.55
89.86,5.49
90.76,5.43
91.66,5.37
92.58,5.31
93.51,5.25
94.44,5.19
95.39,5.13
96.34,5.08
97.30,5.02
98.28,4.96
99.26,4.90
100.25,4.84
101.25,4.78
102.27,4.72
103.29,4.66
104.32,4.61
105.37,4.55
106.42,4.49
107.48,4.42
108.56,4.36
109.64,4.29
110.74,4.22
111.85,4.15
112.97,4.08
114.10,4.01
115.24,3.95
116.39,3.88
117.55,3.81
118.73,3.74
119.92,3.67
121.12,3.60
122.33,3.52
123.55,3.45
124.79,3.37
126.03,3.29
127.29,3.22
128.57,3.14
129.85,3.06
131.15,2.99
132.46,2.91
133.79,2.83
135.12,2.76
136.48,2.68
137.84,2.60
139.22,2.52
140.61,2.44
142.02,2.36
143.44,2.27
144.87,2.19
146.32,2.11
147.78,2.03
149.26,1.95
150.75,1.87
152.26,1.79
153.78,1.72
155.32,1.65
156.88,1.58
158.44,1.50
160.03,1.43
161.63,1.36
163.24,1.29
164.88,1.22
166.53,1.16
168.19,1.10
169.87,1.04
171.57,0.98
173.29,0.92
175.02,0.86
176.77,0.81
178.54,0.75
180.32,0.69
182.13,0.63
183.95,0.57
185.79,0.51
187.65,0.45
189.52,0.39
191.42,0.34
193.33,0.30
195.27,0.26
197.22,0.24
199.19,0.22
201.18,0.21
203.19,0.21
205.23,0.21
207.28,0.22
209.35,0.24
211.44,0.25
213.56,0.27
215.69,0.28
217.85,0.28
220.03,0.28
222.23,0.28
224.45,0.28
226.70,0.28
228.96,0.28
231.25,0.28
233.57,0.28
235.90,0.28
238.26,0.27
240.64,0.27
243.05,0.27
245.48,0.26
247.93,0.26
250.41,0.25
252.92,0.25
255.45,0.25
258.00,0.24
260.58,0.24
263.19,0.24
265.82,0.24
268.48,0.25
271.16,0.25
273.87,0.25
276.61,0.25
279.38,0.26
282.17,0.26
284.99,0.27
287.84,0.28
290.72,0.29
293.63,0.29
296.57,0.30
299.53,0.31
302.53,0.31
305.55,0.32
308.61,0.33
311.69,0.34
314.81,0.34
317.96,0.35
321.14,0.36
324.35,0.37
327.59,0.39
330.87,0.41
334.18,0.43
337.52,0.45
340.90,0.47
344.30,0.49
347.75,0.51
351.23,0.53
354.74,0.55
358.28,0.57
361.87,0.59
365.49,0.61
369.14,0.64
372.83,0.66
376.56,0.68
380.33,0.70
384.13,0.72
387.97,0.73
391.85,0.75
395.77,0.77
399.73,0.78
403.72,0.79
407.76,0.80
411.84,0.80
415.96,0.81
420.12,0.81
424.32,0.81
428.56,0.82
432.85,0.82
437.18,0.83
441.55,0.83
445.96,0.83
450.42,0.83
454.93,0.82
459.48,0.81
464.07,0.81
468.71,0.80
473.40,0.78
478.13,0.77
482.91,0.74
487.74,0.72
492.62,0.69
497.55,0.66
502.52,0.63
507.55,0.59
512.62,0.56
517.75,0.53
522.93,0.49
528.16,0.45
533.44,0.40
538.77,0.35
544.16,0.30
549.60,0.25
555.10,0.20
560.65,0.15
566.25,0.11
571.92,0.06
577.64,0.01
583.41,-0.03
589.25,-0.08
595.14,-0.12
601.09,-0.16
607.10,-0.20
613.17,-0.24
619.30,-0.28
625.50,-0.32
631.75,-0.35
638.07,-0.38
644.45,-0.41
650.89,-0.44
657.40,-0.46
663.98,-0.48
670.62,-0.49
677.32,-0.51
684.10,-0.53
690.94,-0.55
697.85,-0.57
704.83,-0.59
711.87,-0.61
718.99,-0.63
726.18,-0.65
733.44,-0.67
740.78,-0.69
748.19,-0.71
755.67,-0.73
763.23,-0.75
770.86,-0.76
778.57,-0.77
786.35,-0.78
794.22,-0.78
802.16,-0.78
810.18,-0.77
818.28,-0.76
826.46,-0.75
834.73,-0.74
843.08,-0.72
851.51,-0.69
860.02,-0.67
868.62,-0.64
877.31,-0.61
886.08,-0.58
894.94,-0.54
903.89,-0.51
912.93,-0.47
922.06,-0.43
931.28,-0.39
940.59,-0.35
950.00,-0.30
959.50,-0.25
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.18
1039.00,0.24
1049.39,0.31
1059.88,0.37
1070.48,0.44
1081.19,0.50
1092.00,0.57
1102.92,0.63
1113.95,0.70
1125.09,0.76
1136.34,0.83
1147.70,0.89
1159.18,0.96
1170.77,1.02
1182.48,1.09
1194.30,1.16
1206.25,1.23
1218.31,1.31
1230.49,1.39
1242.80,1.48
1255.22,1.58
1267.78,1.68
1280.45,1.79
1293.26,1.89
1306.19,1.99
1319.25,2.08
1332.45,2.14
1345.77,2.19
1359.23,2.22
1372.82,2.22
1386.55,2.23
1400.41,2.23
1414.42,2.24
1428.56,2.25
1442.85,2.28
1457.28,2.32
1471.85,2.37
1486.57,2.44
1501.43,2.51
1516.45,2.59
1531.61,2.68
1546.93,2.77
1562.40,2.85
1578.02,2.94
1593.80,3.02
1609.74,3.10
1625.84,3.19
1642.10,3.27
1658.52,3.36
1675.10,3.45
1691.85,3.54
1708.77,3.63
1725.86,3.72
1743.12,3.82
1760.55,3.91
1778.15,4.00
1795.94,4.10
1813.90,4.20
1832.03,4.29
1850.36,4.39
1868.86,4.49
1887.55,4.59
1906.42,4.69
1925.49,4.79
1944.74,4.88
1964.19,4.98
1983.83,5.08
2003.67,5.18
2023.71,5.28
2043.94,5.39
2064.38,5.49
2085.03,5.60
2105.88,5.72
2126.94,5.83
2148.20,5.95
2169.69,6.06
2191.38,6.18
2213.30,6.30
2235.43,6.41
2257.78,6.53
2280.36,6.65
2303.17,6.77
2326.20,6.90
2349.46,7.03
2372.95,7.15
2396.68,7.29
2420.65,7.42
2444.86,7.55
2469.31,7.68
2494.00,7.81
2518.94,7.95
2544.13,8.08
2569.57,8.22
2595.27,8.35
2621.22,8.49
2647.43,8.63
2673.90,8.77
2700.64,8.91
2727.65,9.06
2754.93,9.20
2782.48,9.35
2810.30,9.49
2838.40,9.62
2866.79,9.76
2895.46,9.89
2924.41,10.01
2953.65,10.14
2983.19,10.25
3013.02,10.36
3043.15,10.46
3073.58,10.56
3104.32,10.65
3135.36,10.74
3166.72,10.82
3198.38,10.89
3230.37,10.94
3262.67,10.98
3295.30,11.01
3328.25,11.02
3361.53,11.01
3395.15,10.99
3429.10,10.95
3463.39,10.89
3498.03,10.81
3533.01,10.71
3568.34,10.61
3604.02,10.48
3640.06,10.35
3676.46,10.21
3713.22,10.06
3750.36,9.92
3787.86,9.76
3825.74,9.61
3864.00,9.46
3902.64,9.32
3941.66,9.18
3981.08,9.05
4020.89,8.93
4061.10,8.82
4101.71,8.72
4142.73,8.64
4184.15,8.56
4226.00,8.51
4268.26,8.46
4310.94,8.43
4354.05,8.42
4397.59,8.43
4441.56,8.46
4485.98,8.52
4530.84,8.60
4576.15,8.70
4621.91,8.82
4668.13,8.96
4714.81,9.11
4761.96,9.27
4809.58,9.45
4857.67,9.67
4906.25,9.89
4955.31,10.10
5004.87,10.28
5054.91,10.43
5105.46,10.55
5156.52,10.64
5208.08,10.69
5260.16,10.70
5312.77,10.68
5365.89,10.62
5419.55,10.52
5473.75,10.40
5528.49,10.26
5583.77,10.10
5639.61,9.93
5696.00,9.75
5752.96,9.56
5810.49,9.36
5868.60,9.15
5927.28,8.93
5986.56,8.71
6046.42,8.48
6106.89,8.24
6167.96,7.98
6229.64,7.73
6291.93,7.47
6354.85,7.21
6418.40,6.96
6482.58,6.71
6547.41,6.49
6612.88,6.27
6679.01,6.08
6745.80,5.91
6813.26,5.76
6881.39,5.64
6950.21,5.56
7019.71,5.51
7089.91,5.49
7160.81,5.53
7232.41,5.60
7304.74,5.71
7377.79,5.88
7451.56,6.08
7526.08,6.32
7601.34,6.59
7677.35,6.88
7754.13,7.16
7831.67,7.39
7909.98,7.57
7989.08,7.69
8068.98,7.67
8149.67,7.57
8231.16,7.36
8313.47,7.01
8396.61,6.58
8480.57,6.03
8565.38,5.39
8651.03,4.70
8737.54,3.95
8824.92,3.18
8913.17,2.39
9002.30,1.60
9092.32,0.81
9183.25,0.05
9275.08,-0.70
9367.83,-1.42
9461.51,-2.12
9556.12,-2.78
9651.68,-3.41
9748.20,-4.01
9845.68,-4.57
9944.14,-5.10
10043.58,-5.60
10144.02,-6.06
10245.46,-6.48
10347.91,-6.88
10451.39,-7.25
10555.91,-7.57
10661.46,-7.87
10768.08,-8.13
10875.76,-8.35
10984.52,-8.51
11094.36,-8.65
11205.31,-8.74
11317.36,-8.77
11430.53,-8.78
11544.84,-8.72
11660.29,-8.61
11776.89,-8.47
11894.66,-8.22
12013.60,-7.95
12133.74,-7.62
12255.08,-7.17
12377.63,-6.67
12501.41,-6.08
12626.42,-5.37
12752.68,-4.61
12880.21,-3.80
13009.01,-2.98
13139.10,-2.16
13270.49,-1.46
13403.20,-0.83
13537.23,-0.49
13672.60,-0.34
13809.33,-0.41
13947.42,-0.85
14086.90,-1.51
14227.77,-2.31
14370.04,-3.19
14513.74,-4.14
14658.88,-5.05
14805.47,-5.92
14953.52,-6.70
15103.06,-7.41
15254.09,-8.08
15406.63,-8.63
15560.70,-9.10
15716.30,-9.43
15873.47,-9.53
16032.20,-9.49
16192.52,-9.20
16354.45,-8.77
16517.99,-8.25
16683.17,-7.65
16850.01,-7.10
17018.51,-6.59
17188.69,-6.26
17360.58,-6.10
17534.18,-6.08
17709.53,-6.27
17886.62,-6.63
18065.49,-7.08
18246.14,-7.61
18428.60,-8.17
18612.89,-8.72
18799.02,-9.24
18987.01,-9.70
19176.88,-10.09
19368.65,-10.43
19562.33,-10.73
19757.96,-10.98
19955.54,-11.14
