frequency,raw
20.00,1.02
20.20,1.04
20.40,1.06
20.61,1.08
20.81,1.10
21.02,1.12
21.23,1.13
21.44,1.15
21.66,1.16
21.87,1.16
22.09,1.17
22.31,1.18
22.54,1.19
22.76,1.20
22.99,1.22
23.22,1.23
23.45,1.25
23.69,1.27
23.92,1.29
24.16,1.31
24.40,1.33
24.65,1.36
24.89,1.39
25.14,1.42
25.39,1.46
25.65,1.49
25.91,1.51
26.16,1.53
26.43,1.54
26.69,1.55
26.96,1.56
27.23,1.57
27.50,1.59
27.77,1.62
28.05,1.65
28.33,1.69
28.62,1.71
28.90,1.74
29.19,1.75
29.48,1.77
29.78,1.78
30.08,1.79
30.38,1.81
30.68,1.82
30.99,1.84
31.30,1.86
31.61,1.88
31.93,1.91
32.24,1.94
32.57,1.97
32.89,2.01
33.22,2.04
33.55,2.08
33.89,2.11
34.23,2.13
34.57,2.16
34.92,2.18
35.27,2.21
35.62,2.23
35.97,2.26
36.33,2.29
36.70,2.32
37.06,2.35
37.43,2.37
37.81,2.39
38.19,2.41
38.57,2.43
38.95,2.45
39.34,2.46
39.74,2.48
40.14,2.50
40.54,2.52
40.94,2.54
41.35,2.56
41.76,2.58
42.18,2.62
42.60,2.65
43.03,2.69
43.46,2.71
43.90,2.74
44.33,2.75
44.78,2.77
45.23,2.79
45.68,2.82
46.13,2.85
46.60,2.88
47.06,2.91
47.53,2.93
48.01,2.96
48.49,2.99
48.97,3.02
49.46,3.05
49.96,3.08
50.46,3.09
50.96,3.11
51.47,3.12
51.99,3.13
52.51,3.14
53.03,3.15
53.56,3.16
54.10,3.18
54.64,3.19
55.18,3.21
55.74,3.22
56.29,3.22
56.86,3.23
57.42,3.24
58.00,3.25
58.58,3.25
59.16,3.26
59.76,3.26
60.35,3.27
60.96,3.27
61.57,3.27
62.18,3.27
62.80,3.27
63.43,3.27
64.07,3.27
64.71,3.27
65.35,3.27
66.01,3.27
66.67,3.26
67.33,3.25
68.01,3.24
68.69,3.23
69.37,3.22
70.07,3.21
70.77,3.19
71.48,3.18
72.19,3.16
72.91,3.14
73.64,3.13
74.38,3.11
75.12,3.08
75.87,3.05
76.63,3.02
77.40,2.98
78.17,2.95
78.95,2.91
79.74,2.86
80.54,2.82
81.35,2.77
82.16,2.72
82.98,2.66
83.81,2.61
84.65,2.54
85.50,2.48
86.35,2.40
87.22,2.33
88.09,2.25
88.97,2.18
89.86,2.10
90.76,2.02
91.66,1.95
92.58,1.87
93.51,1.80
94.44,1.73
95.39,1.65
96.34,1.58
97.30,1.51
98.28,1.43
99.26,1.35
100.25,1.27
101.25,1.20
102.27,1.12
103.29,1.05
104.32,0.98
105.37,0.90
106.42,0.83
107.48,0.75
108.56,0.68
109.64,0.61
110.74,0.54
111.85,0.48
112.97,0.41
114.10,0.35
115.24,0.28
116.39,0.22
117.55,0.15
118.73,0.08
119.92,0.00
121.12,-0.07
122.33,-0.14
123.55,-0.21
124.79,-0.28
126.03,-0.35
127.29,-0.42
128.57,-0.50
129.85,-0.57
131.15,-0.64
132.46,-0.71
133.79,-0.78
135.12,-0.85
136.48,-0.93
137.84,-1.00
139.22,-1.08
140.61,-1.15
142.02,-1.22
143.44,-1.29
144.87,-1.35
146.32,-1.42
147.78,-1.48
149.26,-1.53
150.75,-1.58
152.26,-1.63
153.78,-1.69
155.32,-1.74
156.88,-1.79
158.44,-1.84
160.03,-1.89
161.63,-1.93
163.24,-1.97
164.88,-2.01
166.53,-2.04
168.19,-2.06
169.87,-2.08
171.57,-2.10
173.29,-2.12
175.02,-2.13
176.77,-2.13
178.54,-2.12
180.32,-2.11
182.13,-2.11
183.95,-2.10
185.79,-2.10
187.65,-2.10
189.52,-2.11
191.42,-2.12
193.33,-2.12
195.27,-2.13
197.22,-2.12
199.19,-2.10
201.18,-2.07
203.19,-2.03
205.23,-1.98
207.28,-1.93
209.35,-1.88
211.44,-1.83
213.56,-1.79
215.69,-1.75
217.85,-1.72
220.03,-1.68
222.23,-1.65
224.45,-1.62
226.70,-1.60
228.96,-1.57
231.25,-1.55
233.57,-1.53
235.90,-1.51
238.26,-1.48
240.64,-1.46
243.05,-1.44
245.48,-1.42
247.93,-1.40
250.41,-1.39
252.92,-1.37
255.45,-1.35
258.00,-1.32
260.58,-1.30
263.19,-1.28
265.82,-1.27
268.48,-1.26
271.16,-1.25
273.87,-1.24
276.61,-1.23
279.38,-1.22
282.17,-1.22
284.99,-1.22
287.84,-1.21
290.72,-1.21
293.63,-1.20
296.57,-1.20
299.53,-1.20
302.53,-1.20
305.55,-1.20
308.61,-1.20
311.69,-1.21
314.81,-1.21
317.96,-1.22
321.14,-1.23
324.35,-1.24
327.59,-1.24
330.87,-1.25
334.18,-1.25
337.52,-1.25
340.90,-1.26
344.30,-1.27
347.75,-1.27
351.23,-1.29
354.74,-1.30
358.28,-1.32
361.87,-1.33
365.49,-1.35
369.14,-1.36
372.83,-1.37
376.56,-1.38
380.33,-1.39
384.13,-1.40
387.97,-1.42
391.85,-1.43
395.77,-1.44
