frequency,raw
20.00,5.58
20.20,5.58
20.40,5.58
20.61,5.58
20.81,5.58
21.02,5.57
21.23,5.57
21.44,5.57
21.66,5.56
21.87,5.56
22.09,5.56
22.31,5.56
22.54,5.56
22.76,5.56
22.99,5.56
23.22,5.56
23.45,5.56
23.69,5.56
23.92,5.56
24.16,5.56
24.40,5.56
24.65,5.56
24.89,5.57
25.14,5.58
25.39,5.59
25.65,5.60
25.91,5.62
26.16,5.64
26.43,5.66
26.69,5.68
26.96,5.70
27.23,5.72
27.50,5.74
27.77,5.76
28.05,5.78
28.33,5.80
28.62,5.82
28.90,5.84
29.19,5.86
29.48,5.89
29.78,5.91
30.08,5.94
30.38,5.97
30.68,6.00
30.99,6.03
31.30,6.06
31.61,6.09
31.93,6.12
32.24,6.15
32.57,6.18
32.89,6.21
33.22,6.23
33.55,6.26
33.89,6.29
34.23,6.32
34.57,6.35
34.92,6.37
35.27,6.40
35.62,6.43
35.97,6.46
36.33,6.49
36.70,6.52
37.06,6.55
37.43,6.57
37.81,6.60
38.19,6.62
38.57,6.65
38.95,6.67
39.34,6.69
39.74,6.71
40.14,6.73
40.54,6.74
40.94,6.76
41.35,6.78
41.76,6.79
42.18,6.81
42.60,6.82
43.03,6.84
43.46,6.85
43.90,6.86
44.33,6.87
44.78,6.88
45.23,6.88
45.68,6.88
46.13,6.88
46.60,6.88
47.06,6.87
47.53,6.87
48.01,6.87
48.49,6.87
48.97,6.87
49.46,6.86
49.96,6.86
50.46,6.84
50.96,6.82
51.47,6.80
51.99,6.77
52.51,6.74
53.03,6.71
53.56,6.68
54.10,6.64
54.64,6.61
55.18,6.57
55.74,6.54
56.29,6.50
56.86,6.46
57.42,6.42
58.00,6.37
58.58,6.33
59.16,6.28
59.76,6.23
60.35,6.18
60.96,6.13
61.57,6.08
62.18,6.02
62.80,5.96
63.43,5.90
64.07,5.83
64.71,5.77
65.35,5.70
66.01,5.64
66.67,5.57
67.33,5.50
68.01,5.43
68.69,5.35
69.37,5.28
70.07,5.19
70.77,5.11
71.48,5.03
72.19,4.94
72.91,4.86
73.64,4.77
74.38,4.67
75.12,4.58
75.87,4.48
76.63,4.38
77.40,4.29
78.17,4.19
78.95,4.09
79.74,3.99
80.54,3.89
81.35,3.79
82.16,3.69
82.98,3.58
83.81,3.48
84.65,3.37
85.50,3.26
86.35,3.16
87.22,3.05
88.09,2.94
88.97,2.83
89.86,2.72
90.76,2.61
91.66,2.51
92.58,2.40
93.51,2.29
94.44,2.18
95.39,2.07
96.34,1.97
97.30,1.86
98.28,1.75
99.26,1.64
100.25,1.53
101.25,1.43
102.27,1.32
103.29,1.22
104.32,1.12
105.37,1.02
106.42,0.92
107.48,0.82
108.56,0.72
109.64,0.62
110.74,0.53
111.85,0.43
112.97,0.33
114.10,0.23
115.24,0.13
116.39,0.04
117.55,-0.06
118.73,-0.15
119.92,-0.24
121.12,-0.32
122.33,-0.41
123.55,-0.49
124.79,-0.56
126.03,-0.64
127.29,-0.71
128.57,-0.77
129.85,-0.84
131.15,-0.91
132.46,-0.97
133.79,-1.03
135.12,-1.08
136.48,-1.13
137.84,-1.18
139.22,-1.22
140.61,-1.25
142.02,-1.28
143.44,-1.31
144.87,-1.33
146.32,-1.34
147.78,-1.35
149.26,-1.35
150.75,-1.35
152.26,-1.35
153.78,-1.34
155.32,-1.33
156.88,-1.31
158.44,-1.29
160.03,-1.27
161.63,-1.23
163.24,-1.20
164.88,-1.16
166.53,-1.12
168.19,-1.07
169.87,-1.03
171.57,-0.98
173.29,-0.93
175.02,-0.89
176.77,-0.84
178.54,-0.79
180.32,-0.74
182.13,-0.69
183.95,-0.65
185.79,-0.62
187.65,-0.59
189.52,-0.57
191.42,-0.54
193.33,-0.51
195.27,-0.48
197.22,-0.45
199.19,-0.41
201.18,-0.36
203.19,-0.31
205.23,-0.25
207.28,-0.19
209.35,-0.13
211.44,-0.08
213.56,-0.03
215.69,0.00
217.85,0.03
220.03,0.06
222.23,0.07
224.45,0.08
226.70,0.09
228.96,0.08
231.25,0.07
233.57,0.06
235.90,0.04
238.26,0.02
240.64,-0.01
243.05,-0.04
245.48,-0.09
247.93,-0.14
250.41,-0.19
252.92,-0.25
255.45,-0.31
258.00,-0.38
260.58,-0.44
263.19,-0.50
265.82,-0.55
268.48,-0.60
271.16,-0.65
273.87,-0.70
276.61,-0.75
279.38,-0.80
282.17,-0.85
284.99,-0.90
287.84,-0.95
290.72,-1.00
293.63,-1.06
296.57,-1.11
299.53,-1.17
302.53,-1.22
305.55,-1.28
308.61,-1.33
311.69,-1.37
314.81,-1.41
317.96,-1.45
321.14,-1.48
324.35,-1.52
327.59,-1.54
330.87,-1.57
334.18,-1.59
337.52,-1.61
340.90,-1.62
344.30,-1.63
347.75,-1.64
351.23,-1.65
354.74,-1.66
358.28,-1.66
361.87,-1.67
365.49,-1.68
369.14,-1.68
372.83,-1.68
376.56,-1.68
380.33,-1.67
384.13,-1.66
387.97,-1.65
391.85,-1.64
395.77,-1.62
399.73,-1.61
403.72,-1.59
407.76,-1.57
411.84,-1.56
415.96,-1.54
420.12,-1.52
424.32,-1.51
428.56,-1.49
432.85,-1.48
437.18,-1.46
441.55,-1.45
445.96,-1.44
450.42,-1.43
454.93,-1.42
459.48,-1.41
464.07,-1.39
468.71,-1.38
473.40,-1.36
478.13,-1.34
482.91,-1.31
487.74,-1.29
492.62,-1.27
497.55,-1.24
502.52,-1.22
507.55,-1.20
512.62,-1.17
517.75,-1.16
522.93,-1.14
528.16,-1.13
533.44,-1.12
538.77,-1.12
544.16,-1.11
549.60,-1.11
555.10,-1.11
560.65,-1.11
566.25,-1.11
571.92,-1.11
577.64,-1.12
583.41,-1.13
589.25,-1.14
595.14,-1.16
601.09,-1.18
607.10,-1.20
613.17,-1.23
619.30,-1.25
625.50,-1.28
631.75,-1.32
638.07,-1.35
644.45,-1.39
650.89,-1.42
657.40,-1.46
663.98,-1.50
670.62,-1.54
677.32,-1.58
684.10,-1.62
690.94,-1.66
697.85,-1.69
704.83,-1.73
711.87,-1.77
718.99,-1.80
726.18,-1.83
733.44,-1.85
740.78,-1.88
748.19,-1.90
755.67,-1.91
763.23,-1.93
770.86,-1.94
778.57,-1.94
786.35,-1.94
794.22,-1.93
802.16,-1.91
810.18,-1.88
818.28,-1.85
826.46,-1.81
834.73,-1.76
843.08,-1.70
851.51,-1.64
860.02,-1.58
868.62,-1.50
877.31,-1.42
886.08,-1.33
894.94,-1.24
903.89,-1.14
912.93,-1.04
922.06,-0.94
931.28,-0.83
940.59,-0.72
950.00,-0.61
959.50,-0.50
969.09,-0.38
978.78,-0.27
988.57,-0.14
998.46,-0.02
1008.44,0.10
1018.53,0.23
1028.71,0.35
1039.00,0.47
1049.39,0.59
1059.88,0.71
1070.48,0.83
1081.19,0.96
1092.00,1.07
1102.92,1.19
1113.95,1.30
1125.09,1.41
1136.34,1.52
1147.70,1.63
1159.18,1.73
1170.77,1.84
1182.48,1.95
1194.30,2.05
1206.25,2.16
1218.31,2.26
1230.49,2.36
1242.80,2.46
1255.22,2.57
1267.78,2.67
1280.45,2.77
1293.26,2.86
1306.19,2.95
1319.25,3.03
1332.45,3.07
1345.77,3.10
1359.23,3.10
1372.82,3.08
1386.55,3.05
1400.41,3.01
1414.42,2.99
1428.56,2.96
1442.85,2.95
1457.28,2.95
1471.85,2.96
1486.57,2.98
1501.43,3.00
1516.45,3.03
1531.61,3.06
1546.93,3.09
1562.40,3.13
1578.02,3.16
1593.80,3.19
1609.74,3.23
1625.84,3.26
1642.10,3.30
1658.52,3.33
1675.10,3.37
1691.85,3.41
1708.77,3.44
1725.86,3.48
1743.12,3.53
1760.55,3.57
1778.15,3.62
1795.94,3.67
1813.90,3.72
1832.03,3.77
1850.36,3.83
1868.86,3.89
1887.55,3.95
1906.42,4.02
1925.49,4.09
1944.74,4.16
1964.19,4.25
1983.83,4.33
2003.67,4.42
2023.71,4.51
2043.94,4.61
2064.38,4.72
2085.03,4.83
2105.88,4.95
2126.94,5.07
2148.20,5.20
2169.69,5.34
2191.38,5.48
2213.30,5.63
2235.43,5.78
2257.78,5.95
2280.36,6.12
2303.17,6.30
2326.20,6.48
2349.46,6.67
2372.95,6.86
2396.68,7.06
2420.65,7.26
2444.86,7.47
2469.31,7.68
2494.00,7.89
2518.94,8.10
2544.13,8.30
2569.57,8.51
2595.27,8.71
2621.22,8.91
2647.43,9.09
2673.90,9.27
2700.64,9.45
2727.65,9.61
2754.93,9.76
2782.48,9.90
2810.30,10.02
2838.40,10.14
2866.79,10.23
2895.46,10.32
2924.41,10.38
2953.65,10.43
2983.19,10.45
3013.02,10.46
3043.15,10.46
3073.58,10.44
3104.32,10.40
3135.36,10.35
3166.72,10.30
3198.38,10.23
3230.37,10.15
3262.67,10.07
3295.30,9.99
3328.25,9.89
3361.53,9.79
3395.15,9.68
3429.10,9.58
3463.39,9.47
3498.03,9.35
3533.01,9.24
3568.34,9.14
3604.02,9.03
3640.06,8.94
3676.46,8.85
3713.22,8.78
3750.36,8.71
3787.86,8.67
3825.74,8.63
3864.00,8.59
3902.64,8.57
3941.66,8.54
3981.08,8.52
4020.89,8.50
4061.10,8.48
4101.71,8.45
4142.73,8.41
4184.15,8.37
4226.00,8.32
4268.26,8.27
4310.94,8.22
4354.05,8.15
4397.59,8.08
4441.56,8.00
4485.98,7.92
4530.84,7.82
4576.15,7.71
4621.91,7.59
4668.13,7.43
4714.81,7.26
4761.96,7.07
4809.58,6.86
4857.67,6.63
4906.25,6.37
4955.31,6.10
5004.87,5.82
5054.91,5.53
5105.46,5.25
5156.52,4.96
5208.08,4.69
5260.16,4.44
5312.77,4.19
5365.89,3.97
5419.55,3.77
5473.75,3.59
5528.49,3.43
5583.77,3.30
5639.61,3.20
5696.00,3.11
5752.96,3.04
5810.49,2.99
5868.60,2.96
5927.28,2.95
5986.56,2.95
6046.42,2.96
6106.89,2.97
6167.96,3.00
6229.64,3.02
6291.93,3.06
6354.85,3.10
6418.40,3.15
6482.58,3.21
6547.41,3.29
6612.88,3.39
6679.01,3.51
6745.80,3.66
6813.26,3.84
6881.39,4.06
6950.21,4.32
7019.71,4.62
7089.91,4.96
7160.81,5.37
7232.41,5.82
7304.74,6.30
7377.79,6.83
7451.56,7.37
7526.08,7.91
7601.34,8.42
7677.35,8.85
7754.13,9.23
7831.67,9.40
7909.98,9.45
7989.08,9.33
8068.98,8.96
8149.67,8.46
8231.16,7.80
8313.47,7.00
8396.61,6.14
8480.57,5.20
8565.38,4.26
8651.03,3.32
8737.54,2.40
8824.92,1.52
8913.17,0.69
9002.30,-0.11
9092.32,-0.85
9183.25,-1.55
9275.08,-2.21
9367.83,-2.84
9461.51,-3.41
9556.12,-3.94
9651.68,-4.43
9748.20,-4.88
9845.68,-5.28
9944.14,-5.63
10043.58,-5.93
10144.02,-6.20
10245.46,-6.42
10347.91,-6.61
10451.39,-6.77
10555.91,-6.89
10661.46,-6.98
10768.08,-7.04
10875.76,-7.05
10984.52,-7.03
11094.36,-6.97
11205.31,-6.88
11317.36,-6.74
11430.53,-6.58
11544.84,-6.36
11660.29,-6.10
11776.89,-5.81
11894.66,-5.43
12013.60,-5.03
12133.74,-4.57
12255.08,-4.03
12377.63,-3.45
12501.41,-2.82
12626.42,-2.13
12752.68,-1.41
12880.21,-0.73
13009.01,-0.07
13139.10,0.60
13270.49,1.04
13403.20,1.40
13537.23,1.45
13672.60,1.30
13809.33,0.96
13947.42,0.30
14086.90,-0.51
14227.77,-1.42
14370.04,-2.36
14513.74,-3.34
14658.88,-4.23
14805.47,-5.08
14953.52,-5.83
15103.06,-6.50
15254.09,-7.14
15406.63,-7.74
15560.70,-8.37
15716.30,-9.02
15873.47,-9.72
16032.20,-10.45
16192.52,-11.20
16354.45,-11.96
16517.99,-12.71
16683.17,-13.44
16850.01,-14.11
17018.51,-14.73
17188.69,-15.25
17360.58,-15.69
17534.18,-16.07
17709.53,-16.35
17886.62,-16.54
18065.49,-16.69
18246.14,-16.77
18428.60,-16.81
18612.89,-16.84
18799.02,-16.89
18987.01,-16.99
19176.88,-17.20
19368.65,-17.50
19562.33,-17.88
19757.96,-18.31
19955.54,-18.62
