frequency,raw
20.00,-5.32
20.20,-4.80
20.40,-4.28
20.61,-3.76
20.81,-3.11
21.02,-2.45
21.23,-1.79
21.44,-1.16
21.66,-0.59
21.87,-0.05
22.09,0.42
22.31,0.83
22.54,1.21
22.76,1.54
22.99,1.84
23.22,2.12
23.45,2.39
23.69,2.66
23.92,2.94
24.16,3.23
24.40,3.54
24.65,3.86
24.89,4.21
25.14,4.55
25.39,4.90
25.65,5.23
25.91,5.55
26.16,5.85
26.43,6.14
26.69,6.45
26.96,6.75
27.23,7.08
27.50,7.43
27.77,7.78
28.05,8.11
28.33,8.41
28.62,8.66
28.90,8.86
29.19,8.98
29.48,9.08
29.78,9.11
30.08,9.13
30.38,9.14
30.68,9.16
30.99,9.20
31.30,9.28
31.61,9.38
31.93,9.52
32.24,9.71
32.57,9.92
32.89,10.20
33.22,10.54
33.55,10.90
33.89,11.29
34.23,11.65
34.57,11.98
34.92,12.20
35.27,12.30
35.62,12.32
35.97,12.26
36.33,12.21
36.70,12.24
37.06,12.39
37.43,12.71
37.81,13.09
38.19,13.50
38.57,13.79
38.95,13.96
39.34,14.06
39.74,14.10
40.14,14.12
40.54,14.16
40.94,14.26
41.35,14.39
41.76,14.53
42.18,14.66
42.60,14.77
43.03,14.84
43.46,14.87
43.90,14.87
44.33,14.84
44.78,14.78
45.23,14.70
45.68,14.64
46.13,14.59
46.60,14.58
47.06,14.60
47.53,14.63
48.01,14.67
48.49,14.69
48.97,14.69
49.46,14.66
49.96,14.61
50.46,14.55
50.96,14.49
51.47,14.42
51.99,14.35
52.51,14.27
53.03,14.16
53.56,14.04
54.10,13.92
54.64,13.80
55.18,13.70
55.74,13.62
56.29,13.56
56.86,13.50
57.42,13.45
58.00,13.39
58.58,13.32
59.16,13.25
59.76,13.17
60.35,13.10
60.96,13.04
61.57,12.98
62.18,12.92
62.80,12.89
63.43,12.87
64.07,12.86
64.71,12.86
65.35,12.85
66.01,12.84
66.67,12.83
67.33,12.81
68.01,12.79
68.69,12.77
69.37,12.76
70.07,12.74
70.77,12.73
71.48,12.72
72.19,12.72
72.91,12.71
73.64,12.70
74.38,12.68
75.12,12.67
75.87,12.65
76.63,12.64
77.40,12.64
78.17,12.63
78.95,12.63
79.74,12.63
80.54,12.64
81.35,12.66
82.16,12.68
82.98,12.70
83.81,12.73
84.65,12.74
85.50,12.75
86.35,12.77
87.22,12.78
88.09,12.79
88.97,12.80
89.86,12.80
90.76,12.81
91.66,12.81
92.58,12.82
93.51,12.83
94.44,12.84
95.39,12.84
96.34,12.85
97.30,12.87
98.28,12.88
99.26,12.89
100.25,12.91
101.25,12.91
102.27,12.92
103.29,12.92
104.32,12.92
105.37,12.92
106.42,12.92
107.48,12.93
108.56,12.92
109.64,12.91
110.74,12.89
111.85,12.86
112.97,12.84
114.10,12.81
115.24,12.78
116.39,12.75
117.55,12.72
118.73,12.70
119.92,12.67
121.12,12.64
122.33,12.60
123.55,12.55
124.79,12.51
126.03,12.45
127.29,12.40
128.57,12.33
129.85,12.26
131.15,12.19
132.46,12.12
133.79,12.05
135.12,11.98
136.48,11.90
137.84,11.82
139.22,11.73
140.61,11.62
142.02,11.50
143.44,11.38
144.87,11.26
146.32,11.13
147.78,11.00
149.26,10.87
150.75,10.73
152.26,10.58
153.78,10.43
155.32,10.28
156.88,10.11
158.44,9.95
160.03,9.78
161.63,9.61
163.24,9.44
164.88,9.26
166.53,9.07
168.19,8.88
169.87,8.68
171.57,8.48
173.29,8.27
175.02,8.05
176.77,7.83
178.54,7.60
180.32,7.37
182.13,7.12
183.95,6.86
185.79,6.60
187.65,6.34
189.52,6.07
191.42,5.80
193.33,5.53
195.27,5.28
197.22,5.05
199.19,4.81
201.18,4.59
203.19,4.38
205.23,4.21
207.28,4.07
209.35,3.96
211.44,3.87
213.56,3.80
215.69,3.73
217.85,3.67
220.03,3.60
222.23,3.55
224.45,3.49
226.70,3.45
228.96,3.41
231.25,3.38
233.57,3.37
235.90,3.36
238.26,3.38
240.64,3.40
243.05,3.44
245.48,3.51
247.93,3.59
250.41,3.68
252.92,3.77
255.45,3.86
258.00,3.95
260.58,4.05
263.19,4.16
265.82,4.27
268.48,4.38
271.16,4.48
