frequency,raw
20.00,9.89
20.20,9.84
20.40,9.78
20.61,9.73
20.81,9.76
21.02,9.88
21.23,10.09
21.44,10.42
21.66,10.79
21.87,11.15
22.09,11.46
22.31,11.72
22.54,11.94
22.76,12.13
22.99,12.31
23.22,12.49
23.45,12.66
23.69,12.81
23.92,12.93
24.16,13.02
24.40,13.08
24.65,13.11
24.89,13.12
25.14,13.11
25.39,13.11
25.65,13.15
25.91,13.21
26.16,13.30
26.43,13.41
26.69,13.51
26.96,13.60
27.23,13.66
27.50,13.68
27.77,13.71
28.05,13.76
28.33,13.89
28.62,14.04
28.90,14.25
29.19,14.44
29.48,14.63
29.78,14.71
30.08,14.77
30.38,14.73
30.68,14.65
30.99,14.55
31.30,14.48
31.61,14.46
31.93,14.50
32.24,14.58
32.57,14.67
32.89,14.76
33.22,14.84
33.55,14.92
33.89,14.99
34.23,15.05
34.57,15.10
34.92,15.14
35.27,15.14
35.62,15.14
35.97,15.13
36.33,15.14
36.70,15.18
37.06,15.23
37.43,15.28
37.81,15.30
38.19,15.31
38.57,15.30
38.95,15.30
39.34,15.31
39.74,15.35
40.14,15.39
40.54,15.44
40.94,15.47
41.35,15.48
41.76,15.48
42.18,15.47
42.60,15.46
43.03,15.45
43.46,15.44
43.90,15.43
44.33,15.41
44.78,15.40
45.23,15.39
45.68,15.39
46.13,15.40
46.60,15.40
47.06,15.35
47.53,15.27
48.01,15.16
48.49,15.07
48.97,15.02
49.46,15.00
49.96,15.02
50.46,15.05
50.96,15.09
51.47,15.13
51.99,15.15
52.51,15.13
53.03,15.08
53.56,14.99
54.10,14.93
54.64,14.90
55.18,14.91
55.74,14.93
56.29,14.92
56.86,14.90
57.42,14.84
58.00,14.76
58.58,14.67
59.16,14.58
59.76,14.50
60.35,14.44
60.96,14.40
61.57,14.36
62.18,14.33
62.80,14.29
63.43,14.24
64.07,14.17
64.71,14.08
65.35,13.99
66.01,13.90
66.67,13.87
67.33,13.84
68.01,13.83
68.69,13.79
69.37,13.72
70.07,13.64
70.77,13.56
71.48,13.48
72.19,13.41
72.91,13.34
73.64,13.24
74.38,13.13
75.12,13.01
75.87,12.88
76.63,12.77
77.40,12.65
78.17,12.51
78.95,12.37
79.74,12.25
80.54,12.15
81.35,12.08
82.16,12.01
82.98,11.91
83.81,11.79
84.65,11.66
85.50,11.54
86.35,11.42
87.22,11.30
88.09,11.18
88.97,11.04
89.86,10.90
90.76,10.73
91.66,10.55
92.58,10.33
93.51,10.09
94.44,9.87
95.39,9.68
96.34,9.53
97.30,9.43
98.28,9.35
99.26,9.27
100.25,9.17
101.25,9.03
102.27,8.86
103.29,8.69
104.32,8.52
105.37,8.39
106.42,8.26
107.48,8.14
108.56,8.00
109.64,7.83
110.74,7.63
111.85,7.42
112.97,7.24
114.10,7.07
115.24,6.91
116.39,6.76
117.55,6.62
118.73,6.51
119.92,6.41
121.12,6.31
122.33,6.20
123.55,6.08
124.79,5.93
126.03,5.77
127.29,5.61
128.57,5.46
129.85,5.32
131.15,5.17
132.46,5.05
133.79,4.95
135.12,4.88
136.48,4.83
137.84,4.81
139.22,4.76
140.61,4.68
142.02,4.56
143.44,4.44
144.87,4.32
146.32,4.23
147.78,4.17
149.26,4.14
150.75,4.12
152.26,4.12
153.78,4.13
155.32,4.14
156.88,4.15
158.44,4.16
160.03,4.17
161.63,4.16
163.24,4.14
164.88,4.11
166.53,4.06
168.19,4.01
169.87,3.96
171.57,3.92
173.29,3.89
175.02,3.87
176.77,3.84
178.54,3.78
180.32,3.70
182.13,3.58
183.95,3.44
185.79,3.30
187.65,3.16
189.52,3.02
191.42,2.88
193.33,2.75
195.27,2.63
197.22,2.55
199.19,2.49
201.18,2.46
203.19,2.46
205.23,2.48
207.28,2.52
209.35,2.56
211.44,2.60
213.56,2.64
215.69,2.67
217.85,2.71
220.03,2.75
222.23,2.79
224.45,2.83
226.70,2.87
