frequency,raw
20.00,7.53
20.20,7.57
20.40,7.61
20.61,7.65
20.81,7.69
21.02,7.71
21.23,7.71
21.44,7.65
21.66,7.54
21.87,7.40
22.09,7.23
22.31,7.05
22.54,6.91
22.76,6.82
22.99,6.80
23.22,6.93
23.45,7.17
23.69,7.51
23.92,7.95
24.16,8.40
24.40,8.82
24.65,9.19
24.89,9.45
25.14,9.62
25.39,9.73
25.65,9.74
25.91,9.71
26.16,9.65
26.43,9.56
26.69,9.45
26.96,9.34
27.23,9.25
27.50,9.18
27.77,9.15
28.05,9.15
28.33,9.20
28.62,9.25
28.90,9.31
29.19,9.32
29.48,9.32
29.78,9.24
30.08,9.16
30.38,9.05
30.68,8.97
30.99,8.94
31.30,8.93
31.61,8.96
31.93,9.00
32.24,9.05
32.57,9.09
32.89,9.12
33.22,9.12
33.55,9.10
33.89,9.05
34.23,8.97
34.57,8.88
34.92,8.77
35.27,8.68
35.62,8.62
35.97,8.60
36.33,8.62
36.70,8.64
37.06,8.67
37.43,8.67
37.81,8.66
38.19,8.63
38.57,8.61
38.95,8.58
39.34,8.56
39.74,8.54
40.14,8.50
40.54,8.46
40.94,8.41
41.35,8.37
41.76,8.33
42.18,8.28
42.60,8.25
43.03,8.22
43.46,8.21
43.90,8.21
44.33,8.22
44.78,8.22
45.23,8.22
45.68,8.21
46.13,8.20
46.60,8.19
47.06,8.17
47.53,8.15
48.01,8.11
48.49,8.07
48.97,8.05
49.46,8.02
49.96,7.99
50.46,7.96
50.96,7.92
51.47,7.89
51.99,7.87
52.51,7.86
53.03,7.85
53.56,7.83
54.10,7.82
54.64,7.80
55.18,7.79
55.74,7.79
56.29,7.77
56.86,7.76
57.42,7.72
58.00,7.68
58.58,7.63
59.16,7.58
59.76,7.55
60.35,7.54
60.96,7.52
61.57,7.51
62.18,7.49
62.80,7.46
63.43,7.43
64.07,7.40
64.71,7.38
65.35,7.35
66.01,7.33
66.67,7.28
67.33,7.23
68.01,7.16
68.69,7.10
69.37,7.04
70.07,6.98
70.77,6.92
71.48,6.88
72.19,6.83
72.91,6.79
73.64,6.76
74.38,6.72
75.12,6.67
75.87,6.59
76.63,6.51
77.40,6.42
78.17,6.34
78.95,6.25
79.74,6.17
80.54,6.09
81.35,6.01
82.16,5.94
82.98,5.85
83.81,5.77
84.65,5.68
85.50,5.59
86.35,5.50
87.22,5.41
88.09,5.31
88.97,5.20
89.86,5.09
90.76,4.98
91.66,4.87
92.58,4.76
93.51,4.66
94.44,4.56
95.39,4.45
96.34,4.34
97.30,4.23
98.28,4.11
99.26,3.99
100.25,3.87
101.25,3.76
102.27,3.65
103.29,3.55
104.32,3.45
105.37,3.35
106.42,3.25
107.48,3.15
108.56,3.05
109.64,2.96
110.74,2.86
111.85,2.77
112.97,2.69
114.10,2.60
115.24,2.51
116.39,2.44
117.55,2.36
118.73,2.29
119.92,2.23
121.12,2.17
122.33,2.12
123.55,2.08
124.79,2.03
126.03,1.98
127.29,1.93
128.57,1.90
129.85,1.86
131.15,1.83
132.46,1.80
133.79,1.77
135.12,1.75
136.48,1.73
137.84,1.72
139.22,1.70
140.61,1.68
142.02,1.65
143.44,1.62
144.87,1.58
146.32,1.54
147.78,1.50
149.26,1.47
150.75,1.44
152.26,1.42
153.78,1.41
155.32,1.39
156.88,1.36
158.44,1.34
160.03,1.31
161.63,1.28
163.24,1.24
164.88,1.21
166.53,1.17
168.19,1.13
169.87,1.10
171.57,1.06
173.29,1.01
175.02,0.96
176.77,0.89
178.54,0.81
180.32,0.73
182.13,0.65
183.95,0.56
185.79,0.47
187.65,0.38
189.52,0.29
191.42,0.20
193.33,0.12
195.27,0.05
197.22,-0.01
199.19,-0.06
201.18,-0.10
203.19,-0.13
205.23,-0.14
207.28,-0.14
209.35,-0.14
211.44,-0.14
213.56,-0.15
215.69,-0.17
217.85,-0.20
220.03,-0.22
222.23,-0.24
224.45,-0.27
226.70,-0.29
228.96,-0.31
231.25,-0.32
233.57,-0.33
235.90,-0.32
238.26,-0.31
240.64,-0.29
243.05,-0.27
245.48,-0.24
247.93,-0.20
250.41,-0.17
252.92,-0.13
255.45,-0.08
258.00,-0.03
260.58,0.02
263.19,0.07
265.82,0.12
268.48,0.16
271.16,0.20
273.87,0.24
276.61,0.28
279.38,0.32
282.17,0.36
284.99,0.41
287.84,0.45
290.72,0.50
293.63,0.55
296.57,0.58
299.53,0.62
302.53,0.65
305.55,0.68
308.61,0.70
311.69,0.73
314.81,0.75
317.96,0.78
321.14,0.80
324.35,0.82
327.59,0.83
330.87,0.84
334.18,0.84
337.52,0.85
340.90,0.86
344.30,0.86
347.75,0.86
351.23,0.85
354.74,0.84
358.28,0.82
361.87,0.80
365.49,0.78
369.14,0.75
372.83,0.73
376.56,0.69
380.33,0.66
384.13,0.62
387.97,0.57
391.85,0.53
395.77,0.48
399.73,0.43
403.72,0.36
407.76,0.28
411.84,0.20
415.96,0.10
420.12,-0.01
424.32,-0.12
428.56,-0.25
432.85,-0.38
437.18,-0.51
441.55,-0.66
445.96,-0.80
450.42,-0.96
454.93,-1.12
459.48,-1.27
464.07,-1.43
468.71,-1.59
473.40,-1.74
478.13,-1.88
482.91,-2.02
487.74,-2.15
492.62,-2.27
497.55,-2.38
502.52,-2.47
507.55,-2.55
512.62,-2.59
517.75,-2.63
522.93,-2.64
528.16,-2.64
533.44,-2.62
538.77,-2.59
544.16,-2.55
549.60,-2.50
555.10,-2.43
560.65,-2.34
566.25,-2.22
571.92,-2.10
577.64,-1.96
583.41,-1.81
589.25,-1.66
595.14,-1.49
601.09,-1.32
607.10,-1.15
613.17,-0.98
619.30,-0.80
625.50,-0.63
631.75,-0.47
638.07,-0.31
644.45,-0.18
650.89,-0.07
657.40,0.02
663.98,0.07
670.62,0.11
677.32,0.12
684.10,0.12
690.94,0.10
697.85,0.07
704.83,0.02
711.87,-0.02
718.99,-0.07
726.18,-0.10
733.44,-0.12
740.78,-0.11
748.19,-0.07
755.67,0.01
763.23,0.11
770.86,0.23
778.57,0.36
786.35,0.49
794.22,0.61
802.16,0.72
810.18,0.80
818.28,0.85
826.46,0.89
834.73,0.89
843.08,0.87
851.51,0.84
860.02,0.78
868.62,0.70
877.31,0.61
886.08,0.52
894.94,0.42
903.89,0.33
912.93,0.26
922.06,0.20
931.28,0.16
940.59,0.13
950.00,0.10
959.50,0.07
969.09,0.04
978.78,0.02
988.57,0.00
998.46,-0.00
1008.44,0.01
