frequency,raw
20.00,11.07
20.20,11.10
20.40,11.13
20.61,11.15
20.81,11.18
21.02,11.20
21.23,11.21
21.44,11.19
21.66,11.16
21.87,11.12
22.09,11.08
22.31,11.06
22.54,11.07
22.76,11.10
22.99,11.16
23.22,11.20
23.45,11.19
23.69,11.11
23.92,10.95
24.16,10.71
24.40,10.42
24.65,10.10
24.89,9.89
25.14,9.85
25.39,9.91
25.65,10.17
25.91,10.43
26.16,10.69
26.43,10.86
26.69,10.95
26.96,11.01
27.23,11.06
27.50,11.16
27.77,11.33
28.05,11.54
28.33,11.75
28.62,11.88
28.90,11.89
29.19,11.73
29.48,11.50
29.78,11.23
30.08,11.01
30.38,10.90
30.68,10.87
30.99,10.86
31.30,10.84
31.61,10.79
31.93,10.71
32.24,10.67
32.57,10.65
32.89,10.67
33.22,10.68
33.55,10.68
33.89,10.64
34.23,10.60
34.57,10.57
34.92,10.59
35.27,10.64
35.62,10.68
35.97,10.68
36.33,10.62
36.70,10.55
37.06,10.48
37.43,10.44
37.81,10.42
38.19,10.41
38.57,10.36
38.95,10.31
39.34,10.25
39.74,10.22
40.14,10.20
40.54,10.20
40.94,10.19
41.35,10.17
41.76,10.13
42.18,10.10
42.60,10.07
43.03,10.07
43.46,10.10
43.90,10.12
44.33,10.13
44.78,10.07
45.23,9.99
45.68,9.89
46.13,9.81
46.60,9.80
47.06,9.82
47.53,9.85
48.01,9.84
48.49,9.85
48.97,9.89
49.46,9.95
49.96,9.94
50.46,9.76
50.96,9.57
51.47,9.38
51.99,9.36
52.51,9.38
53.03,9.39
53.56,9.33
54.10,9.27
54.64,9.22
55.18,9.20
55.74,9.19
56.29,9.19
56.86,9.19
57.42,9.16
58.00,9.11
58.58,9.05
59.16,9.00
59.76,8.97
60.35,8.95
60.96,8.92
61.57,8.89
62.18,8.85
62.80,8.78
63.43,8.72
64.07,8.67
64.71,8.65
65.35,8.63
66.01,8.61
66.67,8.55
67.33,8.50
68.01,8.45
68.69,8.41
69.37,8.35
70.07,8.29
70.77,8.22
71.48,8.18
72.19,8.16
72.91,8.15
73.64,8.09
74.38,8.01
75.12,7.93
75.87,7.86
76.63,7.82
77.40,7.80
78.17,7.77
78.95,7.73
79.74,7.68
80.54,7.63
81.35,7.57
82.16,7.51
82.98,7.46
83.81,7.41
84.65,7.35
85.50,7.29
86.35,7.23
87.22,7.18
88.09,7.11
